Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1988-04-29,3714.0,0.0,0.0,0.0,2403.0,2386.0,2403.0,2386.0,1311.0,1328.0
1988-05-13,4051.0,231.0,0.0,0.0,2187.0,2286.0,2418.0,2286.0,1633.0,1765.0
1988-05-31,6090.0,0.0,267.0,0.0,2967.0,1420.0,2967.0,1687.0,3123.0,4403.0
1988-06-15,16980.0,996.0,4132.0,0.0,7449.0,2602.0,8445.0,6734.0,8535.0,10246.0
1988-06-30,16530.0,300.0,2960.0,0.0,8505.0,3676.0,8805.0,6636.0,7725.0,9894.0
1988-07-15,17980.0,941.0,2692.0,0.0,8698.0,3557.0,9639.0,6249.0,8341.0,11731.0
1988-07-29,16199.0,0.0,1400.0,0.0,6774.0,4274.0,6774.0,5674.0,9425.0,10525.0
1988-08-15,19804.0,1412.0,1236.0,1.0,7316.0,9006.0,8729.0,10243.0,11075.0,9561.0
1988-08-31,19574.0,3255.0,1033.0,0.0,6472.0,8667.0,9727.0,9700.0,9847.0,9874.0
1988-09-15,19741.0,199.0,831.0,1.0,10901.0,10155.0,11101.0,10987.0,8640.0,8754.0
1988-09-30,12790.0,1761.0,1326.0,0.0,3929.0,3224.0,5690.0,4550.0,7100.0,8240.0
1988-10-14,22023.0,6874.0,1316.0,1.0,2240.0,12717.0,9115.0,14034.0,12908.0,7989.0
1988-10-31,19073.0,3773.0,366.0,1019.0,2866.0,9893.0,7658.0,11278.0,11415.0,7795.0
1988-11-15,19333.0,4097.0,0.0,0.0,3675.0,12165.0,7772.0,12165.0,11561.0,7168.0
1988-11-30,28514.0,8470.0,0.0,0.0,4668.0,19937.0,13138.0,19937.0,15376.0,8577.0
1988-12-15,28928.0,6098.0,2048.0,216.0,11171.0,18167.0,17485.0,20431.0,11443.0,8497.0
1988-12-30,16277.0,2251.0,1907.0,0.0,5998.0,7812.0,8249.0,9719.0,8028.0,6558.0
1989-01-13,24359.0,1356.0,6839.0,0.0,15422.0,6099.0,16778.0,12938.0,7581.0,11421.0
1989-01-31,24733.0,3285.0,6149.0,15.0,13662.0,8237.0,16962.0,14401.0,7771.0,10332.0
1989-02-15,23653.0,1357.0,5117.0,303.0,12997.0,7341.0,14657.0,12761.0,8996.0,10892.0
1989-02-28,25427.0,488.0,5939.0,1903.0,14233.0,7477.0,16624.0,15319.0,8803.0,10108.0
1989-03-15,20601.0,2579.0,6212.0,3.0,12214.0,2148.0,14796.0,8363.0,5805.0,12238.0
1989-03-31,21413.0,800.0,8183.0,0.0,14552.0,962.0,15352.0,9145.0,6061.0,12268.0
1989-04-14,22808.0,4600.0,7083.0,706.0,10661.0,2848.0,15967.0,10637.0,6841.0,12171.0
1989-04-28,18096.0,2363.0,4056.0,59.0,8038.0,2475.0,10460.0,6590.0,7636.0,11506.0
1989-05-15,27737.0,899.0,11768.0,122.0,19562.0,3337.0,20583.0,15227.0,7154.0,12510.0
