Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,601935.0,45615.0,16565.0,28015.0,307790.0,307815.0,381420.0,352395.0,220515.0,249540.0
1986-01-31,587150.0,32135.0,34145.0,25745.0,323200.0,247390.0,381080.0,307280.0,206070.0,279870.0
1986-02-14,556410.0,14030.0,50275.0,21550.0,303885.0,205150.0,339465.0,276975.0,216945.0,279435.0
1986-02-28,545050.0,17735.0,59835.0,23600.0,288625.0,204725.0,329960.0,288160.0,215090.0,256890.0
1986-03-14,535730.0,18725.0,58090.0,23375.0,276865.0,220480.0,318965.0,301945.0,216765.0,233785.0
1986-03-31,559470.0,22015.0,50105.0,22860.0,279915.0,231765.0,324790.0,304730.0,234680.0,254740.0
1986-04-15,584915.0,11840.0,62930.0,29180.0,338630.0,206805.0,379650.0,298915.0,205265.0,286000.0
1986-04-30,574220.0,31075.0,36610.0,32950.0,284170.0,263175.0,348195.0,332735.0,226025.0,241485.0
1986-05-15,547375.0,60375.0,12690.0,17900.0,236180.0,279765.0,314455.0,310355.0,232920.0,237020.0
1986-05-30,574040.0,47410.0,22700.0,27240.0,261085.0,279935.0,335735.0,329875.0,238305.0,244165.0
1986-06-13,599625.0,25160.0,37960.0,28620.0,312395.0,261675.0,366175.0,328255.0,233450.0,271370.0
1986-06-30,564250.0,13260.0,52700.0,14795.0,336245.0,242965.0,364300.0,310460.0,199950.0,253790.0
1986-07-15,569545.0,16910.0,56260.0,14250.0,345510.0,243095.0,376670.0,313605.0,192875.0,255940.0
1986-07-31,588665.0,11265.0,57075.0,19760.0,364765.0,264260.0,395790.0,341095.0,192875.0,247570.0
1986-08-15,606730.0,13820.0,56330.0,21525.0,361960.0,252155.0,397305.0,330010.0,209425.0,276720.0
1986-08-29,594025.0,10350.0,72820.0,15720.0,362875.0,231280.0,388945.0,319820.0,205080.0,274205.0
1986-09-15,611620.0,11865.0,73980.0,16105.0,382955.0,242000.0,410925.0,332085.0,200695.0,279535.0
1986-09-30,671740.0,42815.0,32260.0,19600.0,367155.0,350850.0,429570.0,402710.0,242170.0,269030.0
1986-10-15,677270.0,24025.0,53135.0,32980.0,388650.0,321465.0,445655.0,407580.0,231615.0,269690.0
1986-10-31,792145.0,49080.0,29690.0,52830.0,414820.0,437925.0,516730.0,520445.0,275415.0,271700.0
1986-11-14,799280.0,38730.0,27940.0,56455.0,429250.0,432725.0,524435.0,517120.0,274845.0,282160.0
1986-11-28,677365.0,25925.0,24785.0,48715.0,360410.0,356175.0,435050.0,429675.0,242315.0,247690.0
1986-12-15,560895.0,18740.0,49285.0,30925.0,320005.0,244380.0,369670.0,324590.0,191225.0,236305.0
1986-12-31,605490.0,11830.0,54740.0,31455.0,389435.0,247580.0,432720.0,333775.0,172770.0,271715.0
1987-01-15,655750.0,22210.0,62810.0,29770.0,409555.0,260520.0,461535.0,353100.0,194215.0,302650.0
1987-01-30,673930.0,18635.0,57815.0,33070.0,412110.0,252730.0,463815.0,343615.0,210115.0,330315.0
1987-02-13,715555.0,14260.0,68260.0,34505.0,453950.0,265855.0,502715.0,368620.0,212840.0,346935.0
1987-02-27,705545.0,26690.0,54850.0,33320.0,444790.0,277910.0,504800.0,366080.0,200745.0,339465.0
1987-03-13,695080.0,32705.0,42830.0,34095.0,401765.0,324190.0,468565.0,401115.0,226515.0,293965.0
1987-03-31,718960.0,45040.0,31090.0,35890.0,400350.0,365320.0,481280.0,432300.0,237680.0,286660.0
1987-04-15,704735.0,65335.0,14920.0,36495.0,344290.0,372000.0,446120.0,423415.0,258615.0,281320.0
1987-04-30,690805.0,69570.0,17920.0,37045.0,304750.0,329165.0,411365.0,384130.0,279440.0,306675.0
1987-05-15,656790.0,87000.0,14030.0,20860.0,255815.0,339695.0,363675.0,374585.0,293115.0,282205.0
1987-05-29,628590.0,73245.0,12215.0,22875.0,252585.0,312555.0,348705.0,347645.0,279885.0,280945.0
1987-06-15,648735.0,82340.0,7270.0,24875.0,233055.0,342760.0,340270.0,374905.0,308465.0,273830.0
1987-06-30,593675.0,69540.0,14940.0,33985.0,255000.0,290135.0,358525.0,339060.0,235150.0,254615.0
1987-07-15,552070.0,39090.0,42810.0,17945.0,282985.0,226525.0,340020.0,287280.0,212050.0,264790.0
1987-07-31,586210.0,39560.0,48990.0,18210.0,310065.0,260300.0,367835.0,327500.0,218375.0,258710.0
1987-08-14,600605.0,26375.0,60705.0,17065.0,328525.0,232730.0,371965.0,310500.0,228640.0,290105.0
1987-08-31,568840.0,33335.0,33200.0,22760.0,282525.0,228140.0,338620.0,284100.0,230220.0,284740.0
1987-09-15,590010.0,61165.0,18910.0,24320.0,271445.0,288170.0,356930.0,331400.0,233080.0,258610.0
1987-09-30,629385.0,79230.0,15830.0,21405.0,286430.0,309170.0,387065.0,346405.0,242320.0,282980.0
1987-10-15,714945.0,91840.0,13330.0,36210.0,318055.0,370830.0,446105.0,420370.0,268840.0,294575.0
1987-10-30,679715.0,60225.0,15510.0,27500.0,347505.0,348805.0,435230.0,391815.0,244485.0,287900.0
1987-11-13,699045.0,57045.0,14445.0,32250.0,342110.0,352895.0,431405.0,399590.0,267640.0,299455.0
1987-11-30,672850.0,78050.0,14385.0,24835.0,314265.0,352840.0,417150.0,392060.0,255700.0,280790.0
1987-12-15,630685.0,64545.0,21160.0,23105.0,298270.0,305590.0,385920.0,349855.0,244765.0,280830.0
1987-12-31,638325.0,54700.0,26740.0,24960.0,311855.0,292735.0,391515.0,344435.0,246810.0,293890.0
1988-01-15,736045.0,86820.0,9705.0,26120.0,308525.0,394305.0,421465.0,430130.0,314580.0,305915.0
1988-01-29,734560.0,101210.0,15495.0,26830.0,316440.0,342290.0,444480.0,384615.0,290080.0,349945.0
1988-02-12,762085.0,119715.0,21325.0,22150.0,302935.0,359715.0,444800.0,403190.0,317285.0,358895.0
