Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,23620.0,3051.0,499.0,1085.0,6826.0,13690.0,10962.0,15274.0,12658.0,8346.0
1986-01-31,23326.0,2219.0,1754.0,2045.0,7996.0,10970.0,12260.0,14769.0,11066.0,8557.0
1986-02-14,20580.0,2007.0,953.0,1804.0,5893.0,10474.0,9704.0,13231.0,10876.0,7349.0
1986-02-28,20668.0,2908.0,976.0,1353.0,4971.0,11251.0,9232.0,13580.0,11436.0,7088.0
1986-03-14,21164.0,2600.0,1104.0,1303.0,5392.0,11240.0,9295.0,13647.0,11869.0,7517.0
1986-03-31,20112.0,2507.0,1121.0,753.0,4575.0,11030.0,7835.0,12904.0,12277.0,7208.0
1986-04-15,20607.0,1441.0,2101.0,928.0,7312.0,9727.0,9681.0,12756.0,10926.0,7851.0
1986-04-30,19732.0,1903.0,1498.0,408.0,5981.0,10237.0,8292.0,12143.0,11440.0,7589.0
1986-05-15,23051.0,2976.0,1767.0,736.0,6274.0,12893.0,9986.0,15396.0,13065.0,7655.0
1986-05-30,23702.0,2690.0,1685.0,1124.0,6700.0,12326.0,10514.0,15135.0,13188.0,8567.0
1986-06-13,23380.0,2271.0,1658.0,704.0,7424.0,11606.0,10399.0,13968.0,12981.0,9412.0
1986-06-30,22504.0,2746.0,2485.0,548.0,6794.0,10471.0,10088.0,13504.0,12416.0,9000.0
1986-07-15,21712.0,3005.0,2290.0,186.0,6628.0,11079.0,9819.0,13555.0,11893.0,8157.0
1986-07-31,25321.0,4215.0,1479.0,259.0,4841.0,16580.0,9315.0,18318.0,16006.0,7003.0
1986-08-15,26062.0,4829.0,1128.0,478.0,5046.0,18023.0,10353.0,19629.0,15709.0,6433.0
1986-08-29,27642.0,4457.0,1243.0,636.0,5755.0,19004.0,10848.0,20883.0,16794.0,6759.0
1986-09-15,27230.0,4141.0,1145.0,541.0,9362.0,19105.0,14044.0,20791.0,13186.0,6439.0
1986-09-30,23163.0,3536.0,1474.0,686.0,8632.0,15711.0,12854.0,17871.0,10309.0,5292.0
1986-10-15,24170.0,3103.0,1633.0,950.0,10025.0,14970.0,14078.0,17553.0,10092.0,6617.0
1986-10-31,24432.0,1858.0,1575.0,1293.0,12353.0,13969.0,15504.0,16837.0,8928.0,7595.0
1986-11-14,22038.0,1667.0,1208.0,983.0,9924.0,12776.0,12574.0,14967.0,9464.0,7071.0
1986-11-28,20365.0,2148.0,1184.0,632.0,9386.0,12531.0,12166.0,14347.0,8199.0,6018.0
1986-12-15,22811.0,3077.0,1668.0,357.0,10280.0,12953.0,13714.0,14978.0,9097.0,7833.0
1986-12-31,23035.0,2935.0,1362.0,673.0,9399.0,13992.0,13007.0,16027.0,10028.0,7008.0
1987-01-15,24189.0,2993.0,1548.0,782.0,10213.0,14758.0,13988.0,17088.0,10201.0,7101.0
1987-01-30,26077.0,1587.0,642.0,1001.0,11955.0,15509.0,14543.0,17152.0,11534.0,8925.0
1987-02-13,24887.0,1474.0,761.0,1019.0,11032.0,13089.0,13525.0,14869.0,11362.0,10018.0
1987-02-27,23111.0,691.0,1166.0,899.0,10663.0,11619.0,12253.0,13684.0,10858.0,9427.0
1987-03-13,21947.0,1139.0,1007.0,532.0,9130.0,11333.0,10801.0,12872.0,11146.0,9075.0
1987-03-31,23190.0,1996.0,784.0,813.0,8782.0,12489.0,11591.0,14086.0,11599.0,9104.0
1987-04-15,23462.0,2555.0,399.0,637.0,8901.0,13115.0,12093.0,14151.0,11369.0,9311.0
1987-04-30,25602.0,3128.0,377.0,910.0,8484.0,15607.0,12522.0,16894.0,13080.0,8708.0
1987-05-15,25549.0,4172.0,549.0,732.0,7548.0,15955.0,12452.0,17236.0,13097.0,8313.0
1987-05-29,27990.0,3569.0,1138.0,986.0,8530.0,17295.0,13085.0,19419.0,14905.0,8571.0
1987-06-15,29449.0,3368.0,830.0,1097.0,9881.0,19082.0,14346.0,21009.0,15103.0,8440.0
1987-06-30,28080.0,2792.0,849.0,1139.0,10962.0,17288.0,14893.0,19276.0,13187.0,8804.0
1987-07-15,31523.0,3862.0,723.0,1255.0,11070.0,20889.0,16187.0,22867.0,15336.0,8656.0
1987-07-31,35719.0,4639.0,889.0,1242.0,11706.0,23203.0,17587.0,25334.0,18132.0,10385.0
1987-08-14,36928.0,4661.0,904.0,1552.0,14238.0,23710.0,20451.0,26166.0,16477.0,10762.0
1987-08-31,39148.0,3103.0,750.0,1764.0,18181.0,25398.0,23048.0,27912.0,16100.0,11236.0
1987-09-15,39421.0,1286.0,1914.0,2190.0,21696.0,22662.0,25172.0,26766.0,14249.0,12655.0
1987-09-30,39725.0,812.0,1965.0,2142.0,23614.0,23606.0,26568.0,27713.0,13157.0,12012.0
1987-10-15,40449.0,806.0,2880.0,2333.0,24491.0,22951.0,27630.0,28164.0,12819.0,12285.0
1987-10-30,39750.0,415.0,2167.0,1412.0,26980.0,24531.0,28807.0,28110.0,10943.0,11640.0
1987-11-13,39744.0,378.0,1503.0,984.0,26050.0,25586.0,27412.0,28073.0,12332.0,11671.0
1987-11-30,33871.0,796.0,1471.0,1050.0,20779.0,20930.0,22625.0,23451.0,11246.0,10420.0
1987-12-15,34201.0,475.0,2535.0,741.0,22665.0,19158.0,23881.0,22434.0,10320.0,11767.0
1987-12-31,33204.0,946.0,1245.0,710.0,20884.0,20886.0,22540.0,22841.0,10664.0,10363.0
1988-01-15,34754.0,1122.0,2975.0,739.0,20615.0,19474.0,22476.0,23188.0,12278.0,11566.0
1988-01-29,38121.0,1419.0,4628.0,956.0,21145.0,17702.0,23520.0,23286.0,14601.0,14835.0
1988-02-12,36943.0,1428.0,4887.0,1396.0,21032.0,17442.0,23856.0,23725.0,13087.0,13218.0
1988-02-29,30834.0,1195.0,4675.0,1405.0,17332.0,13844.0,19932.0,19924.0,10902.0,10910.0
1988-03-15,30126.0,1290.0,3694.0,1328.0,15285.0,15165.0,17903.0,20187.0,12223.0,9939.0
1988-03-31,30164.0,1757.0,2903.0,879.0,15381.0,16765.0,18017.0,20547.0,12147.0,9617.0
1988-04-15,31124.0,1929.0,3425.0,1233.0,16101.0,15349.0,19263.0,20007.0,11861.0,11117.0
1988-04-29,26397.0,1664.0,2660.0,514.0,12762.0,13046.0,14940.0,16220.0,11457.0,10177.0
1988-05-13,29438.0,4597.0,2497.0,530.0,10012.0,16290.0,15139.0,19317.0,14299.0,10121.0
1988-05-31,32811.0,7983.0,2191.0,357.0,9325.0,20420.0,17665.0,22968.0,15146.0,9843.0
1988-06-15,33042.0,7786.0,845.0,279.0,10115.0,21901.0,18180.0,23025.0,14862.0,10017.0
1988-06-30,27969.0,4785.0,925.0,241.0,10559.0,18031.0,15585.0,19197.0,12384.0,8772.0
