Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,138244.0,7132.0,8558.0,6048.0,90216.0,86778.0,103396.0,101384.0,34848.0,36860.0
1986-01-31,145278.0,8301.0,7061.0,4711.0,97013.0,88390.0,110025.0,100162.0,35253.0,45116.0
1986-02-14,152879.0,7759.0,8570.0,3292.0,103601.0,93640.0,114652.0,105502.0,38227.0,47377.0
1986-02-28,155284.0,12732.0,6049.0,3846.0,99521.0,101860.0,116099.0,111755.0,39185.0,43529.0
1986-03-14,160011.0,18011.0,5678.0,3292.0,97719.0,104050.0,119022.0,113020.0,40989.0,46991.0
1986-03-31,142707.0,15754.0,4613.0,4821.0,86333.0,89035.0,106908.0,98469.0,35799.0,44238.0
1986-04-15,153508.0,15115.0,6684.0,6373.0,97661.0,99714.0,119149.0,112771.0,34359.0,40737.0
1986-04-30,164042.0,8434.0,8970.0,7721.0,108369.0,99161.0,124524.0,115852.0,39518.0,48190.0
1986-05-15,177615.0,8784.0,12143.0,10213.0,119379.0,104049.0,138376.0,126405.0,39239.0,51210.0
1986-05-30,173888.0,6169.0,10368.0,7277.0,121987.0,106994.0,135433.0,124639.0,38455.0,49249.0
1986-06-13,173038.0,6937.0,12902.0,5958.0,116798.0,109849.0,129693.0,128709.0,43345.0,44329.0
1986-06-30,155916.0,9499.0,3737.0,4217.0,84266.0,87921.0,97982.0,95875.0,57934.0,60041.0
1986-07-15,165106.0,15651.0,4069.0,4793.0,80280.0,92256.0,100724.0,101118.0,64382.0,63988.0
1986-07-31,171476.0,5526.0,4282.0,4880.0,100138.0,104312.0,110544.0,113474.0,60932.0,58002.0
1986-08-15,185797.0,13080.0,5670.0,5959.0,102930.0,116603.0,121969.0,128232.0,63828.0,57565.0
1986-08-29,203503.0,15661.0,10388.0,6612.0,112240.0,127258.0,134513.0,144258.0,68990.0,59245.0
1986-09-15,223814.0,8993.0,8788.0,9421.0,133811.0,143882.0,152225.0,162091.0,71589.0,61723.0
1986-09-30,216633.0,7728.0,8065.0,9168.0,132128.0,140580.0,149024.0,157813.0,67609.0,58820.0
1986-10-15,218250.0,9655.0,7353.0,9008.0,131375.0,142049.0,150038.0,158410.0,68212.0,59840.0
1986-10-31,227364.0,3482.0,6930.0,10205.0,135803.0,142679.0,149490.0,159814.0,77874.0,67550.0
1986-11-14,224797.0,2780.0,8026.0,10745.0,133409.0,136800.0,146934.0,155571.0,77863.0,69226.0
1986-11-28,234299.0,6763.0,7139.0,10740.0,137515.0,143306.0,155018.0,161185.0,79281.0,73114.0
1986-12-15,234868.0,5754.0,7038.0,9118.0,146078.0,142840.0,160950.0,158996.0,73918.0,75872.0
