Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,148186.0,18589.0,7706.0,12038.0,80962.0,89990.0,111589.0,109734.0,36597.0,38452.0
1986-01-31,144149.0,15364.0,9303.0,10088.0,82262.0,85250.0,107714.0,104641.0,36435.0,39508.0
1986-02-14,139995.0,5457.0,12229.0,10330.0,94830.0,76735.0,110617.0,99294.0,29378.0,40701.0
1986-02-28,143752.0,7991.0,12222.0,13205.0,94126.0,76200.0,115322.0,101627.0,28430.0,42125.0
1986-03-14,142868.0,12637.0,11015.0,11390.0,85925.0,78653.0,109952.0,101058.0,32916.0,41810.0
1986-03-31,136568.0,9817.0,11406.0,6002.0,88897.0,67171.0,104716.0,84579.0,31852.0,51989.0
1986-04-15,138825.0,6805.0,20416.0,3121.0,99640.0,67997.0,109566.0,91534.0,29259.0,47291.0
1986-04-30,132088.0,8159.0,10519.0,3987.0,88769.0,72810.0,100915.0,87316.0,31173.0,44772.0
1986-05-15,132147.0,4649.0,10375.0,7467.0,94944.0,71660.0,107060.0,89502.0,25087.0,42645.0
1986-05-30,115038.0,4982.0,13683.0,5535.0,78662.0,56902.0,89179.0,76120.0,25859.0,38918.0
1986-06-13,115960.0,11657.0,10839.0,5447.0,69558.0,66942.0,86662.0,83228.0,29298.0,32732.0
1986-06-30,120954.0,5361.0,13631.0,5988.0,88561.0,62551.0,99910.0,82170.0,21044.0,38784.0
1986-07-15,121925.0,6735.0,11983.0,5771.0,86078.0,67675.0,98584.0,85429.0,23341.0,36496.0
1986-07-31,125988.0,18617.0,9540.0,6294.0,69897.0,71940.0,94808.0,87774.0,31180.0,38214.0
1986-08-15,134903.0,23234.0,10589.0,7013.0,67333.0,82453.0,97580.0,100055.0,37323.0,34848.0
1986-08-29,136959.0,23229.0,10291.0,7561.0,69541.0,84510.0,100331.0,102362.0,36628.0,34597.0
1986-09-15,149809.0,24807.0,10423.0,12560.0,69388.0,95797.0,106755.0,118780.0,43054.0,31029.0
1986-09-30,136574.0,22421.0,7840.0,11149.0,57513.0,85239.0,91083.0,104228.0,45491.0,32346.0
1986-10-15,147411.0,21274.0,10239.0,9744.0,70584.0,89512.0,101602.0,109495.0,45809.0,37916.0
1986-10-31,146778.0,12673.0,9373.0,8897.0,79221.0,90456.0,100791.0,108726.0,45987.0,38052.0
1986-11-14,150800.0,15816.0,11905.0,6141.0,86136.0,94132.0,108093.0,112178.0,42707.0,38622.0
1986-11-28,131679.0,10148.0,8849.0,5360.0,79143.0,81278.0,94651.0,95487.0,37028.0,36192.0
1986-12-15,134005.0,13089.0,11027.0,6366.0,76757.0,80007.0,96212.0,97400.0,37793.0,36605.0
1986-12-31,140744.0,9405.0,8347.0,8187.0,81948.0,86647.0,99540.0,103181.0,41204.0,37563.0
1987-01-15,139318.0,14063.0,8147.0,6306.0,68344.0,87902.0,88713.0,102355.0,50605.0,36963.0
1987-01-30,130078.0,13453.0,9022.0,7277.0,62992.0,78194.0,83722.0,94493.0,46356.0,35585.0
1987-02-13,138130.0,7705.0,14024.0,6614.0,81749.0,77255.0,96068.0,97893.0,42062.0,40237.0
1987-02-27,140016.0,7349.0,12273.0,6910.0,81851.0,85616.0,96110.0,104799.0,43906.0,35217.0
1987-03-13,145109.0,10654.0,10265.0,7238.0,79189.0,87238.0,97081.0,104741.0,48028.0,40368.0
1987-03-31,156832.0,18464.0,10076.0,8573.0,74906.0,104113.0,101943.0,122762.0,54889.0,34070.0
1987-04-15,171395.0,27260.0,9006.0,9615.0,67566.0,111648.0,104441.0,130269.0,66954.0,41126.0
1987-04-30,175437.0,24684.0,12933.0,9593.0,64600.0,104305.0,98877.0,126831.0,76560.0,48606.0
1987-05-15,170819.0,32997.0,6294.0,11069.0,55854.0,126196.0,99920.0,143559.0,70899.0,27260.0
1987-05-29,150964.0,24267.0,8705.0,12531.0,56420.0,86818.0,93218.0,108054.0,57746.0,42910.0
1987-06-15,149219.0,20380.0,11899.0,14787.0,57458.0,83188.0,92625.0,109874.0,56594.0,39345.0
1987-06-30,146960.0,15476.0,11621.0,16824.0,63817.0,78120.0,96117.0,106565.0,50843.0,40395.0
1987-07-15,146076.0,16101.0,7483.0,14324.0,60840.0,85807.0,91265.0,107614.0,54811.0,38462.0
1987-07-31,150523.0,23945.0,6857.0,12929.0,60306.0,102966.0,97180.0,122752.0,53343.0,27771.0
1987-08-14,150693.0,18612.0,10402.0,13257.0,63626.0,95033.0,95495.0,118692.0,55198.0,32001.0
