Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1989-07-31,2353.0,0.0,0.0,0.0,408.0,416.0,408.0,416.0,1945.0,1937.0
1989-08-15,3115.0,0.0,0.0,0.0,673.0,1278.0,673.0,1278.0,2442.0,1837.0
1989-08-31,4518.0,0.0,0.0,0.0,1155.0,2402.0,1155.0,2402.0,3363.0,2116.0
1989-09-15,4894.0,0.0,0.0,0.0,1411.0,2744.0,1411.0,2744.0,3483.0,2150.0
1989-09-29,5831.0,0.0,0.0,0.0,1683.0,3565.0,1683.0,3565.0,4148.0,2266.0
1989-10-13,7547.0,0.0,200.0,0.0,2875.0,4814.0,2875.0,5014.0,4672.0,2533.0
1989-10-31,10359.0,110.0,352.0,0.0,4044.0,6436.0,4154.0,6788.0,6205.0,3571.0
1989-11-15,14450.0,141.0,249.0,175.0,6678.0,8457.0,6994.0,8881.0,7456.0,5569.0
1989-11-30,24921.0,799.0,6776.0,319.0,13820.0,9032.0,14938.0,16127.0,9983.0,8794.0
1989-12-15,30581.0,1224.0,7678.0,786.0,17815.0,10747.0,19825.0,19211.0,10756.0,11370.0
1989-12-29,29987.0,623.0,6989.0,906.0,18101.0,10949.0,19630.0,18844.0,10357.0,11143.0
1990-01-15,30973.0,1992.0,5804.0,772.0,16634.0,11805.0,19398.0,18381.0,11575.0,12592.0
1990-01-31,34757.0,980.0,9028.0,592.0,21396.0,11582.0,22968.0,21202.0,11789.0,13555.0
1990-02-15,32471.0,1740.0,5307.0,571.0,17870.0,13803.0,20181.0,19681.0,12290.0,12790.0
1990-02-28,33396.0,3665.0,5683.0,735.0,16235.0,16064.0,20635.0,22482.0,12761.0,10914.0
1990-03-15,35743.0,9687.0,5940.0,237.0,11511.0,18357.0,21435.0,24534.0,14308.0,11209.0
1990-03-30,32499.0,9014.0,2811.0,229.0,9544.0,18793.0,18787.0,21833.0,13712.0,10666.0
1990-04-12,35551.0,7752.0,4479.0,449.0,12733.0,18107.0,20934.0,23035.0,14617.0,12516.0
1990-04-30,32944.0,3661.0,4705.0,259.0,16261.0,15753.0,20181.0,20717.0,12763.0,12227.0
1990-05-15,32102.0,5982.0,1762.0,20.0,12430.0,19351.0,18432.0,21133.0,13670.0,10969.0
1990-05-31,31925.0,4752.0,4167.0,76.0,13198.0,15714.0,18026.0,19957.0,13899.0,11968.0
1990-06-15,29291.0,2917.0,4066.0,0.0,14276.0,13171.0,17193.0,17237.0,12098.0,12054.0
1990-06-29,32094.0,8651.0,3709.0,0.0,12679.0,17373.0,21330.0,21082.0,10764.0,11012.0
1990-07-13,33629.0,9321.0,1203.0,110.0,12443.0,19923.0,21874.0,21236.0,11755.0,12393.0
1990-07-31,30819.0,7754.0,1657.0,0.0,11135.0,17447.0,18889.0,19104.0,11930.0,11715.0
1990-08-15,31552.0,7507.0,2587.0,299.0,10470.0,16137.0,18276.0,19023.0,13276.0,12529.0
1990-08-31,32307.0,7407.0,1683.0,340.0,13539.0,17525.0,21286.0,19548.0,11021.0,12759.0
1990-09-14,32248.0,7032.0,2088.0,190.0,12735.0,19847.0,19957.0,22125.0,12291.0,10123.0
1990-09-28,32290.0,2908.0,4372.0,0.0,17141.0,16165.0,20049.0,20537.0,12241.0,11753.0
1990-10-15,36900.0,2423.0,5407.0,151.0,22280.0,17719.0,24854.0,23277.0,12046.0,13623.0
1990-10-31,36574.0,1862.0,4194.0,231.0,21469.0,19971.0,23562.0,24396.0,13012.0,12178.0
1990-11-15,34075.0,2275.0,3544.0,0.0,19178.0,17946.0,21453.0,21490.0,12622.0,12585.0
1990-11-30,36023.0,1621.0,6800.0,0.0,20702.0,16461.0,22323.0,23261.0,13700.0,12762.0
1990-12-14,38890.0,1457.0,10333.0,152.0,23512.0,14619.0,25121.0,25104.0,13769.0,13786.0
1990-12-31,35783.0,1887.0,5349.0,125.0,18525.0,16611.0,20537.0,22085.0,15246.0,13698.0
1991-01-15,33763.0,6456.0,3542.0,0.0,13290.0,17782.0,19746.0,21324.0,14017.0,12439.0
1991-01-31,37656.0,673.0,7704.0,275.0,22596.0,15414.0,23544.0,23393.0,14112.0,14263.0
1991-02-15,35056.0,972.0,6598.0,126.0,20078.0,15676.0,21176.0,22400.0,13880.0,12656.0
1991-02-28,34753.0,2228.0,5449.0,413.0,17263.0,17133.0,19904.0,22995.0,14849.0,11758.0
1991-03-15,34380.0,1914.0,5841.0,225.0,16793.0,15767.0,18932.0,21833.0,15448.0,12547.0
1991-03-28,33839.0,1820.0,6848.0,718.0,16118.0,13928.0,18656.0,21494.0,15183.0,12345.0
1991-04-15,32514.0,2135.0,5727.0,0.0,14404.0,15585.0,16539.0,21312.0,15975.0,11202.0
1991-04-30,36736.0,3100.0,9329.0,0.0,20489.0,14866.0,23589.0,24195.0,13147.0,12541.0
1991-05-15,45429.0,1192.0,14257.0,675.0,28021.0,14295.0,29888.0,29227.0,15541.0,16202.0
1991-05-31,45616.0,766.0,13648.0,669.0,28716.0,14546.0,30151.0,28863.0,15465.0,16753.0
1991-06-14,40365.0,583.0,8431.0,478.0,23307.0,16128.0,24368.0,25037.0,15997.0,15328.0
