Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,28396.0,1467.0,4795.0,307.0,16495.0,12759.0,18269.0,17861.0,10127.0,10535.0
1986-01-31,29066.0,1749.0,4179.0,164.0,18560.0,15580.0,20473.0,19923.0,8593.0,9143.0
1986-02-14,28673.0,1629.0,4257.0,600.0,18335.0,15583.0,20564.0,20440.0,8109.0,8233.0
1986-02-28,31685.0,2469.0,4994.0,540.0,18800.0,15960.0,21809.0,21494.0,9876.0,10191.0
1986-03-14,32626.0,2465.0,5199.0,729.0,19500.0,16865.0,22694.0,22793.0,9932.0,9833.0
1986-03-31,33377.0,1687.0,5794.0,892.0,21217.0,17963.0,23796.0,24649.0,9581.0,8728.0
1986-04-15,32757.0,1962.0,4655.0,1284.0,20140.0,18542.0,23386.0,24481.0,9371.0,8276.0
1986-04-30,33760.0,4166.0,4691.0,1668.0,18489.0,18472.0,24323.0,24831.0,9437.0,8929.0
1986-05-15,38383.0,5265.0,4256.0,2926.0,18185.0,24318.0,26376.0,31500.0,12007.0,6883.0
1986-05-30,40977.0,4584.0,6782.0,4723.0,18726.0,21142.0,28033.0,32647.0,12944.0,8330.0
1986-06-13,49435.0,2982.0,8065.0,5640.0,26856.0,26559.0,35478.0,40264.0,13957.0,9171.0
1986-06-30,55945.0,3534.0,6758.0,2482.0,21278.0,26132.0,27294.0,35372.0,28651.0,20573.0
1986-07-15,62641.0,2064.0,5952.0,2832.0,25282.0,29462.0,30178.0,38246.0,32463.0,24395.0
1986-07-31,67625.0,5597.0,4816.0,3675.0,26834.0,36411.0,36106.0,44902.0,31519.0,22723.0
1986-08-15,65954.0,7382.0,1938.0,2252.0,22944.0,41638.0,32578.0,45828.0,33376.0,20126.0
1986-08-29,64450.0,5696.0,1411.0,1790.0,25720.0,44191.0,33206.0,47392.0,31244.0,17058.0
1986-09-15,74046.0,3590.0,2304.0,1281.0,33266.0,46320.0,38137.0,49905.0,35909.0,24141.0
1986-09-30,74104.0,4769.0,2102.0,1408.0,35948.0,49328.0,42125.0,52838.0,31979.0,21266.0
1986-10-15,79847.0,9444.0,3027.0,189.0,41018.0,53346.0,50651.0,56562.0,29196.0,23285.0
1986-10-31,82224.0,8650.0,2897.0,154.0,44363.0,55401.0,53167.0,58452.0,29057.0,23772.0
1986-11-14,77005.0,8226.0,1676.0,170.0,36008.0,58038.0,44404.0,59884.0,32601.0,17121.0
1986-11-28,70196.0,7362.0,1608.0,876.0,33534.0,51005.0,41772.0,53489.0,28424.0,16707.0
1986-12-15,74326.0,8898.0,2181.0,321.0,33090.0,55806.0,42309.0,58308.0,32017.0,16018.0
1986-12-31,72564.0,7536.0,2049.0,1461.0,28440.0,50515.0,37437.0,54025.0,35127.0,18539.0
1987-01-15,66114.0,8595.0,1219.0,680.0,25237.0,46442.0,34512.0,48341.0,31602.0,17773.0
1987-01-30,64374.0,6467.0,1119.0,413.0,30275.0,43741.0,37155.0,45273.0,27219.0,19101.0
1987-02-13,60294.0,4639.0,676.0,1158.0,30368.0,42283.0,36165.0,44117.0,24129.0,16177.0
1987-02-27,53307.0,2314.0,3588.0,1112.0,27055.0,28176.0,30481.0,32876.0,22826.0,20431.0
1987-03-13,46835.0,1296.0,3342.0,1202.0,22259.0,26312.0,24757.0,30856.0,22078.0,15979.0
1987-03-31,46624.0,3799.0,4352.0,1653.0,21423.0,26734.0,26875.0,32739.0,19749.0,13885.0
1987-04-15,45254.0,3477.0,4113.0,1102.0,21663.0,22385.0,26242.0,27600.0,19012.0,17654.0
1987-04-30,42902.0,2855.0,732.0,507.0,17966.0,24398.0,21328.0,25637.0,21574.0,17265.0
1987-05-15,40959.0,4085.0,2125.0,244.0,13455.0,23338.0,17784.0,25707.0,23175.0,15252.0
1987-05-29,41538.0,3326.0,1328.0,447.0,16595.0,23303.0,20368.0,25078.0,21170.0,16460.0
1987-06-15,44107.0,4306.0,1368.0,517.0,17389.0,24197.0,22212.0,26082.0,21895.0,18025.0
1987-06-30,49470.0,4712.0,1504.0,1261.0,18548.0,26351.0,24521.0,29116.0,24949.0,20354.0
1987-07-15,55325.0,6756.0,2669.0,1076.0,18122.0,27742.0,25954.0,31487.0,29371.0,23838.0
1987-07-31,49208.0,2638.0,3436.0,863.0,21981.0,26524.0,25482.0,30823.0,23726.0,18385.0
1987-08-14,52656.0,2229.0,3153.0,1728.0,23466.0,28929.0,27423.0,33810.0,25233.0,18846.0
1987-08-31,64636.0,3107.0,6056.0,1923.0,33027.0,29830.0,38057.0,37809.0,26579.0,26827.0
1987-09-15,66424.0,3011.0,6311.0,2029.0,37693.0,31699.0,42733.0,40039.0,23691.0,26385.0
1987-09-30,65904.0,3038.0,3189.0,1376.0,33903.0,35323.0,38317.0,39888.0,27587.0,26016.0
1987-10-15,69742.0,8425.0,4980.0,942.0,28975.0,40692.0,38342.0,46614.0,31400.0,23128.0
1987-10-30,70432.0,3413.0,3918.0,1382.0,39413.0,43808.0,44208.0,49108.0,26224.0,21324.0
1987-11-13,72993.0,4033.0,4651.0,1409.0,40959.0,41874.0,46401.0,47934.0,26592.0,25059.0
1987-11-30,73856.0,6828.0,5787.0,648.0,41695.0,43485.0,49171.0,49920.0,24685.0,23936.0
1987-12-15,78476.0,4575.0,7587.0,1654.0,42942.0,39146.0,49171.0,48387.0,29305.0,30089.0
1987-12-31,63427.0,2562.0,7786.0,942.0,35359.0,34208.0,38863.0,42936.0,24564.0,20491.0
1988-01-15,55203.0,1864.0,5316.0,448.0,31005.0,29046.0,33317.0,34810.0,21886.0,20393.0
1988-01-29,55138.0,1109.0,6695.0,1084.0,30544.0,24968.0,32737.0,32747.0,22401.0,22391.0
1988-02-12,53325.0,1053.0,3967.0,642.0,28996.0,26154.0,30691.0,30763.0,22634.0,22562.0
1988-02-29,48366.0,1304.0,8650.0,484.0,23890.0,15140.0,25678.0,24274.0,22688.0,24092.0
1988-03-15,51768.0,514.0,7055.0,226.0,29941.0,22111.0,30681.0,29392.0,21087.0,22376.0
1988-03-31,44201.0,1273.0,3842.0,585.0,22009.0,23532.0,23867.0,27959.0,20334.0,16242.0
1988-04-15,44560.0,4313.0,1415.0,927.0,17955.0,24713.0,23195.0,27055.0,21365.0,17505.0
1988-04-29,46143.0,4206.0,2003.0,658.0,19461.0,26813.0,24325.0,29474.0,21818.0,16669.0
1988-05-13,49194.0,3446.0,1117.0,1000.0,21110.0,31340.0,25556.0,33457.0,23638.0,15737.0
1988-05-31,52477.0,3733.0,547.0,1280.0,24135.0,33461.0,29148.0,35288.0,23329.0,17189.0
1988-06-15,55929.0,3529.0,4164.0,969.0,27539.0,28751.0,32037.0,33884.0,23892.0,22045.0
1988-06-30,74926.0,2998.0,6785.0,2499.0,41798.0,40517.0,47295.0,49801.0,27631.0,25125.0
1988-07-15,79416.0,3077.0,6396.0,3410.0,46677.0,49000.0,53164.0,58806.0,26252.0,20610.0
1988-07-29,72297.0,3941.0,3924.0,2853.0,37298.0,48135.0,44092.0,54912.0,28205.0,17385.0
1988-08-15,75948.0,3425.0,5476.0,2093.0,39701.0,49282.0,45219.0,56851.0,30729.0,19097.0
1988-08-31,84564.0,2742.0,7920.0,2192.0,45854.0,52701.0,50788.0,62813.0,33776.0,21751.0
1988-09-15,88454.0,3243.0,7097.0,1808.0,46027.0,53559.0,51078.0,62464.0,37376.0,25990.0
1988-09-30,88956.0,3648.0,9711.0,2556.0,45434.0,51293.0,51638.0,63560.0,37318.0,25396.0
1988-10-14,93648.0,4136.0,6493.0,3280.0,45601.0,56217.0,53017.0,65990.0,40631.0,27658.0
1988-10-31,91567.0,8250.0,5339.0,7102.0,44547.0,61306.0,59899.0,73747.0,31668.0,17820.0
1988-11-15,85110.0,7078.0,5662.0,5608.0,38514.0,54411.0,51200.0,65681.0,33910.0,19429.0
1988-11-30,82868.0,5433.0,5081.0,6984.0,41985.0,51861.0,54402.0,63926.0,28466.0,18942.0
1988-12-15,81177.0,7108.0,1429.0,3802.0,39297.0,55130.0,50207.0,60361.0,30970.0,20816.0
1988-12-30,74797.0,6288.0,3415.0,4369.0,40518.0,51164.0,51175.0,58948.0,23622.0,15849.0
1989-01-13,77259.0,6536.0,5558.0,5534.0,38859.0,46921.0,50929.0,58013.0,26330.0,19246.0
1989-01-31,66675.0,3364.0,2149.0,3129.0,36898.0,40745.0,43391.0,46023.0,23284.0,20652.0
1989-02-15,60580.0,3838.0,2990.0,2581.0,34222.0,33003.0,40641.0,38574.0,19939.0,22006.0
1989-02-28,58929.0,6822.0,865.0,2503.0,28045.0,39234.0,37370.0,42602.0,21559.0,16327.0
1989-03-15,63413.0,8768.0,1071.0,1242.0,28163.0,43807.0,38173.0,46120.0,25240.0,17293.0
1989-03-31,55343.0,8777.0,2978.0,1881.0,22745.0,32778.0,33403.0,37637.0,21940.0,17706.0
1989-04-14,58729.0,8563.0,5690.0,1698.0,26119.0,33111.0,36380.0,40499.0,22349.0,18230.0
1989-04-28,53995.0,4151.0,5825.0,1266.0,28763.0,28917.0,34180.0,36008.0,19815.0,17987.0
1989-05-15,50671.0,2581.0,5444.0,578.0,28574.0,24158.0,31733.0,30180.0,18938.0,20491.0
1989-05-31,41877.0,1305.0,3884.0,182.0,22769.0,20270.0,24256.0,24336.0,17621.0,17541.0
1989-06-15,51643.0,1910.0,7125.0,642.0,28406.0,23717.0,30958.0,31484.0,20685.0,20159.0
1989-06-30,52933.0,3422.0,4710.0,646.0,30564.0,31444.0,34632.0,36800.0,18301.0,16133.0
1989-07-14,59286.0,2469.0,5346.0,982.0,34505.0,35043.0,37956.0,41371.0,21330.0,17915.0
1989-07-31,62392.0,2718.0,4771.0,1005.0,36331.0,37043.0,40054.0,42819.0,22338.0,19573.0
1989-08-15,69777.0,3824.0,3950.0,1473.0,40936.0,42417.0,46233.0,47840.0,23544.0,21937.0
1989-08-31,82474.0,12733.0,961.0,1252.0,35841.0,55148.0,49826.0,57361.0,32648.0,25113.0
1989-09-15,87185.0,17000.0,1810.0,1525.0,34848.0,56611.0,53373.0,59946.0,33812.0,27239.0
1989-09-29,92077.0,21983.0,585.0,308.0,36543.0,67368.0,58834.0,68261.0,33243.0,23816.0
1989-10-13,99639.0,22131.0,1113.0,2329.0,41219.0,70313.0,65679.0,73755.0,33960.0,25884.0
1989-10-31,91209.0,16916.0,2835.0,2485.0,46377.0,61038.0,65778.0,66358.0,25431.0,24851.0
1989-11-15,96717.0,15181.0,2930.0,3488.0,49834.0,63944.0,68503.0,70362.0,28214.0,26355.0
1989-11-30,102093.0,15728.0,1387.0,3327.0,49998.0,71093.0,69053.0,75807.0,33040.0,26286.0
1989-12-15,108945.0,18988.0,2931.0,4085.0,50385.0,70755.0,73458.0,77771.0,35487.0,31174.0
1989-12-29,97947.0,13330.0,3859.0,4846.0,52092.0,61737.0,70268.0,70442.0,27679.0,27505.0
1990-01-15,85186.0,7006.0,4023.0,3756.0,46587.0,51538.0,57349.0,59317.0,27837.0,25869.0
1990-01-31,71830.0,4563.0,3633.0,2295.0,42587.0,43222.0,49445.0,49150.0,22385.0,22680.0
1990-02-15,68210.0,4862.0,2664.0,1341.0,35943.0,38840.0,42146.0,42845.0,26064.0,25365.0
1990-02-28,63138.0,6032.0,4195.0,937.0,34027.0,36368.0,40996.0,41500.0,22142.0,21638.0
1990-03-15,69089.0,1203.0,6660.0,2937.0,42135.0,33330.0,46275.0,42927.0,22814.0,26162.0
1990-03-30,65728.0,2395.0,5551.0,2798.0,41164.0,32880.0,46357.0,41229.0,19371.0,24499.0
1990-04-12,79522.0,1728.0,4288.0,5380.0,48124.0,42582.0,55232.0,52250.0,24290.0,27272.0
1990-04-30,80657.0,2705.0,5264.0,3876.0,51289.0,45594.0,57870.0,54734.0,22787.0,25923.0
1990-05-15,81496.0,2180.0,4189.0,3172.0,52425.0,49534.0,57777.0,56895.0,23719.0,24601.0
1990-05-31,91981.0,3467.0,5506.0,2726.0,60858.0,58258.0,67051.0,66490.0,24930.0,25491.0
1990-06-15,115894.0,5655.0,10727.0,4525.0,69059.0,70124.0,79239.0,85376.0,36655.0,30518.0
1990-06-29,112062.0,7416.0,9737.0,3209.0,65156.0,70155.0,75781.0,83101.0,36281.0,28961.0
1990-07-13,121771.0,8994.0,3796.0,4976.0,64162.0,82580.0,78132.0,91352.0,43639.0,30419.0
1990-07-31,111743.0,15924.0,2162.0,4311.0,56994.0,81539.0,77229.0,88012.0,34514.0,23731.0
1990-08-15,98701.0,4930.0,1237.0,4107.0,55629.0,66375.0,64666.0,71719.0,34035.0,26982.0
1990-08-31,99959.0,1789.0,2296.0,7662.0,59185.0,64122.0,68636.0,74080.0,31323.0,25879.0
1990-09-14,99623.0,2111.0,2227.0,7753.0,59394.0,63385.0,69258.0,73365.0,30365.0,26258.0
1990-09-28,93193.0,3226.0,2200.0,3268.0,58190.0,66697.0,64684.0,72165.0,28509.0,21028.0
1990-10-15,93548.0,4356.0,3041.0,4888.0,56040.0,63041.0,65284.0,70970.0,28264.0,22578.0
1990-10-31,95521.0,1992.0,3950.0,7149.0,59291.0,58952.0,68432.0,70051.0,27089.0,25470.0
1990-11-15,90919.0,2233.0,3881.0,6813.0,59185.0,58271.0,68231.0,68965.0,22688.0,21954.0
1990-11-30,89406.0,3716.0,1932.0,6966.0,55416.0,55216.0,66098.0,64114.0,23308.0,25292.0
1990-12-14,82271.0,1576.0,2894.0,6040.0,52213.0,49549.0,59829.0,58483.0,22442.0,23788.0
1990-12-31,72444.0,227.0,5144.0,4776.0,46603.0,41776.0,51606.0,51696.0,20838.0,20748.0
1991-01-15,76965.0,1559.0,4577.0,2663.0,50144.0,47400.0,54366.0,54640.0,22599.0,22325.0
1991-01-31,74368.0,1332.0,4565.0,2640.0,48583.0,46091.0,52555.0,53296.0,21813.0,21072.0
1991-02-15,85822.0,1074.0,4139.0,3322.0,55443.0,54569.0,59839.0,62030.0,25983.0,23792.0
