Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,23231.0,7668.0,715.0,90.0,5234.0,18333.0,12992.0,19138.0,10239.0,4093.0
1986-01-31,31732.0,14509.0,1331.0,395.0,2761.0,25823.0,17665.0,27549.0,14067.0,4183.0
1986-02-14,34452.0,12512.0,2195.0,2761.0,7023.0,22202.0,22296.0,27158.0,12156.0,7294.0
1986-02-28,33792.0,11829.0,1748.0,1949.0,9005.0,24763.0,22783.0,28460.0,11009.0,5332.0
1986-03-14,47322.0,18786.0,4165.0,682.0,12908.0,38335.0,32376.0,43182.0,14946.0,4140.0
1986-03-31,31305.0,16358.0,1689.0,220.0,2650.0,24181.0,19228.0,26090.0,12077.0,5215.0
1986-04-15,28691.0,10584.0,4091.0,234.0,5260.0,19419.0,16078.0,23744.0,12613.0,4947.0
1986-04-30,38348.0,20589.0,2598.0,1135.0,3021.0,28915.0,24745.0,32648.0,13603.0,5700.0
1986-05-15,41423.0,21080.0,9829.0,473.0,3951.0,24218.0,25504.0,34520.0,15919.0,6903.0
1986-05-30,38363.0,18757.0,4426.0,735.0,6977.0,22991.0,26469.0,28152.0,11894.0,10211.0
1986-06-13,44257.0,11445.0,1731.0,807.0,21763.0,39077.0,34015.0,41615.0,10242.0,2642.0
1986-06-30,37443.0,19761.0,209.0,0.0,1342.0,31292.0,21103.0,31501.0,16340.0,5942.0
1986-07-15,55806.0,25150.0,0.0,4.0,8391.0,47688.0,33545.0,47692.0,22261.0,8114.0
1986-07-31,47528.0,18089.0,1073.0,0.0,10232.0,38402.0,28321.0,39475.0,19207.0,8053.0
1986-08-15,42796.0,12356.0,4840.0,407.0,15238.0,24532.0,28001.0,29779.0,14795.0,13017.0
1986-08-29,49571.0,4774.0,12165.0,323.0,29260.0,21788.0,34357.0,34276.0,15214.0,15295.0
1986-09-15,46360.0,3054.0,11634.0,554.0,32194.0,18734.0,35802.0,30922.0,10558.0,15438.0
1986-09-30,30463.0,7607.0,1470.0,270.0,8279.0,20688.0,16156.0,22428.0,14307.0,8035.0
1986-10-15,32044.0,5164.0,2153.0,388.0,12210.0,20756.0,17762.0,23297.0,14282.0,8747.0
1986-10-31,43062.0,2164.0,11814.0,308.0,28966.0,14400.0,31438.0,26522.0,11624.0,16540.0
1986-11-14,40547.0,2621.0,8997.0,375.0,24945.0,17709.0,27941.0,27081.0,12606.0,13466.0
1986-11-28,41052.0,3366.0,9269.0,324.0,24090.0,18622.0,27780.0,28215.0,13272.0,12837.0
1986-12-15,37066.0,2914.0,8047.0,0.0,25684.0,13389.0,28598.0,21436.0,8468.0,15630.0
1986-12-31,23172.0,5398.0,1606.0,267.0,6393.0,14390.0,12058.0,16263.0,11114.0,6909.0
1987-01-15,33067.0,10555.0,1291.0,0.0,7143.0,25685.0,17698.0,26976.0,15369.0,6091.0
1987-01-30,32164.0,6749.0,1285.0,0.0,11537.0,19777.0,18286.0,21062.0,13878.0,11102.0
1987-02-13,30292.0,9220.0,2250.0,0.0,8902.0,19576.0,18122.0,21826.0,12170.0,8466.0
1987-02-27,31988.0,9321.0,1777.0,800.0,8991.0,20906.0,19112.0,23483.0,12876.0,8505.0
1987-03-13,37276.0,9687.0,2179.0,400.0,13648.0,26997.0,23735.0,29576.0,13541.0,7700.0
1987-03-31,43282.0,18352.0,2427.0,530.0,7055.0,31980.0,25937.0,34937.0,17345.0,8345.0
1987-04-15,46438.0,18351.0,2078.0,760.0,9677.0,32702.0,28788.0,35540.0,17650.0,10898.0
