Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,13345.0,1163.0,427.0,185.0,4765.0,9050.0,6113.0,9662.0,7232.0,3683.0
1986-01-31,13062.0,1229.0,651.0,362.0,6177.0,9706.0,7768.0,10719.0,5294.0,2343.0
1986-02-14,14074.0,1778.0,920.0,367.0,6509.0,9977.0,8654.0,11264.0,5420.0,2810.0
1986-02-28,15758.0,2764.0,446.0,221.0,7209.0,11686.0,10194.0,12353.0,5564.0,3405.0
1986-03-14,15891.0,3716.0,473.0,262.0,7335.0,12466.0,11313.0,13201.0,4578.0,2690.0
1986-03-31,15611.0,2267.0,688.0,304.0,8207.0,11640.0,10778.0,12632.0,4833.0,2979.0
1986-04-15,16170.0,1394.0,1129.0,618.0,10394.0,11865.0,12406.0,13612.0,3764.0,2558.0
1986-04-30,16285.0,1949.0,837.0,533.0,9533.0,11782.0,12015.0,13152.0,4270.0,3133.0
1986-05-15,16725.0,858.0,1232.0,692.0,10458.0,11585.0,12008.0,13509.0,4717.0,3216.0
1986-05-30,16765.0,924.0,1134.0,619.0,11450.0,11978.0,12993.0,13731.0,3772.0,3034.0
1986-06-13,15327.0,1006.0,1099.0,296.0,9635.0,10859.0,10937.0,12254.0,4390.0,3073.0
1986-06-30,15492.0,913.0,1370.0,84.0,9715.0,11409.0,10712.0,12863.0,4780.0,2629.0
1986-07-15,15965.0,1451.0,1024.0,491.0,11308.0,10602.0,13250.0,12117.0,2715.0,3848.0
1986-07-31,17011.0,1611.0,766.0,652.0,9972.0,13031.0,12235.0,14449.0,4776.0,2562.0
1986-08-15,16985.0,1601.0,1234.0,838.0,11219.0,13421.0,13658.0,15493.0,3327.0,1492.0
1986-08-29,15908.0,3513.0,344.0,854.0,6736.0,12815.0,11103.0,14013.0,4805.0,1895.0
1986-09-15,16270.0,4390.0,382.0,454.0,7150.0,13259.0,11994.0,14095.0,4276.0,2175.0
1986-09-30,19171.0,4470.0,477.0,864.0,8463.0,14872.0,13797.0,16213.0,5374.0,2958.0
1986-10-15,18067.0,3680.0,1125.0,495.0,9968.0,12876.0,14143.0,14496.0,3924.0,3571.0
1986-10-31,18769.0,3359.0,1475.0,534.0,10067.0,14150.0,13960.0,16159.0,4809.0,2610.0
1986-11-14,16188.0,2548.0,1565.0,705.0,9191.0,12284.0,12444.0,14554.0,3744.0,1634.0
1986-11-28,15081.0,1736.0,1480.0,806.0,8226.0,10654.0,10768.0,12940.0,4313.0,2141.0
1986-12-15,14234.0,1548.0,1819.0,448.0,8219.0,9327.0,10215.0,11594.0,4019.0,2640.0
1986-12-31,14928.0,1732.0,1680.0,445.0,9095.0,11069.0,11272.0,13194.0,3656.0,1734.0
1987-01-15,15210.0,1778.0,1360.0,525.0,7559.0,11344.0,9862.0,13229.0,5348.0,1981.0
1987-01-30,15679.0,1872.0,1044.0,374.0,7463.0,11310.0,9709.0,12728.0,5970.0,2951.0
1987-02-13,15244.0,1894.0,1120.0,598.0,6172.0,10906.0,8664.0,12624.0,6580.0,2620.0
1987-02-27,16881.0,1757.0,1058.0,379.0,8226.0,12385.0,10362.0,13822.0,6519.0,3059.0
1987-03-13,16959.0,1755.0,1799.0,813.0,7097.0,11283.0,9665.0,13895.0,7294.0,3064.0
1987-03-31,18811.0,2189.0,1281.0,990.0,7807.0,12944.0,10986.0,15215.0,7825.0,3596.0
1987-04-15,20721.0,2739.0,555.0,847.0,8498.0,15602.0,12084.0,17004.0,8637.0,3717.0
1987-04-30,21898.0,4516.0,206.0,897.0,9250.0,16492.0,14663.0,17595.0,7235.0,4303.0
1987-05-15,22438.0,4983.0,395.0,808.0,7915.0,17678.0,13706.0,18881.0,8732.0,3557.0
1987-05-29,22110.0,4603.0,376.0,748.0,8462.0,17245.0,13813.0,18369.0,8297.0,3741.0
1987-06-15,21243.0,3064.0,845.0,1063.0,8161.0,15498.0,12288.0,17406.0,8955.0,3837.0
1987-06-30,21326.0,3335.0,1104.0,1085.0,8652.0,15946.0,13072.0,18135.0,8254.0,3191.0
1987-07-15,22919.0,3710.0,1230.0,811.0,10124.0,18017.0,14645.0,20058.0,8274.0,2861.0
1987-07-31,22936.0,3378.0,1081.0,897.0,9969.0,18114.0,14244.0,20092.0,8692.0,2844.0
1987-08-14,22956.0,4062.0,704.0,392.0,10058.0,19022.0,14512.0,20118.0,8444.0,2838.0
1987-08-31,25480.0,6137.0,601.0,606.0,7087.0,19463.0,13830.0,20670.0,11650.0,4810.0
1987-09-15,26091.0,7186.0,331.0,1186.0,6826.0,19636.0,15198.0,21153.0,10893.0,4938.0
1987-09-30,25910.0,5466.0,572.0,1337.0,8079.0,18617.0,14882.0,20526.0,11028.0,5384.0
1987-10-15,27294.0,6578.0,871.0,817.0,10089.0,21206.0,17484.0,22894.0,9810.0,4400.0
1987-10-30,24179.0,3807.0,856.0,818.0,10951.0,17016.0,15576.0,18690.0,8603.0,5489.0
1987-11-13,22698.0,3641.0,551.0,1165.0,9690.0,16472.0,14496.0,18188.0,8202.0,4510.0
1987-11-30,21491.0,4479.0,549.0,958.0,8681.0,15813.0,14118.0,17320.0,7373.0,4171.0
1987-12-15,20502.0,3512.0,863.0,1085.0,9666.0,14786.0,14263.0,16734.0,6239.0,3768.0
1987-12-31,21921.0,3615.0,1163.0,1075.0,11431.0,16040.0,16121.0,18278.0,5800.0,3643.0
1988-01-15,22595.0,3110.0,1434.0,1045.0,12370.0,15909.0,16525.0,18388.0,6070.0,4207.0
1988-01-29,22724.0,4213.0,599.0,816.0,9870.0,16961.0,14899.0,18376.0,7825.0,4348.0
1988-02-12,27181.0,6917.0,689.0,1143.0,10911.0,21269.0,18971.0,23101.0,8210.0,4080.0
1988-02-29,26352.0,6484.0,1018.0,1265.0,12062.0,20066.0,19811.0,22349.0,6541.0,4003.0
1988-03-15,24858.0,4194.0,761.0,1385.0,13119.0,19293.0,18698.0,21439.0,6160.0,3419.0
1988-03-31,23017.0,3020.0,1134.0,844.0,13382.0,17967.0,17246.0,19945.0,5771.0,3072.0
1988-04-15,20981.0,3348.0,707.0,567.0,11281.0,17423.0,15196.0,18697.0,5785.0,2284.0
1988-04-29,20830.0,2469.0,3250.0,561.0,13076.0,13885.0,16106.0,17696.0,4724.0,3134.0
1988-05-13,21098.0,3116.0,2232.0,354.0,13081.0,15930.0,16551.0,18516.0,4547.0,2582.0
1988-05-31,23901.0,4122.0,2803.0,724.0,13958.0,18090.0,18804.0,21617.0,5097.0,2284.0
1988-06-15,25626.0,7477.0,509.0,592.0,9262.0,20767.0,17331.0,21868.0,8295.0,3758.0
1988-06-30,20655.0,4774.0,1463.0,253.0,10267.0,15824.0,15294.0,17540.0,5361.0,3115.0
1988-07-15,21064.0,4557.0,895.0,254.0,10649.0,16784.0,15460.0,17933.0,5604.0,3131.0
1988-07-29,22636.0,3575.0,1744.0,364.0,13776.0,17263.0,17715.0,19371.0,4921.0,3265.0
1988-08-15,25193.0,2625.0,2141.0,381.0,16906.0,18317.0,19912.0,20839.0,5281.0,4354.0
1988-08-31,23080.0,2502.0,1746.0,697.0,16065.0,18260.0,19264.0,20703.0,3816.0,2377.0
1988-09-15,21700.0,2935.0,833.0,299.0,13954.0,18052.0,17188.0,19184.0,4512.0,2516.0
