Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,4935.0,187.0,843.0,152.0,1465.0,1522.0,1804.0,2517.0,3131.0,2418.0
1986-01-31,5783.0,222.0,1270.0,182.0,1495.0,1507.0,1899.0,2959.0,3884.0,2824.0
1986-02-14,5935.0,492.0,1383.0,450.0,1499.0,2022.0,2441.0,3855.0,3494.0,2080.0
1986-02-28,6936.0,1251.0,123.0,358.0,828.0,3318.0,2437.0,3799.0,4499.0,3137.0
1986-03-14,8946.0,1909.0,244.0,839.0,1144.0,4467.0,3892.0,5550.0,5054.0,3396.0
1986-03-31,9571.0,1559.0,122.0,1033.0,1273.0,4761.0,3865.0,5916.0,5706.0,3655.0
1986-04-15,9107.0,1107.0,185.0,851.0,1433.0,3924.0,3391.0,4960.0,5716.0,4147.0
1986-04-30,9471.0,1236.0,419.0,877.0,1581.0,4492.0,3694.0,5788.0,5777.0,3683.0
1986-05-15,8555.0,1744.0,137.0,643.0,1010.0,4581.0,3397.0,5361.0,5158.0,3194.0
1986-05-30,6342.0,555.0,298.0,300.0,976.0,2782.0,1831.0,3380.0,4511.0,2962.0
1986-06-13,6047.0,399.0,816.0,169.0,1397.0,2603.0,1965.0,3588.0,4082.0,2459.0
1986-06-30,5519.0,473.0,405.0,234.0,1445.0,2706.0,2152.0,3345.0,3367.0,2174.0
1986-07-15,5293.0,570.0,620.0,235.0,1381.0,2407.0,2186.0,3262.0,3107.0,2031.0
1986-07-31,5039.0,295.0,919.0,260.0,1312.0,1549.0,1867.0,2728.0,3172.0,2311.0
1986-08-15,4826.0,433.0,522.0,73.0,1283.0,1691.0,1789.0,2286.0,3037.0,2540.0
1986-08-29,6356.0,1219.0,313.0,68.0,1175.0,2649.0,2462.0,3030.0,3894.0,3326.0
1986-09-15,5685.0,1464.0,209.0,65.0,814.0,2753.0,2343.0,3027.0,3342.0,2658.0
1986-09-30,4784.0,640.0,325.0,56.0,1168.0,1973.0,1864.0,2354.0,2920.0,2430.0
1986-10-15,5131.0,1086.0,207.0,78.0,1036.0,2425.0,2200.0,2710.0,2931.0,2421.0
1986-10-31,5673.0,1360.0,113.0,258.0,737.0,2753.0,2355.0,3124.0,3318.0,2549.0
1986-11-14,4941.0,1036.0,64.0,159.0,526.0,2531.0,1721.0,2754.0,3220.0,2187.0
1986-11-28,5646.0,671.0,405.0,74.0,814.0,2212.0,1559.0,2691.0,4087.0,2955.0
1986-12-15,5548.0,716.0,431.0,102.0,1083.0,2579.0,1901.0,3112.0,3647.0,2436.0
1986-12-31,5844.0,307.0,725.0,269.0,1118.0,1923.0,1694.0,2917.0,4150.0,2927.0
1987-01-15,5807.0,642.0,461.0,521.0,968.0,2143.0,2131.0,3125.0,3676.0,2682.0
1987-01-30,6777.0,1107.0,520.0,566.0,1162.0,2764.0,2835.0,3850.0,3942.0,2927.0
1987-02-13,7282.0,980.0,131.0,287.0,2031.0,3180.0,3298.0,3598.0,3984.0,3684.0
1987-02-27,6554.0,751.0,286.0,356.0,1458.0,2279.0,2565.0,2921.0,3989.0,3633.0
1987-03-13,5848.0,842.0,136.0,383.0,874.0,2259.0,2099.0,2778.0,3749.0,3070.0
1987-03-31,6847.0,1263.0,258.0,190.0,914.0,2859.0,2367.0,3307.0,4480.0,3540.0
1987-04-15,7194.0,1050.0,310.0,483.0,1376.0,3102.0,2909.0,3895.0,4285.0,3299.0
1987-04-30,6263.0,883.0,186.0,356.0,897.0,2491.0,2136.0,3033.0,4127.0,3230.0
1987-05-15,5968.0,1067.0,154.0,261.0,587.0,2343.0,1915.0,2758.0,4053.0,3210.0
1987-05-29,5946.0,684.0,472.0,264.0,820.0,2185.0,1768.0,2921.0,4178.0,3025.0
1987-06-15,7047.0,1327.0,45.0,453.0,798.0,3088.0,2578.0,3586.0,4469.0,3461.0
1987-06-30,7375.0,1295.0,141.0,405.0,674.0,2818.0,2374.0,3364.0,5001.0,4011.0
1987-07-15,6173.0,1456.0,227.0,165.0,527.0,2522.0,2148.0,2914.0,4025.0,3259.0
1987-07-31,6509.0,1733.0,317.0,293.0,527.0,2846.0,2553.0,3456.0,3956.0,3053.0
1987-08-14,7179.0,1789.0,436.0,195.0,636.0,3043.0,2620.0,3674.0,4559.0,3505.0
1987-08-31,7596.0,1878.0,291.0,167.0,789.0,3007.0,2834.0,3465.0,4762.0,4131.0
1987-09-15,6557.0,1946.0,472.0,216.0,753.0,2705.0,2915.0,3393.0,3642.0,3164.0
1987-09-30,6841.0,1485.0,487.0,278.0,975.0,2684.0,2738.0,3449.0,4103.0,3392.0
1987-10-15,7167.0,1007.0,699.0,546.0,949.0,2353.0,2502.0,3598.0,4665.0,3569.0
1987-10-30,6914.0,200.0,749.0,507.0,1270.0,1709.0,1977.0,2965.0,4937.0,3949.0
1987-11-13,6297.0,573.0,582.0,412.0,815.0,1627.0,1800.0,2621.0,4497.0,3676.0
1987-11-30,6222.0,903.0,248.0,311.0,585.0,1986.0,1799.0,2545.0,4423.0,3677.0
1987-12-15,6664.0,965.0,203.0,339.0,867.0,2750.0,2171.0,3292.0,4493.0,3372.0
1987-12-31,6151.0,758.0,206.0,363.0,757.0,2935.0,1878.0,3504.0,4273.0,2647.0
1988-01-15,5826.0,811.0,665.0,354.0,840.0,2523.0,2005.0,3542.0,3821.0,2284.0
1988-01-29,6356.0,1186.0,236.0,568.0,585.0,2574.0,2339.0,3378.0,4017.0,2978.0
1988-02-12,7030.0,1530.0,235.0,596.0,544.0,3092.0,2670.0,3923.0,4360.0,3107.0
1988-02-29,6213.0,660.0,470.0,542.0,769.0,2226.0,1971.0,3238.0,4242.0,2975.0
1988-03-15,5404.0,401.0,624.0,335.0,631.0,1864.0,1367.0,2823.0,4037.0,2581.0
1988-03-31,5963.0,634.0,472.0,535.0,594.0,1967.0,1763.0,2974.0,4200.0,2989.0
1988-04-15,6592.0,1109.0,410.0,692.0,698.0,2351.0,2499.0,3453.0,4093.0,3139.0
1988-04-29,6192.0,968.0,497.0,447.0,705.0,2355.0,2120.0,3299.0,4072.0,2893.0
1988-05-13,5313.0,275.0,753.0,285.0,746.0,1737.0,1306.0,2775.0,4007.0,2538.0
1988-05-31,5125.0,829.0,404.0,98.0,347.0,2224.0,1274.0,2726.0,3851.0,2399.0
1988-06-15,5858.0,1150.0,620.0,324.0,464.0,2639.0,1938.0,3583.0,3920.0,2275.0
