Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,58475.0,3475.0,4915.0,3842.0,14242.0,19140.0,21559.0,27897.0,36916.0,30578.0
1986-01-31,53559.0,5259.0,1374.0,1994.0,10603.0,20718.0,17856.0,24086.0,35703.0,29473.0
1986-02-14,55676.0,5426.0,2720.0,1894.0,10360.0,21371.0,17680.0,25985.0,37996.0,29691.0
1986-02-28,55203.0,5926.0,3155.0,1852.0,10944.0,21084.0,18722.0,26091.0,36481.0,29112.0
1986-03-14,54828.0,4779.0,2906.0,1581.0,9390.0,21375.0,15750.0,25862.0,39078.0,28966.0
1986-03-31,52551.0,4423.0,2525.0,976.0,8991.0,20766.0,14390.0,24267.0,38161.0,28284.0
1986-04-15,46806.0,3587.0,4291.0,751.0,6444.0,16869.0,10782.0,21911.0,36024.0,24895.0
1986-04-30,52245.0,4934.0,5091.0,1716.0,8246.0,18976.0,14896.0,25783.0,37349.0,26462.0
1986-05-15,58595.0,7525.0,6204.0,1792.0,11501.0,23775.0,20818.0,31771.0,37777.0,26824.0
1986-05-30,55736.0,2341.0,5690.0,1735.0,12160.0,21672.0,16236.0,29097.0,39500.0,26639.0
1986-06-13,55461.0,3280.0,5561.0,1789.0,13569.0,21708.0,18638.0,29058.0,36823.0,26403.0
1986-06-30,58420.0,6315.0,4211.0,2158.0,11441.0,23848.0,19914.0,30217.0,38506.0,28203.0
1986-07-15,63937.0,9720.0,4091.0,2202.0,10249.0,28273.0,22171.0,34566.0,41766.0,29371.0
1986-07-31,66835.0,11559.0,2954.0,1688.0,9733.0,32104.0,22980.0,36746.0,43855.0,30089.0
1986-08-15,61067.0,10739.0,3912.0,1592.0,8933.0,27635.0,21264.0,33139.0,39803.0,27928.0
1986-08-29,64662.0,12944.0,3676.0,1610.0,8062.0,29069.0,22616.0,34355.0,42046.0,30307.0
1986-09-15,64339.0,10132.0,3302.0,1669.0,8724.0,28996.0,20525.0,33967.0,43814.0,30372.0
1986-09-30,60580.0,5074.0,4398.0,1843.0,9196.0,24651.0,16113.0,30892.0,44467.0,29688.0
1986-10-15,54480.0,5759.0,2869.0,1713.0,10196.0,20158.0,17668.0,24740.0,36812.0,29740.0
1986-10-31,57668.0,8185.0,4025.0,1366.0,11152.0,22724.0,20703.0,28115.0,36965.0,29553.0
1986-11-14,62602.0,9756.0,5202.0,1714.0,11908.0,23495.0,23378.0,30411.0,39224.0,32191.0
1986-11-28,64658.0,10235.0,5596.0,2442.0,10739.0,23243.0,23416.0,31281.0,41242.0,33377.0
1986-12-15,57291.0,6448.0,6454.0,1085.0,9906.0,22423.0,17439.0,29962.0,39852.0,27329.0
1986-12-31,56421.0,6406.0,6865.0,1407.0,9278.0,21882.0,17091.0,30154.0,39330.0,26267.0
1987-01-15,60599.0,9931.0,6844.0,1717.0,10410.0,22783.0,22058.0,31344.0,38541.0,29255.0
1987-01-30,74535.0,13131.0,6043.0,1286.0,14967.0,31314.0,29384.0,38643.0,45151.0,35892.0
1987-02-13,80854.0,14623.0,6813.0,2349.0,12619.0,35470.0,29591.0,44632.0,51263.0,36222.0
1987-02-27,91671.0,15573.0,6317.0,2881.0,15751.0,39821.0,34205.0,49019.0,57466.0,42652.0
1987-03-13,90408.0,16148.0,5172.0,3257.0,14140.0,38521.0,33545.0,46950.0,56863.0,43458.0
1987-03-31,89788.0,15523.0,4170.0,2191.0,14856.0,41516.0,32570.0,47877.0,57218.0,41911.0
1987-04-15,88833.0,14197.0,5851.0,1851.0,13243.0,43876.0,29291.0,51578.0,59542.0,37255.0
1987-04-30,90237.0,15874.0,5180.0,2883.0,14238.0,48554.0,32995.0,56617.0,57242.0,33620.0
1987-05-15,101095.0,14466.0,5337.0,3940.0,14412.0,56175.0,32818.0,65452.0,68277.0,35643.0
1987-05-29,94846.0,12172.0,5324.0,3020.0,15650.0,51008.0,30842.0,59352.0,64004.0,35494.0
1987-06-15,86467.0,11515.0,4208.0,2972.0,14698.0,46330.0,29185.0,53510.0,57282.0,32957.0
1987-06-30,81881.0,11479.0,4596.0,2679.0,13684.0,44885.0,27842.0,52160.0,54039.0,29721.0
1987-07-15,83158.0,10192.0,6899.0,2260.0,15783.0,42791.0,28235.0,51950.0,54923.0,31208.0
1987-07-31,75265.0,9838.0,5390.0,1209.0,14700.0,38100.0,25747.0,44699.0,49518.0,30566.0
1987-08-14,80518.0,15522.0,7716.0,1928.0,15755.0,38755.0,33205.0,48399.0,47313.0,32119.0
1987-08-31,85244.0,16793.0,7511.0,2105.0,16857.0,38082.0,35755.0,47698.0,49489.0,37546.0
1987-09-15,89104.0,19115.0,9360.0,3176.0,16668.0,35456.0,38959.0,47992.0,50145.0,41112.0
1987-09-30,87859.0,15943.0,6986.0,3693.0,16546.0,34676.0,36182.0,45355.0,51677.0,42504.0
1987-10-15,83221.0,12911.0,6468.0,4872.0,15176.0,30529.0,32959.0,41869.0,50262.0,41352.0
1987-10-30,74625.0,6340.0,10481.0,3612.0,14752.0,24784.0,24704.0,38877.0,49921.0,35748.0
1987-11-13,76867.0,6990.0,8750.0,4082.0,14641.0,25917.0,25713.0,38749.0,51154.0,38118.0
1987-11-30,75523.0,6566.0,8224.0,3564.0,15357.0,25582.0,25487.0,37370.0,50036.0,38153.0
1987-12-15,72876.0,7913.0,9055.0,4330.0,14307.0,21818.0,26550.0,35203.0,46326.0,37673.0
1987-12-31,71804.0,9314.0,7298.0,5338.0,14304.0,20227.0,28956.0,32863.0,42848.0,38941.0
1988-01-15,75055.0,12436.0,7234.0,5124.0,15728.0,18069.0,33288.0,30427.0,41767.0,44628.0
1988-01-29,82663.0,13459.0,6476.0,5422.0,15266.0,20577.0,34147.0,32475.0,48516.0,50188.0
1988-02-12,92440.0,16433.0,5408.0,6091.0,13305.0,29483.0,35829.0,40982.0,56611.0,51458.0
1988-02-29,101448.0,17203.0,7565.0,6319.0,17784.0,32700.0,41306.0,46584.0,60142.0,54864.0
1988-03-15,101888.0,18167.0,7082.0,5981.0,15804.0,32716.0,39952.0,45779.0,61936.0,56109.0
1988-03-31,106864.0,20554.0,6730.0,6993.0,18716.0,42065.0,46263.0,55788.0,60601.0,51076.0
1988-04-15,100099.0,20209.0,6198.0,7020.0,14058.0,38325.0,41287.0,51543.0,58812.0,48556.0
1988-04-29,88267.0,18871.0,8377.0,5190.0,14769.0,32639.0,38830.0,46206.0,49437.0,42061.0
1988-05-13,91510.0,17555.0,10157.0,5572.0,19871.0,33778.0,42998.0,49507.0,48512.0,42003.0
1988-05-31,90617.0,14291.0,7278.0,5938.0,19188.0,38134.0,39417.0,51350.0,51200.0,39267.0
1988-06-15,80268.0,11417.0,8814.0,4713.0,17766.0,30327.0,33896.0,43854.0,46372.0,36414.0
1988-06-30,83150.0,14580.0,9519.0,6716.0,18277.0,31273.0,39573.0,47508.0,43577.0,35642.0
1988-07-15,82765.0,16110.0,8821.0,5274.0,16940.0,31659.0,38324.0,45754.0,44441.0,37011.0
1988-07-29,76719.0,14355.0,5362.0,5002.0,17441.0,28898.0,36798.0,39262.0,39921.0,37457.0
1988-08-15,78741.0,15964.0,5995.0,5199.0,17530.0,31249.0,38693.0,42443.0,40048.0,36298.0
1988-08-31,84759.0,19058.0,10555.0,4371.0,18082.0,32062.0,41511.0,46988.0,43248.0,37771.0
1988-09-15,84102.0,17863.0,8606.0,4552.0,15910.0,32391.0,38325.0,45549.0,45777.0,38553.0
1988-09-30,72772.0,16103.0,6204.0,2265.0,14141.0,30017.0,32509.0,38486.0,40263.0,34286.0
1988-10-14,82562.0,21002.0,8087.0,3315.0,13538.0,32755.0,37855.0,44157.0,44707.0,38405.0
1988-10-31,81758.0,18290.0,9129.0,4674.0,12868.0,31079.0,35832.0,44882.0,45926.0,36876.0
1988-11-15,84471.0,15805.0,7930.0,4282.0,12485.0,31884.0,32572.0,44096.0,51899.0,40375.0
1988-11-30,79862.0,13475.0,7289.0,3916.0,12072.0,30734.0,29463.0,41939.0,50399.0,37923.0
1988-12-15,77025.0,12436.0,9137.0,2784.0,12828.0,25804.0,28048.0,37725.0,48977.0,39300.0
1988-12-30,75383.0,16151.0,7139.0,3665.0,11602.0,29147.0,31418.0,39951.0,43965.0,35432.0
1989-01-13,83250.0,15624.0,7506.0,5325.0,12576.0,30750.0,33525.0,43581.0,49725.0,39669.0
1989-01-31,83045.0,16636.0,6439.0,4465.0,14572.0,30483.0,35673.0,41387.0,47372.0,41658.0
1989-02-15,83485.0,16638.0,7255.0,5552.0,14570.0,30449.0,36760.0,43256.0,46725.0,40229.0
1989-02-28,89957.0,19111.0,7696.0,5715.0,15535.0,32041.0,40361.0,45452.0,49596.0,44505.0
1989-03-15,94818.0,18797.0,7750.0,6162.0,14391.0,33410.0,39350.0,47322.0,55468.0,47496.0
1989-03-31,87894.0,12462.0,8485.0,5146.0,15539.0,28781.0,33147.0,42412.0,54747.0,45482.0
1989-04-14,82086.0,7635.0,12108.0,3473.0,15952.0,27287.0,27060.0,42868.0,55026.0,39218.0
1989-04-28,81773.0,8862.0,13403.0,4200.0,16056.0,26748.0,29118.0,44351.0,52655.0,37422.0
1989-05-15,83543.0,9439.0,12681.0,4804.0,17502.0,27617.0,31745.0,45102.0,51798.0,38441.0
1989-05-31,75717.0,4685.0,12686.0,3857.0,19623.0,25353.0,28165.0,41896.0,47552.0,33821.0
1989-06-15,66844.0,7591.0,11443.0,3181.0,18461.0,23551.0,29233.0,38175.0,37611.0,28669.0
1989-06-30,71590.0,10537.0,11818.0,3839.0,19477.0,24503.0,33853.0,40160.0,37737.0,31430.0
1989-07-14,79177.0,13208.0,11094.0,4528.0,22087.0,26986.0,39823.0,42608.0,39354.0,36569.0
1989-07-31,81402.0,11817.0,9511.0,5610.0,22635.0,28053.0,40062.0,43174.0,41340.0,38228.0
1989-08-15,75529.0,11759.0,9732.0,5330.0,21776.0,25183.0,38865.0,40245.0,36664.0,35284.0
1989-08-31,78034.0,9898.0,12777.0,6228.0,21421.0,24734.0,37547.0,43739.0,40487.0,34295.0
1989-09-15,73972.0,7500.0,11503.0,5529.0,19111.0,25884.0,32140.0,42916.0,41832.0,31056.0
1989-09-29,66848.0,13801.0,7115.0,3471.0,13396.0,25863.0,30668.0,36449.0,36180.0,30399.0
1989-10-13,64461.0,15153.0,7284.0,2416.0,11549.0,26749.0,29118.0,36449.0,35343.0,28012.0
1989-10-31,69406.0,14802.0,10098.0,4287.0,11227.0,26849.0,30316.0,41234.0,39090.0,28172.0
1989-11-15,73955.0,15336.0,9899.0,5224.0,13322.0,28264.0,33882.0,43387.0,40073.0,30568.0
1989-11-30,73017.0,16240.0,8783.0,4954.0,11671.0,30370.0,32865.0,44107.0,40152.0,28910.0
1989-12-15,69604.0,19493.0,8077.0,3174.0,9951.0,27263.0,32618.0,38514.0,36986.0,31090.0
1989-12-29,76325.0,21168.0,8552.0,6230.0,12248.0,29949.0,39646.0,44731.0,36679.0,31594.0
1990-01-15,95114.0,24181.0,9270.0,9943.0,14384.0,37046.0,48508.0,56259.0,46606.0,38855.0
1990-01-31,108575.0,24360.0,9407.0,11221.0,14961.0,34060.0,50542.0,54688.0,58033.0,53887.0
1990-02-15,112263.0,24391.0,9710.0,9913.0,14386.0,35888.0,48690.0,55511.0,63573.0,56752.0
1990-02-28,98945.0,18591.0,11867.0,5516.0,16831.0,34457.0,40938.0,51840.0,58007.0,47105.0
1990-03-15,108145.0,26302.0,10747.0,4064.0,20379.0,38833.0,50745.0,53644.0,57400.0,54501.0
1990-03-30,101557.0,25397.0,8849.0,4882.0,18329.0,38534.0,48608.0,52265.0,52949.0,49292.0
