Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1996-04-02,1010.0,135.0,106.0,0.0,69.0,0.0,204.0,106.0,806.0,904.0
1996-05-14,1767.0,544.0,0.0,67.0,0.0,0.0,611.0,67.0,1156.0,1700.0
1996-05-21,2000.0,783.0,0.0,67.0,0.0,166.0,850.0,233.0,1150.0,1767.0
1996-05-28,2140.0,716.0,0.0,67.0,82.0,216.0,865.0,283.0,1275.0,1857.0
1996-06-04,2340.0,853.0,0.0,67.0,95.0,281.0,1015.0,348.0,1325.0,1992.0
1996-06-11,2594.0,956.0,0.0,77.0,95.0,256.0,1128.0,333.0,1466.0,2261.0
1996-06-18,2836.0,1163.0,50.0,87.0,95.0,315.0,1345.0,452.0,1491.0,2384.0
1996-06-25,3070.0,1447.0,50.0,87.0,145.0,435.0,1679.0,572.0,1391.0,2498.0
1996-07-02,3369.0,1589.0,137.0,87.0,145.0,435.0,1821.0,659.0,1548.0,2710.0
1996-07-09,3755.0,1762.0,50.0,164.0,145.0,677.0,2071.0,891.0,1684.0,2864.0
1996-07-16,4190.0,1937.0,50.0,154.0,145.0,677.0,2236.0,881.0,1954.0,3309.0
1996-07-23,4420.0,2014.0,50.0,97.0,245.0,727.0,2356.0,874.0,2064.0,3546.0
1996-07-30,4588.0,2073.0,110.0,97.0,285.0,727.0,2455.0,934.0,2133.0,3654.0
1996-08-06,4987.0,2323.0,154.0,97.0,437.0,819.0,2857.0,1070.0,2130.0,3917.0
1996-08-13,5726.0,2042.0,160.0,167.0,848.0,1174.0,3057.0,1501.0,2669.0,4225.0
1996-08-20,6417.0,2373.0,180.0,258.0,1017.0,1458.0,3648.0,1896.0,2769.0,4521.0
1996-08-27,6987.0,2649.0,294.0,262.0,896.0,1703.0,3807.0,2259.0,3180.0,4728.0
1996-09-03,7626.0,2653.0,316.0,447.0,1087.0,1811.0,4187.0,2574.0,3439.0,5052.0
1996-09-10,8316.0,3082.0,331.0,463.0,1238.0,2168.0,4783.0,2962.0,3533.0,5354.0
1996-09-17,9202.0,3451.0,407.0,438.0,1563.0,2792.0,5452.0,3637.0,3750.0,5565.0
1996-09-24,9843.0,4379.0,498.0,501.0,1765.0,2994.0,6645.0,3993.0,3198.0,5850.0
1996-10-01,12036.0,4812.0,620.0,1183.0,2278.0,3716.0,8273.0,5519.0,3763.0,6517.0
1996-10-08,14502.0,6471.0,876.0,1473.0,2301.0,4584.0,10245.0,6933.0,4257.0,7569.0
1996-10-15,15652.0,6807.0,1506.0,1761.0,2596.0,4701.0,11164.0,7968.0,4488.0,7684.0
1996-10-22,16101.0,6695.0,1586.0,1285.0,2930.0,4782.0,10910.0,7653.0,5191.0,8448.0
1996-10-29,16213.0,5356.0,2052.0,1398.0,3202.0,4600.0,9956.0,8050.0,6257.0,8163.0
1996-11-05,17958.0,5437.0,2173.0,1499.0,3500.0,4840.0,10436.0,8512.0,7522.0,9446.0
1996-11-12,20031.0,6017.0,1865.0,2312.0,4007.0,5993.0,12336.0,10170.0,7695.0,9861.0
1996-11-19,22729.0,6141.0,2579.0,2970.0,4365.0,6339.0,13476.0,11888.0,9253.0,10841.0
1996-11-26,24382.0,6563.0,3146.0,2871.0,5134.0,6108.0,14568.0,12125.0,9814.0,12257.0
1996-12-03,26683.0,7059.0,3803.0,2862.0,4521.0,6944.0,14442.0,13609.0,12241.0,13074.0
1996-12-10,28186.0,6449.0,3848.0,3032.0,5451.0,7643.0,14932.0,14523.0,13254.0,13663.0
