Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1999-01-05,2299.0,1338.0,0.0,0.0,0.0,1771.0,1338.0,1771.0,961.0,528.0
1999-01-12,2559.0,1804.0,0.0,0.0,0.0,2169.0,1804.0,2169.0,755.0,390.0
1999-01-19,2327.0,1167.0,0.0,0.0,303.0,2010.0,1470.0,2010.0,857.0,317.0
1999-01-26,2324.0,1165.0,0.0,0.0,303.0,2009.0,1468.0,2009.0,856.0,315.0
1999-02-02,2365.0,1164.0,0.0,0.0,659.0,2003.0,1823.0,2003.0,542.0,362.0
1999-02-09,2607.0,1164.0,0.0,0.0,510.0,2205.0,1674.0,2205.0,933.0,402.0
1999-02-16,2404.0,709.0,0.0,0.0,743.0,1847.0,1452.0,1847.0,952.0,557.0
1999-02-23,2190.0,709.0,0.0,0.0,743.0,1848.0,1452.0,1848.0,738.0,342.0
1999-03-09,2459.0,0.0,0.0,0.0,1440.0,1685.0,1440.0,1685.0,1019.0,774.0
1999-04-20,1731.0,243.0,0.0,0.0,360.0,1110.0,603.0,1110.0,1128.0,621.0
1999-04-27,1548.0,243.0,0.0,0.0,360.0,1109.0,603.0,1109.0,945.0,439.0
1999-05-04,1669.0,375.0,0.0,0.0,360.0,1414.0,735.0,1414.0,934.0,255.0
1999-05-11,3850.0,2470.0,0.0,0.0,360.0,3311.0,2830.0,3311.0,1020.0,539.0
1999-05-18,6989.0,5426.0,500.0,0.0,360.0,4712.0,5786.0,5212.0,1203.0,1777.0
1999-05-25,5763.0,2605.0,0.0,1.0,1764.0,2879.0,4370.0,2880.0,1393.0,2883.0
1999-06-01,4858.0,0.0,0.0,0.0,3770.0,1401.0,3770.0,1401.0,1088.0,3457.0
1999-06-08,5341.0,0.0,0.0,0.0,4223.0,1895.0,4223.0,1895.0,1118.0,3446.0
1999-06-15,3419.0,0.0,0.0,0.0,2489.0,805.0,2489.0,805.0,930.0,2614.0
1999-06-22,3511.0,0.0,0.0,0.0,2489.0,1236.0,2489.0,1236.0,1022.0,2275.0
1999-06-29,3530.0,0.0,0.0,0.0,2489.0,1362.0,2489.0,1362.0,1041.0,2168.0
1999-07-06,3525.0,0.0,0.0,0.0,2485.0,1229.0,2485.0,1229.0,1040.0,2296.0
1999-07-13,3640.0,0.0,0.0,0.0,2607.0,1229.0,2607.0,1229.0,1033.0,2411.0
1999-07-20,3744.0,0.0,353.0,0.0,2597.0,1229.0,2597.0,1582.0,1147.0,2162.0
1999-07-27,3761.0,0.0,353.0,0.0,2797.0,1229.0,2797.0,1582.0,964.0,2179.0
1999-08-03,3626.0,0.0,0.0,0.0,2355.0,1546.0,2355.0,1546.0,1271.0,2080.0
