Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1990-04-12,1258.0,91.0,47.0,112.0,289.0,356.0,492.0,515.0,766.0,743.0
1990-04-30,1625.0,0.0,33.0,46.0,747.0,815.0,793.0,894.0,832.0,731.0
1990-05-15,2888.0,0.0,35.0,0.0,1763.0,1953.0,1763.0,1988.0,1125.0,900.0
1990-05-31,3517.0,0.0,40.0,123.0,2483.0,2514.0,2606.0,2677.0,911.0,840.0
1990-06-15,4228.0,56.0,198.0,30.0,3242.0,3062.0,3328.0,3290.0,900.0,938.0
1990-06-29,5134.0,0.0,0.0,0.0,3988.0,4029.0,3988.0,4029.0,1146.0,1105.0
1990-07-13,6294.0,68.0,0.0,94.0,4918.0,5114.0,5080.0,5208.0,1214.0,1086.0
1990-07-31,6913.0,41.0,0.0,73.0,5637.0,5301.0,5751.0,5374.0,1162.0,1539.0
1990-08-15,8636.0,20.0,61.0,68.0,7292.0,7184.0,7380.0,7313.0,1256.0,1323.0
1990-08-31,9650.0,290.0,68.0,58.0,7697.0,8344.0,8045.0,8470.0,1605.0,1180.0
1990-09-14,11086.0,690.0,45.0,110.0,8675.0,9540.0,9475.0,9695.0,1611.0,1391.0
1990-09-28,11686.0,906.0,37.0,0.0,8885.0,9770.0,9791.0,9807.0,1895.0,1879.0
1990-10-15,13012.0,1237.0,200.0,66.0,9653.0,10634.0,10956.0,10900.0,2056.0,2112.0
1990-10-31,14310.0,1107.0,68.0,97.0,11418.0,12320.0,12622.0,12485.0,1688.0,1825.0
1990-11-15,14107.0,1074.0,74.0,110.0,11040.0,11855.0,12224.0,12039.0,1883.0,2068.0
1990-11-30,12994.0,893.0,25.0,58.0,10077.0,10981.0,11028.0,11064.0,1966.0,1930.0
1990-12-14,10839.0,421.0,0.0,139.0,8214.0,9050.0,8774.0,9189.0,2065.0,1650.0
1990-12-31,9064.0,419.0,3.0,59.0,6257.0,7455.0,6735.0,7517.0,2329.0,1547.0
1991-01-15,9943.0,410.0,311.0,94.0,7448.0,8001.0,7952.0,8406.0,1991.0,1537.0
1991-01-31,13075.0,104.0,359.0,273.0,10308.0,11258.0,10685.0,11890.0,2390.0,1185.0
1991-02-15,14102.0,231.0,270.0,231.0,11284.0,12150.0,11746.0,12651.0,2356.0,1451.0
1991-02-28,13565.0,105.0,1357.0,239.0,11167.0,10585.0,11511.0,12181.0,2054.0,1384.0
1991-03-15,12988.0,65.0,1365.0,128.0,10526.0,10002.0,10719.0,11495.0,2269.0,1493.0
1991-03-28,12861.0,32.0,1363.0,33.0,10850.0,10170.0,10915.0,11566.0,1946.0,1295.0
1991-04-15,13113.0,51.0,1346.0,0.0,10933.0,10328.0,10984.0,11674.0,2129.0,1439.0
1991-04-30,14370.0,57.0,1503.0,55.0,11727.0,10777.0,11839.0,12335.0,2531.0,2035.0
1991-05-15,16601.0,57.0,1448.0,143.0,14031.0,13343.0,14231.0,14934.0,2370.0,1667.0
1991-05-31,18165.0,171.0,2271.0,108.0,14836.0,13696.0,15115.0,16075.0,3050.0,2090.0
1991-06-14,18686.0,38.0,2041.0,300.0,14991.0,14134.0,15329.0,16475.0,3357.0,2211.0
1991-06-28,17975.0,789.0,1701.0,530.0,13123.0,13200.0,14442.0,15431.0,3533.0,2544.0
1991-07-15,18955.0,746.0,1626.0,560.0,13681.0,14264.0,14987.0,16450.0,3968.0,2505.0
1991-07-31,20293.0,841.0,1994.0,267.0,15212.0,15793.0,16320.0,18054.0,3973.0,2239.0
1991-08-15,21411.0,1035.0,1755.0,370.0,15914.0,16954.0,17319.0,19079.0,4092.0,2332.0
