Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,9854.0,1490.0,577.0,739.0,1304.0,6505.0,3533.0,7821.0,6321.0,2033.0
1986-01-31,8763.0,1328.0,353.0,596.0,907.0,5504.0,2831.0,6453.0,5932.0,2310.0
1986-02-14,8724.0,1244.0,312.0,238.0,1349.0,5548.0,2831.0,6098.0,5893.0,2626.0
1986-02-28,7782.0,1111.0,228.0,416.0,1719.0,4891.0,3246.0,5535.0,4536.0,2247.0
1986-03-14,8282.0,1120.0,119.0,443.0,2275.0,5521.0,3838.0,6083.0,4444.0,2199.0
1986-03-31,7827.0,662.0,138.0,321.0,2645.0,5377.0,3628.0,5836.0,4199.0,1991.0
1986-04-15,6860.0,593.0,107.0,262.0,2544.0,4354.0,3399.0,4723.0,3461.0,2137.0
1986-04-30,6469.0,331.0,338.0,260.0,2938.0,4089.0,3529.0,4687.0,2940.0,1782.0
1986-05-15,6948.0,1034.0,114.0,230.0,2438.0,4798.0,3702.0,5142.0,3246.0,1806.0
1986-05-30,7013.0,1178.0,61.0,192.0,2464.0,4860.0,3834.0,5113.0,3179.0,1900.0
1986-06-13,6671.0,1254.0,61.0,201.0,2561.0,4681.0,4016.0,4943.0,2655.0,1728.0
1986-06-30,7295.0,1123.0,90.0,263.0,2960.0,5808.0,4346.0,6161.0,2949.0,1134.0
1986-07-15,7103.0,962.0,256.0,304.0,2610.0,4503.0,3876.0,5063.0,3227.0,2040.0
1986-07-31,6908.0,852.0,261.0,273.0,2470.0,4487.0,3595.0,5021.0,3313.0,1887.0
1986-08-15,6648.0,905.0,111.0,272.0,2986.0,5323.0,4163.0,5706.0,2485.0,942.0
1986-08-29,6682.0,958.0,204.0,541.0,2994.0,4841.0,4493.0,5586.0,2189.0,1096.0
1986-09-15,6635.0,1223.0,175.0,408.0,2453.0,4930.0,4084.0,5513.0,2551.0,1122.0
1986-09-30,7470.0,1385.0,153.0,534.0,2397.0,5460.0,4316.0,6147.0,3154.0,1323.0
1986-10-15,8113.0,1263.0,175.0,526.0,2582.0,6162.0,4371.0,6863.0,3742.0,1250.0
1986-10-31,8774.0,1464.0,247.0,577.0,2842.0,6574.0,4883.0,7398.0,3891.0,1376.0
1986-11-14,9313.0,1583.0,358.0,517.0,2770.0,6893.0,4870.0,7768.0,4443.0,1545.0
1986-11-28,9460.0,1481.0,221.0,542.0,2666.0,6952.0,4689.0,7715.0,4771.0,1745.0
1986-12-15,10972.0,1992.0,353.0,541.0,3204.0,8498.0,5737.0,9392.0,5235.0,1580.0
1986-12-31,11290.0,1785.0,513.0,849.0,5195.0,8247.0,7829.0,9609.0,3461.0,1681.0
1987-01-15,11308.0,2197.0,738.0,493.0,5230.0,8005.0,7920.0,9236.0,3388.0,2072.0
1987-01-30,9916.0,1691.0,993.0,406.0,5138.0,6482.0,7235.0,7881.0,2681.0,2035.0
1987-02-13,10094.0,1368.0,926.0,541.0,5505.0,5855.0,7414.0,7322.0,2680.0,2772.0
1987-02-27,11336.0,1188.0,754.0,642.0,6900.0,7168.0,8730.0,8564.0,2606.0,2772.0
1987-03-13,10397.0,1050.0,965.0,789.0,6243.0,5662.0,8082.0,7416.0,2315.0,2981.0
1987-03-31,9318.0,888.0,1065.0,590.0,5716.0,4098.0,7194.0,5753.0,2124.0,3565.0
1987-04-15,9096.0,1011.0,995.0,480.0,5601.0,4313.0,7092.0,5788.0,2004.0,3308.0
1987-04-30,9265.0,760.0,954.0,443.0,6157.0,4718.0,7360.0,6115.0,1905.0,3150.0
1987-05-15,8112.0,748.0,448.0,517.0,5225.0,4532.0,6490.0,5497.0,1622.0,2615.0
