Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,6766.0,1569.0,117.0,280.0,1388.0,5236.0,3237.0,5633.0,3529.0,1133.0
1986-01-31,6667.0,1664.0,103.0,353.0,1230.0,4951.0,3247.0,5407.0,3420.0,1260.0
1986-02-14,6558.0,1182.0,201.0,122.0,1961.0,4633.0,3265.0,4956.0,3293.0,1602.0
1986-02-28,6049.0,1600.0,88.0,63.0,1517.0,4861.0,3180.0,5012.0,2869.0,1037.0
1986-03-14,6217.0,1909.0,471.0,183.0,1321.0,4737.0,3413.0,5391.0,2804.0,826.0
1986-03-31,6206.0,1517.0,255.0,182.0,1244.0,4765.0,2943.0,5202.0,3263.0,1004.0
1986-04-15,6359.0,1154.0,323.0,223.0,1496.0,4260.0,2873.0,4806.0,3486.0,1553.0
1986-04-30,6101.0,1338.0,345.0,288.0,1518.0,4300.0,3144.0,4933.0,2957.0,1168.0
1986-05-15,6298.0,1239.0,406.0,320.0,1843.0,4403.0,3402.0,5129.0,2896.0,1169.0
1986-05-30,5739.0,1225.0,262.0,314.0,1802.0,4106.0,3341.0,4682.0,2398.0,1057.0
1986-06-13,5645.0,1417.0,29.0,232.0,1811.0,5049.0,3460.0,5310.0,2185.0,335.0
1986-06-30,5259.0,1416.0,0.0,137.0,1610.0,4092.0,3163.0,4229.0,2096.0,1030.0
1986-07-15,5373.0,1258.0,0.0,257.0,1790.0,4529.0,3305.0,4786.0,2068.0,587.0
1986-07-31,5335.0,1381.0,0.0,147.0,1748.0,4936.0,3276.0,5083.0,2059.0,252.0
1986-08-15,6371.0,1692.0,0.0,163.0,1720.0,5277.0,3575.0,5440.0,2796.0,931.0
1986-08-29,6073.0,1525.0,72.0,131.0,1117.0,4536.0,2773.0,4739.0,3300.0,1334.0
1986-09-15,6521.0,1792.0,59.0,29.0,1342.0,4940.0,3163.0,5028.0,3358.0,1493.0
1986-09-30,6509.0,1825.0,37.0,69.0,1357.0,4794.0,3251.0,4900.0,3258.0,1609.0
1986-10-15,6552.0,2007.0,69.0,39.0,1508.0,5040.0,3554.0,5148.0,2998.0,1404.0
1986-10-31,6946.0,1602.0,69.0,79.0,1607.0,5057.0,3288.0,5205.0,3658.0,1741.0
1986-11-14,6964.0,1538.0,75.0,105.0,1584.0,4857.0,3227.0,5037.0,3737.0,1927.0
1986-11-28,6670.0,1231.0,61.0,172.0,2129.0,4779.0,3532.0,5012.0,3138.0,1658.0
1986-12-15,5781.0,1255.0,0.0,93.0,1707.0,4906.0,3055.0,4999.0,2726.0,782.0
1986-12-31,5872.0,1331.0,46.0,180.0,1526.0,4890.0,3037.0,5116.0,2835.0,756.0
1987-01-15,6457.0,1619.0,0.0,164.0,1348.0,5271.0,3131.0,5435.0,3326.0,1022.0
1987-01-30,6459.0,1741.0,0.0,181.0,1148.0,5008.0,3070.0,5189.0,3389.0,1270.0
1987-02-13,6206.0,1582.0,31.0,92.0,1139.0,4618.0,2813.0,4741.0,3393.0,1465.0
1987-02-27,6503.0,1264.0,6.0,370.0,1216.0,4531.0,2850.0,4907.0,3653.0,1596.0
1987-03-13,6051.0,1227.0,55.0,474.0,1017.0,4013.0,2718.0,4542.0,3333.0,1509.0
1987-03-31,6778.0,1480.0,87.0,629.0,983.0,4886.0,3092.0,5602.0,3686.0,1176.0
1987-04-15,7193.0,1622.0,68.0,585.0,1014.0,5385.0,3221.0,6038.0,3972.0,1155.0
1987-04-30,7707.0,1588.0,353.0,466.0,1318.0,5170.0,3372.0,5989.0,4335.0,1718.0
1987-05-15,7285.0,1349.0,290.0,171.0,1161.0,5266.0,2681.0,5727.0,4604.0,1558.0
1987-05-29,7711.0,1236.0,448.0,125.0,1611.0,5809.0,2972.0,6382.0,4739.0,1329.0
1987-06-15,6415.0,1331.0,250.0,123.0,1468.0,5206.0,2922.0,5579.0,3493.0,836.0
1987-06-30,6150.0,1239.0,285.0,153.0,1463.0,5024.0,2855.0,5462.0,3295.0,688.0
1987-07-15,6610.0,1478.0,99.0,186.0,1285.0,5586.0,2949.0,5871.0,3661.0,739.0
1987-07-31,7422.0,1796.0,121.0,176.0,1252.0,5434.0,3224.0,5731.0,4198.0,1691.0
1987-08-14,7352.0,1830.0,72.0,38.0,1257.0,6142.0,3125.0,6252.0,4227.0,1100.0
1987-08-31,8678.0,2010.0,156.0,42.0,1680.0,6465.0,3732.0,6663.0,4946.0,2015.0
1987-09-15,6961.0,1936.0,99.0,42.0,1477.0,7281.0,3455.0,7422.0,3506.0,-461.0
1987-09-30,7112.0,1797.0,170.0,169.0,1466.0,5884.0,3432.0,6223.0,3680.0,889.0
1987-10-15,7475.0,1856.0,126.0,256.0,1625.0,6337.0,3737.0,6719.0,3738.0,756.0
1987-10-30,7271.0,1156.0,437.0,322.0,1866.0,4725.0,3344.0,5484.0,3927.0,1787.0
1987-11-13,6639.0,1303.0,423.0,194.0,1764.0,4465.0,3261.0,5082.0,3378.0,1557.0
1987-11-30,6855.0,1454.0,325.0,293.0,1783.0,4836.0,3530.0,5454.0,3325.0,1401.0
1987-12-15,5617.0,1375.0,71.0,248.0,1398.0,4444.0,3021.0,4763.0,2596.0,854.0
1987-12-31,5728.0,1598.0,119.0,390.0,1319.0,4565.0,3307.0,5074.0,2421.0,654.0
1988-01-15,6236.0,2068.0,130.0,430.0,1384.0,4773.0,3882.0,5333.0,2354.0,903.0
1988-01-29,6178.0,1504.0,366.0,346.0,1488.0,4044.0,3338.0,4756.0,2840.0,1422.0
1988-02-12,6408.0,1543.0,303.0,480.0,2068.0,4572.0,4091.0,5355.0,2317.0,1053.0
1988-02-29,6426.0,1549.0,229.0,483.0,2191.0,4469.0,4223.0,5181.0,2203.0,1245.0
1988-03-15,6151.0,1513.0,213.0,327.0,2272.0,4832.0,4112.0,5372.0,2039.0,779.0
1988-03-31,6389.0,1457.0,154.0,529.0,1885.0,5005.0,3871.0,5688.0,2518.0,701.0
1988-04-15,6398.0,1446.0,289.0,305.0,2130.0,4764.0,3881.0,5358.0,2517.0,1040.0
1988-04-29,6240.0,1552.0,278.0,214.0,1968.0,4666.0,3734.0,5158.0,2506.0,1082.0
1988-05-13,6224.0,1629.0,286.0,235.0,1714.0,4680.0,3578.0,5201.0,2646.0,1023.0
1988-05-31,6907.0,1906.0,56.0,252.0,1503.0,5152.0,3661.0,5460.0,3246.0,1447.0
1988-06-15,7055.0,2228.0,77.0,374.0,1349.0,5653.0,3951.0,6104.0,3104.0,951.0
1988-06-30,6743.0,1673.0,270.0,328.0,1801.0,5252.0,3802.0,5850.0,2941.0,893.0
1988-07-15,7384.0,1662.0,111.0,579.0,1888.0,5617.0,4129.0,6307.0,3255.0,1077.0
1988-07-29,7552.0,1539.0,171.0,588.0,2473.0,5684.0,4600.0,6443.0,2952.0,1109.0
1988-08-15,7243.0,1573.0,84.0,601.0,2476.0,5880.0,4650.0,6565.0,2593.0,678.0
1988-08-31,6734.0,1399.0,55.0,493.0,2230.0,5536.0,4122.0,6084.0,2612.0,650.0
1988-09-15,6304.0,1439.0,18.0,390.0,1895.0,5389.0,3724.0,5797.0,2580.0,507.0
1988-09-30,6546.0,1494.0,139.0,390.0,1489.0,4748.0,3373.0,5277.0,3173.0,1269.0
1988-10-14,6059.0,1628.0,88.0,395.0,1391.0,4893.0,3414.0,5376.0,2645.0,683.0
1988-10-31,5848.0,1549.0,71.0,164.0,1871.0,5134.0,3584.0,5369.0,2264.0,479.0
1988-11-15,6318.0,1930.0,69.0,125.0,1816.0,5543.0,3871.0,5737.0,2447.0,581.0
1988-11-30,6443.0,2083.0,83.0,161.0,1888.0,5343.0,4132.0,5587.0,2311.0,856.0
1988-12-15,6345.0,2096.0,85.0,56.0,1773.0,5461.0,3925.0,5602.0,2420.0,743.0
1988-12-30,6424.0,1897.0,252.0,412.0,1549.0,5243.0,3858.0,5907.0,2566.0,517.0
1989-01-13,6355.0,1782.0,199.0,405.0,1667.0,5220.0,3854.0,5824.0,2501.0,531.0
1989-01-31,6403.0,1926.0,203.0,154.0,1737.0,5457.0,3817.0,5814.0,2586.0,589.0
1989-02-15,6665.0,2100.0,112.0,265.0,1803.0,5622.0,4168.0,5999.0,2497.0,666.0
1989-02-28,6964.0,1966.0,96.0,486.0,1993.0,5659.0,4445.0,6241.0,2519.0,723.0
1989-03-15,6709.0,1885.0,185.0,537.0,1921.0,5496.0,4343.0,6218.0,2366.0,491.0
1989-03-31,6778.0,1472.0,118.0,526.0,1419.0,5366.0,3417.0,6010.0,3361.0,768.0
1989-04-14,10045.0,2958.0,691.0,849.0,1486.0,7247.0,5293.0,8787.0,4752.0,1258.0
1989-04-28,9598.0,2502.0,650.0,694.0,1990.0,6728.0,5186.0,8072.0,4412.0,1526.0
1989-05-15,8907.0,2439.0,427.0,778.0,1993.0,6176.0,5210.0,7381.0,3697.0,1526.0
1989-05-31,9466.0,2062.0,277.0,1199.0,2390.0,6520.0,5651.0,7996.0,3815.0,1470.0
1989-06-15,9281.0,2278.0,181.0,1061.0,2170.0,6760.0,5509.0,8002.0,3772.0,1279.0
1989-06-30,8960.0,2215.0,268.0,913.0,2216.0,6670.0,5344.0,7851.0,3616.0,1109.0
1989-07-14,8250.0,2120.0,336.0,556.0,2240.0,6213.0,4916.0,7105.0,3334.0,1145.0
1989-07-31,7805.0,1762.0,434.0,430.0,2445.0,5945.0,4637.0,6809.0,3168.0,996.0
1989-08-15,7527.0,1647.0,453.0,344.0,2517.0,5752.0,4508.0,6549.0,3019.0,978.0
1989-08-31,7380.0,1652.0,491.0,406.0,2400.0,5414.0,4458.0,6311.0,2922.0,1069.0
1989-09-15,7349.0,2128.0,612.0,300.0,1903.0,5842.0,4331.0,6754.0,3018.0,595.0
1989-09-29,6924.0,2126.0,319.0,255.0,1735.0,5544.0,4116.0,6118.0,2808.0,806.0
1989-10-13,6767.0,1998.0,467.0,277.0,1802.0,5410.0,4077.0,6154.0,2690.0,613.0
1989-10-31,6877.0,1911.0,254.0,259.0,2247.0,5677.0,4417.0,6190.0,2460.0,687.0
1989-11-15,7051.0,2020.0,208.0,379.0,1990.0,5749.0,4389.0,6336.0,2662.0,715.0
1989-11-30,7436.0,2490.0,197.0,466.0,1755.0,5895.0,4711.0,6558.0,2725.0,878.0
1989-12-15,6433.0,2507.0,154.0,143.0,1672.0,5582.0,4322.0,5879.0,2111.0,554.0
