Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,92979.0,4640.0,8689.0,500.0,52695.0,67510.0,57835.0,76699.0,35144.0,16280.0
1986-01-31,96382.0,6267.0,3932.0,552.0,55972.0,87763.0,62791.0,92247.0,33591.0,4135.0
1986-02-14,94998.0,4371.0,2939.0,1312.0,51098.0,84289.0,56781.0,88540.0,38217.0,6458.0
1986-02-28,85112.0,4598.0,2310.0,726.0,44616.0,74087.0,49940.0,77123.0,35172.0,7989.0
1986-03-14,107160.0,20705.0,1426.0,328.0,37430.0,113102.0,58463.0,114856.0,48697.0,-7696.0
1986-03-31,118580.0,20956.0,1172.0,484.0,42375.0,100344.0,63815.0,102000.0,54765.0,16580.0
1986-04-15,110820.0,19940.0,704.0,401.0,46332.0,98338.0,66673.0,99443.0,44147.0,11377.0
1986-04-30,111625.0,24202.0,589.0,939.0,39828.0,97957.0,64969.0,99485.0,46656.0,12140.0
1986-05-15,101217.0,13584.0,2965.0,707.0,42219.0,85383.0,56510.0,89055.0,44707.0,12162.0
1986-05-30,95088.0,10583.0,4378.0,32.0,46984.0,75524.0,57599.0,79934.0,37489.0,15154.0
1986-06-13,93732.0,8290.0,11198.0,216.0,46818.0,65158.0,55324.0,76572.0,38408.0,17160.0
1986-06-30,86064.0,6497.0,10633.0,0.0,45355.0,56657.0,51852.0,67290.0,34212.0,18774.0
1986-07-15,85481.0,7978.0,11818.0,0.0,44004.0,51755.0,51982.0,63573.0,33499.0,21908.0
1986-07-31,85427.0,10385.0,9896.0,1.0,40316.0,57228.0,50702.0,67125.0,34725.0,18302.0
1986-08-15,86254.0,10627.0,4640.0,17.0,41137.0,57081.0,51781.0,61738.0,34473.0,24516.0
1986-08-29,91764.0,11885.0,6399.0,10.0,45878.0,58924.0,57773.0,65333.0,33991.0,26431.0
1986-09-15,91006.0,10544.0,6852.0,24.0,41954.0,57395.0,52522.0,64271.0,38484.0,26735.0
1986-09-30,82851.0,11923.0,6216.0,5.0,36475.0,55239.0,48403.0,61460.0,34448.0,21391.0
1986-10-15,82034.0,13767.0,3075.0,1.0,30983.0,61702.0,44751.0,64778.0,37283.0,17256.0
1986-10-31,84290.0,15860.0,2408.0,0.0,34124.0,69522.0,49984.0,71930.0,34306.0,12360.0
1986-11-14,84556.0,14383.0,2017.0,218.0,36992.0,67751.0,51593.0,69986.0,32963.0,14570.0
1986-11-28,84340.0,13297.0,2085.0,219.0,41245.0,67817.0,54761.0,70121.0,29579.0,14219.0
1986-12-15,90613.0,12922.0,4690.0,951.0,49777.0,70717.0,63650.0,76358.0,26963.0,14255.0
1986-12-31,92574.0,10257.0,7415.0,1374.0,58765.0,69607.0,70396.0,78396.0,22178.0,14178.0
1987-01-15,96099.0,12444.0,451.0,986.0,54989.0,80146.0,68419.0,81583.0,27680.0,14516.0
1987-01-30,105733.0,20028.0,1618.0,1039.0,46250.0,87447.0,67317.0,90104.0,38416.0,15629.0
1987-02-13,105189.0,19035.0,1290.0,1747.0,43297.0,85898.0,64079.0,88935.0,41110.0,16254.0
