Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,25278.0,8461.0,1316.0,309.0,5494.0,18533.0,14264.0,20158.0,11014.0,5120.0
1986-01-31,29412.0,11679.0,1975.0,187.0,4964.0,22035.0,16830.0,24197.0,12582.0,5215.0
1986-02-14,33894.0,11444.0,2044.0,1960.0,7339.0,23757.0,20743.0,27761.0,13151.0,6133.0
1986-02-28,39151.0,10931.0,6459.0,1889.0,12231.0,23633.0,25051.0,31981.0,14100.0,7170.0
1986-03-14,31902.0,8159.0,2063.0,665.0,12553.0,23927.0,21377.0,26655.0,10525.0,5247.0
1986-03-31,28521.0,7741.0,4009.0,295.0,9720.0,18054.0,17756.0,22358.0,10765.0,6163.0
1986-04-15,28886.0,5104.0,5268.0,556.0,11008.0,17764.0,16668.0,23588.0,12218.0,5298.0
1986-04-30,34855.0,12412.0,4465.0,616.0,9501.0,22399.0,22529.0,27480.0,12326.0,7375.0
1986-05-15,34137.0,10454.0,6448.0,598.0,10947.0,18295.0,21999.0,25341.0,12138.0,8796.0
1986-05-30,30766.0,3248.0,7550.0,1242.0,16153.0,13789.0,20643.0,22581.0,10123.0,8185.0
1986-06-13,28002.0,5406.0,2981.0,349.0,10668.0,18145.0,16423.0,21475.0,11579.0,6527.0
1986-06-30,32254.0,12068.0,3463.0,0.0,4707.0,20347.0,16775.0,23810.0,15479.0,8444.0
1986-07-15,32598.0,10081.0,2638.0,1.0,7599.0,20367.0,17681.0,23006.0,14917.0,9592.0
1986-07-31,35466.0,12719.0,1009.0,0.0,6288.0,22314.0,19007.0,23323.0,16459.0,12143.0
1986-08-15,36666.0,10118.0,3155.0,331.0,8787.0,19588.0,19236.0,23074.0,17430.0,13592.0
1986-08-29,44717.0,7604.0,9845.0,662.0,18605.0,25353.0,26871.0,35860.0,17846.0,8857.0
1986-09-15,36557.0,6970.0,3972.0,0.0,16846.0,18041.0,23816.0,22013.0,12741.0,14544.0
1986-09-30,26619.0,8975.0,3439.0,0.0,6088.0,14469.0,15063.0,17908.0,11556.0,8711.0
1986-10-15,33920.0,14599.0,4222.0,0.0,6266.0,21678.0,20865.0,25900.0,13055.0,8020.0
1986-10-31,32621.0,4697.0,8971.0,81.0,16250.0,9158.0,21028.0,18210.0,11593.0,14411.0
1986-11-14,33294.0,4099.0,3116.0,134.0,16613.0,15891.0,20846.0,19141.0,12448.0,14153.0
1986-11-28,34495.0,4507.0,2964.0,0.0,15496.0,19709.0,20003.0,22673.0,14492.0,11822.0
1986-12-15,29054.0,5274.0,4838.0,987.0,11904.0,11264.0,18165.0,17089.0,10889.0,11965.0
1986-12-31,23138.0,6487.0,4235.0,0.0,4455.0,10058.0,10942.0,14293.0,12196.0,8845.0
1987-01-15,31252.0,8914.0,5204.0,200.0,7769.0,13994.0,16883.0,19398.0,14369.0,11854.0
1987-01-30,33581.0,8174.0,5950.0,131.0,9138.0,15512.0,17443.0,21593.0,16138.0,11988.0
1987-02-13,34833.0,6516.0,9896.0,275.0,13939.0,12818.0,20730.0,22989.0,14103.0,11844.0
1987-02-27,36210.0,7372.0,8874.0,547.0,14129.0,14942.0,22048.0,24363.0,14162.0,11847.0
1987-03-13,31397.0,5130.0,7901.0,200.0,12479.0,11962.0,17809.0,20063.0,13588.0,11334.0
1987-03-31,29102.0,7277.0,8286.0,200.0,5295.0,13081.0,12772.0,21567.0,16330.0,7535.0
1987-04-15,31042.0,6391.0,5998.0,0.0,8381.0,16689.0,14772.0,22687.0,16270.0,8355.0
1987-04-30,31854.0,6116.0,5925.0,0.0,9186.0,16523.0,15302.0,22448.0,16552.0,9406.0
1987-05-15,34132.0,8789.0,5069.0,249.0,8182.0,17040.0,17220.0,22358.0,16912.0,11774.0
1987-05-29,33551.0,7134.0,4526.0,311.0,12973.0,16451.0,20418.0,21288.0,13133.0,12263.0
1987-06-15,31521.0,6505.0,4498.0,0.0,10832.0,15011.0,17337.0,19509.0,14184.0,12012.0
1987-06-30,24351.0,4894.0,5631.0,0.0,7933.0,10368.0,12827.0,15999.0,11524.0,8352.0
1987-07-15,27142.0,3874.0,5041.0,240.0,9842.0,8418.0,13956.0,13699.0,13186.0,13443.0
1987-07-31,29387.0,6932.0,5488.0,21.0,11831.0,10963.0,18784.0,16472.0,10603.0,12915.0
1987-08-14,31829.0,5112.0,6499.0,180.0,11020.0,10531.0,16312.0,17210.0,15517.0,14619.0
1987-08-31,31898.0,6663.0,3683.0,212.0,6847.0,16142.0,13722.0,20037.0,18176.0,11861.0
1987-09-15,20326.0,3806.0,3445.0,212.0,7484.0,10647.0,11502.0,14304.0,8824.0,6022.0
1987-09-30,23328.0,3570.0,5227.0,54.0,9357.0,5513.0,12981.0,10794.0,10347.0,12534.0
1987-10-15,24020.0,5659.0,1445.0,95.0,4921.0,13840.0,10675.0,15380.0,13345.0,8640.0
1987-10-30,29809.0,5759.0,1745.0,200.0,8915.0,19017.0,14874.0,20962.0,14935.0,8847.0
1987-11-13,34579.0,6837.0,4132.0,450.0,12869.0,19109.0,20156.0,23691.0,14423.0,10888.0
1987-11-30,40772.0,6900.0,1359.0,0.0,17840.0,26598.0,24740.0,27957.0,16032.0,12815.0
1987-12-15,20484.0,5144.0,769.0,50.0,15141.0,12555.0,20335.0,13374.0,149.0,7110.0
1987-12-31,24298.0,4528.0,2958.0,0.0,8529.0,9376.0,13057.0,12334.0,11241.0,11964.0
1988-01-15,25218.0,5797.0,2434.0,180.0,9334.0,12738.0,15311.0,15352.0,9907.0,9866.0
1988-01-29,28279.0,4516.0,2925.0,150.0,13697.0,13212.0,18363.0,16287.0,9916.0,11992.0
1988-02-12,32857.0,4285.0,4073.0,101.0,17220.0,15943.0,21606.0,20117.0,11251.0,12740.0
1988-02-29,32494.0,6183.0,3898.0,1.0,14604.0,15781.0,20788.0,19680.0,11706.0,12814.0
1988-03-15,19690.0,6061.0,2509.0,0.0,14092.0,16433.0,20153.0,18942.0,-463.0,748.0
1988-03-31,24835.0,6441.0,1776.0,0.0,5760.0,14870.0,12201.0,16646.0,12634.0,8189.0
1988-04-15,27477.0,6080.0,2867.0,14.0,8483.0,13224.0,14577.0,16105.0,12900.0,11372.0
1988-04-29,27511.0,4058.0,4273.0,0.0,12023.0,9906.0,16081.0,14179.0,11430.0,13332.0
1988-05-13,34875.0,5182.0,7103.0,5.0,18336.0,10940.0,23523.0,18048.0,11352.0,16827.0
1988-05-31,41433.0,4270.0,10109.0,0.0,23450.0,11135.0,27720.0,21244.0,13713.0,20189.0
1988-06-15,27045.0,4549.0,7840.0,0.0,11952.0,2902.0,16501.0,10742.0,10544.0,16303.0
1988-06-30,25519.0,5384.0,4468.0,0.0,9351.0,6642.0,14735.0,11110.0,10784.0,14409.0
1988-07-15,31989.0,6252.0,5498.0,0.0,14054.0,11507.0,20306.0,17005.0,11683.0,14984.0
1988-07-29,29120.0,3460.0,3349.0,0.0,14769.0,10460.0,18229.0,13809.0,10891.0,15311.0
1988-08-15,33668.0,5111.0,2918.0,0.0,15330.0,14554.0,20441.0,17472.0,13227.0,16196.0
1988-08-31,35500.0,5647.0,2446.0,0.0,16838.0,15866.0,22485.0,18312.0,13015.0,17188.0
1988-09-15,37358.0,3439.0,3301.0,304.0,20981.0,19144.0,24724.0,22749.0,12634.0,14609.0
1988-09-30,20240.0,3940.0,4342.0,0.0,6888.0,4555.0,10828.0,8897.0,9412.0,11343.0
1988-10-14,25886.0,6850.0,1875.0,0.0,4730.0,15313.0,11580.0,17188.0,14306.0,8698.0
1988-10-31,34238.0,10438.0,633.0,544.0,6322.0,23967.0,17304.0,25144.0,16934.0,9094.0
1988-11-15,36751.0,10839.0,1623.0,0.0,7631.0,27124.0,18470.0,28747.0,18281.0,8004.0
1988-11-30,37544.0,11514.0,1661.0,0.0,7760.0,26457.0,19274.0,28118.0,18270.0,9426.0
1988-12-15,34907.0,7021.0,5729.0,0.0,14809.0,17322.0,21830.0,23051.0,13077.0,11856.0
1988-12-30,21478.0,5756.0,4396.0,0.0,7080.0,5689.0,12836.0,10085.0,8642.0,11393.0
1989-01-13,27648.0,4383.0,6322.0,200.0,12329.0,5655.0,16912.0,12177.0,10736.0,15471.0
1989-01-31,30853.0,3612.0,12424.0,0.0,16170.0,2787.0,19782.0,15211.0,11071.0,15642.0
1989-02-15,30209.0,6593.0,4986.0,3.0,10474.0,12120.0,17070.0,17109.0,13139.0,13100.0
1989-02-28,31709.0,5474.0,3982.0,5.0,10047.0,13148.0,15526.0,17135.0,16183.0,14574.0
