Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,82722.0,11687.0,7480.0,3624.0,34323.0,57215.0,49634.0,68319.0,33088.0,14403.0
1986-01-31,81949.0,10702.0,5664.0,3968.0,31867.0,58330.0,46537.0,67962.0,35412.0,13987.0
1986-02-14,82008.0,9113.0,7091.0,4890.0,32173.0,53506.0,46176.0,65487.0,35832.0,16521.0
1986-02-28,79008.0,10355.0,10555.0,7268.0,28492.0,43021.0,46115.0,60844.0,32893.0,18164.0
1986-03-14,74066.0,8740.0,7771.0,7003.0,25972.0,43243.0,41715.0,58017.0,32351.0,16049.0
1986-03-31,78406.0,8990.0,10443.0,7622.0,27390.0,43253.0,44002.0,61318.0,34404.0,17088.0
1986-04-15,79567.0,12005.0,8955.0,6290.0,29117.0,46343.0,47412.0,61588.0,32155.0,17979.0
1986-04-30,73868.0,7526.0,7486.0,8333.0,26849.0,41377.0,42708.0,57196.0,31160.0,16672.0
1986-05-15,73890.0,7598.0,8493.0,8101.0,28687.0,42068.0,44386.0,58662.0,29504.0,15228.0
1986-05-30,75216.0,10377.0,7920.0,7122.0,27548.0,44963.0,45047.0,60005.0,30169.0,15211.0
1986-06-13,74855.0,12768.0,7637.0,5395.0,26198.0,48111.0,44361.0,61143.0,30494.0,13712.0
1986-06-30,64478.0,5425.0,6399.0,5071.0,23455.0,37390.0,33951.0,48860.0,30527.0,15618.0
1986-07-15,65294.0,4965.0,7341.0,4501.0,25286.0,39989.0,34752.0,51831.0,30542.0,13463.0
1986-07-31,71238.0,7086.0,6131.0,4955.0,28170.0,47415.0,40211.0,58501.0,31027.0,12737.0
1986-08-15,77588.0,11302.0,3289.0,5264.0,28769.0,57473.0,45335.0,66026.0,32253.0,11562.0
1986-08-29,67835.0,9953.0,3424.0,4369.0,22803.0,47385.0,37125.0,55178.0,30710.0,12657.0
1986-09-15,87271.0,16365.0,4913.0,4384.0,30527.0,60532.0,51276.0,69829.0,35995.0,17442.0
1986-09-30,73895.0,12097.0,4808.0,4636.0,24420.0,50017.0,41153.0,59461.0,32742.0,14434.0
1986-10-15,84548.0,12235.0,4559.0,3951.0,34310.0,59637.0,50496.0,68147.0,34052.0,16401.0
1986-10-31,89998.0,13490.0,4438.0,5303.0,35952.0,64694.0,54745.0,74435.0,35253.0,15563.0
1986-11-14,98214.0,13833.0,5501.0,6667.0,37460.0,68252.0,57960.0,80420.0,40254.0,17794.0
1986-11-28,90952.0,8485.0,3951.0,9294.0,37768.0,62441.0,55547.0,75686.0,35405.0,15266.0
1986-12-15,89252.0,8741.0,3326.0,8441.0,37890.0,62479.0,55072.0,74246.0,34180.0,15006.0
1986-12-31,89822.0,8638.0,4693.0,8367.0,38363.0,62183.0,55368.0,75243.0,34454.0,14579.0
1987-01-15,93470.0,9986.0,3672.0,7344.0,40135.0,68968.0,57465.0,79984.0,36005.0,13486.0
1987-01-30,95672.0,10122.0,3729.0,6724.0,42118.0,70880.0,58964.0,81333.0,36708.0,14339.0
1987-02-13,94609.0,8984.0,4243.0,6818.0,46162.0,69150.0,61964.0,80211.0,32645.0,14398.0
1987-02-27,89438.0,9873.0,6561.0,4538.0,42742.0,66283.0,57153.0,77382.0,32285.0,12056.0
1987-03-13,92735.0,12775.0,5539.0,7204.0,38289.0,65609.0,58268.0,78352.0,34467.0,14383.0
1987-03-31,100751.0,19625.0,6973.0,7220.0,31384.0,69890.0,58229.0,84083.0,42522.0,16668.0
1987-04-15,111131.0,20923.0,8692.0,6782.0,34507.0,69555.0,62212.0,85029.0,48919.0,26102.0
1987-04-30,108882.0,15262.0,6519.0,9632.0,36283.0,63208.0,61177.0,79359.0,47705.0,29523.0
1987-05-15,99902.0,19916.0,6627.0,6272.0,33818.0,64167.0,60006.0,77066.0,39896.0,22836.0
1987-05-29,93803.0,11438.0,6578.0,5530.0,32023.0,58455.0,48991.0,70563.0,44812.0,23240.0
1987-06-15,92473.0,13384.0,3864.0,4959.0,32380.0,61055.0,50723.0,69878.0,41750.0,22595.0
1987-06-30,80745.0,13283.0,4697.0,2557.0,27576.0,51143.0,43416.0,58397.0,37329.0,22348.0
1987-07-15,83105.0,15011.0,5487.0,2660.0,28036.0,53759.0,45707.0,61906.0,37398.0,21199.0
1987-07-31,88277.0,17923.0,5983.0,2910.0,33269.0,64885.0,54102.0,73778.0,34175.0,14499.0
1987-08-14,86311.0,12014.0,5684.0,2794.0,36426.0,60682.0,51234.0,69160.0,35077.0,17151.0
1987-08-31,82360.0,9894.0,8965.0,2273.0,33997.0,57011.0,46164.0,68249.0,36196.0,14111.0
1987-09-15,80424.0,12743.0,7153.0,1926.0,31096.0,58153.0,45765.0,67232.0,34659.0,13192.0
1987-09-30,78573.0,9740.0,5956.0,1497.0,34166.0,57225.0,45403.0,64678.0,33170.0,13895.0
1987-10-15,86803.0,10543.0,5206.0,2153.0,36672.0,64754.0,49368.0,72113.0,37435.0,14690.0
1987-10-30,82890.0,9794.0,6055.0,4517.0,36242.0,55567.0,50553.0,66139.0,32337.0,16751.0
1987-11-13,78897.0,8154.0,5029.0,5121.0,34976.0,53524.0,48251.0,63674.0,30646.0,15223.0
1987-11-30,71169.0,7029.0,4308.0,4697.0,30265.0,48132.0,41991.0,57137.0,29178.0,14032.0
1987-12-15,71447.0,8767.0,4567.0,4136.0,29126.0,48025.0,42029.0,56728.0,29418.0,14719.0
1987-12-31,74233.0,7244.0,4499.0,4785.0,35230.0,50738.0,47259.0,60022.0,26974.0,14211.0
1988-01-15,77166.0,8337.0,4852.0,4778.0,34665.0,52959.0,47780.0,62589.0,29386.0,14577.0
1988-01-29,79470.0,7767.0,6428.0,4403.0,37526.0,52592.0,49696.0,63423.0,29774.0,16047.0
1988-02-12,80621.0,6719.0,7385.0,4335.0,36660.0,52753.0,47714.0,64473.0,32907.0,16148.0
1988-02-29,71002.0,9124.0,6019.0,3853.0,30107.0,45706.0,43084.0,55578.0,27918.0,15424.0
