Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,46028.0,7292.0,689.0,1780.0,12024.0,29111.0,21096.0,31580.0,24932.0,14448.0
1986-01-31,43681.0,5385.0,371.0,1129.0,14999.0,26924.0,21513.0,28424.0,22168.0,15257.0
1986-02-14,45458.0,4686.0,1621.0,2554.0,19591.0,23204.0,26831.0,27379.0,18627.0,18079.0
1986-02-28,48404.0,6307.0,1884.0,2397.0,20733.0,26915.0,29437.0,31196.0,18967.0,17208.0
1986-03-14,50381.0,6680.0,640.0,2434.0,19675.0,30104.0,28789.0,33178.0,21592.0,17203.0
1986-03-31,49219.0,6297.0,1685.0,1312.0,22397.0,29013.0,30006.0,32010.0,19213.0,17209.0
1986-04-15,51368.0,2822.0,3463.0,979.0,28459.0,26120.0,32260.0,30562.0,19108.0,20806.0
1986-04-30,49060.0,2133.0,2074.0,2076.0,25337.0,26788.0,29546.0,30938.0,19514.0,18122.0
1986-05-15,45610.0,2595.0,2518.0,2312.0,24384.0,24450.0,29291.0,29280.0,16319.0,16330.0
1986-05-30,46708.0,1052.0,4161.0,1795.0,27151.0,21739.0,29998.0,27695.0,16710.0,19013.0
1986-06-13,52934.0,1859.0,2721.0,2396.0,29843.0,29979.0,34098.0,35096.0,18836.0,17838.0
1986-06-30,53813.0,1174.0,3177.0,2607.0,32489.0,26270.0,36270.0,32054.0,17543.0,21759.0
1986-07-15,53797.0,1427.0,2632.0,3569.0,28718.0,27653.0,33714.0,33854.0,20083.0,19943.0
1986-07-31,50539.0,3061.0,1742.0,2236.0,26201.0,30112.0,31498.0,34090.0,19041.0,16449.0
1986-08-15,46004.0,1556.0,1834.0,840.0,26108.0,24996.0,28504.0,27670.0,17500.0,18334.0
1986-08-29,51857.0,3517.0,2476.0,2936.0,24409.0,29201.0,30862.0,34613.0,20995.0,17244.0
1986-09-15,49313.0,4522.0,2161.0,2744.0,22113.0,26273.0,29379.0,31178.0,19934.0,18135.0
1986-09-30,50791.0,5392.0,2301.0,2605.0,22497.0,28147.0,30494.0,33053.0,20297.0,17738.0
1986-10-15,50796.0,2022.0,2776.0,2880.0,25780.0,26368.0,30682.0,32024.0,20114.0,18772.0
1986-10-31,56566.0,4419.0,1398.0,2306.0,24995.0,36565.0,31720.0,40269.0,24846.0,16297.0
1986-11-14,60255.0,2939.0,909.0,2330.0,30858.0,42987.0,36127.0,46226.0,24128.0,14029.0
1986-11-28,57794.0,2552.0,1497.0,1464.0,30287.0,38728.0,34303.0,41689.0,23491.0,16105.0
1986-12-15,59716.0,2214.0,3384.0,3294.0,32172.0,34395.0,37680.0,41073.0,22036.0,18643.0
1986-12-31,56475.0,1794.0,4415.0,3602.0,33602.0,30291.0,38998.0,38308.0,17477.0,18167.0
1987-01-15,60865.0,2239.0,2981.0,1700.0,37311.0,36527.0,41250.0,41208.0,19615.0,19657.0
1987-01-30,64057.0,1905.0,3776.0,2149.0,39653.0,37180.0,43707.0,43105.0,20350.0,20952.0
1987-02-13,67809.0,2515.0,3575.0,1855.0,41922.0,40573.0,46292.0,46003.0,21517.0,21806.0
1987-02-27,70403.0,1849.0,3817.0,2580.0,44708.0,40472.0,49137.0,46869.0,21266.0,23534.0
1987-03-13,65885.0,1508.0,2446.0,1276.0,42114.0,39279.0,44898.0,43001.0,20987.0,22884.0
1987-03-31,63315.0,2853.0,1993.0,1264.0,36454.0,40952.0,40571.0,44209.0,22744.0,19106.0
1987-04-15,67360.0,5559.0,2805.0,1925.0,36537.0,43622.0,44021.0,48352.0,23339.0,19008.0
1987-04-30,67842.0,6453.0,1411.0,2353.0,32841.0,44515.0,41647.0,48279.0,26195.0,19563.0
1987-05-15,66907.0,5774.0,2041.0,3585.0,26945.0,42110.0,36304.0,47736.0,30603.0,19171.0
