Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2010-06-15,1132309.0,67613.0,83149.0,45466.0,819504.0,825894.0,932584.0,954509.0,199725.0,177801.0
2010-06-22,822092.0,67766.0,72899.0,11381.0,594634.0,615490.0,673782.0,699770.0,148310.0,122322.0
2010-06-29,850401.0,69820.0,70834.0,18957.0,613773.0,639288.0,702550.0,729079.0,147851.0,121322.0
2010-07-06,883425.0,64842.0,85465.0,31581.0,631550.0,633522.0,727973.0,750568.0,155452.0,132857.0
2010-07-13,874896.0,63843.0,98538.0,26471.0,636298.0,609334.0,726612.0,734343.0,148284.0,140552.0
2010-07-20,870890.0,66009.0,95334.0,30477.0,633554.0,619374.0,730040.0,745185.0,140850.0,125705.0
2010-07-27,868087.0,65268.0,92454.0,25227.0,636659.0,627457.0,727154.0,745138.0,140933.0,122949.0
2010-08-03,865807.0,64806.0,90058.0,17955.0,637074.0,638644.0,719835.0,746658.0,145972.0,119149.0
2010-08-10,870141.0,67131.0,91966.0,20701.0,644384.0,647077.0,732216.0,759745.0,137925.0,110396.0
2010-08-17,884624.0,71973.0,90359.0,30368.0,650475.0,650443.0,752816.0,771171.0,131808.0,113453.0
2010-08-24,910530.0,66850.0,96389.0,45055.0,681565.0,670053.0,793470.0,811497.0,117060.0,99033.0
2010-08-31,938443.0,67684.0,104198.0,53314.0,708129.0,689249.0,829127.0,846761.0,109316.0,91682.0
2010-09-07,943773.0,60997.0,108961.0,48346.0,709530.0,685121.0,818873.0,842428.0,124900.0,101345.0
2010-09-14,1103826.0,65772.0,111424.0,48980.0,811799.0,789156.0,926551.0,949560.0,177274.0,154265.0
2010-09-21,779357.0,54164.0,82123.0,15052.0,577320.0,567166.0,646536.0,664340.0,132822.0,115017.0
2010-09-28,811413.0,62349.0,76660.0,27661.0,590227.0,598063.0,680236.0,702384.0,131177.0,109029.0
2010-10-05,829851.0,73698.0,76889.0,34138.0,584563.0,613416.0,692400.0,724443.0,137451.0,105408.0
2010-10-12,843960.0,68702.0,77112.0,35458.0,601535.0,625599.0,705694.0,738168.0,138266.0,105792.0
2010-10-19,854075.0,71744.0,77980.0,36759.0,614601.0,635726.0,723104.0,750465.0,130971.0,103610.0
2010-10-26,869680.0,78107.0,73923.0,43715.0,620460.0,649461.0,742283.0,767099.0,127397.0,102581.0
2010-11-02,879024.0,82688.0,75060.0,45486.0,633249.0,668121.0,761423.0,788668.0,117601.0,90356.0
2010-11-09,904392.0,82945.0,80798.0,55679.0,644424.0,680586.0,783048.0,817064.0,121344.0,87328.0
2010-11-16,921238.0,86215.0,85101.0,48716.0,646111.0,686161.0,781042.0,819977.0,140196.0,101261.0
2010-11-23,936881.0,79605.0,92002.0,51970.0,665560.0,689956.0,797135.0,833928.0,139746.0,102953.0
2010-11-30,941143.0,77469.0,82306.0,51561.0,676049.0,703227.0,805080.0,837095.0,136063.0,104048.0
2010-12-07,980643.0,75408.0,79933.0,69095.0,685937.0,724090.0,830439.0,873117.0,150204.0,107526.0
2010-12-14,1109473.0,83287.0,71300.0,83795.0,779498.0,826616.0,946580.0,981711.0,162893.0,127763.0
2010-12-21,758336.0,71031.0,70957.0,9970.0,555976.0,591710.0,636977.0,672636.0,121359.0,85699.0
2010-12-28,769754.0,68750.0,74162.0,13088.0,568053.0,594361.0,649891.0,681610.0,119863.0,88143.0
2011-01-04,776403.0,72171.0,76924.0,11836.0,570959.0,603295.0,654966.0,692055.0,121437.0,84348.0
2011-01-11,793466.0,82253.0,76724.0,11982.0,578179.0,624461.0,672415.0,713167.0,121051.0,80299.0
2011-01-18,810682.0,75954.0,82285.0,13265.0,597424.0,626466.0,686643.0,722016.0,124039.0,88666.0
2011-01-25,837948.0,82941.0,82989.0,16004.0,609810.0,649014.0,708755.0,748007.0,129194.0,89942.0
2011-02-01,855085.0,83521.0,84313.0,26232.0,616916.0,660000.0,726669.0,770545.0,128416.0,84540.0
2011-02-08,878168.0,76924.0,93938.0,33693.0,647441.0,660888.0,758058.0,788518.0,120110.0,89649.0
2011-02-15,893447.0,78530.0,94614.0,36526.0,657919.0,671408.0,772975.0,802548.0,120472.0,90898.0
2011-02-22,917177.0,83311.0,101338.0,44042.0,665257.0,673753.0,792609.0,819132.0,124567.0,98045.0
2011-03-01,946217.0,78801.0,96475.0,52797.0,672042.0,695056.0,803640.0,844329.0,142577.0,101888.0
2011-03-08,979528.0,78626.0,97692.0,59055.0,698932.0,715745.0,836612.0,872492.0,142916.0,107036.0
2011-03-15,1173662.0,81187.0,103701.0,112848.0,815196.0,810236.0,1009231.0,1026785.0,164431.0,146877.0
2011-03-22,808947.0,66378.0,93228.0,24007.0,584545.0,575325.0,674930.0,692560.0,134017.0,116388.0
2011-03-29,826332.0,72854.0,95623.0,18580.0,584123.0,595107.0,675557.0,709310.0,150775.0,117022.0
2011-04-05,838763.0,83505.0,93573.0,15079.0,580197.0,610712.0,678782.0,719365.0,159982.0,119399.0
2011-04-12,843173.0,78729.0,101382.0,19053.0,583679.0,601175.0,681461.0,721611.0,161712.0,121562.0
