Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1990-06-29,1238.0,94.0,100.0,414.0,508.0,635.0,1016.0,1149.0,222.0,89.0
1990-07-13,2918.0,374.0,1309.0,467.0,1564.0,882.0,2405.0,2658.0,513.0,260.0
1990-07-31,6507.0,620.0,910.0,682.0,4967.0,4733.0,6269.0,6325.0,238.0,182.0
1990-08-15,7770.0,1920.0,558.0,477.0,5103.0,6656.0,7500.0,7691.0,270.0,79.0
1990-08-31,9435.0,1494.0,528.0,957.0,6779.0,7926.0,9230.0,9411.0,205.0,24.0
1990-09-14,10096.0,3163.0,1318.0,1028.0,5739.0,7700.0,9930.0,10046.0,166.0,50.0
1990-09-28,8564.0,4551.0,1471.0,0.0,3768.0,7026.0,8319.0,8497.0,245.0,67.0
1990-10-15,7036.0,3262.0,987.0,32.0,3227.0,5613.0,6521.0,6632.0,515.0,404.0
1990-10-31,6651.0,2215.0,1013.0,0.0,4095.0,5382.0,6310.0,6395.0,341.0,256.0
1990-11-15,8035.0,1979.0,995.0,61.0,5570.0,6838.0,7610.0,7894.0,425.0,141.0
1990-11-30,7271.0,1290.0,846.0,36.0,5159.0,5848.0,6485.0,6730.0,786.0,541.0
1990-12-14,5907.0,1244.0,606.0,0.0,4387.0,5273.0,5631.0,5879.0,276.0,28.0
1990-12-31,5836.0,1196.0,698.0,0.0,4400.0,5122.0,5596.0,5820.0,240.0,16.0
1991-01-15,7660.0,3469.0,718.0,174.0,3215.0,6734.0,6858.0,7626.0,802.0,34.0
1991-01-31,7877.0,4107.0,607.0,60.0,2694.0,7012.0,6861.0,7679.0,1016.0,198.0
1991-02-15,8742.0,4355.0,545.0,176.0,3092.0,7725.0,7623.0,8446.0,1119.0,296.0
1991-02-28,10137.0,4358.0,562.0,98.0,4774.0,9265.0,9230.0,9925.0,907.0,212.0
1991-03-15,10429.0,4907.0,341.0,0.0,4646.0,9933.0,9553.0,10274.0,876.0,155.0
1991-03-28,8305.0,4682.0,527.0,0.0,2689.0,7673.0,7371.0,8200.0,934.0,105.0
1991-04-15,7562.0,4440.0,1122.0,0.0,2224.0,6224.0,6664.0,7346.0,898.0,216.0
1991-04-30,8084.0,4556.0,1198.0,0.0,2660.0,6527.0,7216.0,7725.0,868.0,359.0
1991-05-15,11949.0,767.0,3871.0,30.0,10264.0,7028.0,11061.0,10929.0,888.0,1020.0
1991-05-31,12223.0,667.0,3301.0,29.0,11418.0,8581.0,12114.0,11911.0,109.0,312.0
1991-06-14,15352.0,848.0,3921.0,95.0,14250.0,11035.0,15193.0,15051.0,159.0,301.0
1991-06-28,14951.0,1216.0,2958.0,0.0,13224.0,11519.0,14440.0,14477.0,511.0,474.0
1991-07-15,15837.0,1190.0,2589.0,0.0,14171.0,12814.0,15361.0,15403.0,476.0,434.0
1991-07-31,11984.0,586.0,2563.0,0.0,10957.0,9257.0,11543.0,11820.0,441.0,164.0
1991-08-15,13409.0,624.0,1768.0,523.0,11831.0,10932.0,12978.0,13223.0,431.0,186.0
1991-08-30,12517.0,402.0,1194.0,25.0,11536.0,10820.0,11963.0,12039.0,554.0,478.0
1991-09-16,17333.0,703.0,798.0,138.0,16404.0,15769.0,17245.0,16705.0,88.0,628.0
1991-09-30,16077.0,541.0,599.0,0.0,15424.0,14860.0,15965.0,15459.0,112.0,618.0
1991-10-15,14885.0,798.0,1285.0,0.0,13808.0,12802.0,14606.0,14087.0,279.0,798.0
1991-10-31,14702.0,1055.0,115.0,169.0,13339.0,13967.0,14563.0,14251.0,139.0,451.0
1991-11-15,17421.0,1042.0,729.0,34.0,16155.0,16203.0,17231.0,16966.0,190.0,455.0
1991-11-29,18950.0,814.0,1807.0,1725.0,16094.0,14788.0,18633.0,18320.0,317.0,630.0
1991-12-13,20692.0,911.0,431.0,1759.0,17843.0,17869.0,20513.0,20059.0,179.0,633.0
1991-12-31,15875.0,822.0,684.0,0.0,14849.0,14839.0,15671.0,15523.0,204.0,352.0
1992-01-15,16665.0,692.0,1852.0,58.0,15824.0,14234.0,16574.0,16144.0,91.0,521.0
1992-01-31,16762.0,749.0,2262.0,0.0,15828.0,13718.0,16577.0,15980.0,185.0,782.0
1992-02-14,16319.0,420.0,2588.0,0.0,15687.0,12935.0,16107.0,15523.0,212.0,796.0
1992-02-28,17069.0,605.0,4211.0,222.0,15976.0,11930.0,16803.0,16363.0,266.0,706.0
1992-03-13,16280.0,317.0,3414.0,980.0,14726.0,11122.0,16023.0,15516.0,257.0,764.0
1992-03-31,12144.0,666.0,3225.0,0.0,11152.0,8546.0,11818.0,11771.0,326.0,373.0
1992-04-15,15159.0,625.0,2664.0,0.0,14407.0,12421.0,15032.0,15085.0,127.0,74.0
1992-04-30,17392.0,1046.0,5655.0,159.0,15905.0,10968.0,17110.0,16782.0,282.0,610.0
1992-05-15,18169.0,686.0,5113.0,518.0,16177.0,11980.0,17381.0,17611.0,788.0,558.0
1992-05-29,20287.0,548.0,4819.0,0.0,19412.0,14679.0,19960.0,19498.0,327.0,789.0
1992-06-15,24561.0,0.0,2401.0,0.0,22857.0,17492.0,22857.0,19893.0,1704.0,4668.0
1992-06-30,20840.0,0.0,264.0,0.0,19334.0,15284.0,19334.0,15548.0,1506.0,5292.0
1992-07-15,20935.0,0.0,0.0,0.0,19794.0,16214.0,19794.0,16214.0,1141.0,4721.0
1992-07-31,24023.0,289.0,1722.0,235.0,22922.0,15229.0,23446.0,17186.0,577.0,6837.0
1992-08-14,21193.0,289.0,200.0,0.0,19502.0,15026.0,19791.0,15226.0,1402.0,5967.0
1992-08-31,19438.0,0.0,0.0,0.0,17667.0,14539.0,17667.0,14539.0,1771.0,4899.0
1992-09-15,19361.0,0.0,502.0,0.0,17451.0,14174.0,17451.0,14676.0,1910.0,4685.0
1992-09-30,13058.0,0.0,0.0,0.0,11630.0,9365.0,11630.0,9365.0,1428.0,3693.0
1992-10-06,13054.0,0.0,0.0,0.0,11465.0,9423.0,11465.0,9423.0,1589.0,3631.0
