Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,322195.0,18627.0,31805.0,12957.0,202310.0,181722.0,233894.0,226484.0,88301.0,95711.0
1986-01-31,321761.0,20190.0,34948.0,16136.0,206990.0,181693.0,243316.0,232777.0,78445.0,88984.0
1986-02-14,316881.0,28698.0,25424.0,10880.0,195154.0,195307.0,234732.0,231611.0,82149.0,85270.0
1986-02-28,301948.0,30547.0,17723.0,10991.0,191742.0,195870.0,233280.0,224584.0,68668.0,77364.0
1986-03-14,262027.0,17675.0,20868.0,9354.0,170750.0,165077.0,197779.0,195299.0,64248.0,66728.0
1986-03-31,244703.0,27838.0,19232.0,9931.0,150615.0,152522.0,188384.0,181685.0,56319.0,63018.0
1986-04-15,251279.0,38033.0,20137.0,9000.0,148442.0,166279.0,195475.0,195416.0,55804.0,55863.0
1986-04-30,240052.0,16484.0,17600.0,8112.0,155480.0,148428.0,180076.0,174140.0,59976.0,65912.0
1986-05-15,250140.0,14592.0,19014.0,8408.0,159098.0,148550.0,182098.0,175972.0,68042.0,74168.0
1986-05-30,209703.0,13149.0,14665.0,8088.0,128403.0,124658.0,149640.0,147411.0,60063.0,62292.0
1986-06-13,210112.0,15103.0,23819.0,9640.0,129492.0,122129.0,154235.0,155588.0,55877.0,54524.0
1986-06-30,195423.0,14022.0,9339.0,9275.0,105042.0,112767.0,128339.0,131381.0,67084.0,64042.0
1986-07-15,208033.0,20373.0,12873.0,4703.0,106729.0,109679.0,131805.0,127255.0,76228.0,80778.0
1986-07-31,214113.0,8885.0,18588.0,6809.0,123730.0,117090.0,139424.0,142487.0,74689.0,71626.0
1986-08-15,202348.0,16342.0,10987.0,2925.0,106428.0,115123.0,125695.0,129035.0,76653.0,73313.0
1986-08-29,181160.0,23965.0,7611.0,4936.0,79322.0,97761.0,108223.0,110308.0,72937.0,70852.0
1986-09-15,186481.0,6554.0,9465.0,4852.0,105354.0,100460.0,116760.0,114777.0,69721.0,71704.0
1986-09-30,207442.0,10248.0,23387.0,5759.0,114994.0,102791.0,131001.0,131937.0,76441.0,75505.0
1986-10-15,230720.0,13000.0,18349.0,10054.0,129982.0,121506.0,153036.0,149909.0,77684.0,80811.0
1986-10-31,232370.0,11202.0,16266.0,8319.0,134004.0,124104.0,153525.0,148689.0,78845.0,83681.0
1986-11-14,246228.0,22188.0,13756.0,12644.0,136239.0,116939.0,171071.0,143339.0,75157.0,102889.0
1986-11-28,229245.0,10773.0,11068.0,8796.0,128199.0,120892.0,147768.0,140756.0,81477.0,88489.0
1986-12-15,242833.0,10870.0,16299.0,16883.0,130792.0,126289.0,158545.0,159471.0,84288.0,83362.0
1986-12-31,229286.0,7810.0,23065.0,15114.0,133684.0,110163.0,156608.0,148342.0,72678.0,80944.0
1987-01-15,253540.0,10927.0,30375.0,12409.0,139395.0,116122.0,162731.0,158906.0,90809.0,94634.0
1987-01-30,283663.0,3604.0,45906.0,15485.0,169622.0,109947.0,188711.0,171338.0,94952.0,112325.0
1987-02-13,305914.0,13242.0,38027.0,21595.0,181982.0,137087.0,216819.0,196709.0,89095.0,109205.0
1987-02-27,253319.0,11067.0,21416.0,8472.0,160897.0,133837.0,180436.0,163725.0,72883.0,89594.0
1987-03-13,227632.0,25368.0,33924.0,5282.0,133233.0,108953.0,163883.0,148159.0,63749.0,79473.0
1987-03-31,235112.0,22054.0,32464.0,10539.0,139125.0,104621.0,171718.0,147624.0,63394.0,87488.0
1987-04-15,295108.0,22265.0,36801.0,13226.0,165291.0,132833.0,200782.0,182860.0,94326.0,112248.0
1987-04-30,327190.0,19394.0,28692.0,19112.0,186035.0,159704.0,224541.0,207508.0,102649.0,119682.0
1987-05-15,300666.0,19403.0,30909.0,17180.0,155653.0,129845.0,192236.0,177934.0,108430.0,122732.0
1987-05-29,238276.0,10903.0,22419.0,8743.0,143262.0,108277.0,162908.0,139439.0,75368.0,98837.0
1987-06-15,257557.0,18700.0,27903.0,7864.0,147446.0,113175.0,174010.0,148942.0,83547.0,108615.0
1987-06-30,255147.0,8746.0,35524.0,8757.0,175978.0,119372.0,193481.0,163653.0,61666.0,91494.0
1987-07-15,272823.0,13347.0,41181.0,10138.0,179123.0,117283.0,202608.0,168602.0,70215.0,104221.0
1987-07-31,290843.0,6617.0,52828.0,18125.0,186587.0,114204.0,211329.0,185157.0,79514.0,105686.0
1987-08-14,298685.0,27960.0,44998.0,17717.0,179130.0,132720.0,224807.0,195435.0,73878.0,103250.0
1987-08-31,320233.0,12069.0,32679.0,26167.0,196503.0,154664.0,234739.0,213510.0,85494.0,106723.0
1987-09-15,339131.0,16517.0,34999.0,14390.0,221714.0,188080.0,252621.0,237469.0,86510.0,101662.0
1987-09-30,352343.0,25204.0,24295.0,17149.0,227351.0,199057.0,269704.0,240501.0,82639.0,111842.0
1987-10-15,426098.0,25871.0,34319.0,26022.0,280793.0,263098.0,332686.0,323439.0,93412.0,102659.0
1987-10-30,366522.0,17136.0,37591.0,20957.0,263390.0,213067.0,301483.0,271615.0,65039.0,94907.0
1987-11-13,339376.0,3915.0,43252.0,13248.0,254590.0,189669.0,271753.0,246169.0,67623.0,93207.0
1987-11-30,296439.0,3730.0,35400.0,6273.0,218474.0,166570.0,228477.0,208243.0,67962.0,88196.0
1987-12-15,301604.0,6227.0,35696.0,6990.0,224982.0,170662.0,238199.0,213348.0,63405.0,88256.0
1987-12-31,262326.0,10281.0,28396.0,11330.0,178163.0,137661.0,199774.0,177387.0,62552.0,84939.0
1988-01-15,290033.0,8414.0,38324.0,11739.0,202656.0,156239.0,222809.0,206302.0,67224.0,83731.0
1988-01-29,312041.0,8953.0,33124.0,11233.0,215800.0,170430.0,235986.0,214787.0,76055.0,97254.0
1988-02-12,341454.0,19477.0,47331.0,9702.0,231101.0,169648.0,260280.0,226681.0,81174.0,114773.0
1988-02-29,315522.0,15604.0,36509.0,17984.0,214598.0,162024.0,248186.0,216517.0,67336.0,99005.0
1988-03-15,301799.0,16691.0,39831.0,10695.0,200948.0,153074.0,228334.0,203600.0,73465.0,98199.0
1988-03-31,310913.0,10420.0,37272.0,28099.0,201960.0,151406.0,240479.0,216777.0,70434.0,94136.0
1988-04-15,312610.0,8851.0,31090.0,25408.0,190924.0,152934.0,225183.0,209432.0,87427.0,103178.0
1988-04-29,345027.0,10352.0,24236.0,29376.0,225100.0,186628.0,264828.0,240240.0,80199.0,104787.0
1988-05-13,362121.0,15317.0,22540.0,30328.0,219228.0,200336.0,264873.0,253204.0,97248.0,108917.0
1988-05-31,358097.0,8883.0,29421.0,15251.0,229482.0,191370.0,253616.0,236042.0,104481.0,122055.0
1988-06-15,413746.0,9873.0,35139.0,26424.0,280687.0,259133.0,316984.0,320696.0,96762.0,93050.0
1988-06-30,379879.0,12309.0,43294.0,25048.0,251156.0,217247.0,288513.0,285589.0,91366.0,94290.0
1988-07-15,439597.0,16068.0,38656.0,49168.0,288896.0,242115.0,354132.0,329939.0,85465.0,109658.0
1988-07-29,472970.0,16422.0,35524.0,65229.0,313003.0,268335.0,394654.0,369088.0,78316.0,103882.0
1988-08-15,490215.0,11604.0,36172.0,69980.0,317641.0,270175.0,399225.0,376327.0,90990.0,113888.0
1988-08-31,467256.0,9356.0,24734.0,69822.0,303294.0,256116.0,382472.0,350672.0,84784.0,116584.0
1988-09-15,475882.0,9640.0,43295.0,64795.0,310564.0,259991.0,384999.0,368081.0,90883.0,107801.0
1988-09-30,478649.0,15721.0,40711.0,64085.0,313458.0,272915.0,393264.0,377711.0,85385.0,100938.0
1988-10-14,480681.0,21145.0,52073.0,45438.0,304702.0,270473.0,371285.0,367984.0,109396.0,112697.0
1988-10-31,470729.0,25714.0,49926.0,39162.0,304604.0,270931.0,369480.0,360019.0,101249.0,110710.0
1988-11-15,483327.0,25802.0,64660.0,28006.0,336089.0,270506.0,389897.0,363172.0,93430.0,120155.0
1988-11-30,441163.0,19780.0,43962.0,32792.0,290651.0,243370.0,343223.0,320124.0,97940.0,121039.0
1988-12-15,424062.0,28497.0,53655.0,36033.0,267567.0,222741.0,332097.0,312429.0,91965.0,111633.0
1988-12-30,361658.0,24215.0,57023.0,30515.0,225148.0,183315.0,279878.0,270853.0,81780.0,90805.0
1989-01-13,401375.0,36689.0,50842.0,33269.0,226524.0,213594.0,296482.0,297705.0,104893.0,103670.0
1989-01-31,419808.0,33012.0,57949.0,40112.0,234041.0,216944.0,307165.0,315005.0,112643.0,104803.0
1989-02-15,361814.0,27564.0,44643.0,18887.0,209141.0,180996.0,255592.0,244526.0,106222.0,117288.0
1989-02-28,306899.0,14546.0,19944.0,12937.0,194498.0,154500.0,221981.0,187381.0,84918.0,119518.0
1989-03-15,295991.0,11496.0,27813.0,8018.0,192301.0,149228.0,211815.0,185059.0,84176.0,110932.0
1989-03-31,292927.0,13150.0,27900.0,7073.0,192635.0,165215.0,212858.0,200188.0,80069.0,92739.0
1989-04-14,312986.0,13697.0,27886.0,8060.0,187624.0,174574.0,209381.0,210520.0,103605.0,102466.0
1989-04-28,326999.0,23832.0,44234.0,10855.0,194329.0,179143.0,229016.0,234232.0,97983.0,92767.0
1989-05-15,317984.0,23360.0,31602.0,21244.0,171678.0,170406.0,216282.0,223252.0,101702.0,94732.0
1989-05-31,317139.0,33553.0,22872.0,15676.0,164978.0,184474.0,214207.0,223022.0,102932.0,94117.0
1989-06-15,317466.0,41877.0,41087.0,7252.0,160413.0,167790.0,209542.0,216129.0,107924.0,101337.0
1989-06-30,322835.0,37120.0,36403.0,12093.0,170276.0,179572.0,219489.0,228068.0,103346.0,94767.0
1989-07-14,327885.0,33944.0,42689.0,17997.0,175446.0,166262.0,227387.0,226948.0,100498.0,100937.0
1989-07-31,352210.0,41308.0,32975.0,30412.0,176998.0,188895.0,248718.0,252282.0,103492.0,99928.0
1989-08-15,334530.0,30135.0,31964.0,14432.0,186006.0,171520.0,230573.0,217916.0,103957.0,116614.0
1989-08-31,286429.0,29996.0,15635.0,11604.0,145625.0,155642.0,187225.0,182881.0,99204.0,103548.0
1989-09-15,299719.0,43709.0,20066.0,8666.0,141885.0,170465.0,194260.0,199197.0,105459.0,100522.0
