Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1987-01-13,Price_AD_0_IOB,Australian Dollar,0.0432,0.0442,0.0392,0.0394,1854.0,,,,,,,,,,
1987-01-14,Price_AD_0_IOB,Australian Dollar,0.0293,0.0305,0.026,0.0271,1522.0,,,,,,,,,,
1987-01-15,Price_AD_0_IOB,Australian Dollar,0.0372,0.0373,0.0359,0.0361,571.0,,,,,,,,,,
1987-01-16,Price_AD_0_IOB,Australian Dollar,0.038,0.0392,0.038,0.0389,556.0,,,,,,,,,,
1987-01-19,Price_AD_0_IOB,Australian Dollar,0.0388,0.0422,0.0388,0.0407,516.0,,,,,,,,,,
1987-01-20,Price_AD_0_IOB,Australian Dollar,0.0522,0.0527,0.0472,0.0472,376.0,,,,,,,,,,
1987-01-21,Price_AD_0_IOB,Australian Dollar,0.0482,0.049,0.0479,0.049,273.0,,,,,,,,,,
1987-01-22,Price_AD_0_IOB,Australian Dollar,0.0479,0.048,0.0467,0.0476,588.0,,,,,,,,,,
1987-01-23,Price_AD_0_IOB,Australian Dollar,0.05,0.0501,0.0496,0.0496,269.0,,,,,,,,,,
1987-01-26,Price_AD_0_IOB,Australian Dollar,0.0525,0.0525,0.0508,0.0513,254.0,,,,,,,,,,
1987-01-27,Price_AD_0_IOB,Australian Dollar,0.0509,0.0512,0.0489,0.0492,543.0,,,,,,,,,,
1987-01-28,Price_AD_0_IOB,Australian Dollar,0.0468,0.0492,0.0468,0.0488,506.0,,,,,,,,,,
1987-01-29,Price_AD_0_IOB,Australian Dollar,0.0502,0.0508,0.0498,0.05,195.0,,,,,,,,,,
1987-01-30,Price_AD_0_IOB,Australian Dollar,0.0502,0.0505,0.0498,0.0501,60.0,1687.0,392.0,210.0,0.0,610.0,294.0,1002.0,504.0,685.0,1183.0
1987-02-02,Price_AD_0_IOB,Australian Dollar,0.0503,0.0504,0.0499,0.0501,165.0,,,,,,,,,,
1987-02-03,Price_AD_0_IOB,Australian Dollar,0.0548,0.0554,0.0542,0.0548,549.0,,,,,,,,,,
1987-02-04,Price_AD_0_IOB,Australian Dollar,0.059,0.0593,0.0582,0.059,394.0,,,,,,,,,,
1987-02-05,Price_AD_0_IOB,Australian Dollar,0.0582,0.0592,0.0581,0.0585,535.0,,,,,,,,,,
1987-02-06,Price_AD_0_IOB,Australian Dollar,0.0595,0.0604,0.0591,0.0602,181.0,,,,,,,,,,
1987-02-09,Price_AD_0_IOB,Australian Dollar,0.0565,0.0566,0.053,0.0533,205.0,,,,,,,,,,
1987-02-10,Price_AD_0_IOB,Australian Dollar,0.0573,0.059,0.0565,0.0582,248.0,,,,,,,,,,
1987-02-11,Price_AD_0_IOB,Australian Dollar,0.0591,0.0594,0.0588,0.0591,228.0,,,,,,,,,,
1987-02-12,Price_AD_0_IOB,Australian Dollar,0.0584,0.0591,0.0582,0.0582,367.0,,,,,,,,,,
1987-02-13,Price_AD_0_IOB,Australian Dollar,0.0569,0.0569,0.0561,0.0562,150.0,,,,,,,,,,
1987-02-17,Price_AD_0_IOB,Australian Dollar,0.0544,0.0544,0.0541,0.0542,140.0,,,,,,,,,,
1987-02-18,Price_AD_0_IOB,Australian Dollar,0.0581,0.0597,0.0581,0.0589,345.0,,,,,,,,,,
1987-02-19,Price_AD_0_IOB,Australian Dollar,0.059,0.0592,0.0584,0.0587,180.0,,,,,,,,,,
1987-02-20,Price_AD_0_IOB,Australian Dollar,0.058,0.0603,0.0574,0.0603,214.0,,,,,,,,,,
1987-02-23,Price_AD_0_IOB,Australian Dollar,0.0607,0.0614,0.0607,0.0611,120.0,,,,,,,,,,
1987-02-24,Price_AD_0_IOB,Australian Dollar,0.0633,0.0636,0.0629,0.0629,360.0,,,,,,,,,,
1987-02-25,Price_AD_0_IOB,Australian Dollar,0.0686,0.0697,0.0679,0.0697,720.0,,,,,,,,,,
1987-02-26,Price_AD_0_IOB,Australian Dollar,0.0686,0.0692,0.0686,0.0688,134.0,,,,,,,,,,
1987-02-27,Price_AD_0_IOB,Australian Dollar,0.0703,0.0723,0.0703,0.0714,295.0,,,,,,,,,,
