Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1950-07-17,Price_BO20_IOB,Soybean Oil,4.27,4.62,4.16,4.47,63,,,,,,,,,,
1950-07-18,Price_BO20_IOB,Soybean Oil,4.62,4.67,3.78,3.87,0,,,,,,,,,,
1950-07-19,Price_BO20_IOB,Soybean Oil,3.65,3.97,3.37,3.82,160,,,,,,,,,,
1950-07-20,Price_BO20_IOB,Soybean Oil,3.77,3.87,3.72,3.75,68,,,,,,,,,,
1950-07-21,Price_BO20_IOB,Soybean Oil,3.82,4.17,3.82,3.92,92,,,,,,,,,,
1950-07-24,Price_BO20_IOB,Soybean Oil,3.82,3.9,3.77,3.77,44,,,,,,,,,,
1950-07-25,Price_BO20_IOB,Soybean Oil,3.84,4.44,3.84,4.44,171,,,,,,,,,,
1950-07-26,Price_BO20_IOB,Soybean Oil,4.54,4.92,4.47,4.52,175,,,,,,,,,,
1950-07-27,Price_BO20_IOB,Soybean Oil,4.52,4.72,4.15,4.26,129,,,,,,,,,,
1950-07-28,Price_BO20_IOB,Soybean Oil,4.27,4.31,3.92,4.17,107,,,,,,,,,,
1950-07-31,Price_BO20_IOB,Soybean Oil,3.79,3.92,3.79,3.92,20,,,,,,,,,,
1950-08-01,Price_BO20_IOB,Soybean Oil,3.82,3.85,3.59,3.57,20,,,,,,,,,,
1950-08-02,Price_BO20_IOB,Soybean Oil,3.67,3.77,3.47,3.67,42,,,,,,,,,,
1950-08-03,Price_BO20_IOB,Soybean Oil,3.99,3.99,3.62,3.47,4,,,,,,,,,,
1950-08-04,Price_BO20_IOB,Soybean Oil,3.52,3.55,3.07,3.32,70,,,,,,,,,,
1950-08-07,Price_BO20_IOB,Soybean Oil,3.17,3.42,3.17,3.42,0,,,,,,,,,,
1950-08-08,Price_BO20_IOB,Soybean Oil,3.37,3.72,3.37,3.62,46,,,,,,,,,,
1950-08-09,Price_BO20_IOB,Soybean Oil,3.42,3.5,3.32,3.39,77,,,,,,,,,,
1950-08-10,Price_BO20_IOB,Soybean Oil,3.37,3.52,3.32,3.42,23,,,,,,,,,,
1950-08-11,Price_BO20_IOB,Soybean Oil,3.85,3.92,3.62,3.72,24,,,,,,,,,,
1950-08-14,Price_BO20_IOB,Soybean Oil,3.72,3.72,3.72,3.72,0,,,,,,,,,,
1950-08-15,Price_BO20_IOB,Soybean Oil,3.77,3.92,3.69,3.92,27,,,,,,,,,,
1950-08-16,Price_BO20_IOB,Soybean Oil,4.12,4.17,4.02,4.1,47,,,,,,,,,,
1950-08-17,Price_BO20_IOB,Soybean Oil,4.15,4.17,4.02,4.07,77,,,,,,,,,,
1950-08-18,Price_BO20_IOB,Soybean Oil,4.08,4.28,4.08,4.28,57,,,,,,,,,,
1950-08-21,Price_BO20_IOB,Soybean Oil,4.23,4.23,4.23,4.23,0,,,,,,,,,,
1950-08-22,Price_BO20_IOB,Soybean Oil,4.08,4.18,4.08,4.03,25,,,,,,,,,,
1950-08-23,Price_BO20_IOB,Soybean Oil,4.18,4.35,4.18,4.35,31,,,,,,,,,,
1950-08-24,Price_BO20_IOB,Soybean Oil,4.18,4.26,4.18,4.23,44,,,,,,,,,,
1950-08-25,Price_BO20_IOB,Soybean Oil,4.28,4.28,4.28,4.28,20,,,,,,,,,,
1950-08-28,Price_BO20_IOB,Soybean Oil,4.48,4.48,4.43,4.43,0,,,,,,,,,,
1950-08-29,Price_BO20_IOB,Soybean Oil,4.48,4.73,4.48,4.73,0,,,,,,,,,,
1950-08-30,Price_BO20_IOB,Soybean Oil,4.75,4.83,4.75,4.76,0,,,,,,,,,,
1950-08-31,Price_BO20_IOB,Soybean Oil,4.78,4.82,4.71,4.73,0,,,,,,,,,,
1950-09-01,Price_BO20_IOB,Soybean Oil,4.58,4.68,4.58,4.63,23,,,,,,,,,,
1950-09-05,Price_BO20_IOB,Soybean Oil,4.78,4.88,4.78,4.78,24,,,,,,,,,,
1950-09-06,Price_BO20_IOB,Soybean Oil,4.88,4.98,4.81,4.83,45,,,,,,,,,,
1950-09-07,Price_BO20_IOB,Soybean Oil,4.73,4.73,4.43,4.48,58,,,,,,,,,,
1950-09-08,Price_BO20_IOB,Soybean Oil,4.38,4.8,4.38,4.59,64,,,,,,,,,,
1950-09-11,Price_BO20_IOB,Soybean Oil,4.63,4.68,4.58,4.58,41,,,,,,,,,,
1950-09-12,Price_BO20_IOB,Soybean Oil,4.68,4.78,4.63,4.63,29,,,,,,,,,,
1950-09-13,Price_BO20_IOB,Soybean Oil,4.58,4.58,4.44,4.38,42,,,,,,,,,,
1950-09-14,Price_BO20_IOB,Soybean Oil,4.63,4.65,4.53,4.65,8,,,,,,,,,,
1950-09-15,Price_BO20_IOB,Soybean Oil,4.53,4.63,4.36,4.33,36,,,,,,,,,,
1950-09-18,Price_BO20_IOB,Soybean Oil,4.03,4.04,3.8,3.88,38,,,,,,,,,,
1950-09-19,Price_BO20_IOB,Soybean Oil,3.78,3.83,3.68,3.68,34,,,,,,,,,,
1950-09-20,Price_BO20_IOB,Soybean Oil,3.78,3.83,3.68,3.68,52,,,,,,,,,,
1950-09-21,Price_BO20_IOB,Soybean Oil,3.78,4.03,3.78,4.03,20,,,,,,,,,,
1950-09-22,Price_BO20_IOB,Soybean Oil,4.08,4.08,3.93,3.88,21,,,,,,,,,,
1950-09-25,Price_BO20_IOB,Soybean Oil,3.7,3.73,3.54,3.67,104,,,,,,,,,,
1950-09-26,Price_BO20_IOB,Soybean Oil,3.57,3.58,3.48,3.48,28,,,,,,,,,,
1950-09-27,Price_BO20_IOB,Soybean Oil,3.51,3.56,3.42,3.38,101,,,,,,,,,,
1950-09-28,Price_BO20_IOB,Soybean Oil,3.38,3.68,3.36,3.68,36,,,,,,,,,,
1950-09-29,Price_BO20_IOB,Soybean Oil,3.73,3.73,3.42,3.38,34,,,,,,,,,,
1950-10-02,Price_BO20_IOB,Soybean Oil,3.53,3.83,3.51,3.63,41,,,,,,,,,,
1950-10-03,Price_BO20_IOB,Soybean Oil,3.84,4.03,3.78,3.98,43,,,,,,,,,,
1950-10-04,Price_BO20_IOB,Soybean Oil,3.83,3.83,3.58,3.53,55,,,,,,,,,,
1950-10-05,Price_BO20_IOB,Soybean Oil,3.63,3.98,3.63,3.98,72,,,,,,,,,,
1950-10-06,Price_BO20_IOB,Soybean Oil,3.98,4.36,3.92,4.33,193,,,,,,,,,,
1950-10-09,Price_BO20_IOB,Soybean Oil,4.18,4.18,3.98,4.18,53,,,,,,,,,,
1950-10-10,Price_BO20_IOB,Soybean Oil,4.18,4.18,4.01,4.03,79,,,,,,,,,,
1950-10-11,Price_BO20_IOB,Soybean Oil,4.08,4.28,4.08,4.16,0,,,,,,,,,,
1950-10-13,Price_BO20_IOB,Soybean Oil,3.93,3.93,3.78,3.83,47,,,,,,,,,,
1950-10-16,Price_BO20_IOB,Soybean Oil,3.73,3.83,3.63,3.78,100,,,,,,,,,,
1950-10-17,Price_BO20_IOB,Soybean Oil,3.88,4.23,3.83,4.23,127,,,,,,,,,,
1950-10-18,Price_BO20_IOB,Soybean Oil,4.38,4.88,4.29,4.88,266,,,,,,,,,,
1950-10-19,Price_BO20_IOB,Soybean Oil,4.85,4.85,4.48,4.53,302,,,,,,,,,,
1950-10-20,Price_BO20_IOB,Soybean Oil,4.53,4.95,4.53,4.83,142,,,,,,,,,,
1950-10-23,Price_BO20_IOB,Soybean Oil,5.21,5.21,4.92,4.98,208,,,,,,,,,,
1950-10-24,Price_BO20_IOB,Soybean Oil,5.03,5.08,4.91,5.08,184,,,,,,,,,,
1950-10-25,Price_BO20_IOB,Soybean Oil,5.38,5.63,5.18,5.38,281,,,,,,,,,,
1950-10-26,Price_BO20_IOB,Soybean Oil,5.48,5.7,5.28,5.55,193,,,,,,,,,,
1950-10-27,Price_BO20_IOB,Soybean Oil,5.75,6.03,5.49,5.83,270,,,,,,,,,,
1950-10-30,Price_BO20_IOB,Soybean Oil,6.18,6.23,5.96,6.08,186,,,,,,,,,,
1950-10-31,Price_BO20_IOB,Soybean Oil,5.98,6.53,5.78,6.46,338,,,,,,,,,,
1950-11-01,Price_BO20_IOB,Soybean Oil,6.58,6.64,6.28,6.26,297,,,,,,,,,,
1950-11-02,Price_BO20_IOB,Soybean Oil,6.31,6.95,6.28,6.88,251,,,,,,,,,,
1950-11-03,Price_BO20_IOB,Soybean Oil,6.96,7.1,6.9,6.95,301,,,,,,,,,,
1950-11-06,Price_BO20_IOB,Soybean Oil,7.38,8.68,7.33,7.73,377,,,,,,,,,,
1950-11-08,Price_BO20_IOB,Soybean Oil,7.08,7.63,7.08,7.18,211,,,,,,,,,,
1950-11-09,Price_BO20_IOB,Soybean Oil,7.68,7.68,7.08,7.36,336,,,,,,,,,,
1950-11-10,Price_BO20_IOB,Soybean Oil,7.33,7.63,7.33,7.63,417,,,,,,,,,,
1950-11-13,Price_BO20_IOB,Soybean Oil,7.68,8.23,7.58,8.02,283,,,,,,,,,,
1950-11-14,Price_BO20_IOB,Soybean Oil,8.08,8.2,7.86,7.98,348,,,,,,,,,,
1950-11-15,Price_BO20_IOB,Soybean Oil,7.88,8.05,7.73,8.05,763,,,,,,,,,,
1950-11-16,Price_BO20_IOB,Soybean Oil,8.13,8.14,7.68,7.68,387,,,,,,,,,,
1950-11-17,Price_BO20_IOB,Soybean Oil,7.73,8.03,7.48,8.03,363,,,,,,,,,,
1950-11-20,Price_BO20_IOB,Soybean Oil,8.33,8.38,8.13,8.18,263,,,,,,,,,,
1950-11-21,Price_BO20_IOB,Soybean Oil,8.08,8.08,7.9,7.96,141,,,,,,,,,,
1950-11-22,Price_BO20_IOB,Soybean Oil,7.96,8.08,7.76,8.0,261,,,,,,,,,,
1950-11-24,Price_BO20_IOB,Soybean Oil,7.53,7.53,6.63,6.66,676,,,,,,,,,,
1950-11-27,Price_BO20_IOB,Soybean Oil,7.68,7.7,7.28,7.33,223,,,,,,,,,,
1950-11-28,Price_BO20_IOB,Soybean Oil,7.88,7.93,7.6,7.58,301,,,,,,,,,,
1950-11-29,Price_BO20_IOB,Soybean Oil,7.88,8.03,7.23,7.23,344,,,,,,,,,,
1950-11-30,Price_BO20_IOB,Soybean Oil,7.38,7.85,7.38,7.76,293,,,,,,,,,,
1950-12-01,Price_BO20_IOB,Soybean Oil,7.93,8.04,7.78,8.01,289,,,,,,,,,,
1950-12-04,Price_BO20_IOB,Soybean Oil,8.13,8.13,7.58,8.05,381,,,,,,,,,,
1950-12-05,Price_BO20_IOB,Soybean Oil,7.88,8.43,7.8,8.42,311,,,,,,,,,,
1950-12-06,Price_BO20_IOB,Soybean Oil,8.46,8.56,8.18,8.23,288,,,,,,,,,,
1950-12-07,Price_BO20_IOB,Soybean Oil,8.33,8.38,8.12,8.33,239,,,,,,,,,,
1950-12-08,Price_BO20_IOB,Soybean Oil,8.28,8.57,8.28,8.53,168,,,,,,,,,,
1950-12-11,Price_BO20_IOB,Soybean Oil,8.38,8.58,8.16,8.56,196,,,,,,,,,,
1950-12-12,Price_BO20_IOB,Soybean Oil,8.58,8.75,8.13,8.36,231,,,,,,,,,,
1950-12-13,Price_BO20_IOB,Soybean Oil,8.38,8.53,8.23,8.53,215,,,,,,,,,,
1950-12-14,Price_BO20_IOB,Soybean Oil,8.58,8.79,8.58,8.71,237,,,,,,,,,,
1950-12-15,Price_BO20_IOB,Soybean Oil,8.68,9.33,8.68,9.28,187,,,,,,,,,,
1950-12-18,Price_BO20_IOB,Soybean Oil,9.58,10.16,9.58,10.1,243,,,,,,,,,,
1950-12-19,Price_BO20_IOB,Soybean Oil,10.2,10.48,9.88,10.26,441,,,,,,,,,,
1950-12-20,Price_BO20_IOB,Soybean Oil,10.09,10.17,9.66,10.1,329,,,,,,,,,,
1950-12-21,Price_BO20_IOB,Soybean Oil,10.09,10.09,9.92,9.99,151,,,,,,,,,,
1950-12-22,Price_BO20_IOB,Soybean Oil,9.99,10.14,9.99,10.14,164,,,,,,,,,,
1950-12-26,Price_BO20_IOB,Soybean Oil,10.29,10.32,10.18,10.19,150,,,,,,,,,,
1950-12-27,Price_BO20_IOB,Soybean Oil,10.22,10.27,9.96,10.04,162,,,,,,,,,,
1950-12-28,Price_BO20_IOB,Soybean Oil,10.04,10.11,9.96,10.06,160,,,,,,,,,,
1950-12-29,Price_BO20_IOB,Soybean Oil,10.12,10.19,9.94,9.96,128,,,,,,,,,,
1951-01-02,Price_BO20_IOB,Soybean Oil,10.04,10.04,9.94,9.97,70,,,,,,,,,,
