Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1972-05-16,Price_BP_0_IOB,British Pound,1.3181,1.3181,1.3177,1.3177,33.0,,,,,,,,,,
1972-05-17,Price_BP_0_IOB,British Pound,1.3179,1.3207,1.3179,1.3179,238.0,,,,,,,,,,
1972-05-18,Price_BP_0_IOB,British Pound,1.3189,1.3189,1.3189,1.3189,86.0,,,,,,,,,,
1972-05-19,Price_BP_0_IOB,British Pound,1.3193,1.3193,1.3193,1.3193,112.0,,,,,,,,,,
1972-05-22,Price_BP_0_IOB,British Pound,1.3193,1.3193,1.3193,1.3193,4.0,,,,,,,,,,
1972-05-23,Price_BP_0_IOB,British Pound,1.3175,1.3175,1.3171,1.3171,219.0,,,,,,,,,,
1972-05-24,Price_BP_0_IOB,British Pound,1.3171,1.3195,1.3171,1.3187,171.0,,,,,,,,,,
1972-05-25,Price_BP_0_IOB,British Pound,1.3177,1.3179,1.3167,1.3167,74.0,,,,,,,,,,
1972-05-26,Price_BP_0_IOB,British Pound,1.3161,1.3163,1.3161,1.3163,155.0,,,,,,,,,,
1972-05-30,Price_BP_0_IOB,British Pound,1.3165,1.3167,1.3165,1.3165,67.0,,,,,,,,,,
1972-05-31,Price_BP_0_IOB,British Pound,1.3153,1.3153,1.3151,1.3151,283.0,,,,,,,,,,
1972-06-01,Price_BP_0_IOB,British Pound,1.3147,1.3147,1.3141,1.3141,238.0,,,,,,,,,,
1972-06-02,Price_BP_0_IOB,British Pound,1.3129,1.3129,1.3127,1.3127,111.0,,,,,,,,,,
1972-06-05,Price_BP_0_IOB,British Pound,1.3101,1.3103,1.3101,1.3103,137.0,,,,,,,,,,
1972-06-06,Price_BP_0_IOB,British Pound,1.3111,1.3115,1.3111,1.3115,131.0,,,,,,,,,,
1972-06-07,Price_BP_0_IOB,British Pound,1.3119,1.3119,1.3117,1.3117,245.0,,,,,,,,,,
1972-06-08,Price_BP_0_IOB,British Pound,1.3107,1.3107,1.3105,1.3105,208.0,,,,,,,,,,
1972-06-09,Price_BP_0_IOB,British Pound,1.3095,1.3095,1.3095,1.3095,9.0,,,,,,,,,,
1972-06-12,Price_BP_0_IOB,British Pound,1.3061,1.3063,1.3041,1.3063,121.0,,,,,,,,,,
1972-06-13,Price_BP_0_IOB,British Pound,1.3021,1.3047,1.3021,1.3045,142.0,,,,,,,,,,
1972-06-14,Price_BP_0_IOB,British Pound,1.3011,1.3011,1.3011,1.3011,16.0,,,,,,,,,,
1972-06-15,Price_BP_0_IOB,British Pound,1.2875,1.2895,1.2875,1.2891,20.0,,,,,,,,,,
1972-06-16,Price_BP_0_IOB,British Pound,1.2803,1.2805,1.2801,1.2805,131.0,,,,,,,,,,
1972-06-19,Price_BP_0_IOB,British Pound,1.2871,1.2871,1.2691,1.2691,127.0,,,,,,,,,,
