Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1972-05-16,Price_CD_0_IOB,Canadian Dollar,0.8098,0.8098,0.8085,0.8085,35.0,,,,,,,,,,
1972-05-17,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8098,0.8092,0.8094,450.0,,,,,,,,,,
1972-05-18,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8096,0.8089,0.8096,466.0,,,,,,,,,,
1972-05-19,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,647.0,,,,,,,,,,
1972-05-22,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,415.0,,,,,,,,,,
1972-05-23,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,426.0,,,,,,,,,,
1972-05-24,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,1320.0,,,,,,,,,,
1972-05-25,Price_CD_0_IOB,Canadian Dollar,0.8122,0.8122,0.8122,0.8122,308.0,,,,,,,,,,
1972-05-26,Price_CD_0_IOB,Canadian Dollar,0.8122,0.8122,0.8122,0.8122,446.0,,,,,,,,,,
1972-05-30,Price_CD_0_IOB,Canadian Dollar,0.8135,0.8135,0.8135,0.8135,1553.0,,,,,,,,,,
1972-05-31,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,1010.0,,,,,,,,,,
1972-06-01,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,40.0,,,,,,,,,,
1972-06-02,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,611.0,,,,,,,,,,
1972-06-05,Price_CD_0_IOB,Canadian Dollar,0.8181,0.8181,0.8181,0.8181,1034.0,,,,,,,,,,
1972-06-06,Price_CD_0_IOB,Canadian Dollar,0.819,0.819,0.819,0.819,876.0,,,,,,,,,,
1972-06-07,Price_CD_0_IOB,Canadian Dollar,0.8202,0.8202,0.8202,0.8202,299.0,,,,,,,,,,
1972-06-08,Price_CD_0_IOB,Canadian Dollar,0.822,0.8222,0.822,0.8222,516.0,,,,,,,,,,
1972-06-09,Price_CD_0_IOB,Canadian Dollar,0.8222,0.8222,0.8222,0.8222,450.0,,,,,,,,,,
1972-06-12,Price_CD_0_IOB,Canadian Dollar,0.8216,0.8216,0.8216,0.8216,285.0,,,,,,,,,,
1972-06-13,Price_CD_0_IOB,Canadian Dollar,0.8216,0.822,0.8216,0.822,214.0,,,,,,,,,,
1972-06-14,Price_CD_0_IOB,Canadian Dollar,0.8226,0.824,0.8226,0.824,607.0,,,,,,,,,,
1972-06-15,Price_CD_0_IOB,Canadian Dollar,0.8245,0.8246,0.8245,0.8246,233.0,,,,,,,,,,
1972-06-16,Price_CD_0_IOB,Canadian Dollar,0.824,0.824,0.824,0.824,259.0,,,,,,,,,,
1972-06-19,Price_CD_0_IOB,Canadian Dollar,0.8223,0.8224,0.8223,0.8224,270.0,,,,,,,,,,
1972-06-20,Price_CD_0_IOB,Canadian Dollar,0.8211,0.8212,0.8211,0.8212,622.0,,,,,,,,,,
1972-06-21,Price_CD_0_IOB,Canadian Dollar,0.8197,0.8198,0.8197,0.8198,233.0,,,,,,,,,,
1972-06-22,Price_CD_0_IOB,Canadian Dollar,0.8204,0.8206,0.8204,0.8206,216.0,,,,,,,,,,
1972-06-23,Price_CD_0_IOB,Canadian Dollar,0.8222,0.824,0.8222,0.824,508.0,,,,,,,,,,
1972-06-26,Price_CD_0_IOB,Canadian Dollar,0.827,0.8275,0.8266,0.8266,774.0,,,,,,,,,,
1972-06-27,Price_CD_0_IOB,Canadian Dollar,0.8266,0.8266,0.8266,0.8266,507.0,,,,,,,,,,
1972-06-28,Price_CD_0_IOB,Canadian Dollar,0.826,0.826,0.826,0.826,42.0,,,,,,,,,,
1972-06-29,Price_CD_0_IOB,Canadian Dollar,0.8255,0.8255,0.8255,0.8255,455.0,,,,,,,,,,
1972-06-30,Price_CD_0_IOB,Canadian Dollar,0.8243,0.8243,0.8243,0.8243,491.0,,,,,,,,,,
1972-07-03,Price_CD_0_IOB,Canadian Dollar,0.8243,0.8243,0.8243,0.8243,30.0,,,,,,,,,,
1972-07-05,Price_CD_0_IOB,Canadian Dollar,0.8243,0.8243,0.8243,0.8243,246.0,,,,,,,,,,
1972-07-06,Price_CD_0_IOB,Canadian Dollar,0.825,0.825,0.825,0.825,571.0,,,,,,,,,,
1972-07-07,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,225.0,,,,,,,,,,
1972-07-10,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,89.0,,,,,,,,,,
1972-07-11,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,40.0,,,,,,,,,,
1972-07-12,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,55.0,,,,,,,,,,
1972-07-13,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,28.0,,,,,,,,,,
1972-07-14,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8265,0.8246,0.8265,613.0,,,,,,,,,,
1972-07-17,Price_CD_0_IOB,Canadian Dollar,0.8255,0.8255,0.8255,0.8255,521.0,,,,,,,,,,
1972-07-18,Price_CD_0_IOB,Canadian Dollar,0.8255,0.8255,0.8255,0.8255,7.0,,,,,,,,,,
1972-07-19,Price_CD_0_IOB,Canadian Dollar,0.8255,0.8255,0.8255,0.8255,19.0,,,,,,,,,,
1972-07-20,Price_CD_0_IOB,Canadian Dollar,0.8257,0.8257,0.8256,0.8256,214.0,,,,,,,,,,
1972-07-21,Price_CD_0_IOB,Canadian Dollar,0.8255,0.8255,0.8255,0.8255,419.0,,,,,,,,,,
1972-07-24,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,111.0,,,,,,,,,,
1972-07-25,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,11.0,,,,,,,,,,
1972-07-26,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,21.0,,,,,,,,,,
1972-07-27,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,37.0,,,,,,,,,,
1972-07-28,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,65.0,,,,,,,,,,
1972-07-31,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,12.0,,,,,,,,,,
1972-08-01,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,11.0,,,,,,,,,,
1972-08-02,Price_CD_0_IOB,Canadian Dollar,0.8246,0.8246,0.8246,0.8246,14.0,,,,,,,,,,
1972-08-03,Price_CD_0_IOB,Canadian Dollar,0.826,0.826,0.824,0.824,625.0,,,,,,,,,,
1972-08-04,Price_CD_0_IOB,Canadian Dollar,0.824,0.8255,0.824,0.8254,120.0,,,,,,,,,,
1972-08-07,Price_CD_0_IOB,Canadian Dollar,0.8254,0.8254,0.8254,0.8254,11.0,,,,,,,,,,
1972-08-08,Price_CD_0_IOB,Canadian Dollar,0.8263,0.8263,0.8263,0.8263,19.0,,,,,,,,,,
1972-08-09,Price_CD_0_IOB,Canadian Dollar,0.8271,0.8271,0.8271,0.8271,248.0,,,,,,,,,,
1972-08-10,Price_CD_0_IOB,Canadian Dollar,0.8271,0.8271,0.8266,0.8266,24.0,,,,,,,,,,
1972-08-11,Price_CD_0_IOB,Canadian Dollar,0.827,0.827,0.827,0.827,18.0,,,,,,,,,,
1972-08-14,Price_CD_0_IOB,Canadian Dollar,0.8266,0.8266,0.8266,0.8266,315.0,,,,,,,,,,
1972-08-15,Price_CD_0_IOB,Canadian Dollar,0.8271,0.8271,0.8271,0.8271,213.0,,,,,,,,,,
1972-08-16,Price_CD_0_IOB,Canadian Dollar,0.8266,0.8266,0.8266,0.8266,16.0,,,,,,,,,,
1972-08-17,Price_CD_0_IOB,Canadian Dollar,0.8269,0.8274,0.8266,0.8266,20.0,,,,,,,,,,
1972-08-18,Price_CD_0_IOB,Canadian Dollar,0.827,0.827,0.827,0.827,15.0,,,,,,,,,,
