Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1983-03-30,Price_CL20_IOB,Crude Oil (Light),35.31,35.62,35.07,35.46,1884.0,,,,,,,,,,
1983-03-31,Price_CL20_IOB,Crude Oil (Light),35.46,35.66,35.31,35.33,1478.0,,,,,,,,,,
1983-04-04,Price_CL20_IOB,Crude Oil (Light),35.36,35.76,35.35,35.5,478.0,,,,,,,,,,
1983-04-05,Price_CL20_IOB,Crude Oil (Light),35.56,35.86,35.56,35.77,478.0,,,,,,,,,,
1983-04-06,Price_CL20_IOB,Crude Oil (Light),35.96,35.98,35.71,35.96,893.0,,,,,,,,,,
1983-04-07,Price_CL20_IOB,Crude Oil (Light),35.98,36.26,35.92,36.23,1469.0,,,,,,,,,,
1983-04-08,Price_CL20_IOB,Crude Oil (Light),36.71,36.71,36.31,36.44,1028.0,,,,,,,,,,
1983-04-11,Price_CL20_IOB,Crude Oil (Light),36.46,36.47,36.06,36.31,797.0,,,,,,,,,,
1983-04-12,Price_CL20_IOB,Crude Oil (Light),36.44,36.94,36.44,36.89,928.0,,,,,,,,,,
1983-04-13,Price_CL20_IOB,Crude Oil (Light),36.64,37.04,36.64,36.82,1418.0,,,,,,,,,,
1983-04-14,Price_CL20_IOB,Crude Oil (Light),36.81,36.94,36.69,36.73,695.0,,,,,,,,,,
1983-04-15,Price_CL20_IOB,Crude Oil (Light),36.59,36.64,36.34,36.49,698.0,,,,,,,,,,
1983-04-18,Price_CL20_IOB,Crude Oil (Light),36.59,36.79,36.59,36.74,262.0,,,,,,,,,,
1983-04-19,Price_CL20_IOB,Crude Oil (Light),36.84,36.89,36.71,36.73,557.0,,,,,,,,,,
1983-04-20,Price_CL20_IOB,Crude Oil (Light),36.66,36.83,36.59,36.72,398.0,,,,,,,,,,
1983-04-21,Price_CL20_IOB,Crude Oil (Light),36.84,36.84,36.64,36.78,279.0,,,,,,,,,,
1983-04-22,Price_CL20_IOB,Crude Oil (Light),36.7,36.91,36.69,36.81,530.0,,,,,,,,,,
1983-04-25,Price_CL20_IOB,Crude Oil (Light),36.83,36.97,36.79,36.9,324.0,,,,,,,,,,
1983-04-26,Price_CL20_IOB,Crude Oil (Light),36.82,36.89,36.76,36.77,417.0,,,,,,,,,,
1983-04-27,Price_CL20_IOB,Crude Oil (Light),36.74,36.89,36.74,36.85,433.0,,,,,,,,,,
1983-04-28,Price_CL20_IOB,Crude Oil (Light),36.79,36.94,36.74,36.83,1206.0,,,,,,,,,,
1983-04-29,Price_CL20_IOB,Crude Oil (Light),36.79,36.82,36.66,36.68,636.0,,,,,,,,,,
1983-05-02,Price_CL20_IOB,Crude Oil (Light),36.77,36.77,36.54,36.61,359.0,,,,,,,,,,
1983-05-03,Price_CL20_IOB,Crude Oil (Light),36.64,36.64,36.44,36.52,1003.0,,,,,,,,,,
1983-05-04,Price_CL20_IOB,Crude Oil (Light),36.49,36.53,36.34,36.37,843.0,,,,,,,,,,
1983-05-05,Price_CL20_IOB,Crude Oil (Light),36.39,36.39,36.14,36.17,714.0,,,,,,,,,,
1983-05-06,Price_CL20_IOB,Crude Oil (Light),36.14,36.15,35.84,35.94,798.0,,,,,,,,,,
1983-05-09,Price_CL20_IOB,Crude Oil (Light),36.15,36.15,35.84,35.94,1372.0,,,,,,,,,,
1983-05-10,Price_CL20_IOB,Crude Oil (Light),35.9,36.1,35.84,36.09,990.0,,,,,,,,,,
1983-05-11,Price_CL20_IOB,Crude Oil (Light),35.94,35.94,35.76,35.81,684.0,,,,,,,,,,
1983-05-12,Price_CL20_IOB,Crude Oil (Light),35.69,35.69,35.49,35.58,1359.0,,,,,,,,,,
1983-05-13,Price_CL20_IOB,Crude Oil (Light),35.54,35.63,35.44,35.63,1005.0,,,,,,,,,,
1983-05-16,Price_CL20_IOB,Crude Oil (Light),35.69,36.14,35.69,36.08,1052.0,,,,,,,,,,
1983-05-17,Price_CL20_IOB,Crude Oil (Light),36.0,36.24,35.94,36.06,783.0,,,,,,,,,,
1983-05-18,Price_CL20_IOB,Crude Oil (Light),35.94,36.0,35.79,35.99,373.0,,,,,,,,,,
1983-05-19,Price_CL20_IOB,Crude Oil (Light),36.0,36.09,36.0,36.04,137.0,,,,,,,,,,
1983-05-20,Price_CL20_IOB,Crude Oil (Light),36.19,36.75,36.19,36.39,1599.0,,,,,,,,,,
1983-05-23,Price_CL20_IOB,Crude Oil (Light),36.34,36.59,36.34,36.36,1072.0,,,,,,,,,,
1983-05-24,Price_CL20_IOB,Crude Oil (Light),36.14,36.16,36.04,36.14,553.0,,,,,,,,,,
1983-05-25,Price_CL20_IOB,Crude Oil (Light),36.28,36.43,36.28,36.34,189.0,,,,,,,,,,
1983-05-26,Price_CL20_IOB,Crude Oil (Light),36.38,36.68,36.38,36.48,741.0,,,,,,,,,,
1983-05-27,Price_CL20_IOB,Crude Oil (Light),36.38,36.61,36.33,36.36,555.0,,,,,,,,,,
1983-05-31,Price_CL20_IOB,Crude Oil (Light),36.24,36.61,36.24,36.33,365.0,,,,,,,,,,
1983-06-01,Price_CL20_IOB,Crude Oil (Light),36.43,36.53,36.24,36.45,525.0,,,,,,,,,,
1983-06-02,Price_CL20_IOB,Crude Oil (Light),36.53,36.68,36.53,36.53,225.0,,,,,,,,,,
1983-06-03,Price_CL20_IOB,Crude Oil (Light),36.5,36.53,36.38,36.53,344.0,,,,,,,,,,
1983-06-06,Price_CL20_IOB,Crude Oil (Light),36.45,36.53,36.39,36.5,241.0,,,,,,,,,,
1983-06-07,Price_CL20_IOB,Crude Oil (Light),36.63,36.78,36.63,36.71,851.0,,,,,,,,,,
1983-06-08,Price_CL20_IOB,Crude Oil (Light),36.75,36.91,36.73,36.73,1372.0,,,,,,,,,,
1983-06-09,Price_CL20_IOB,Crude Oil (Light),36.75,36.81,36.63,36.63,637.0,,,,,,,,,,
1983-06-10,Price_CL20_IOB,Crude Oil (Light),36.7,36.86,36.7,36.86,1036.0,,,,,,,,,,
1983-06-13,Price_CL20_IOB,Crude Oil (Light),36.98,37.23,36.98,37.13,1225.0,,,,,,,,,,
1983-06-14,Price_CL20_IOB,Crude Oil (Light),37.1,37.38,37.08,37.14,1121.0,,,,,,,,,,
1983-06-15,Price_CL20_IOB,Crude Oil (Light),37.28,37.43,37.28,37.43,793.0,,,,,,,,,,
1983-06-16,Price_CL20_IOB,Crude Oil (Light),37.35,37.63,37.25,37.52,1301.0,,,,,,,,,,
1983-06-17,Price_CL20_IOB,Crude Oil (Light),37.43,37.59,37.33,37.52,881.0,,,,,,,,,,
1983-06-20,Price_CL20_IOB,Crude Oil (Light),37.6,37.81,37.6,37.65,488.0,,,,,,,,,,
1983-06-21,Price_CL20_IOB,Crude Oil (Light),37.56,37.58,37.38,37.41,268.0,,,,,,,,,,
