Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1967-03-22,Price_CT20_IOB,Cotton,22.05,22.05,22.05,22.05,10.0,,,,,,,,,,
1967-03-23,Price_CT20_IOB,Cotton,21.9,21.9,21.9,21.9,13.0,,,,,,,,,,
1967-03-27,Price_CT20_IOB,Cotton,21.9,21.9,21.9,21.9,3.0,,,,,,,,,,
1967-03-28,Price_CT20_IOB,Cotton,21.95,21.95,21.83,21.8,4.0,,,,,,,,,,
1967-03-29,Price_CT20_IOB,Cotton,21.8,21.8,21.8,21.8,2.0,,,,,,,,,,
1967-03-30,Price_CT20_IOB,Cotton,21.7,21.7,21.7,21.7,0.0,,,,,,,,,,
1967-03-31,Price_CT20_IOB,Cotton,21.75,21.75,21.75,21.75,2.0,,,,,,,,,,
1967-04-03,Price_CT20_IOB,Cotton,21.7,21.7,21.7,21.7,0.0,,,,,,,,,,
1967-04-04,Price_CT20_IOB,Cotton,21.7,21.7,21.7,21.7,0.0,,,,,,,,,,
1967-04-05,Price_CT20_IOB,Cotton,21.7,21.7,21.7,21.7,0.0,,,,,,,,,,
1967-04-06,Price_CT20_IOB,Cotton,21.65,21.65,21.65,21.65,1.0,,,,,,,,,,
1967-04-07,Price_CT20_IOB,Cotton,21.6,21.6,21.6,21.6,2.0,,,,,,,,,,
1967-04-10,Price_CT20_IOB,Cotton,21.6,21.6,21.6,21.6,0.0,,,,,,,,,,
1967-04-11,Price_CT20_IOB,Cotton,21.5,21.5,21.5,21.5,0.0,,,,,,,,,,
1967-04-12,Price_CT20_IOB,Cotton,21.5,21.5,21.5,21.5,0.0,,,,,,,,,,
1967-04-13,Price_CT20_IOB,Cotton,21.45,21.45,21.45,21.45,0.0,,,,,,,,,,
1967-04-14,Price_CT20_IOB,Cotton,21.45,21.45,21.45,21.45,0.0,,,,,,,,,,
1967-04-17,Price_CT20_IOB,Cotton,21.3,21.3,21.3,21.3,2.0,,,,,,,,,,
