Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1985-11-20,Price_DX20_IOB,Dollar Index,156.421,157.621,156.371,157.431,11356,,,,,,,,,,
1985-11-21,Price_DX20_IOB,Dollar Index,156.401,156.601,156.051,156.131,9662,,,,,,,,,,
1985-11-22,Price_DX20_IOB,Dollar Index,156.101,156.251,155.151,155.201,5981,,,,,,,,,,
1985-11-25,Price_DX20_IOB,Dollar Index,155.481,155.481,155.001,155.211,4029,,,,,,,,,,
1985-11-26,Price_DX20_IOB,Dollar Index,155.511,155.551,154.421,154.741,5379,,,,,,,,,,
1985-11-27,Price_DX20_IOB,Dollar Index,154.831,155.121,154.301,154.731,4649,,,,,,,,,,
1985-11-29,Price_DX20_IOB,Dollar Index,153.821,154.031,153.501,153.751,1943,,,,,,,,,,
1985-12-02,Price_DX20_IOB,Dollar Index,153.371,154.371,153.261,154.151,3566,,,,,,,,,,
1985-12-03,Price_DX20_IOB,Dollar Index,154.861,155.121,154.481,154.611,3799,,,,,,,,,,
1985-12-04,Price_DX20_IOB,Dollar Index,154.081,154.231,153.891,154.011,2549,,,,,,,,,,
1985-12-05,Price_DX20_IOB,Dollar Index,154.661,154.741,154.021,154.091,2701,,,,,,,,,,
1985-12-06,Price_DX20_IOB,Dollar Index,154.401,154.871,154.261,154.651,1857,,,,,,,,,,
1985-12-09,Price_DX20_IOB,Dollar Index,154.871,155.341,154.781,155.091,1390,,,,,,,,,,
1985-12-10,Price_DX20_IOB,Dollar Index,155.461,155.791,155.351,155.601,1680,,,,,,,,,,
1985-12-11,Price_DX20_IOB,Dollar Index,156.271,156.751,155.521,155.661,3332,,,,,,,,,,
1985-12-12,Price_DX20_IOB,Dollar Index,155.121,155.321,154.651,155.151,2048,,,,,,,,,,
1985-12-13,Price_DX20_IOB,Dollar Index,154.851,155.321,154.681,155.321,1317,,,,,,,,,,
1985-12-16,Price_DX20_IOB,Dollar Index,155.281,155.401,154.481,154.651,1492,,,,,,,,,,
1985-12-17,Price_DX20_IOB,Dollar Index,154.621,154.841,154.211,154.801,1688,,,,,,,,,,
1985-12-18,Price_DX20_IOB,Dollar Index,155.201,155.771,155.171,155.701,1271,,,,,,,,,,
1985-12-19,Price_DX20_IOB,Dollar Index,155.521,155.621,155.021,155.191,355,,,,,,,,,,
1985-12-20,Price_DX20_IOB,Dollar Index,155.281,155.511,154.831,155.011,467,,,,,,,,,,
1985-12-23,Price_DX20_IOB,Dollar Index,155.071,155.191,154.621,154.821,369,,,,,,,,,,
1985-12-24,Price_DX20_IOB,Dollar Index,154.871,154.891,154.571,154.611,24,,,,,,,,,,
1985-12-26,Price_DX20_IOB,Dollar Index,154.721,154.801,154.371,154.641,264,,,,,,,,,,
1985-12-27,Price_DX20_IOB,Dollar Index,153.801,154.011,152.911,153.151,1022,,,,,,,,,,
1985-12-30,Price_DX20_IOB,Dollar Index,153.001,153.171,152.561,152.821,241,,,,,,,,,,
1985-12-31,Price_DX20_IOB,Dollar Index,152.571,152.591,152.071,152.121,212,,,,,,,,,,
1986-01-02,Price_DX20_IOB,Dollar Index,152.201,152.631,151.561,151.681,1630,,,,,,,,,,
1986-01-03,Price_DX20_IOB,Dollar Index,153.321,153.471,152.821,153.341,1069,,,,,,,,,,
1986-01-06,Price_DX20_IOB,Dollar Index,153.451,153.471,152.621,152.701,1834,,,,,,,,,,
1986-01-07,Price_DX20_IOB,Dollar Index,152.721,152.721,152.071,152.461,2389,,,,,,,,,,
1986-01-08,Price_DX20_IOB,Dollar Index,152.441,153.671,152.441,153.501,1744,,,,,,,,,,
1986-01-09,Price_DX20_IOB,Dollar Index,153.471,153.931,151.421,151.821,2312,,,,,,,,,,
1986-01-10,Price_DX20_IOB,Dollar Index,152.701,153.471,152.171,153.101,1386,,,,,,,,,,
1986-01-13,Price_DX20_IOB,Dollar Index,153.671,154.191,153.041,153.461,1296,,,,,,,,,,
1986-01-14,Price_DX20_IOB,Dollar Index,153.621,153.871,153.251,153.751,634,,,,,,,,,,
1986-01-15,Price_DX20_IOB,Dollar Index,153.571,153.571,152.921,153.071,1599,,,,,,,,,,
1986-01-16,Price_DX20_IOB,Dollar Index,152.821,153.551,152.791,153.401,531,,,,,,,,,,
1986-01-17,Price_DX20_IOB,Dollar Index,153.391,153.521,152.971,153.501,681,,,,,,,,,,
1986-01-20,Price_DX20_IOB,Dollar Index,153.721,153.961,153.221,153.401,447,,,,,,,,,,
1986-01-21,Price_DX20_IOB,Dollar Index,153.321,153.691,153.021,153.421,376,,,,,,,,,,
1986-01-22,Price_DX20_IOB,Dollar Index,153.671,153.821,152.671,153.571,593,,,,,,,,,,
1986-01-23,Price_DX20_IOB,Dollar Index,153.371,153.551,153.171,153.181,816,,,,,,,,,,
1986-01-24,Price_DX20_IOB,Dollar Index,152.171,152.371,151.481,151.691,1848,,,,,,,,,,
1986-01-27,Price_DX20_IOB,Dollar Index,151.501,151.571,151.141,151.271,996,,,,,,,,,,
1986-01-28,Price_DX20_IOB,Dollar Index,151.051,151.461,150.871,150.981,298,,,,,,,,,,
1986-01-29,Price_DX20_IOB,Dollar Index,150.651,150.921,150.521,150.801,306,,,,,,,,,,
1986-01-30,Price_DX20_IOB,Dollar Index,150.811,150.831,149.971,150.071,398,,,,,,,,,,
1986-01-31,Price_DX20_IOB,Dollar Index,150.471,150.871,150.271,150.481,1002,,,,,,,,,,
1986-02-03,Price_DX20_IOB,Dollar Index,150.671,151.321,150.621,150.921,466,,,,,,,,,,
1986-02-04,Price_DX20_IOB,Dollar Index,151.971,152.121,151.381,151.651,713,,,,,,,,,,
1986-02-05,Price_DX20_IOB,Dollar Index,151.371,151.371,150.181,150.321,1318,,,,,,,,,,
1986-02-06,Price_DX20_IOB,Dollar Index,150.181,151.171,149.891,150.771,771,,,,,,,,,,
1986-02-07,Price_DX20_IOB,Dollar Index,150.651,151.321,150.521,150.691,445,,,,,,,,,,
1986-02-10,Price_DX20_IOB,Dollar Index,149.861,149.931,149.191,149.381,808,,,,,,,,,,
1986-02-11,Price_DX20_IOB,Dollar Index,149.321,149.521,148.981,149.251,583,,,,,,,,,,
1986-02-12,Price_DX20_IOB,Dollar Index,148.541,149.111,148.511,148.771,1406,,,,,,,,,,
1986-02-13,Price_DX20_IOB,Dollar Index,148.871,149.071,147.721,147.901,577,,,,,,,,,,
1986-02-14,Price_DX20_IOB,Dollar Index,148.121,148.171,147.351,147.391,470,,,,,,,,,,
1986-02-18,Price_DX20_IOB,Dollar Index,147.771,147.821,146.621,146.681,778,,,,,,,,,,
1986-02-19,Price_DX20_IOB,Dollar Index,146.071,146.771,144.501,145.871,1583,,,,,,,,,,
1986-02-20,Price_DX20_IOB,Dollar Index,145.671,146.481,145.421,145.771,1555,,,,,,,,,,
1986-02-21,Price_DX20_IOB,Dollar Index,146.821,146.871,145.671,145.721,939,,,,,,,,,,
1986-02-24,Price_DX20_IOB,Dollar Index,145.221,145.871,144.621,144.771,1496,,,,,,,,,,
1986-02-25,Price_DX20_IOB,Dollar Index,144.201,144.571,143.471,144.221,959,,,,,,,,,,
1986-02-26,Price_DX20_IOB,Dollar Index,143.991,144.291,143.041,143.461,796,,,,,,,,,,
1986-02-27,Price_DX20_IOB,Dollar Index,142.291,143.241,142.061,142.891,794,,,,,,,,,,
1986-02-28,Price_DX20_IOB,Dollar Index,143.191,143.781,142.741,143.641,767,,,,,,,,,,
1986-03-03,Price_DX20_IOB,Dollar Index,143.591,143.591,142.631,142.631,1318,,,,,,,,,,
1986-03-04,Price_DX20_IOB,Dollar Index,142.791,142.791,142.131,142.171,617,,,,,,,,,,
1986-03-05,Price_DX20_IOB,Dollar Index,143.091,145.341,143.091,144.491,1541,,,,,,,,,,
1986-03-06,Price_DX20_IOB,Dollar Index,144.041,144.291,143.581,143.691,1139,,,,,,,,,,
1986-03-07,Price_DX20_IOB,Dollar Index,143.891,143.941,143.091,143.461,702,,,,,,,,,,
1986-03-10,Price_DX20_IOB,Dollar Index,144.741,145.441,144.441,144.711,1194,,,,,,,,,,
1986-03-11,Price_DX20_IOB,Dollar Index,144.741,144.791,144.161,144.291,964,,,,,,,,,,
1986-03-12,Price_DX20_IOB,Dollar Index,144.391,145.291,144.341,144.811,533,,,,,,,,,,
1986-03-13,Price_DX20_IOB,Dollar Index,145.291,145.941,145.041,145.671,335,,,,,,,,,,
1986-03-14,Price_DX20_IOB,Dollar Index,143.841,144.391,143.741,144.141,631,,,,,,,,,,
1986-03-17,Price_DX20_IOB,Dollar Index,143.641,143.841,143.241,143.591,928,,,,,,,,,,
