Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1981-12-09,Price_ED_0_IOB,Eurodollar,62.475,62.505,62.075,62.145,3400.0,,,,,,,,,,
1981-12-10,Price_ED_0_IOB,Eurodollar,61.965,61.995,61.525,61.605,2375.0,,,,,,,,,,
1981-12-11,Price_ED_0_IOB,Eurodollar,61.515,61.705,61.435,61.545,1384.0,,,,,,,,,,
1981-12-14,Price_ED_0_IOB,Eurodollar,61.155,61.665,61.115,61.625,1440.0,,,,,,,,,,
1981-12-15,Price_ED_0_IOB,Eurodollar,61.795,61.945,61.715,61.795,881.0,,,,,,,,,,
1981-12-16,Price_ED_0_IOB,Eurodollar,61.705,61.875,61.625,61.625,603.0,,,,,,,,,,
1981-12-17,Price_ED_0_IOB,Eurodollar,61.615,61.635,61.075,61.075,689.0,,,,,,,,,,
1981-12-18,Price_ED_0_IOB,Eurodollar,61.045,61.685,61.025,61.645,861.0,,,,,,,,,,
1981-12-21,Price_ED_0_IOB,Eurodollar,61.195,61.245,61.045,61.055,699.0,,,,,,,,,,
1981-12-22,Price_ED_0_IOB,Eurodollar,60.965,61.175,60.855,61.025,560.0,,,,,,,,,,
1981-12-23,Price_ED_0_IOB,Eurodollar,60.645,60.815,60.595,60.595,393.0,,,,,,,,,,
1981-12-24,Price_ED_0_IOB,Eurodollar,60.805,61.005,60.765,60.835,333.0,,,,,,,,,,
1981-12-28,Price_ED_0_IOB,Eurodollar,60.925,61.005,60.575,60.575,152.0,,,,,,,,,,
1981-12-29,Price_ED_0_IOB,Eurodollar,60.755,60.805,60.435,60.635,471.0,,,,,,,,,,
1981-12-30,Price_ED_0_IOB,Eurodollar,60.665,60.945,60.595,60.895,366.0,,,,,,,,,,
1981-12-31,Price_ED_0_IOB,Eurodollar,61.085,61.385,61.085,61.325,564.0,,,,,,,,,,
1982-01-04,Price_ED_0_IOB,Eurodollar,61.495,61.555,61.165,61.205,693.0,,,,,,,,,,
1982-01-05,Price_ED_0_IOB,Eurodollar,60.615,60.905,60.475,60.795,767.0,,,,,,,,,,
1982-01-06,Price_ED_0_IOB,Eurodollar,61.095,61.185,60.635,60.655,590.0,,,,,,,,,,
