Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1988-05-20,Price_FV_0_IOB,T-Note (5 Year),30.116245,30.188593,30.058367,30.072837,4088.0,,,,,,,,,,
1988-05-23,Price_FV_0_IOB,T-Note (5 Year),30.029428,30.145184,29.928142,29.928142,3437.0,,,,,,,,,,
1988-05-24,Price_FV_0_IOB,T-Note (5 Year),29.98602,30.029428,29.928142,29.942611,2780.0,,,,,,,,,,
1988-05-25,Price_FV_0_IOB,T-Note (5 Year),30.058367,30.130715,29.957081,30.014959,2583.0,,,,,,,,,,
1988-05-26,Price_FV_0_IOB,T-Note (5 Year),29.98602,30.000489,29.740038,29.899203,3430.0,,,,,,,,,,
1988-05-27,Price_FV_0_IOB,T-Note (5 Year),29.653221,29.783447,29.595343,29.754508,2749.0,,,,,,,,,,
1988-05-31,Price_FV_0_IOB,T-Note (5 Year),29.69663,29.841325,29.69663,29.841325,1543.0,2199.0,268.0,78.0,0.0,1338.0,1300.0,1606.0,1378.0,593.0,821.0
1988-06-01,Price_FV_0_IOB,T-Note (5 Year),30.101776,30.434574,30.072837,30.405635,2062.0,,,,,,,,,,
1988-06-02,Price_FV_0_IOB,T-Note (5 Year),30.449044,30.593739,30.304349,30.304349,2957.0,,,,,,,,,,
1988-06-03,Price_FV_0_IOB,T-Note (5 Year),30.304349,30.651617,30.27541,30.651617,2557.0,,,,,,,,,,
1988-06-06,Price_FV_0_IOB,T-Note (5 Year),30.680556,30.723964,30.535861,30.709495,3389.0,,,,,,,,,,
1988-06-07,Price_FV_0_IOB,T-Note (5 Year),30.5648,30.680556,30.506922,30.5648,1971.0,,,,,,,,,,
1988-06-08,Price_FV_0_IOB,T-Note (5 Year),30.622678,30.941007,30.622678,30.941007,4944.0,,,,,,,,,,
1988-06-09,Price_FV_0_IOB,T-Note (5 Year),30.883129,30.955477,30.738434,30.781843,5614.0,,,,,,,,,,
1988-06-10,Price_FV_0_IOB,T-Note (5 Year),30.796312,31.013355,30.723964,30.897599,3394.0,,,,,,,,,,
1988-06-13,Price_FV_0_IOB,T-Note (5 Year),30.984416,31.085702,30.984416,30.984416,1548.0,,,,,,,,,,
1988-06-14,Price_FV_0_IOB,T-Note (5 Year),31.44744,31.809177,31.44744,31.780238,2876.0,,,,,,,,,,
1988-06-15,Price_FV_0_IOB,T-Note (5 Year),31.664482,31.693421,31.548726,31.592135,1735.0,5978.0,1343.0,2155.0,322.0,4016.0,3164.0,5681.0,5641.0,297.0,337.0
1988-06-16,Price_FV_0_IOB,T-Note (5 Year),31.172519,31.172519,30.955477,31.013355,2644.0,,,,,,,,,,
1988-06-17,Price_FV_0_IOB,T-Note (5 Year),30.883129,30.883129,30.535861,30.593739,1954.0,,,,,,,,,,
1988-06-20,Price_FV_0_IOB,T-Note (5 Year),30.477983,30.695025,30.333288,30.5648,1381.0,,,,,,,,,,
1988-06-21,Price_FV_0_IOB,T-Note (5 Year),30.593739,30.695025,30.420105,30.535861,2877.0,,,,,,,,,,
1988-06-22,Price_FV_0_IOB,T-Note (5 Year),30.969946,31.085702,30.85419,30.984416,1739.0,,,,,,,,,,
1988-06-23,Price_FV_0_IOB,T-Note (5 Year),31.288275,31.317214,31.056763,31.085702,1461.0,,,,,,,,,,
1988-06-24,Price_FV_0_IOB,T-Note (5 Year),31.201458,31.288275,31.100172,31.129111,1888.0,,,,,,,,,,
1988-06-27,Price_FV_0_IOB,T-Note (5 Year),30.998885,31.042294,30.825251,30.839721,1048.0,,,,,,,,,,
1988-06-28,Price_FV_0_IOB,T-Note (5 Year),30.767373,31.085702,30.752903,31.042294,2705.0,,,,,,,,,,
1988-06-29,Price_FV_0_IOB,T-Note (5 Year),31.056763,31.244867,30.998885,31.085702,2496.0,,,,,,,,,,
1988-06-30,Price_FV_0_IOB,T-Note (5 Year),31.172519,31.317214,31.14358,31.288275,3279.0,7866.0,1201.0,2853.0,185.0,5915.0,3669.0,7301.0,6707.0,565.0,1159.0
1988-07-01,Price_FV_0_IOB,T-Note (5 Year),31.43297,31.534257,31.360623,31.360623,1295.0,,,,,,,,,,
1988-07-05,Price_FV_0_IOB,T-Note (5 Year),31.201458,31.244867,31.14358,31.201458,1123.0,,,,,,,,,,
1988-07-06,Price_FV_0_IOB,T-Note (5 Year),31.085702,31.15805,30.998885,30.998885,1548.0,,,,,,,,,,
1988-07-07,Price_FV_0_IOB,T-Note (5 Year),30.825251,30.969946,30.738434,30.941007,4108.0,,,,,,,,,,
1988-07-08,Price_FV_0_IOB,T-Note (5 Year),30.622678,30.666086,30.477983,30.506922,6643.0,,,,,,,,,,
1988-07-11,Price_FV_0_IOB,T-Note (5 Year),30.506922,30.651617,30.477983,30.651617,1274.0,,,,,,,,,,
1988-07-12,Price_FV_0_IOB,T-Note (5 Year),30.5648,30.593739,30.420105,30.420105,2897.0,,,,,,,,,,
1988-07-13,Price_FV_0_IOB,T-Note (5 Year),30.333288,30.5648,30.27541,30.347757,2668.0,,,,,,,,,,
1988-07-14,Price_FV_0_IOB,T-Note (5 Year),30.347757,30.376696,30.232001,30.304349,2519.0,,,,,,,,,,
1988-07-15,Price_FV_0_IOB,T-Note (5 Year),30.391166,30.521391,30.289879,30.506922,2024.0,10530.0,1757.0,2813.0,639.0,7582.0,5745.0,9978.0,9197.0,552.0,1333.0
1988-07-18,Price_FV_0_IOB,T-Note (5 Year),30.420105,30.434574,30.246471,30.318818,912.0,,,,,,,,,,
1988-07-19,Price_FV_0_IOB,T-Note (5 Year),30.391166,30.521391,30.391166,30.477983,3537.0,,,,,,,,,,
1988-07-20,Price_FV_0_IOB,T-Note (5 Year),30.521391,30.521391,30.420105,30.477983,2240.0,,,,,,,,,,
1988-07-21,Price_FV_0_IOB,T-Note (5 Year),30.26094,30.347757,30.26094,30.333288,2090.0,,,,,,,,,,
1988-07-22,Price_FV_0_IOB,T-Note (5 Year),30.289879,30.492452,30.246471,30.477983,1472.0,,,,,,,,,,
1988-07-25,Price_FV_0_IOB,T-Note (5 Year),30.434574,30.579269,30.434574,30.521391,1220.0,,,,,,,,,,
1988-07-26,Price_FV_0_IOB,T-Note (5 Year),30.449044,30.55033,30.449044,30.535861,1774.0,,,,,,,,,,
1988-07-27,Price_FV_0_IOB,T-Note (5 Year),30.405635,30.449044,30.232001,30.246471,2167.0,,,,,,,,,,
1988-07-28,Price_FV_0_IOB,T-Note (5 Year),30.246471,30.304349,30.101776,30.232001,2796.0,,,,,,,,,,
1988-07-29,Price_FV_0_IOB,T-Note (5 Year),30.318818,30.376696,30.318818,30.362227,1270.0,13024.0,1443.0,711.0,874.0,10253.0,10554.0,12570.0,12139.0,454.0,885.0
1988-08-01,Price_FV_0_IOB,T-Note (5 Year),30.391166,30.5648,30.391166,30.521391,1280.0,,,,,,,,,,
1988-08-02,Price_FV_0_IOB,T-Note (5 Year),30.579269,30.738434,30.5648,30.738434,3318.0,,,,,,,,,,
1988-08-03,Price_FV_0_IOB,T-Note (5 Year),30.767373,30.781843,30.651617,30.680556,3858.0,,,,,,,,,,
1988-08-04,Price_FV_0_IOB,T-Note (5 Year),30.680556,30.86866,30.680556,30.85419,1033.0,,,,,,,,,,
1988-08-05,Price_FV_0_IOB,T-Note (5 Year),30.5648,30.579269,30.289879,30.333288,1870.0,,,,,,,,,,
1988-08-08,Price_FV_0_IOB,T-Note (5 Year),30.304349,30.362227,30.246471,30.304349,1334.0,,,,,,,,,,
1988-08-09,Price_FV_0_IOB,T-Note (5 Year),30.391166,30.463513,29.841325,29.928142,3783.0,,,,,,,,,,
1988-08-10,Price_FV_0_IOB,T-Note (5 Year),29.812386,29.884733,29.551935,29.551935,3712.0,,,,,,,,,,
1988-08-11,Price_FV_0_IOB,T-Note (5 Year),29.551935,29.595343,29.421709,29.508526,2655.0,,,,,,,,,,
1988-08-12,Price_FV_0_IOB,T-Note (5 Year),29.349362,29.566404,29.349362,29.494057,2255.0,,,,,,,,,,
1988-08-15,Price_FV_0_IOB,T-Note (5 Year),29.378301,29.465118,29.349362,29.465118,1963.0,10619.0,1816.0,757.0,1031.0,7307.0,8244.0,10154.0,10032.0,465.0,587.0
1988-08-16,Price_FV_0_IOB,T-Note (5 Year),29.233605,29.508526,29.204666,29.465118,2270.0,,,,,,,,,,
1988-08-17,Price_FV_0_IOB,T-Note (5 Year),29.551935,29.551935,29.349362,29.421709,2951.0,,,,,,,,,,
1988-08-18,Price_FV_0_IOB,T-Note (5 Year),29.378301,29.450648,29.378301,29.40724,2033.0,,,,,,,,,,
1988-08-19,Price_FV_0_IOB,T-Note (5 Year),29.465118,29.537465,29.40724,29.436179,1282.0,,,,,,,,,,
1988-08-22,Price_FV_0_IOB,T-Note (5 Year),29.465118,29.479587,29.305953,29.320422,3359.0,,,,,,,,,,
1988-08-23,Price_FV_0_IOB,T-Note (5 Year),29.363831,29.522996,29.349362,29.508526,3456.0,,,,,,,,,,
1988-08-24,Price_FV_0_IOB,T-Note (5 Year),29.508526,29.609813,29.436179,29.479587,4566.0,,,,,,,,,,
1988-08-25,Price_FV_0_IOB,T-Note (5 Year),29.161258,29.262544,29.132319,29.248075,2193.0,,,,,,,,,,
1988-08-26,Price_FV_0_IOB,T-Note (5 Year),29.262544,29.378301,29.233605,29.334892,4632.0,,,,,,,,,,
1988-08-29,Price_FV_0_IOB,T-Note (5 Year),29.349362,29.551935,29.349362,29.551935,3247.0,,,,,,,,,,
1988-08-30,Price_FV_0_IOB,T-Note (5 Year),29.653221,29.667691,29.537465,29.638752,6830.0,,,,,,,,,,
1988-08-31,Price_FV_0_IOB,T-Note (5 Year),29.783447,29.797916,29.667691,29.768977,2512.0,11764.0,917.0,313.0,25.0,10248.0,10773.0,11190.0,11111.0,574.0,653.0
1988-09-01,Price_FV_0_IOB,T-Note (5 Year),29.68216,29.797916,29.68216,29.768977,2837.0,,,,,,,,,,
1988-09-02,Price_FV_0_IOB,T-Note (5 Year),30.188593,30.839721,30.188593,30.680556,5428.0,,,,,,,,,,
1988-09-06,Price_FV_0_IOB,T-Note (5 Year),30.781843,30.781843,30.651617,30.738434,1855.0,,,,,,,,,,
1988-09-07,Price_FV_0_IOB,T-Note (5 Year),30.955477,31.071233,30.723964,30.738434,3606.0,,,,,,,,,,
1988-09-08,Price_FV_0_IOB,T-Note (5 Year),30.651617,30.796312,30.622678,30.723964,5839.0,,,,,,,,,,
1988-09-09,Price_FV_0_IOB,T-Note (5 Year),30.839721,30.998885,30.695025,30.998885,5173.0,,,,,,,,,,
1988-09-12,Price_FV_0_IOB,T-Note (5 Year),31.042294,31.056763,30.883129,30.883129,1503.0,,,,,,,,,,
1988-09-13,Price_FV_0_IOB,T-Note (5 Year),30.810782,30.941007,30.781843,30.926538,6560.0,,,,,,,,,,
