Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1966-01-03,Price_HG20_IOB,HG Copper,24.75,25.4,24.75,25.2,0.0,,,,,,,,,,
1966-01-04,Price_HG20_IOB,HG Copper,25.6,25.8,23.05,23.95,0.0,,,,,,,,,,
1966-01-05,Price_HG20_IOB,HG Copper,24.5,24.75,24.3,24.5,0.0,,,,,,,,,,
1966-01-06,Price_HG20_IOB,HG Copper,23.0,23.45,22.55,22.9,0.0,,,,,,,,,,
1966-01-07,Price_HG20_IOB,HG Copper,23.4,24.7,23.4,24.1,0.0,,,,,,,,,,
1966-01-10,Price_HG20_IOB,HG Copper,25.7,25.8,24.7,24.9,0.0,,,,,,,,,,
1966-01-11,Price_HG20_IOB,HG Copper,24.95,24.95,23.75,24.6,0.0,,,,,,,,,,
1966-01-12,Price_HG20_IOB,HG Copper,24.1,24.65,24.1,24.55,0.0,,,,,,,,,,
1966-01-13,Price_HG20_IOB,HG Copper,25.25,25.55,25.15,25.5,0.0,,,,,,,,,,
1966-01-14,Price_HG20_IOB,HG Copper,25.3,26.35,25.3,26.0,0.0,,,,,,,,,,
1966-01-17,Price_HG20_IOB,HG Copper,26.1,26.45,25.95,26.25,0.0,,,,,,,,,,
1966-01-18,Price_HG20_IOB,HG Copper,26.6,26.8,25.4,25.7,0.0,,,,,,,,,,
1966-01-19,Price_HG20_IOB,HG Copper,25.7,25.8,25.5,25.65,0.0,,,,,,,,,,
1966-01-20,Price_HG20_IOB,HG Copper,23.65,25.05,23.65,24.5,0.0,,,,,,,,,,
1966-01-21,Price_HG20_IOB,HG Copper,24.75,25.75,24.75,25.3,0.0,,,,,,,,,,
1966-01-24,Price_HG20_IOB,HG Copper,25.7,25.7,24.3,24.8,0.0,,,,,,,,,,
1966-01-25,Price_HG20_IOB,HG Copper,25.3,25.9,25.3,25.75,0.0,,,,,,,,,,
1966-01-26,Price_HG20_IOB,HG Copper,26.7,26.7,26.05,26.1,0.0,,,,,,,,,,
1966-01-27,Price_HG20_IOB,HG Copper,26.15,26.4,25.85,25.85,0.0,,,,,,,,,,
1966-01-28,Price_HG20_IOB,HG Copper,25.8,26.05,25.45,25.65,0.0,,,,,,,,,,
1966-01-31,Price_HG20_IOB,HG Copper,26.25,26.35,26.15,26.25,0.0,,,,,,,,,,
1966-02-01,Price_HG20_IOB,HG Copper,26.85,28.1,26.75,28.1,0.0,,,,,,,,,,
1966-02-02,Price_HG20_IOB,HG Copper,29.8,30.1,29.2,30.05,0.0,,,,,,,,,,
1966-02-03,Price_HG20_IOB,HG Copper,29.3,30.6,29.0,29.7,0.0,,,,,,,,,,
1966-02-04,Price_HG20_IOB,HG Copper,30.5,31.7,30.5,31.7,0.0,,,,,,,,,,
