Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1964-11-30,Price_LC_0_IOB,Live Cattle,25.125,25.125,24.625,24.8,191,,,,,,,,,,
1964-12-01,Price_LC_0_IOB,Live Cattle,24.825,24.825,24.475,24.625,97,,,,,,,,,,
1964-12-02,Price_LC_0_IOB,Live Cattle,24.675,24.675,24.525,24.55,22,,,,,,,,,,
1964-12-03,Price_LC_0_IOB,Live Cattle,24.575,24.625,24.425,24.575,52,,,,,,,,,,
1964-12-04,Price_LC_0_IOB,Live Cattle,24.55,24.575,24.525,24.525,34,,,,,,,,,,
1964-12-07,Price_LC_0_IOB,Live Cattle,24.525,24.525,24.425,24.45,34,,,,,,,,,,
1964-12-08,Price_LC_0_IOB,Live Cattle,24.375,24.375,24.175,24.2,68,,,,,,,,,,
1964-12-09,Price_LC_0_IOB,Live Cattle,24.2,24.2,24.1,24.125,57,,,,,,,,,,
1964-12-10,Price_LC_0_IOB,Live Cattle,24.075,24.1,23.95,24.075,76,,,,,,,,,,
1964-12-11,Price_LC_0_IOB,Live Cattle,24.125,24.3,24.075,24.125,68,,,,,,,,,,
1964-12-14,Price_LC_0_IOB,Live Cattle,24.15,24.3,24.125,24.3,46,,,,,,,,,,
1964-12-15,Price_LC_0_IOB,Live Cattle,24.2,24.325,24.125,24.275,67,,,,,,,,,,
1964-12-16,Price_LC_0_IOB,Live Cattle,24.275,24.275,24.075,24.125,68,,,,,,,,,,
1964-12-17,Price_LC_0_IOB,Live Cattle,24.075,24.25,24.075,24.125,32,,,,,,,,,,
1964-12-18,Price_LC_0_IOB,Live Cattle,24.125,24.25,24.125,24.225,64,,,,,,,,,,
1964-12-21,Price_LC_0_IOB,Live Cattle,24.325,24.6,24.3,24.475,157,,,,,,,,,,
1964-12-22,Price_LC_0_IOB,Live Cattle,24.425,24.525,24.325,24.475,78,,,,,,,,,,
1964-12-23,Price_LC_0_IOB,Live Cattle,24.525,24.625,24.525,24.575,56,,,,,,,,,,
1964-12-24,Price_LC_0_IOB,Live Cattle,24.575,24.675,24.575,24.675,39,,,,,,,,,,
1964-12-28,Price_LC_0_IOB,Live Cattle,24.6,24.625,24.475,24.625,82,,,,,,,,,,
1964-12-29,Price_LC_0_IOB,Live Cattle,24.625,24.625,24.45,24.45,87,,,,,,,,,,
1964-12-30,Price_LC_0_IOB,Live Cattle,24.5,24.525,24.425,24.45,43,,,,,,,,,,
1964-12-31,Price_LC_0_IOB,Live Cattle,24.475,24.575,24.475,24.575,59,,,,,,,,,,
1965-01-04,Price_LC_0_IOB,Live Cattle,24.575,24.625,24.575,24.575,61,,,,,,,,,,
1965-01-05,Price_LC_0_IOB,Live Cattle,24.625,24.625,24.575,24.575,55,,,,,,,,,,
1965-01-06,Price_LC_0_IOB,Live Cattle,24.525,24.6,24.525,24.575,49,,,,,,,,,,
1965-01-07,Price_LC_0_IOB,Live Cattle,24.575,24.575,24.525,24.525,47,,,,,,,,,,
1965-01-08,Price_LC_0_IOB,Live Cattle,24.575,24.575,24.575,24.575,18,,,,,,,,,,
1965-01-11,Price_LC_0_IOB,Live Cattle,24.575,24.575,24.575,24.575,28,,,,,,,,,,
