Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1966-02-28,Price_LH_0_IOB,Lean Hogs,21.376,21.376,20.024,20.193,160,,,,,,,,,,
1966-03-01,Price_LH_0_IOB,Lean Hogs,20.362,20.7,20.362,20.632,72,,,,,,,,,,
1966-03-02,Price_LH_0_IOB,Lean Hogs,20.7,20.97,20.7,20.7,58,,,,,,,,,,
1966-03-03,Price_LH_0_IOB,Lean Hogs,20.295,20.362,19.078,19.349,117,,,,,,,,,,
1966-03-04,Price_LH_0_IOB,Lean Hogs,19.416,19.619,18.876,19.484,45,,,,,,,,,,
1966-03-07,Price_LH_0_IOB,Lean Hogs,19.686,20.024,19.214,19.281,39,,,,,,,,,,
1966-03-08,Price_LH_0_IOB,Lean Hogs,19.214,19.214,18.673,18.741,65,,,,,,,,,,
1966-03-09,Price_LH_0_IOB,Lean Hogs,18.673,18.673,17.254,17.626,174,,,,,,,,,,
1966-03-10,Price_LH_0_IOB,Lean Hogs,17.322,17.997,17.186,17.964,110,,,,,,,,,,
1966-03-11,Price_LH_0_IOB,Lean Hogs,17.795,18.403,17.795,18.403,71,,,,,,,,,,
1966-03-14,Price_LH_0_IOB,Lean Hogs,19.011,19.416,19.011,19.011,85,,,,,,,,,,
1966-03-15,Price_LH_0_IOB,Lean Hogs,19.011,19.349,18.741,18.808,78,,,,,,,,,,
1966-03-16,Price_LH_0_IOB,Lean Hogs,18.808,18.808,18.605,18.707,37,,,,,,,,,,
1966-03-17,Price_LH_0_IOB,Lean Hogs,18.808,18.876,17.997,17.997,56,,,,,,,,,,
1966-03-18,Price_LH_0_IOB,Lean Hogs,18.132,18.538,17.727,18.2,72,,,,,,,,,,
1966-03-21,Price_LH_0_IOB,Lean Hogs,18.065,18.605,18.065,18.538,32,,,,,,,,,,
1966-03-22,Price_LH_0_IOB,Lean Hogs,18.335,18.673,17.997,18.335,39,,,,,,,,,,
1966-03-23,Price_LH_0_IOB,Lean Hogs,18.538,19.011,18.403,18.909,123,,,,,,,,,,
1966-03-24,Price_LH_0_IOB,Lean Hogs,19.011,19.011,18.403,18.436,41,,,,,,,,,,
1966-03-25,Price_LH_0_IOB,Lean Hogs,18.403,18.403,18.268,18.268,33,,,,,,,,,,
1966-03-28,Price_LH_0_IOB,Lean Hogs,18.132,18.673,18.132,18.673,29,,,,,,,,,,
1966-03-29,Price_LH_0_IOB,Lean Hogs,18.335,18.403,18.2,18.335,35,,,,,,,,,,
1966-03-30,Price_LH_0_IOB,Lean Hogs,18.2,18.673,18.031,18.673,65,,,,,,,,,,
1966-03-31,Price_LH_0_IOB,Lean Hogs,18.538,18.808,18.538,18.673,47,,,,,,,,,,
1966-04-01,Price_LH_0_IOB,Lean Hogs,18.808,19.078,18.673,18.673,47,,,,,,,,,,
1966-04-04,Price_LH_0_IOB,Lean Hogs,18.876,18.876,18.741,18.876,19,,,,,,,,,,
1966-04-05,Price_LH_0_IOB,Lean Hogs,18.673,18.741,18.47,18.47,31,,,,,,,,,,
1966-04-06,Price_LH_0_IOB,Lean Hogs,18.47,18.673,18.47,18.605,15,,,,,,,,,,
1966-04-07,Price_LH_0_IOB,Lean Hogs,18.538,18.876,18.538,18.808,19,,,,,,,,,,
1966-04-11,Price_LH_0_IOB,Lean Hogs,18.808,19.078,18.808,18.808,26,,,,,,,,,,
1966-04-12,Price_LH_0_IOB,Lean Hogs,18.808,19.011,18.673,19.011,41,,,,,,,,,,
1966-04-13,Price_LH_0_IOB,Lean Hogs,19.011,19.078,19.011,19.011,24,,,,,,,,,,
1966-04-14,Price_LH_0_IOB,Lean Hogs,18.943,18.943,18.741,18.876,15,,,,,,,,,,
1966-04-15,Price_LH_0_IOB,Lean Hogs,18.673,18.876,18.605,18.673,26,,,,,,,,,,
1966-04-18,Price_LH_0_IOB,Lean Hogs,18.943,19.011,18.808,18.842,30,,,,,,,,,,
1966-04-19,Price_LH_0_IOB,Lean Hogs,18.808,18.876,18.741,18.876,17,,,,,,,,,,
1966-04-20,Price_LH_0_IOB,Lean Hogs,18.876,19.011,18.876,18.943,14,,,,,,,,,,
1966-04-21,Price_LH_0_IOB,Lean Hogs,18.538,18.605,18.538,18.538,44,,,,,,,,,,
1966-04-22,Price_LH_0_IOB,Lean Hogs,18.538,18.538,18.538,18.538,16,,,,,,,,,,
1966-04-25,Price_LH_0_IOB,Lean Hogs,18.538,18.605,18.538,18.605,29,,,,,,,,,,
1966-04-26,Price_LH_0_IOB,Lean Hogs,18.538,18.538,18.538,18.538,10,,,,,,,,,,
1966-04-27,Price_LH_0_IOB,Lean Hogs,18.403,18.47,18.403,18.47,22,,,,,,,,,,
