Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1995-04-25,Price_MP_0_IOB,Mexican Peso,0.0376,0.0381,0.0301,0.0319,832.0,,,,,,,,,,
1995-04-26,Price_MP_0_IOB,Mexican Peso,0.0321,0.0343,0.0321,0.034,866.0,,,,,,,,,,
1995-04-27,Price_MP_0_IOB,Mexican Peso,0.0338,0.0348,0.0251,0.0301,918.0,,,,,,,,,,
1995-04-28,Price_MP_0_IOB,Mexican Peso,0.0311,0.0321,0.0281,0.0308,557.0,,,,,,,,,,
1995-05-01,Price_MP_0_IOB,Mexican Peso,0.0326,0.0326,0.0319,0.0321,53.0,,,,,,,,,,
1995-05-02,Price_MP_0_IOB,Mexican Peso,0.0316,0.034,0.0309,0.0338,551.0,,,,,,,,,,
1995-05-03,Price_MP_0_IOB,Mexican Peso,0.0339,0.0363,0.0336,0.0349,656.0,,,,,,,,,,
1995-05-04,Price_MP_0_IOB,Mexican Peso,0.0351,0.0353,0.0338,0.0351,286.0,,,,,,,,,,
1995-05-05,Price_MP_0_IOB,Mexican Peso,0.0352,0.0355,0.0352,0.0354,86.0,,,,,,,,,,
1995-05-08,Price_MP_0_IOB,Mexican Peso,0.0356,0.0361,0.0351,0.036,350.0,,,,,,,,,,
1995-05-09,Price_MP_0_IOB,Mexican Peso,0.036,0.0375,0.035,0.0356,589.0,,,,,,,,,,
1995-05-10,Price_MP_0_IOB,Mexican Peso,0.0361,0.0371,0.0331,0.0354,734.0,,,,,,,,,,
1995-05-11,Price_MP_0_IOB,Mexican Peso,0.0361,0.0373,0.0353,0.0367,339.0,,,,,,,,,,
1995-05-12,Price_MP_0_IOB,Mexican Peso,0.0368,0.0368,0.0357,0.0359,445.0,,,,,,,,,,
1995-05-15,Price_MP_0_IOB,Mexican Peso,0.0361,0.0361,0.0353,0.0361,455.0,,,,,,,,,,
1995-05-16,Price_MP_0_IOB,Mexican Peso,0.0364,0.0366,0.036,0.0363,357.0,,,,,,,,,,
1995-05-17,Price_MP_0_IOB,Mexican Peso,0.0363,0.0374,0.0362,0.0371,306.0,,,,,,,,,,
1995-05-18,Price_MP_0_IOB,Mexican Peso,0.0377,0.0391,0.0373,0.0391,450.0,,,,,,,,,,
1995-05-19,Price_MP_0_IOB,Mexican Peso,0.0389,0.0396,0.0386,0.0387,538.0,,,,,,,,,,
1995-05-22,Price_MP_0_IOB,Mexican Peso,0.0387,0.0395,0.0387,0.0395,656.0,,,,,,,,,,
1995-05-23,Price_MP_0_IOB,Mexican Peso,0.0393,0.0394,0.0377,0.0379,687.0,3407.0,679.0,0.0,0.0,675.0,2244.0,1354.0,2244.0,2053.0,1163.0
