Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1965-12-30,Price_SB20_IOB,Sugar #11 World,9.04,9.11,9.04,9.09,754.0,,,,,,,,,,
1966-01-03,Price_SB20_IOB,Sugar #11 World,9.04,9.08,9.04,9.05,452.0,,,,,,,,,,
1966-01-04,Price_SB20_IOB,Sugar #11 World,9.07,9.15,9.07,9.14,655.0,,,,,,,,,,
1966-01-05,Price_SB20_IOB,Sugar #11 World,9.17,9.23,9.17,9.22,1716.0,,,,,,,,,,
1966-01-06,Price_SB20_IOB,Sugar #11 World,9.23,9.3,9.23,9.29,1829.0,,,,,,,,,,
1966-01-07,Price_SB20_IOB,Sugar #11 World,9.26,9.3,9.26,9.29,1073.0,,,,,,,,,,
1966-01-10,Price_SB20_IOB,Sugar #11 World,9.22,9.27,9.22,9.26,804.0,,,,,,,,,,
1966-01-11,Price_SB20_IOB,Sugar #11 World,9.24,9.25,9.16,9.16,1720.0,,,,,,,,,,
1966-01-12,Price_SB20_IOB,Sugar #11 World,9.2,9.23,9.2,9.21,682.0,,,,,,,,,,
1966-01-13,Price_SB20_IOB,Sugar #11 World,9.21,9.25,9.21,9.22,880.0,,,,,,,,,,
1966-01-14,Price_SB20_IOB,Sugar #11 World,9.25,9.28,9.22,9.22,1030.0,,,,,,,,,,
1966-01-17,Price_SB20_IOB,Sugar #11 World,9.23,9.33,9.23,9.31,1651.0,,,,,,,,,,
1966-01-18,Price_SB20_IOB,Sugar #11 World,9.34,9.36,9.3,9.32,1143.0,,,,,,,,,,
1966-01-19,Price_SB20_IOB,Sugar #11 World,9.31,9.31,9.26,9.27,1379.0,,,,,,,,,,
1966-01-20,Price_SB20_IOB,Sugar #11 World,9.25,9.26,9.22,9.25,972.0,,,,,,,,,,
1966-01-21,Price_SB20_IOB,Sugar #11 World,9.29,9.35,9.29,9.33,1377.0,,,,,,,,,,
1966-01-24,Price_SB20_IOB,Sugar #11 World,9.36,9.37,9.34,9.34,1089.0,,,,,,,,,,
1966-01-25,Price_SB20_IOB,Sugar #11 World,9.36,9.42,9.36,9.41,1385.0,,,,,,,,,,
1966-01-26,Price_SB20_IOB,Sugar #11 World,9.44,9.45,9.35,9.35,1674.0,,,,,,,,,,
1966-01-27,Price_SB20_IOB,Sugar #11 World,9.4,9.4,9.32,9.35,1430.0,,,,,,,,,,
