Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1982-04-21,Price_SP20_IOB,S&P 500 Index,472.25,473.5,471.95,473.35,7926,,,,,,,,,,
1982-04-22,Price_SP20_IOB,S&P 500 Index,472.9,474.3,472.9,473.8,5966,,,,,,,,,,
1982-04-23,Price_SP20_IOB,S&P 500 Index,474.3,475.65,474.15,475.55,6128,,,,,,,,,,
1982-04-26,Price_SP20_IOB,S&P 500 Index,475.2,476.5,474.55,476.45,6098,,,,,,,,,,
1982-04-27,Price_SP20_IOB,S&P 500 Index,476.1,476.25,474.3,474.75,7956,,,,,,,,,,
1982-04-28,Price_SP20_IOB,S&P 500 Index,474.48,475.2,473.6,474.05,8302,,,,,,,,,,
1982-04-29,Price_SP20_IOB,S&P 500 Index,473.4,474.05,473.15,473.5,7024,,,,,,,,,,
1982-04-30,Price_SP20_IOB,S&P 500 Index,473.45,474.3,473.3,473.4,5688,,,,,,,,,,
1982-05-03,Price_SP20_IOB,S&P 500 Index,473.0,473.4,472.7,473.05,5762,,,,,,,,,,
1982-05-04,Price_SP20_IOB,S&P 500 Index,473.15,473.95,473.15,473.7,5400,,,,,,,,,,
1982-05-05,Price_SP20_IOB,S&P 500 Index,473.75,474.2,472.95,473.45,5492,,,,,,,,,,
1982-05-06,Price_SP20_IOB,S&P 500 Index,473.95,475.1,473.95,475.0,10342,,,,,,,,,,
1982-05-07,Price_SP20_IOB,S&P 500 Index,475.05,476.0,474.9,475.55,8018,,,,,,,,,,
1982-05-10,Price_SP20_IOB,S&P 500 Index,475.1,475.3,474.35,474.4,8436,,,,,,,,,,
1982-05-11,Price_SP20_IOB,S&P 500 Index,474.35,475.85,474.25,475.6,9430,,,,,,,,,,
1982-05-12,Price_SP20_IOB,S&P 500 Index,475.75,476.25,474.95,475.45,10370,,,,,,,,,,
1982-05-13,Price_SP20_IOB,S&P 500 Index,475.45,475.65,474.05,474.25,10034,,,,,,,,,,
1982-05-14,Price_SP20_IOB,S&P 500 Index,474.45,474.65,474.0,474.2,7874,,,,,,,,,,
1982-05-17,Price_SP20_IOB,S&P 500 Index,474.05,474.05,472.4,472.5,8592,,,,,,,,,,
1982-05-18,Price_SP20_IOB,S&P 500 Index,472.5,472.6,471.65,471.9,13354,,,,,,,,,,
1982-05-19,Price_SP20_IOB,S&P 500 Index,471.85,472.25,470.35,470.55,14338,,,,,,,,,,
1982-05-20,Price_SP20_IOB,S&P 500 Index,470.75,471.1,470.05,470.85,16806,,,,,,,,,,
1982-05-21,Price_SP20_IOB,S&P 500 Index,471.15,471.5,470.65,470.8,10342,,,,,,,,,,
1982-05-24,Price_SP20_IOB,S&P 500 Index,470.7,471.05,470.05,470.9,11046,,,,,,,,,,
1982-05-25,Price_SP20_IOB,S&P 500 Index,471.1,471.55,469.35,469.65,28272,,,,,,,,,,
1982-05-26,Price_SP20_IOB,S&P 500 Index,470.0,470.0,467.85,468.4,25680,,,,,,,,,,
1982-05-27,Price_SP20_IOB,S&P 500 Index,468.28,468.55,467.15,467.95,21054,,,,,,,,,,
1982-05-28,Price_SP20_IOB,S&P 500 Index,467.95,468.6,466.75,467.2,15552,,,,,,,,,,
1982-06-01,Price_SP20_IOB,S&P 500 Index,466.9,467.3,465.5,466.65,18318,,,,,,,,,,
1982-06-02,Price_SP20_IOB,S&P 500 Index,465.75,467.4,465.45,467.25,18908,,,,,,,,,,
1982-06-03,Price_SP20_IOB,S&P 500 Index,467.45,467.85,465.1,465.95,20178,,,,,,,,,,
1982-06-04,Price_SP20_IOB,S&P 500 Index,465.9,466.0,463.3,463.35,20514,,,,,,,,,,
1982-06-07,Price_SP20_IOB,S&P 500 Index,463.2,465.0,462.5,464.2,28574,,,,,,,,,,
1982-06-08,Price_SP20_IOB,S&P 500 Index,463.95,465.0,462.9,463.4,33334,,,,,,,,,,
1982-06-09,Price_SP20_IOB,S&P 500 Index,462.65,463.7,462.2,463.6,33808,,,,,,,,,,
1982-06-10,Price_SP20_IOB,S&P 500 Index,463.4,465.2,463.2,464.6,29588,,,,,,,,,,
1982-06-11,Price_SP20_IOB,S&P 500 Index,467.0,467.6,465.9,467.15,24138,,,,,,,,,,
1982-06-14,Price_SP20_IOB,S&P 500 Index,466.1,466.1,464.15,464.15,19936,,,,,,,,,,
1982-06-15,Price_SP20_IOB,S&P 500 Index,464.1,465.6,462.8,465.5,24562,,,,,,,,,,
1982-06-16,Price_SP20_IOB,S&P 500 Index,465.13,465.85,463.35,463.7,26014,,,,,,,,,,
1982-06-17,Price_SP20_IOB,S&P 500 Index,461.1,462.55,460.75,461.1,22062,,,,,,,,,,
1982-06-18,Price_SP20_IOB,S&P 500 Index,461.4,461.75,459.95,460.25,15056,,,,,,,,,,
1982-06-21,Price_SP20_IOB,S&P 500 Index,460.88,463.0,460.35,462.1,22672,,,,,,,,,,
1982-06-22,Price_SP20_IOB,S&P 500 Index,462.1,465.1,461.7,465.0,23168,,,,,,,,,,
1982-06-23,Price_SP20_IOB,S&P 500 Index,464.45,467.75,463.7,467.45,28330,,,,,,,,,,
1982-06-24,Price_SP20_IOB,S&P 500 Index,467.7,468.2,465.35,465.8,28904,,,,,,,,,,
1982-06-25,Price_SP20_IOB,S&P 500 Index,465.6,466.4,464.4,465.95,20384,,,,,,,,,,
1982-06-28,Price_SP20_IOB,S&P 500 Index,465.65,467.95,465.25,467.8,19622,,,,,,,,,,
1982-06-29,Price_SP20_IOB,S&P 500 Index,467.45,468.05,466.7,467.85,20910,,,,,,,,,,
1982-06-30,Price_SP20_IOB,S&P 500 Index,468.9,469.05,466.65,467.1,23566,,,,,,,,,,
1982-07-01,Price_SP20_IOB,S&P 500 Index,467.1,467.35,465.35,465.45,18712,,,,,,,,,,
1982-07-02,Price_SP20_IOB,S&P 500 Index,465.15,465.15,463.45,463.9,16186,,,,,,,,,,
1982-07-06,Price_SP20_IOB,S&P 500 Index,464.0,465.1,462.0,465.0,20882,,,,,,,,,,
1982-07-07,Price_SP20_IOB,S&P 500 Index,464.4,465.6,463.35,464.9,24330,,,,,,,,,,
1982-07-08,Price_SP20_IOB,S&P 500 Index,465.1,466.6,462.4,466.45,29820,,,,,,,,,,
1982-07-09,Price_SP20_IOB,S&P 500 Index,467.1,468.6,465.8,468.3,30788,,,,,,,,,,
1982-07-12,Price_SP20_IOB,S&P 500 Index,468.5,468.9,467.35,467.85,24562,,,,,,,,,,
