Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1990-06-22,Price_TU_0_IOB,T-Note (2 Year),66.318415,66.318415,66.303312,66.303312,3394.0,,,,,,,,,,
1990-06-25,Price_TU_0_IOB,T-Note (2 Year),66.318415,66.318415,66.227798,66.227798,755.0,,,,,,,,,,
1990-06-26,Price_TU_0_IOB,T-Note (2 Year),66.197592,66.363724,66.182489,66.242901,1448.0,,,,,,,,,,
1990-06-27,Price_TU_0_IOB,T-Note (2 Year),66.258004,66.318415,66.258004,66.318415,1448.0,,,,,,,,,,
1990-06-28,Price_TU_0_IOB,T-Note (2 Year),66.333518,66.439239,66.333518,66.439239,725.0,,,,,,,,,,
1990-06-29,Price_TU_0_IOB,T-Note (2 Year),66.454341,66.560062,66.39393,66.544959,148.0,1238.0,94.0,100.0,414.0,508.0,635.0,1016.0,1149.0,222.0,89.0
1990-07-02,Price_TU_0_IOB,T-Note (2 Year),66.514753,66.560062,66.514753,66.529856,168.0,,,,,,,,,,
1990-07-03,Price_TU_0_IOB,T-Note (2 Year),66.529856,66.60537,66.514753,66.60537,94.0,,,,,,,,,,
1990-07-05,Price_TU_0_IOB,T-Note (2 Year),66.590268,66.620473,66.544959,66.544959,962.0,,,,,,,,,,
1990-07-06,Price_TU_0_IOB,T-Note (2 Year),66.49965,66.49965,66.318415,66.348621,204.0,,,,,,,,,,
1990-07-09,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.303312,66.258004,66.273107,331.0,,,,,,,,,,
1990-07-10,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.303312,66.212695,66.242901,221.0,,,,,,,,,,
1990-07-11,Price_TU_0_IOB,T-Note (2 Year),66.273107,66.333518,66.273107,66.28821,719.0,,,,,,,,,,
1990-07-12,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.590268,66.167386,66.560062,735.0,,,,,,,,,,
1990-07-13,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.771502,66.469444,66.665782,1396.0,2918.0,374.0,1309.0,467.0,1564.0,882.0,2405.0,2658.0,513.0,260.0
1990-07-16,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.665782,66.635576,66.665782,662.0,,,,,,,,,,
1990-07-17,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.711091,66.635576,66.695988,499.0,,,,,,,,,,
1990-07-18,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.741297,66.60537,66.680885,442.0,,,,,,,,,,
