Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1922-01-03,Price_W2_0_IOB,Wheat,1562.875,1563.125,1556.125,1556.5,0,,,,,,,,,,
1922-01-04,Price_W2_0_IOB,Wheat,1558.125,1560.375,1557.625,1560.125,0,,,,,,,,,,
1922-01-05,Price_W2_0_IOB,Wheat,1560.0,1561.125,1558.75,1560.5,0,,,,,,,,,,
1922-01-06,Price_W2_0_IOB,Wheat,1560.5,1561.5,1559.75,1559.75,0,,,,,,,,,,
1922-01-09,Price_W2_0_IOB,Wheat,1561.25,1561.75,1560.125,1560.25,0,,,,,,,,,,
1922-01-10,Price_W2_0_IOB,Wheat,1559.75,1559.875,1557.25,1557.5,0,,,,,,,,,,
1922-01-11,Price_W2_0_IOB,Wheat,1558.0,1559.5,1557.625,1559.375,0,,,,,,,,,,
1922-01-12,Price_W2_0_IOB,Wheat,1559.875,1560.875,1559.125,1559.125,0,,,,,,,,,,
1922-01-13,Price_W2_0_IOB,Wheat,1558.75,1561.0,1558.375,1560.375,0,,,,,,,,,,
1922-01-16,Price_W2_0_IOB,Wheat,1559.75,1560.375,1558.875,1560.0,0,,,,,,,,,,
1922-01-17,Price_W2_0_IOB,Wheat,1560.0,1560.875,1559.5,1560.5,0,,,,,,,,,,
1922-01-18,Price_W2_0_IOB,Wheat,1560.625,1561.625,1560.25,1560.875,0,,,,,,,,,,
1922-01-19,Price_W2_0_IOB,Wheat,1561.375,1563.25,1561.375,1562.875,0,,,,,,,,,,
1922-01-20,Price_W2_0_IOB,Wheat,1563.0,1563.5,1562.125,1562.625,0,,,,,,,,,,
1922-01-23,Price_W2_0_IOB,Wheat,1564.75,1566.125,1564.25,1564.25,0,,,,,,,,,,
1922-01-24,Price_W2_0_IOB,Wheat,1564.875,1565.875,1563.875,1564.125,0,,,,,,,,,,
1922-01-25,Price_W2_0_IOB,Wheat,1564.625,1564.875,1563.375,1563.625,0,,,,,,,,,,
1922-01-26,Price_W2_0_IOB,Wheat,1563.375,1564.25,1562.875,1563.5,0,,,,,,,,,,
1922-01-27,Price_W2_0_IOB,Wheat,1563.875,1565.125,1563.625,1564.875,0,,,,,,,,,,
1922-01-30,Price_W2_0_IOB,Wheat,1567.375,1568.5,1566.75,1568.375,0,,,,,,,,,,
1922-01-31,Price_W2_0_IOB,Wheat,1568.0,1568.5,1567.25,1567.375,0,,,,,,,,,,
1922-02-01,Price_W2_0_IOB,Wheat,1567.875,1568.125,1566.75,1568.0,0,,,,,,,,,,
1922-02-02,Price_W2_0_IOB,Wheat,1569.5,1572.0,1568.625,1571.875,0,,,,,,,,,,
1922-02-03,Price_W2_0_IOB,Wheat,1572.25,1574.875,1571.375,1574.25,0,,,,,,,,,,
1922-02-06,Price_W2_0_IOB,Wheat,1573.875,1577.375,1573.875,1577.0,0,,,,,,,,,,
1922-02-07,Price_W2_0_IOB,Wheat,1578.75,1579.25,1576.375,1577.125,0,,,,,,,,,,
1922-02-08,Price_W2_0_IOB,Wheat,1576.5,1580.0,1575.625,1579.5,0,,,,,,,,,,
1922-02-09,Price_W2_0_IOB,Wheat,1578.75,1580.25,1577.875,1578.25,0,,,,,,,,,,
1922-02-10,Price_W2_0_IOB,Wheat,1578.125,1581.125,1577.625,1580.375,0,,,,,,,,,,
1922-02-14,Price_W2_0_IOB,Wheat,1586.875,1588.125,1585.25,1587.125,0,,,,,,,,,,
1922-02-15,Price_W2_0_IOB,Wheat,1586.125,1590.375,1585.5,1589.625,0,,,,,,,,,,
1922-02-16,Price_W2_0_IOB,Wheat,1590.375,1591.375,1587.125,1588.25,0,,,,,,,,,,
1922-02-17,Price_W2_0_IOB,Wheat,1588.0,1588.375,1585.875,1585.875,0,,,,,,,,,,
1922-02-20,Price_W2_0_IOB,Wheat,1591.375,1595.125,1590.625,1595.0,0,,,,,,,,,,
1922-02-21,Price_W2_0_IOB,Wheat,1594.125,1596.125,1593.0,1593.5,0,,,,,,,,,,
1922-02-23,Price_W2_0_IOB,Wheat,1591.875,1595.625,1591.625,1592.625,0,,,,,,,,,,
1922-02-24,Price_W2_0_IOB,Wheat,1592.25,1593.375,1590.0,1593.25,0,,,,,,,,,,
1922-02-27,Price_W2_0_IOB,Wheat,1597.375,1598.5,1595.625,1595.75,0,,,,,,,,,,
