Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1987-01-30,Price_AD_0_IOB,Australian Dollar,0.0502,0.0505,0.0498,0.0501,60,1687.0,392.0,210.0,0.0,610.0,294.0,1002.0,504.0,685.0,1183.0
1987-05-29,Price_AD_0_IOB,Australian Dollar,0.119,0.1193,0.119,0.1197,56,1991.0,633.0,0.0,0.0,217.0,545.0,850.0,545.0,1141.0,1446.0
1987-07-31,Price_AD_0_IOB,Australian Dollar,0.1138,0.1138,0.1128,0.1125,234,4182.0,2700.0,1157.0,0.0,0.0,1580.0,2700.0,2737.0,1482.0,1445.0
1987-08-14,Price_AD_0_IOB,Australian Dollar,0.1251,0.1278,0.1251,0.1269,295,4202.0,2700.0,1157.0,0.0,0.0,1807.0,2700.0,2964.0,1502.0,1238.0
1987-08-31,Price_AD_0_IOB,Australian Dollar,0.1342,0.1343,0.1342,0.134,30,4142.0,2700.0,1157.0,0.0,0.0,2128.0,2700.0,3285.0,1442.0,857.0
1988-05-13,Price_AD_0_IOB,Australian Dollar,0.2143,0.2162,0.2143,0.2157,84,2739.0,1328.0,900.0,0.0,486.0,629.0,1814.0,1529.0,925.0,1210.0
1988-05-31,Price_AD_0_IOB,Australian Dollar,0.2493,0.2504,0.2448,0.2466,6293,8929.0,4958.0,4110.0,1102.0,1951.0,2852.0,8011.0,8064.0,918.0,865.0
1988-06-15,Price_AD_0_IOB,Australian Dollar,0.2471,0.2508,0.2468,0.2496,338,4198.0,1418.0,3451.0,11.0,2123.0,364.0,3552.0,3826.0,646.0,372.0
1988-06-30,Price_AD_0_IOB,Australian Dollar,0.238,0.2432,0.2343,0.2423,281,4992.0,236.0,0.0,0.0,3704.0,4276.0,3940.0,4276.0,1052.0,716.0
1988-07-15,Price_AD_0_IOB,Australian Dollar,0.2438,0.2438,0.2351,0.2355,247,4773.0,0.0,0.0,0.0,3762.0,3805.0,3762.0,3805.0,1011.0,968.0
1988-07-29,Price_AD_0_IOB,Australian Dollar,0.2538,0.2575,0.2516,0.2521,640,5314.0,827.0,0.0,0.0,3650.0,4139.0,4477.0,4139.0,837.0,1175.0
1988-08-15,Price_AD_0_IOB,Australian Dollar,0.2539,0.2544,0.253,0.2537,211,5603.0,879.0,0.0,0.0,3763.0,4692.0,4642.0,4692.0,961.0,911.0
1988-08-31,Price_AD_0_IOB,Australian Dollar,0.2561,0.2562,0.2556,0.256,344,6813.0,1593.0,0.0,0.0,4036.0,5465.0,5629.0,5465.0,1184.0,1348.0
1988-09-15,Price_AD_0_IOB,Australian Dollar,0.2519,0.2541,0.2512,0.2535,210,7023.0,980.0,0.0,0.0,5184.0,5944.0,6164.0,5944.0,859.0,1079.0
1989-02-28,Price_AD_0_IOB,Australian Dollar,0.2715,0.276,0.2715,0.2738,666,3655.0,0.0,213.0,0.0,1594.0,1784.0,1594.0,1997.0,2061.0,1658.0
1989-05-15,Price_AD_0_IOB,Australian Dollar,0.2601,0.2623,0.26,0.2615,924,2828.0,0.0,201.0,0.0,1152.0,865.0,1152.0,1066.0,1676.0,1762.0
1989-05-31,Price_AD_0_IOB,Australian Dollar,0.2373,0.238,0.235,0.237,1039,4119.0,5.0,1359.0,460.0,2076.0,819.0,2541.0,2638.0,1578.0,1481.0
1989-06-15,Price_AD_0_IOB,Australian Dollar,0.2276,0.245,0.2245,0.242,905,4367.0,0.0,261.0,512.0,2200.0,1955.0,2712.0,2728.0,1655.0,1639.0
1989-06-30,Price_AD_0_IOB,Australian Dollar,0.2451,0.2504,0.2442,0.2499,522,2793.0,231.0,203.0,570.0,756.0,843.0,1557.0,1616.0,1236.0,1177.0
1989-07-14,Price_AD_0_IOB,Australian Dollar,0.2495,0.2495,0.246,0.246,230,2056.0,0.0,203.0,0.0,1221.0,327.0,1221.0,530.0,835.0,1526.0
1989-07-31,Price_AD_0_IOB,Australian Dollar,0.2509,0.2555,0.2495,0.2548,305,2227.0,0.0,203.0,0.0,1477.0,591.0,1477.0,794.0,750.0,1433.0
1989-08-15,Price_AD_0_IOB,Australian Dollar,0.2529,0.2537,0.2511,0.2531,256,2572.0,0.0,417.0,0.0,1178.0,642.0,1178.0,1059.0,1394.0,1513.0
1989-08-31,Price_AD_0_IOB,Australian Dollar,0.2655,0.2657,0.263,0.263,176,2521.0,0.0,0.0,0.0,1505.0,642.0,1505.0,642.0,1016.0,1879.0
1989-09-15,Price_AD_0_IOB,Australian Dollar,0.2748,0.2855,0.2717,0.279,910,3436.0,240.0,107.0,220.0,1148.0,969.0,1608.0,1296.0,1828.0,2140.0
1989-12-29,Price_AD_0_IOB,Australian Dollar,0.3126,0.3131,0.3101,0.3121,312,2554.0,1445.0,597.0,0.0,0.0,827.0,1445.0,1424.0,1109.0,1130.0
1990-01-15,Price_AD_0_IOB,Australian Dollar,0.3163,0.3166,0.3151,0.3153,99,2343.0,209.0,598.0,0.0,1462.0,529.0,1671.0,1127.0,672.0,1216.0
1990-01-31,Price_AD_0_IOB,Australian Dollar,0.2968,0.2991,0.2964,0.2989,515,3313.0,0.0,200.0,0.0,2626.0,522.0,2626.0,722.0,687.0,2591.0
1990-02-15,Price_AD_0_IOB,Australian Dollar,0.281,0.2829,0.2805,0.2827,538,3799.0,200.0,500.0,0.0,2458.0,481.0,2658.0,981.0,1141.0,2818.0
1990-03-15,Price_AD_0_IOB,Australian Dollar,0.2925,0.2954,0.2913,0.293,771,3431.0,0.0,300.0,0.0,2469.0,725.0,2469.0,1025.0,962.0,2406.0
1990-03-30,Price_AD_0_IOB,Australian Dollar,0.2928,0.2947,0.2926,0.2937,132,2343.0,0.0,459.0,0.0,1748.0,0.0,1748.0,459.0,595.0,1884.0
1990-04-30,Price_AD_0_IOB,Australian Dollar,0.2947,0.2952,0.2937,0.2952,885,2968.0,0.0,474.0,0.0,1296.0,544.0,1296.0,1018.0,1672.0,1950.0
1990-05-15,Price_AD_0_IOB,Australian Dollar,0.3092,0.3099,0.3086,0.3091,122,2274.0,0.0,444.0,0.0,1411.0,544.0,1411.0,988.0,863.0,1286.0
1990-07-13,Price_AD_0_IOB,Australian Dollar,0.3428,0.3456,0.3292,0.3322,1266,2661.0,505.0,0.0,0.0,117.0,1688.0,622.0,1688.0,2039.0,973.0
1990-08-15,Price_AD_0_IOB,Australian Dollar,0.3656,0.367,0.3636,0.3641,375,2639.0,0.0,0.0,0.0,767.0,1398.0,767.0,1398.0,1872.0,1241.0
1990-08-31,Price_AD_0_IOB,Australian Dollar,0.3727,0.3754,0.3706,0.3749,379,3070.0,0.0,0.0,0.0,1022.0,2177.0,1022.0,2177.0,2048.0,893.0
1990-09-14,Price_AD_0_IOB,Australian Dollar,0.3866,0.3909,0.3859,0.3874,590,3281.0,0.0,0.0,0.0,1398.0,2386.0,1398.0,2386.0,1883.0,895.0
1990-10-15,Price_AD_0_IOB,Australian Dollar,0.3575,0.3673,0.3522,0.3533,1279,1889.0,0.0,0.0,0.0,864.0,842.0,864.0,842.0,1025.0,1047.0
1990-11-15,Price_AD_0_IOB,Australian Dollar,0.3387,0.3421,0.3387,0.3404,253,2797.0,0.0,0.0,0.0,905.0,1084.0,905.0,1084.0,1892.0,1713.0
1990-11-30,Price_AD_0_IOB,Australian Dollar,0.344,0.3454,0.344,0.3452,856,3152.0,0.0,0.0,0.0,2290.0,1282.0,2290.0,1282.0,862.0,1870.0
1990-12-14,Price_AD_0_IOB,Australian Dollar,0.3359,0.3399,0.3351,0.3366,987,3441.0,0.0,227.0,0.0,2455.0,1585.0,2455.0,1812.0,986.0,1629.0
1991-01-15,Price_AD_0_IOB,Australian Dollar,0.3511,0.3574,0.3509,0.3568,431,1960.0,0.0,0.0,0.0,1078.0,1063.0,1078.0,1063.0,882.0,897.0
1991-02-15,Price_AD_0_IOB,Australian Dollar,0.3622,0.3664,0.3613,0.3644,130,1908.0,0.0,0.0,0.0,640.0,1089.0,640.0,1089.0,1268.0,819.0
1991-06-14,Price_AD_0_IOB,Australian Dollar,0.3416,0.3437,0.3415,0.3428,570,3181.0,204.0,0.0,0.0,1190.0,1060.0,1394.0,1060.0,1787.0,2121.0
