Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_BO20_IOB,Soybean Oil,69.79,69.83,69.43,69.5,13775,47418.0,1769.0,3291.0,1790.0,22419.0,20074.0,25978.0,25155.0,21440.0,22263.0
1986-01-31,Price_BO20_IOB,Soybean Oil,69.21,69.22,68.95,68.99,8099,50584.0,1004.0,3369.0,2620.0,24159.0,21289.0,27783.0,27278.0,22801.0,23306.0
1986-02-14,Price_BO20_IOB,Soybean Oil,68.07,68.14,67.77,67.79,8687,52839.0,609.0,5285.0,2614.0,28115.0,16568.0,31338.0,24467.0,21501.0,28372.0
1986-02-28,Price_BO20_IOB,Soybean Oil,66.3,66.35,65.61,65.91,18931,55010.0,449.0,5268.0,2694.0,32535.0,18992.0,35678.0,26954.0,19332.0,28056.0
1986-03-14,Price_BO20_IOB,Soybean Oil,66.68,66.71,66.25,66.26,10401,54955.0,542.0,5401.0,2880.0,30936.0,21889.0,34358.0,30170.0,20597.0,24785.0
1986-03-31,Price_BO20_IOB,Soybean Oil,67.39,68.12,67.36,68.09,16104,57640.0,4358.0,3643.0,2329.0,28676.0,27317.0,35363.0,33289.0,22277.0,24351.0
1986-04-15,Price_BO20_IOB,Soybean Oil,66.46,66.65,66.39,66.6,9289,53838.0,1359.0,5266.0,2380.0,30326.0,22348.0,34065.0,29994.0,19773.0,23844.0
1986-04-30,Price_BO20_IOB,Soybean Oil,66.71,67.45,66.54,67.45,40371,57852.0,2339.0,3390.0,5498.0,28658.0,24096.0,36495.0,32984.0,21357.0,24868.0
1986-05-15,Price_BO20_IOB,Soybean Oil,66.63,66.84,66.17,66.22,17872,52587.0,2492.0,2900.0,3134.0,26389.0,25374.0,32015.0,31408.0,20572.0,21179.0
1986-05-30,Price_BO20_IOB,Soybean Oil,66.28,66.32,65.99,66.0,15542,54035.0,2675.0,3785.0,1866.0,26478.0,28640.0,31019.0,34291.0,23016.0,19744.0
1986-06-13,Price_BO20_IOB,Soybean Oil,65.18,65.34,65.06,65.1,9351,60759.0,1474.0,5734.0,2553.0,33774.0,28302.0,37801.0,36589.0,22958.0,24170.0
1986-06-30,Price_BO20_IOB,Soybean Oil,64.92,64.94,64.77,64.78,16132,61808.0,775.0,5070.0,3654.0,36015.0,28932.0,40444.0,37656.0,21364.0,24152.0
