Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_CC20_IOB,Cocoa,5335.0,5351.0,5327.0,5331.0,1483,18560.0,550.0,1502.0,4297.0,14988.0,14809.0,19835.0,20608.0,-1275.0,-2048.0
1986-01-31,Price_CC20_IOB,Cocoa,5305.0,5326.0,5302.0,5313.0,2743,19259.0,474.0,2274.0,101.0,15822.0,13994.0,16397.0,16369.0,2862.0,2890.0
1986-02-14,Price_CC20_IOB,Cocoa,5195.0,5231.0,5193.0,5226.0,3903,19329.0,490.0,2785.0,109.0,16506.0,13521.0,17105.0,16415.0,2224.0,2914.0
1986-02-28,Price_CC20_IOB,Cocoa,5128.0,5158.0,5128.0,5151.0,3087,19521.0,256.0,3355.0,50.0,17576.0,12896.0,17882.0,16301.0,1639.0,3220.0
1986-03-14,Price_CC20_IOB,Cocoa,5164.0,5181.0,5148.0,5152.0,1922,21156.0,1129.0,3603.0,210.0,17886.0,14490.0,19225.0,18303.0,1931.0,2853.0
1986-03-31,Price_CC20_IOB,Cocoa,4989.0,5004.0,4965.0,4972.0,2435,21341.0,471.0,3663.0,170.0,18185.0,14156.0,18826.0,17989.0,2515.0,3352.0
1986-04-15,Price_CC20_IOB,Cocoa,4896.0,4898.0,4875.0,4881.0,4198,22037.0,613.0,3934.0,160.0,19663.0,14328.0,20436.0,18422.0,1601.0,3615.0
1986-04-30,Price_CC20_IOB,Cocoa,4853.0,4863.0,4851.0,4856.0,1737,19654.0,301.0,4117.0,28.0,17619.0,12714.0,17948.0,16859.0,1706.0,2795.0
1986-05-15,Price_CC20_IOB,Cocoa,4811.0,4828.0,4808.0,4824.0,1684,22407.0,608.0,4590.0,236.0,20069.0,15072.0,20913.0,19898.0,1494.0,2509.0
1986-05-30,Price_CC20_IOB,Cocoa,4806.0,4828.0,4800.0,4817.0,2552,24246.0,551.0,3972.0,760.0,21474.0,17054.0,22785.0,21786.0,1461.0,2460.0
1986-06-13,Price_CC20_IOB,Cocoa,4822.0,4839.0,4815.0,4822.0,3162,22472.0,1190.0,2955.0,677.0,18481.0,16190.0,20348.0,19822.0,2124.0,2650.0
1986-06-30,Price_CC20_IOB,Cocoa,4768.0,4813.0,4767.0,4804.0,2885,23100.0,772.0,4349.0,458.0,19809.0,15411.0,21039.0,20218.0,2061.0,2882.0
1986-07-15,Price_CC20_IOB,Cocoa,4912.0,4918.0,4900.0,4904.0,3153,23074.0,1440.0,2534.0,402.0,18404.0,17706.0,20246.0,20642.0,2828.0,2432.0
1986-07-31,Price_CC20_IOB,Cocoa,4982.0,4983.0,4949.0,4961.0,3225,26017.0,3756.0,378.0,579.0,18140.0,22799.0,22475.0,23756.0,3542.0,2261.0
1986-08-15,Price_CC20_IOB,Cocoa,4914.0,4930.0,4910.0,4928.0,3198,23456.0,1511.0,780.0,405.0,19414.0,20666.0,21330.0,21851.0,2126.0,1605.0
1986-08-29,Price_CC20_IOB,Cocoa,5061.0,5098.0,5055.0,5098.0,4886,25781.0,3423.0,679.0,504.0,17784.0,22767.0,21711.0,23950.0,4070.0,1831.0
1986-09-15,Price_CC20_IOB,Cocoa,5146.0,5149.0,5126.0,5128.0,1991,26065.0,4393.0,477.0,140.0,17966.0,23866.0,22499.0,24483.0,3566.0,1582.0
1986-09-30,Price_CC20_IOB,Cocoa,4966.0,4984.0,4964.0,4980.0,2910,25636.0,1331.0,1349.0,323.0,21191.0,21180.0,22845.0,22852.0,2791.0,2784.0
1986-10-15,Price_CC20_IOB,Cocoa,4941.0,4954.0,4937.0,4953.0,1455,24688.0,759.0,2487.0,266.0,21527.0,19725.0,22552.0,22478.0,2136.0,2210.0
1986-10-31,Price_CC20_IOB,Cocoa,4885.0,4887.0,4859.0,4866.0,6917,25189.0,755.0,3408.0,383.0,20618.0,17642.0,21756.0,21433.0,3433.0,3756.0
1986-11-14,Price_CC20_IOB,Cocoa,4903.0,4942.0,4894.0,4937.0,4811,23344.0,650.0,3425.0,266.0,20572.0,17803.0,21488.0,21494.0,1856.0,1850.0
1986-12-15,Price_CC20_IOB,Cocoa,4809.0,4811.0,4793.0,4798.0,839,24303.0,647.0,3526.0,257.0,20687.0,17471.0,21591.0,21254.0,2712.0,3049.0
1986-12-31,Price_CC20_IOB,Cocoa,4864.0,4876.0,4854.0,4874.0,1726,26109.0,1273.0,2580.0,108.0,20376.0,20120.0,21757.0,22808.0,4352.0,3301.0
1987-01-15,Price_CC20_IOB,Cocoa,4818.0,4829.0,4817.0,4820.0,1313,25806.0,527.0,2797.0,241.0,20719.0,18628.0,21487.0,21666.0,4319.0,4140.0
1987-01-30,Price_CC20_IOB,Cocoa,4742.0,4762.0,4739.0,4761.0,2786,24868.0,448.0,3754.0,135.0,21056.0,16840.0,21639.0,20729.0,3229.0,4139.0
1987-02-13,Price_CC20_IOB,Cocoa,4758.0,4759.0,4750.0,4756.0,1580,22620.0,878.0,3109.0,99.0,20159.0,17357.0,21136.0,20565.0,1484.0,2055.0
1987-02-27,Price_CC20_IOB,Cocoa,4791.0,4794.0,4784.0,4787.0,2234,23444.0,717.0,3130.0,302.0,20383.0,17912.0,21402.0,21344.0,2042.0,2100.0
1987-03-13,Price_CC20_IOB,Cocoa,4787.0,4789.0,4772.0,4783.0,3196,24736.0,1460.0,1118.0,459.0,18428.0,19725.0,20347.0,21302.0,4389.0,3434.0
1987-03-31,Price_CC20_IOB,Cocoa,4815.0,4829.0,4811.0,4827.0,1749,23169.0,1734.0,947.0,520.0,17525.0,19012.0,19779.0,20479.0,3390.0,2690.0
1987-04-15,Price_CC20_IOB,Cocoa,4859.0,4877.0,4854.0,4875.0,6527,23203.0,2824.0,761.0,310.0,15894.0,19386.0,19028.0,20457.0,4175.0,2746.0
1987-04-30,Price_CC20_IOB,Cocoa,4847.0,4850.0,4836.0,4848.0,2072,23283.0,4149.0,437.0,188.0,14136.0,19778.0,18473.0,20403.0,4810.0,2880.0
1987-05-15,Price_CC20_IOB,Cocoa,4845.0,4858.0,4828.0,4850.0,5713,25635.0,4828.0,796.0,324.0,16601.0,22133.0,21753.0,23253.0,3882.0,2382.0
1987-05-29,Price_CC20_IOB,Cocoa,4748.0,4754.0,4746.0,4752.0,2221,25155.0,2559.0,3094.0,104.0,19506.0,19364.0,22169.0,22562.0,2986.0,2593.0
1987-06-15,Price_CC20_IOB,Cocoa,4691.0,4719.0,4688.0,4715.0,5069,27199.0,1374.0,4635.0,263.0,22544.0,18994.0,24181.0,23892.0,3018.0,3307.0
1987-06-30,Price_CC20_IOB,Cocoa,4845.0,4848.0,4829.0,4835.0,3159,25583.0,1997.0,2135.0,334.0,20177.0,21296.0,22508.0,23765.0,3075.0,1818.0
1987-07-15,Price_CC20_IOB,Cocoa,4939.0,4968.0,4923.0,4964.0,6215,34445.0,6697.0,384.0,457.0,22516.0,30777.0,29670.0,31618.0,4775.0,2827.0
1987-07-31,Price_CC20_IOB,Cocoa,4826.0,4833.0,4814.0,4816.0,2042,33285.0,4147.0,752.0,501.0,24599.0,29651.0,29247.0,30904.0,4038.0,2381.0
1987-08-14,Price_CC20_IOB,Cocoa,4735.0,4752.0,4728.0,4748.0,3483,32177.0,2077.0,2173.0,398.0,26936.0,27137.0,29411.0,29708.0,2766.0,2469.0
1987-08-31,Price_CC20_IOB,Cocoa,4808.0,4822.0,4802.0,4816.0,825,30588.0,2543.0,1418.0,275.0,24188.0,26904.0,27006.0,28597.0,3582.0,1991.0
1987-09-15,Price_CC20_IOB,Cocoa,4750.0,4753.0,4715.0,4718.0,3120,31746.0,1234.0,4654.0,418.0,28250.0,23759.0,29902.0,28831.0,1844.0,2915.0
1987-09-30,Price_CC20_IOB,Cocoa,4660.0,4663.0,4638.0,4651.0,7329,32109.0,1504.0,4400.0,171.0,28066.0,25124.0,29741.0,29695.0,2368.0,2414.0
1987-10-15,Price_CC20_IOB,Cocoa,4624.0,4632.0,4614.0,4623.0,3447,33057.0,1627.0,5498.0,222.0,27780.0,24294.0,29629.0,30014.0,3428.0,3043.0
1987-10-30,Price_CC20_IOB,Cocoa,4674.0,4677.0,4646.0,4648.0,4605,32042.0,1503.0,3722.0,110.0,27352.0,25742.0,28965.0,29574.0,3077.0,2468.0
1987-11-13,Price_CC20_IOB,Cocoa,4666.0,4673.0,4624.0,4630.0,7149,28005.0,2207.0,1530.0,137.0,22832.0,23566.0,25176.0,25233.0,2829.0,2772.0
1987-11-30,Price_CC20_IOB,Cocoa,4669.0,4674.0,4654.0,4664.0,2457,27643.0,843.0,2358.0,108.0,23812.0,22627.0,24763.0,25093.0,2880.0,2550.0
1987-12-15,Price_CC20_IOB,Cocoa,4567.0,4569.0,4551.0,4556.0,1810,28129.0,912.0,3449.0,271.0,25116.0,21842.0,26299.0,25562.0,1830.0,2567.0
1987-12-31,Price_CC20_IOB,Cocoa,4618.0,4624.0,4605.0,4612.0,1682,26978.0,787.0,3384.0,144.0,23688.0,20485.0,24619.0,24013.0,2359.0,2965.0
1988-01-15,Price_CC20_IOB,Cocoa,4668.0,4693.0,4664.0,4681.0,3261,26406.0,1785.0,1564.0,362.0,21296.0,22071.0,23443.0,23997.0,2963.0,2409.0
1988-01-29,Price_CC20_IOB,Cocoa,4572.0,4582.0,4556.0,4558.0,4623,28603.0,3049.0,1323.0,602.0,20524.0,23553.0,24175.0,25478.0,4428.0,3125.0
1988-02-12,Price_CC20_IOB,Cocoa,4508.0,4511.0,4486.0,4487.0,6566,28409.0,1998.0,5128.0,244.0,21843.0,19735.0,24085.0,25107.0,4324.0,3302.0
1988-02-29,Price_CC20_IOB,Cocoa,4392.0,4403.0,4373.0,4382.0,4273,29088.0,3157.0,4953.0,293.0,21129.0,20609.0,24579.0,25855.0,4509.0,3233.0
1988-03-15,Price_CC20_IOB,Cocoa,4317.0,4363.0,4316.0,4360.0,6813,32885.0,3143.0,5237.0,216.0,23952.0,23822.0,27311.0,29275.0,5574.0,3610.0
1988-03-31,Price_CC20_IOB,Cocoa,4357.0,4366.0,4328.0,4331.0,5583,33806.0,4119.0,4862.0,172.0,23637.0,25601.0,27928.0,30635.0,5878.0,3171.0
1988-04-15,Price_CC20_IOB,Cocoa,4317.0,4319.0,4291.0,4294.0,7324,32988.0,4874.0,4310.0,110.0,22238.0,25243.0,27222.0,29663.0,5766.0,3325.0
1988-04-29,Price_CC20_IOB,Cocoa,4367.0,4378.0,4362.0,4373.0,3544,33799.0,5098.0,3373.0,189.0,22072.0,27335.0,27359.0,30897.0,6440.0,2902.0
1988-05-13,Price_CC20_IOB,Cocoa,4337.0,4361.0,4332.0,4357.0,3294,35569.0,4727.0,2913.0,292.0,24679.0,28332.0,29698.0,31537.0,5871.0,4032.0
1988-05-31,Price_CC20_IOB,Cocoa,4358.0,4372.0,4347.0,4363.0,3308,35027.0,6975.0,1809.0,234.0,19987.0,28338.0,27196.0,30381.0,7831.0,4646.0
1988-06-15,Price_CC20_IOB,Cocoa,4307.0,4322.0,4305.0,4321.0,6133,36069.0,6645.0,2488.0,545.0,20182.0,29122.0,27372.0,32155.0,8697.0,3914.0
1988-06-30,Price_CC20_IOB,Cocoa,4283.0,4316.0,4282.0,4305.0,6550,38464.0,7427.0,6475.0,173.0,21666.0,27464.0,29266.0,34112.0,9198.0,4352.0
1988-07-15,Price_CC20_IOB,Cocoa,4306.0,4310.0,4255.0,4284.0,10428,38056.0,8194.0,3028.0,707.0,20590.0,31193.0,29491.0,34928.0,8565.0,3128.0
1988-07-29,Price_CC20_IOB,Cocoa,4201.0,4204.0,4184.0,4186.0,4044,38593.0,7674.0,5986.0,377.0,22652.0,29321.0,30703.0,35684.0,7890.0,2909.0
1988-08-15,Price_CC20_IOB,Cocoa,4094.0,4097.0,4064.0,4066.0,6015,39253.0,6578.0,6645.0,484.0,23434.0,27566.0,30496.0,34695.0,8757.0,4558.0
1988-08-31,Price_CC20_IOB,Cocoa,4015.0,4018.0,3950.0,3955.0,6403,38283.0,5940.0,7526.0,589.0,23756.0,26970.0,30285.0,35085.0,7998.0,3198.0
1988-09-15,Price_CC20_IOB,Cocoa,3922.0,3934.0,3905.0,3908.0,3540,38478.0,6555.0,7237.0,580.0,23689.0,27810.0,30824.0,35627.0,7654.0,2851.0
1988-09-30,Price_CC20_IOB,Cocoa,3812.0,3834.0,3811.0,3831.0,2834,38087.0,6675.0,6093.0,780.0,22443.0,27930.0,29898.0,34803.0,8189.0,3284.0
1988-10-14,Price_CC20_IOB,Cocoa,3937.0,3984.0,3929.0,3982.0,7924,38598.0,7343.0,2848.0,747.0,22150.0,28172.0,30240.0,31767.0,8358.0,6831.0
1988-10-31,Price_CC20_IOB,Cocoa,4039.0,4057.0,4018.0,4024.0,4018,38336.0,7268.0,1330.0,775.0,21939.0,31441.0,29982.0,33546.0,8354.0,4790.0
1988-11-15,Price_CC20_IOB,Cocoa,4154.0,4156.0,4108.0,4113.0,8445,37535.0,9687.0,1172.0,1191.0,20487.0,31263.0,31365.0,33626.0,6170.0,3909.0
1988-11-30,Price_CC20_IOB,Cocoa,4191.0,4211.0,4172.0,4203.0,6644,37039.0,10408.0,1841.0,1276.0,19498.0,28676.0,31182.0,31793.0,5857.0,5246.0
1988-12-15,Price_CC20_IOB,Cocoa,4120.0,4136.0,4099.0,4102.0,4818,36659.0,8624.0,2899.0,1235.0,20983.0,27149.0,30842.0,31283.0,5817.0,5376.0
1988-12-30,Price_CC20_IOB,Cocoa,4230.0,4233.0,4220.0,4227.0,1074,36762.0,11661.0,1390.0,1159.0,18733.0,29873.0,31553.0,32422.0,5209.0,4340.0
1989-01-13,Price_CC20_IOB,Cocoa,4071.0,4098.0,4070.0,4077.0,4866,36520.0,6980.0,2909.0,1707.0,22806.0,27653.0,31493.0,32269.0,5027.0,4251.0
1989-01-31,Price_CC20_IOB,Cocoa,4164.0,4180.0,4155.0,4173.0,4943,35903.0,6349.0,2900.0,1431.0,21672.0,24550.0,29452.0,28881.0,6451.0,7022.0
1989-02-15,Price_CC20_IOB,Cocoa,4403.0,4421.0,4396.0,4407.0,6929,35968.0,9547.0,1619.0,1127.0,17510.0,26194.0,28184.0,28940.0,7784.0,7028.0
1989-02-28,Price_CC20_IOB,Cocoa,4334.0,4339.0,4319.0,4326.0,4089,35238.0,10842.0,981.0,1207.0,15537.0,26495.0,27586.0,28683.0,7652.0,6555.0
1989-03-15,Price_CC20_IOB,Cocoa,4288.0,4293.0,4273.0,4287.0,2964,32216.0,4561.0,4342.0,978.0,18590.0,20038.0,24129.0,25358.0,8087.0,6858.0
1989-03-31,Price_CC20_IOB,Cocoa,4257.0,4276.0,4249.0,4272.0,3814,33888.0,4670.0,3687.0,764.0,20134.0,21655.0,25568.0,26106.0,8320.0,7782.0
1989-04-14,Price_CC20_IOB,Cocoa,4094.0,4132.0,4093.0,4117.0,8696,36114.0,3849.0,8455.0,179.0,24358.0,20512.0,28386.0,29146.0,7728.0,6968.0
1989-04-28,Price_CC20_IOB,Cocoa,4093.0,4104.0,4090.0,4098.0,3540,39450.0,4314.0,8166.0,242.0,26333.0,24316.0,30889.0,32724.0,8561.0,6726.0
1989-05-15,Price_CC20_IOB,Cocoa,4047.0,4055.0,4041.0,4050.0,3243,41300.0,5012.0,7890.0,448.0,25219.0,25703.0,30679.0,34041.0,10621.0,7259.0
1989-05-31,Price_CC20_IOB,Cocoa,4064.0,4072.0,4055.0,4057.0,7851,42603.0,5669.0,4635.0,527.0,27109.0,31574.0,33305.0,36736.0,9298.0,5867.0
1989-06-15,Price_CC20_IOB,Cocoa,4080.0,4094.0,4066.0,4093.0,9399,45653.0,5700.0,4497.0,488.0,29376.0,34845.0,35564.0,39830.0,10089.0,5823.0
1989-06-30,Price_CC20_IOB,Cocoa,4113.0,4135.0,4105.0,4130.0,4853,45975.0,6279.0,1502.0,678.0,29156.0,38922.0,36113.0,41102.0,9862.0,4873.0
1989-07-14,Price_CC20_IOB,Cocoa,4154.0,4195.0,4151.0,4186.0,10356,45640.0,7859.0,825.0,698.0,25654.0,38809.0,34211.0,40332.0,11429.0,5308.0
1989-07-31,Price_CC20_IOB,Cocoa,4192.0,4194.0,4173.0,4176.0,2798,50008.0,11872.0,513.0,752.0,26386.0,43079.0,39010.0,44344.0,10998.0,5664.0
1989-08-15,Price_CC20_IOB,Cocoa,4161.0,4162.0,4137.0,4145.0,11221,47334.0,11563.0,540.0,694.0,25479.0,40309.0,37736.0,41543.0,9598.0,5791.0
1989-08-31,Price_CC20_IOB,Cocoa,4030.0,4043.0,4028.0,4031.0,3262,40726.0,5941.0,5907.0,403.0,26187.0,29110.0,32531.0,35420.0,8195.0,5306.0
1989-09-15,Price_CC20_IOB,Cocoa,3983.0,3987.0,3957.0,3984.0,3946,43515.0,5497.0,6396.0,435.0,28790.0,32034.0,34722.0,38865.0,8793.0,4650.0
1989-09-29,Price_CC20_IOB,Cocoa,3914.0,3927.0,3906.0,3922.0,4776,43132.0,5198.0,6193.0,61.0,27349.0,30668.0,32608.0,36922.0,10524.0,6210.0
1989-10-13,Price_CC20_IOB,Cocoa,3869.0,3883.0,3868.0,3879.0,2350,45597.0,5859.0,5358.0,196.0,29714.0,36520.0,35769.0,42074.0,9828.0,3523.0
1989-10-31,Price_CC20_IOB,Cocoa,3866.0,3875.0,3866.0,3871.0,2047,48808.0,5626.0,5092.0,462.0,29516.0,36520.0,35604.0,42074.0,13204.0,6734.0
1989-11-15,Price_CC20_IOB,Cocoa,3839.0,3846.0,3827.0,3831.0,6642,46763.0,6064.0,6594.0,442.0,28338.0,35194.0,34844.0,42230.0,11919.0,4533.0
1989-11-30,Price_CC20_IOB,Cocoa,3797.0,3818.0,3796.0,3815.0,4713,48793.0,7241.0,5472.0,323.0,28408.0,38970.0,35972.0,44765.0,12821.0,4028.0
