Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_CD_0_IOB,Canadian Dollar,0.5495,0.5501,0.5452,0.547,7535,15693.0,407.0,8382.0,0.0,9782.0,2319.0,10189.0,10701.0,5504.0,4992.0
1986-01-31,Price_CD_0_IOB,Canadian Dollar,0.5381,0.539,0.5375,0.5384,2953,18922.0,413.0,9401.0,1.0,12821.0,3057.0,13235.0,12459.0,5687.0,6463.0
1986-02-14,Price_CD_0_IOB,Canadian Dollar,0.5495,0.5496,0.5488,0.5501,3764,13901.0,1710.0,2513.0,108.0,6071.0,7109.0,7889.0,9730.0,6012.0,4171.0
1986-02-28,Price_CD_0_IOB,Canadian Dollar,0.5311,0.5375,0.5311,0.5351,8039,15075.0,1547.0,3756.0,86.0,8775.0,5544.0,10408.0,9386.0,4667.0,5689.0
1986-03-14,Price_CD_0_IOB,Canadian Dollar,0.552,0.5578,0.552,0.556,7450,14134.0,1524.0,1896.0,249.0,6981.0,7175.0,8754.0,9320.0,5380.0,4814.0
1986-03-31,Price_CD_0_IOB,Canadian Dollar,0.5508,0.5525,0.5505,0.5525,1510,9748.0,1768.0,1004.0,129.0,2735.0,4976.0,4632.0,6109.0,5116.0,3639.0
1986-04-15,Price_CD_0_IOB,Canadian Dollar,0.5525,0.5565,0.5525,0.5557,3269,10983.0,2185.0,1410.0,131.0,2642.0,5794.0,4958.0,7335.0,6025.0,3648.0
1986-04-30,Price_CD_0_IOB,Canadian Dollar,0.5655,0.5686,0.5655,0.5665,3345,13670.0,3401.0,1553.0,311.0,1523.0,8759.0,5235.0,10623.0,8435.0,3047.0
1986-05-15,Price_CD_0_IOB,Canadian Dollar,0.5706,0.5706,0.5681,0.5687,2289,14246.0,3575.0,2508.0,722.0,1804.0,7750.0,6101.0,10980.0,8145.0,3266.0
1986-05-30,Price_CD_0_IOB,Canadian Dollar,0.5671,0.5686,0.5654,0.5658,3724,14977.0,2233.0,125.0,350.0,4384.0,11258.0,6967.0,11733.0,8010.0,3244.0
1986-06-13,Price_CD_0_IOB,Canadian Dollar,0.5639,0.5665,0.5638,0.5661,3748,13025.0,1174.0,1022.0,558.0,5342.0,9044.0,7074.0,10624.0,5951.0,2401.0
1986-06-30,Price_CD_0_IOB,Canadian Dollar,0.5635,0.5654,0.5628,0.5649,1881,9400.0,1417.0,932.0,241.0,917.0,3043.0,2575.0,4216.0,6825.0,5184.0
1986-07-15,Price_CD_0_IOB,Canadian Dollar,0.5717,0.5724,0.5709,0.5715,1598,11320.0,1951.0,1258.0,222.0,975.0,6077.0,3148.0,7557.0,8172.0,3763.0
1986-07-31,Price_CD_0_IOB,Canadian Dollar,0.5682,0.5698,0.5673,0.5693,2996,13759.0,1040.0,1966.0,263.0,6636.0,6979.0,7939.0,9208.0,5820.0,4551.0
1986-08-15,Price_CD_0_IOB,Canadian Dollar,0.5642,0.5646,0.5625,0.5626,1467,15436.0,1557.0,2934.0,263.0,8997.0,6986.0,10817.0,10183.0,4619.0,5253.0
1986-08-29,Price_CD_0_IOB,Canadian Dollar,0.5621,0.5671,0.5621,0.5667,4745,17501.0,205.0,3027.0,265.0,12479.0,8254.0,12949.0,11546.0,4552.0,5955.0
1986-09-15,Price_CD_0_IOB,Canadian Dollar,0.5673,0.5682,0.5671,0.5675,1516,16111.0,328.0,1071.0,254.0,7614.0,9415.0,8196.0,10740.0,7915.0,5371.0
1986-09-30,Price_CD_0_IOB,Canadian Dollar,0.5685,0.5686,0.5665,0.5677,668,9358.0,249.0,995.0,0.0,1733.0,4409.0,1982.0,5404.0,7376.0,3954.0
1986-10-15,Price_CD_0_IOB,Canadian Dollar,0.5682,0.5683,0.5665,0.5666,3096,11095.0,462.0,2173.0,117.0,3183.0,4609.0,3762.0,6899.0,7333.0,4196.0
1986-10-31,Price_CD_0_IOB,Canadian Dollar,0.5672,0.5679,0.5667,0.5676,1494,12377.0,702.0,2970.0,22.0,4355.0,4863.0,5079.0,7855.0,7298.0,4522.0
1986-11-14,Price_CD_0_IOB,Canadian Dollar,0.5716,0.572,0.5714,0.5715,972,15667.0,4160.0,1723.0,0.0,1957.0,9336.0,6117.0,11059.0,9550.0,4608.0
1986-11-28,Price_CD_0_IOB,Canadian Dollar,0.5724,0.5732,0.5718,0.5729,1251,14648.0,1620.0,1750.0,0.0,3931.0,8149.0,5551.0,9899.0,9097.0,4749.0
1986-12-15,Price_CD_0_IOB,Canadian Dollar,0.5765,0.5766,0.5756,0.5763,1502,18363.0,3056.0,1076.0,0.0,5407.0,12762.0,8463.0,13838.0,9900.0,4525.0
1986-12-31,Price_CD_0_IOB,Canadian Dollar,0.576,0.5767,0.5746,0.5757,2254,14937.0,2905.0,1098.0,0.0,3637.0,10078.0,6542.0,11176.0,8395.0,3761.0
1987-01-15,Price_CD_0_IOB,Canadian Dollar,0.5864,0.5873,0.5853,0.5861,2178,15379.0,3591.0,1577.0,0.0,2253.0,10023.0,5844.0,11600.0,9535.0,3779.0
1987-01-30,Price_CD_0_IOB,Canadian Dollar,0.5988,0.6018,0.5976,0.6015,5389,23106.0,6196.0,1031.0,865.0,1521.0,16513.0,8582.0,18409.0,14524.0,4697.0
1987-02-13,Price_CD_0_IOB,Canadian Dollar,0.5971,0.6015,0.5971,0.6014,4685,24222.0,4639.0,1482.0,1693.0,3870.0,16528.0,10202.0,19703.0,14020.0,4519.0
1987-02-27,Price_CD_0_IOB,Canadian Dollar,0.6048,0.6049,0.6035,0.6039,2508,24837.0,6827.0,1057.0,1695.0,2839.0,17301.0,11361.0,20053.0,13476.0,4784.0
1987-03-13,Price_CD_0_IOB,Canadian Dollar,0.6119,0.6131,0.6117,0.6119,4700,34455.0,11212.0,220.0,1815.0,6548.0,28631.0,19575.0,30666.0,14880.0,3789.0
1987-03-31,Price_CD_0_IOB,Canadian Dollar,0.6178,0.6231,0.6178,0.6223,6323,27963.0,7855.0,469.0,1147.0,2467.0,21486.0,11469.0,23102.0,16494.0,4861.0
1987-04-15,Price_CD_0_IOB,Canadian Dollar,0.6142,0.6145,0.6098,0.6125,8471,25825.0,3643.0,800.0,546.0,7102.0,17741.0,11291.0,19087.0,14534.0,6738.0
1987-04-30,Price_CD_0_IOB,Canadian Dollar,0.603,0.6048,0.6025,0.603,3113,24537.0,1721.0,1853.0,442.0,10780.0,16301.0,12943.0,18596.0,11594.0,5941.0
1987-05-15,Price_CD_0_IOB,Canadian Dollar,0.6046,0.6046,0.6019,0.602,3087,24663.0,1667.0,1257.0,1459.0,10648.0,15474.0,13774.0,18190.0,10889.0,6473.0
1987-05-29,Price_CD_0_IOB,Canadian Dollar,0.6038,0.6043,0.6026,0.6039,3056,25406.0,1521.0,1165.0,1701.0,11135.0,15679.0,14357.0,18545.0,11049.0,6861.0
1987-06-15,Price_CD_0_IOB,Canadian Dollar,0.6021,0.6028,0.6017,0.6018,1594,25820.0,1507.0,580.0,1719.0,11588.0,15783.0,14814.0,18082.0,11006.0,7738.0
1987-06-30,Price_CD_0_IOB,Canadian Dollar,0.6072,0.6089,0.6072,0.6081,2338,19674.0,3215.0,274.0,597.0,6380.0,17673.0,10192.0,18544.0,9482.0,1130.0
1987-07-15,Price_CD_0_IOB,Canadian Dollar,0.6136,0.6138,0.6112,0.6124,3896,23082.0,4652.0,0.0,890.0,2723.0,17705.0,8265.0,18595.0,14817.0,4487.0
1987-07-31,Price_CD_0_IOB,Canadian Dollar,0.6089,0.6108,0.6081,0.61,2567,19033.0,2531.0,284.0,850.0,5047.0,13388.0,8428.0,14522.0,10605.0,4511.0
1987-08-14,Price_CD_0_IOB,Canadian Dollar,0.6088,0.6099,0.6075,0.6096,2856,18322.0,2530.0,0.0,586.0,3477.0,12712.0,6593.0,13298.0,11729.0,5024.0
1987-08-31,Price_CD_0_IOB,Canadian Dollar,0.617,0.6179,0.6154,0.616,2448,23449.0,5651.0,587.0,358.0,1803.0,17769.0,7812.0,18714.0,15637.0,4735.0
1987-09-15,Price_CD_0_IOB,Canadian Dollar,0.619,0.6208,0.6187,0.6198,1711,19660.0,6821.0,531.0,935.0,2044.0,15773.0,9800.0,17239.0,9860.0,2421.0
1987-09-30,Price_CD_0_IOB,Canadian Dollar,0.6227,0.6251,0.6223,0.6236,2422,21422.0,8694.0,0.0,557.0,601.0,17261.0,9852.0,17818.0,11570.0,3604.0
1987-10-15,Price_CD_0_IOB,Canadian Dollar,0.6304,0.6325,0.6297,0.6315,3846,23337.0,10116.0,0.0,535.0,613.0,18631.0,11264.0,19166.0,12073.0,4171.0
1987-10-30,Price_CD_0_IOB,Canadian Dollar,0.6208,0.6226,0.6198,0.622,2587,19138.0,2393.0,480.0,472.0,7702.0,14246.0,10567.0,15198.0,8571.0,3940.0
1987-11-13,Price_CD_0_IOB,Canadian Dollar,0.62,0.621,0.6197,0.6202,993,18209.0,2196.0,480.0,439.0,8992.0,11846.0,11627.0,12765.0,6582.0,5444.0
1987-11-30,Price_CD_0_IOB,Canadian Dollar,0.6281,0.6281,0.6255,0.6263,2900,19321.0,2527.0,480.0,1144.0,6851.0,12217.0,10522.0,13841.0,8799.0,5480.0
1987-12-15,Price_CD_0_IOB,Canadian Dollar,0.6293,0.63,0.6276,0.6279,1124,12185.0,3452.0,646.0,633.0,2124.0,13536.0,6209.0,14815.0,5976.0,-2630.0
1987-12-31,Price_CD_0_IOB,Canadian Dollar,0.6325,0.6332,0.6322,0.633,2356,14908.0,4907.0,669.0,834.0,0.0,10054.0,5741.0,11557.0,9167.0,3351.0
1988-01-15,Price_CD_0_IOB,Canadian Dollar,0.6391,0.6417,0.6389,0.6402,3316,21722.0,7950.0,219.0,1028.0,613.0,17590.0,9591.0,18837.0,12131.0,2885.0
1988-01-29,Price_CD_0_IOB,Canadian Dollar,0.6472,0.6479,0.6465,0.6475,1817,25446.0,9296.0,426.0,1058.0,839.0,19844.0,11193.0,21328.0,14253.0,4118.0
1988-02-12,Price_CD_0_IOB,Canadian Dollar,0.6543,0.6564,0.6543,0.6546,3582,25254.0,9635.0,1260.0,1100.0,619.0,18318.0,11354.0,20678.0,13900.0,4576.0
1988-02-29,Price_CD_0_IOB,Canadian Dollar,0.6553,0.6594,0.6551,0.6589,5361,23411.0,9283.0,485.0,969.0,469.0,17065.0,10721.0,18519.0,12690.0,4892.0
1988-03-15,Price_CD_0_IOB,Canadian Dollar,0.6609,0.6633,0.6604,0.6623,3570,18998.0,5965.0,0.0,476.0,2740.0,17310.0,9181.0,17786.0,9817.0,1212.0
1988-03-31,Price_CD_0_IOB,Canadian Dollar,0.6755,0.6765,0.6745,0.6747,2067,24339.0,8840.0,545.0,313.0,793.0,17623.0,9946.0,18481.0,14393.0,5858.0
1988-04-15,Price_CD_0_IOB,Canadian Dollar,0.678,0.6785,0.6764,0.6769,4924,23747.0,6314.0,875.0,664.0,2792.0,17361.0,9770.0,18900.0,13977.0,4847.0
1988-04-29,Price_CD_0_IOB,Canadian Dollar,0.6808,0.681,0.6796,0.6799,2920,25940.0,6206.0,2171.0,1656.0,2397.0,16248.0,10259.0,20075.0,15681.0,5865.0
1988-05-13,Price_CD_0_IOB,Canadian Dollar,0.679,0.6793,0.6774,0.6779,4572,28220.0,8885.0,1783.0,2125.0,2520.0,17534.0,13530.0,21442.0,14690.0,6778.0
1988-05-31,Price_CD_0_IOB,Canadian Dollar,0.6763,0.6798,0.6755,0.6791,10386,29846.0,5917.0,1889.0,4511.0,4764.0,16212.0,15192.0,22612.0,14654.0,7234.0
1988-06-15,Price_CD_0_IOB,Canadian Dollar,0.6879,0.6914,0.6879,0.6906,4529,36198.0,19403.0,1286.0,313.0,1292.0,30656.0,21008.0,32255.0,15190.0,3943.0
1988-06-30,Price_CD_0_IOB,Canadian Dollar,0.6926,0.6964,0.6916,0.6929,6975,33848.0,18320.0,307.0,639.0,2002.0,29055.0,20961.0,30001.0,12887.0,3847.0
1988-07-15,Price_CD_0_IOB,Canadian Dollar,0.6969,0.6974,0.6939,0.695,3761,33023.0,17929.0,763.0,607.0,1459.0,26292.0,19995.0,27662.0,13028.0,5361.0
1988-07-29,Price_CD_0_IOB,Canadian Dollar,0.6957,0.6973,0.695,0.6956,4294,30069.0,9590.0,512.0,809.0,7289.0,23272.0,17688.0,24593.0,12381.0,5476.0
1988-08-15,Price_CD_0_IOB,Canadian Dollar,0.6888,0.6898,0.6867,0.6876,4341,28090.0,5469.0,1826.0,1382.0,11536.0,16532.0,18387.0,19740.0,9703.0,8350.0
1988-08-31,Price_CD_0_IOB,Canadian Dollar,0.6782,0.6782,0.6759,0.6775,3699,28513.0,2707.0,3136.0,1164.0,15703.0,14662.0,19574.0,18962.0,8939.0,9551.0
1988-09-15,Price_CD_0_IOB,Canadian Dollar,0.6873,0.6883,0.6859,0.6873,6018,25186.0,2412.0,3343.0,715.0,13112.0,14111.0,16239.0,18169.0,8947.0,7017.0
1988-09-30,Price_CD_0_IOB,Canadian Dollar,0.6934,0.6947,0.6916,0.6936,5364,17849.0,3819.0,2564.0,229.0,1758.0,9866.0,5806.0,12659.0,12043.0,5190.0
1988-10-14,Price_CD_0_IOB,Canadian Dollar,0.7007,0.7023,0.7005,0.7018,5567,21686.0,5223.0,735.0,0.0,1452.0,16162.0,6675.0,16897.0,15011.0,4789.0
1988-10-31,Price_CD_0_IOB,Canadian Dollar,0.6929,0.6933,0.6888,0.6889,17275,23452.0,5651.0,840.0,81.0,1881.0,14075.0,7613.0,14996.0,15839.0,8456.0
1988-11-15,Price_CD_0_IOB,Canadian Dollar,0.6837,0.6845,0.682,0.6832,5324,17370.0,2366.0,1788.0,229.0,5855.0,7003.0,8450.0,9020.0,8920.0,8350.0
1988-11-30,Price_CD_0_IOB,Canadian Dollar,0.7164,0.7166,0.7146,0.7164,9622,28227.0,9566.0,2714.0,595.0,2541.0,17074.0,12702.0,20383.0,15525.0,7844.0
1988-12-15,Price_CD_0_IOB,Canadian Dollar,0.7065,0.7067,0.702,0.7031,11344,27374.0,5181.0,2548.0,284.0,9301.0,17917.0,14766.0,20749.0,12608.0,6625.0
1988-12-30,Price_CD_0_IOB,Canadian Dollar,0.7129,0.7138,0.712,0.7133,1497,21974.0,8136.0,1566.0,0.0,1515.0,16608.0,9651.0,18174.0,12323.0,3800.0
1989-01-13,Price_CD_0_IOB,Canadian Dollar,0.7071,0.7108,0.707,0.7101,5105,21597.0,6105.0,1241.0,16.0,2636.0,14168.0,8757.0,15425.0,12840.0,6172.0
1989-01-31,Price_CD_0_IOB,Canadian Dollar,0.7209,0.7215,0.7189,0.7196,3388,29437.0,12506.0,3429.0,213.0,1923.0,19515.0,14642.0,23157.0,14795.0,6280.0
1989-02-15,Price_CD_0_IOB,Canadian Dollar,0.7212,0.7247,0.721,0.7232,9502,28642.0,9739.0,3242.0,0.0,3684.0,16599.0,13423.0,19841.0,15219.0,8801.0
1989-02-28,Price_CD_0_IOB,Canadian Dollar,0.7107,0.7113,0.7095,0.7105,11600,30683.0,1373.0,3757.0,2964.0,15896.0,11155.0,20233.0,17876.0,10450.0,12807.0
1989-03-15,Price_CD_0_IOB,Canadian Dollar,0.7144,0.7157,0.7137,0.7141,3541,15491.0,3429.0,1669.0,347.0,3052.0,2707.0,6828.0,4723.0,8663.0,10768.0
1989-03-31,Price_CD_0_IOB,Canadian Dollar,0.7157,0.7168,0.7155,0.7161,1966,19631.0,7049.0,1965.0,105.0,1235.0,8519.0,8389.0,10589.0,11242.0,9042.0
1989-04-14,Price_CD_0_IOB,Canadian Dollar,0.7196,0.7225,0.7191,0.7222,5152,20893.0,7688.0,1648.0,50.0,1192.0,10376.0,8930.0,12074.0,11963.0,8819.0
1989-04-28,Price_CD_0_IOB,Canadian Dollar,0.7208,0.7248,0.7199,0.7219,14030,22867.0,7729.0,1517.0,353.0,3329.0,10544.0,11411.0,12414.0,11456.0,10453.0
