Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_CL20_IOB,Crude Oil (Light),37.64,37.91,37.52,37.62,22284,74334.0,2560.0,11594.0,5317.0,53426.0,42097.0,61303.0,59008.0,13031.0,15326.0
1986-01-31,Price_CL20_IOB,Crude Oil (Light),32.86,33.04,32.51,32.54,17117,66522.0,3405.0,8095.0,3289.0,46248.0,38391.0,52942.0,49775.0,13580.0,16747.0
1986-02-14,Price_CL20_IOB,Crude Oil (Light),30.41,30.61,29.91,29.94,15892,66316.0,5325.0,6896.0,3166.0,44962.0,43196.0,53453.0,53258.0,12863.0,13058.0
1986-02-28,Price_CL20_IOB,Crude Oil (Light),26.71,27.11,26.66,27.0,20226,64007.0,8756.0,5344.0,2794.0,38226.0,42686.0,49776.0,50824.0,14231.0,13183.0
1986-03-14,Price_CL20_IOB,Crude Oil (Light),26.66,26.96,26.09,26.37,29246,72905.0,12143.0,6800.0,3583.0,40184.0,47647.0,55910.0,58030.0,16995.0,14875.0
1986-03-31,Price_CL20_IOB,Crude Oil (Light),24.55,24.61,23.71,23.83,18687,72083.0,11074.0,11234.0,4257.0,43075.0,44398.0,58406.0,59889.0,13677.0,12194.0
1986-04-15,Price_CL20_IOB,Crude Oil (Light),26.31,26.31,25.56,25.68,27227,87372.0,13069.0,14111.0,5823.0,51069.0,57107.0,69961.0,77041.0,17411.0,10331.0
1986-04-30,Price_CL20_IOB,Crude Oil (Light),26.59,26.92,26.48,26.58,24431,92863.0,12758.0,16861.0,5621.0,52826.0,59367.0,71205.0,81849.0,21658.0,11014.0
1986-05-15,Price_CL20_IOB,Crude Oil (Light),28.44,28.72,28.34,28.69,24840,104116.0,17919.0,18404.0,6272.0,54434.0,63860.0,78625.0,88536.0,25491.0,15580.0
1986-05-30,Price_CL20_IOB,Crude Oil (Light),28.19,28.34,27.74,27.84,24193,98292.0,13518.0,15798.0,7821.0,58472.0,60718.0,79811.0,84337.0,18481.0,13955.0
1986-06-13,Price_CL20_IOB,Crude Oil (Light),27.23,27.56,27.05,27.46,28561,107316.0,15119.0,18063.0,6547.0,65508.0,67284.0,87174.0,91894.0,20142.0,15422.0
1986-06-30,Price_CL20_IOB,Crude Oil (Light),26.64,26.89,26.54,26.69,30561,102404.0,17393.0,14635.0,4622.0,51607.0,58389.0,73622.0,77646.0,28782.0,24758.0
1986-07-15,Price_CL20_IOB,Crude Oil (Light),24.67,25.65,24.62,25.55,56701,132368.0,19287.0,14530.0,5042.0,66043.0,75063.0,90372.0,94635.0,41996.0,37733.0
