Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_CT20_IOB,Cotton,67.25,67.32,67.02,67.07,2250,23620.0,3051.0,499.0,1085.0,6826.0,13690.0,10962.0,15274.0,12658.0,8346.0
1986-01-31,Price_CT20_IOB,Cotton,67.32,67.67,67.32,67.57,1965,23326.0,2219.0,1754.0,2045.0,7996.0,10970.0,12260.0,14769.0,11066.0,8557.0
1986-02-14,Price_CT20_IOB,Cotton,65.27,65.57,64.77,65.04,11524,20580.0,2007.0,953.0,1804.0,5893.0,10474.0,9704.0,13231.0,10876.0,7349.0
1986-02-28,Price_CT20_IOB,Cotton,62.97,63.41,62.94,63.28,1613,20668.0,2908.0,976.0,1353.0,4971.0,11251.0,9232.0,13580.0,11436.0,7088.0
1986-03-14,Price_CT20_IOB,Cotton,62.67,62.67,62.32,62.49,1581,21164.0,2600.0,1104.0,1303.0,5392.0,11240.0,9295.0,13647.0,11869.0,7517.0
1986-03-31,Price_CT20_IOB,Cotton,57.97,58.57,57.84,58.45,2039,20112.0,2507.0,1121.0,753.0,4575.0,11030.0,7835.0,12904.0,12277.0,7208.0
1986-04-15,Price_CT20_IOB,Cotton,57.89,58.07,57.44,57.5,2982,20607.0,1441.0,2101.0,928.0,7312.0,9727.0,9681.0,12756.0,10926.0,7851.0
1986-04-30,Price_CT20_IOB,Cotton,56.01,57.77,55.87,57.77,6444,19732.0,1903.0,1498.0,408.0,5981.0,10237.0,8292.0,12143.0,11440.0,7589.0
1986-05-15,Price_CT20_IOB,Cotton,55.52,55.59,55.22,55.42,2953,23051.0,2976.0,1767.0,736.0,6274.0,12893.0,9986.0,15396.0,13065.0,7655.0
1986-05-30,Price_CT20_IOB,Cotton,53.34,53.65,53.32,53.62,1703,23702.0,2690.0,1685.0,1124.0,6700.0,12326.0,10514.0,15135.0,13188.0,8567.0
1986-06-13,Price_CT20_IOB,Cotton,52.12,52.32,52.02,52.22,2774,23380.0,2271.0,1658.0,704.0,7424.0,11606.0,10399.0,13968.0,12981.0,9412.0
1986-06-30,Price_CT20_IOB,Cotton,51.04,51.27,50.87,51.13,1732,22504.0,2746.0,2485.0,548.0,6794.0,10471.0,10088.0,13504.0,12416.0,9000.0
1986-07-15,Price_CT20_IOB,Cotton,49.1,49.82,49.07,49.45,2770,21712.0,3005.0,2290.0,186.0,6628.0,11079.0,9819.0,13555.0,11893.0,8157.0
1986-07-31,Price_CT20_IOB,Cotton,51.71,52.22,51.32,51.62,5636,25321.0,4215.0,1479.0,259.0,4841.0,16580.0,9315.0,18318.0,16006.0,7003.0
