Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1992-05-29,Price_DX20_IOB,Dollar Index,103.261,103.361,102.681,102.741,2733,743.0,50.0,492.0,0.0,499.0,152.0,549.0,644.0,194.0,99.0
1992-06-15,Price_DX20_IOB,Dollar Index,101.341,101.401,100.911,101.021,3274,3586.0,1176.0,2058.0,255.0,965.0,0.0,2396.0,2313.0,1190.0,1273.0
1992-06-30,Price_DX20_IOB,Dollar Index,98.641,99.101,98.591,98.791,1510,4576.0,1621.0,3286.0,79.0,1420.0,0.0,3120.0,3365.0,1456.0,1211.0
1992-07-15,Price_DX20_IOB,Dollar Index,97.361,97.391,96.911,97.081,1517,4073.0,1720.0,2572.0,271.0,316.0,222.0,2307.0,3065.0,1766.0,1008.0
1992-07-31,Price_DX20_IOB,Dollar Index,96.711,97.011,96.581,96.601,1066,4421.0,1584.0,3119.0,433.0,472.0,0.0,2489.0,3552.0,1932.0,869.0
1992-08-14,Price_DX20_IOB,Dollar Index,95.901,96.411,95.811,96.161,3121,5372.0,2095.0,3539.0,295.0,631.0,336.0,3021.0,4170.0,2351.0,1202.0
1992-08-31,Price_DX20_IOB,Dollar Index,93.501,93.501,93.001,93.121,1816,4625.0,1407.0,2595.0,529.0,518.0,164.0,2454.0,3288.0,2171.0,1337.0
1992-09-15,Price_DX20_IOB,Dollar Index,96.861,97.871,96.301,97.871,5015,5386.0,2975.0,3677.0,288.0,356.0,671.0,3619.0,4636.0,1767.0,750.0
1992-09-30,Price_DX20_IOB,Dollar Index,95.121,96.011,94.621,95.721,2093,4515.0,1349.0,2226.0,1178.0,402.0,284.0,2929.0,3688.0,1586.0,827.0
1992-10-06,Price_DX20_IOB,Dollar Index,97.571,97.621,96.991,97.341,594,6706.0,2908.0,4439.0,1180.0,634.0,278.0,4722.0,5897.0,1984.0,809.0
1992-10-13,Price_DX20_IOB,Dollar Index,98.571,99.361,97.631,97.811,4179,5003.0,1062.0,2912.0,1166.0,888.0,100.0,3116.0,4178.0,1887.0,825.0
1992-10-20,Price_DX20_IOB,Dollar Index,99.481,100.601,99.481,100.171,1351,5874.0,2190.0,3967.0,1175.0,456.0,100.0,3821.0,5242.0,2053.0,632.0
1992-10-27,Price_DX20_IOB,Dollar Index,100.621,101.201,100.221,100.251,3059,4301.0,1228.0,2738.0,464.0,290.0,100.0,1982.0,3302.0,2319.0,999.0
1992-11-03,Price_DX20_IOB,Dollar Index,102.161,102.551,101.501,101.991,2934,5064.0,1298.0,1878.0,1124.0,236.0,1183.0,2658.0,4185.0,2406.0,879.0
1992-11-10,Price_DX20_IOB,Dollar Index,103.511,103.621,103.061,103.351,2265,6142.0,2474.0,2137.0,1074.0,0.0,1519.0,3548.0,4730.0,2594.0,1412.0
1992-11-17,Price_DX20_IOB,Dollar Index,103.211,103.821,103.081,103.081,4822,6078.0,2455.0,2653.0,936.0,50.0,1256.0,3441.0,4845.0,2637.0,1233.0
