Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_FC_0_IOB,Feeder Cattle,64.75,65.825,64.675,65.575,1635,10573.0,597.0,485.0,262.0,5852.0,3660.0,6711.0,4407.0,3862.0,6166.0
1986-01-31,Price_FC_0_IOB,Feeder Cattle,65.2,65.775,65.125,65.475,879,10941.0,695.0,193.0,516.0,5310.0,3702.0,6521.0,4411.0,4420.0,6530.0
1986-02-14,Price_FC_0_IOB,Feeder Cattle,63.925,64.175,63.7,64.025,1118,11628.0,708.0,775.0,459.0,5216.0,3990.0,6383.0,5224.0,5245.0,6404.0
1986-02-28,Price_FC_0_IOB,Feeder Cattle,63.4,64.15,63.15,63.525,1870,12106.0,483.0,817.0,519.0,5698.0,4569.0,6700.0,5905.0,5406.0,6201.0
1986-03-14,Price_FC_0_IOB,Feeder Cattle,62.225,62.7,62.15,62.325,1103,11863.0,808.0,914.0,453.0,4311.0,4541.0,5572.0,5908.0,6291.0,5955.0
1986-03-31,Price_FC_0_IOB,Feeder Cattle,61.025,61.05,59.8,59.8,1333,11842.0,1247.0,1058.0,199.0,3894.0,4701.0,5340.0,5958.0,6502.0,5884.0
1986-04-15,Price_FC_0_IOB,Feeder Cattle,58.0,58.0,56.35,56.4,1575,10660.0,1072.0,1146.0,332.0,3127.0,3847.0,4531.0,5325.0,6129.0,5335.0
1986-04-30,Price_FC_0_IOB,Feeder Cattle,54.875,55.475,54.725,55.475,3261,10872.0,1279.0,1080.0,525.0,3087.0,4214.0,4891.0,5819.0,5981.0,5053.0
1986-05-15,Price_FC_0_IOB,Feeder Cattle,57.275,57.325,56.325,56.525,1084,8920.0,1104.0,817.0,387.0,2654.0,3368.0,4145.0,4572.0,4775.0,4348.0
1986-05-30,Price_FC_0_IOB,Feeder Cattle,55.65,55.675,54.375,54.725,1457,9257.0,1126.0,650.0,472.0,3163.0,3607.0,4761.0,4729.0,4496.0,4528.0
1986-06-13,Price_FC_0_IOB,Feeder Cattle,55.575,56.25,55.525,55.95,1529,10210.0,1729.0,570.0,426.0,3522.0,3922.0,5677.0,4918.0,4533.0,5292.0
1986-06-30,Price_FC_0_IOB,Feeder Cattle,59.925,60.225,58.825,60.075,2306,11151.0,1289.0,182.0,442.0,4490.0,4744.0,6221.0,5368.0,4930.0,5783.0
1986-07-15,Price_FC_0_IOB,Feeder Cattle,62.1,62.875,62.025,62.775,2129,12037.0,2011.0,150.0,252.0,4541.0,4934.0,6804.0,5336.0,5233.0,6701.0
1986-07-31,Price_FC_0_IOB,Feeder Cattle,62.7,63.5,62.7,63.15,1887,12709.0,1417.0,162.0,238.0,5863.0,5409.0,7518.0,5809.0,5191.0,6900.0
1986-08-15,Price_FC_0_IOB,Feeder Cattle,63.725,64.4,63.6,64.35,1704,12130.0,1416.0,496.0,197.0,5539.0,5375.0,7152.0,6068.0,4978.0,6062.0
1986-08-29,Price_FC_0_IOB,Feeder Cattle,64.375,64.8,64.25,64.7,1273,11201.0,1617.0,328.0,169.0,4238.0,5110.0,6024.0,5607.0,5177.0,5594.0
1986-09-15,Price_FC_0_IOB,Feeder Cattle,63.25,63.85,62.8,63.775,2205,10160.0,1279.0,431.0,188.0,3396.0,4025.0,4863.0,4644.0,5297.0,5516.0
1986-09-30,Price_FC_0_IOB,Feeder Cattle,62.575,62.575,61.65,61.725,1238,9380.0,587.0,511.0,402.0,3160.0,3279.0,4149.0,4192.0,5231.0,5188.0
1986-10-15,Price_FC_0_IOB,Feeder Cattle,62.875,63.425,62.725,63.1,1313,9476.0,1188.0,802.0,142.0,2722.0,2722.0,4052.0,3666.0,5424.0,5810.0
1986-10-31,Price_FC_0_IOB,Feeder Cattle,62.125,62.525,61.775,61.8,1580,8682.0,1210.0,937.0,66.0,2476.0,1931.0,3752.0,2934.0,4930.0,5748.0
1986-11-14,Price_FC_0_IOB,Feeder Cattle,63.425,63.525,63.175,63.325,843,9216.0,1435.0,461.0,451.0,2465.0,2076.0,4351.0,2988.0,4865.0,6228.0
1986-11-28,Price_FC_0_IOB,Feeder Cattle,62.925,63.425,62.925,63.375,410,9083.0,1811.0,369.0,109.0,2403.0,2060.0,4323.0,2538.0,4760.0,6545.0
1986-12-15,Price_FC_0_IOB,Feeder Cattle,61.825,61.875,61.325,61.625,864,9205.0,1781.0,419.0,111.0,2180.0,1970.0,4072.0,2500.0,5133.0,6705.0
1986-12-31,Price_FC_0_IOB,Feeder Cattle,60.95,60.975,60.225,60.4,684,9044.0,1406.0,456.0,35.0,1846.0,1747.0,3287.0,2238.0,5757.0,6806.0
1987-01-15,Price_FC_0_IOB,Feeder Cattle,64.425,64.575,64.025,64.25,979,10108.0,1920.0,779.0,123.0,2456.0,1634.0,4499.0,2536.0,5609.0,7572.0
1987-01-30,Price_FC_0_IOB,Feeder Cattle,67.45,68.625,67.4,68.625,2019,12118.0,2735.0,1099.0,74.0,2586.0,2355.0,5395.0,3528.0,6723.0,8590.0
1987-02-13,Price_FC_0_IOB,Feeder Cattle,67.625,68.1,67.35,68.075,1838,14701.0,2686.0,1487.0,218.0,3583.0,3594.0,6487.0,5299.0,8214.0,9402.0
1987-02-27,Price_FC_0_IOB,Feeder Cattle,68.625,70.2,68.55,69.9,2746,16111.0,2988.0,1184.0,318.0,4437.0,4732.0,7743.0,6234.0,8368.0,9877.0
1987-03-13,Price_FC_0_IOB,Feeder Cattle,67.85,68.25,67.25,67.35,1548,16299.0,3054.0,1368.0,321.0,4542.0,4363.0,7917.0,6052.0,8382.0,10247.0
1987-03-31,Price_FC_0_IOB,Feeder Cattle,70.4,70.5,70.05,70.375,1213,15232.0,3597.0,1265.0,220.0,3885.0,4817.0,7702.0,6302.0,7530.0,8930.0
1987-04-15,Price_FC_0_IOB,Feeder Cattle,71.9,71.9,71.2,71.3,2140,17111.0,4511.0,2072.0,389.0,3850.0,5174.0,8750.0,7635.0,8361.0,9476.0
1987-04-30,Price_FC_0_IOB,Feeder Cattle,71.4,72.1,71.25,72.05,3345,16412.0,3080.0,2132.0,765.0,4548.0,4201.0,8393.0,7098.0,8019.0,9314.0
1987-05-15,Price_FC_0_IOB,Feeder Cattle,71.3,71.475,71.0,71.05,1193,16395.0,2813.0,1840.0,574.0,6806.0,4601.0,10193.0,7015.0,6202.0,9380.0
1987-05-29,Price_FC_0_IOB,Feeder Cattle,71.7,71.85,71.5,71.725,753,13822.0,2084.0,2104.0,294.0,6751.0,3793.0,9129.0,6191.0,4693.0,7631.0
1987-06-15,Price_FC_0_IOB,Feeder Cattle,73.2,73.2,72.65,72.725,1349,16578.0,2439.0,2386.0,609.0,7444.0,3975.0,10492.0,6970.0,6086.0,9608.0
1987-06-30,Price_FC_0_IOB,Feeder Cattle,74.925,75.375,74.875,75.3,1770,17697.0,2722.0,1866.0,841.0,7307.0,4854.0,10870.0,7561.0,6827.0,10136.0
1987-07-15,Price_FC_0_IOB,Feeder Cattle,74.825,75.475,74.575,75.2,2398,19018.0,3703.0,2554.0,688.0,6642.0,5103.0,11033.0,8345.0,7985.0,10673.0
1987-07-31,Price_FC_0_IOB,Feeder Cattle,76.5,77.275,76.375,77.25,2051,20078.0,4447.0,1905.0,752.0,7555.0,5675.0,12754.0,8332.0,7324.0,11746.0
1987-08-14,Price_FC_0_IOB,Feeder Cattle,79.875,80.275,79.875,80.2,2411,21949.0,5728.0,1698.0,1191.0,6968.0,5934.0,13887.0,8823.0,8062.0,13126.0
1987-08-31,Price_FC_0_IOB,Feeder Cattle,81.425,82.925,81.425,82.625,2112,21099.0,5302.0,1739.0,1293.0,6666.0,5431.0,13261.0,8463.0,7838.0,12636.0
1987-09-15,Price_FC_0_IOB,Feeder Cattle,83.075,83.275,82.75,83.0,2769,22486.0,6249.0,2243.0,1356.0,6081.0,5423.0,13686.0,9022.0,8800.0,13464.0
1987-09-30,Price_FC_0_IOB,Feeder Cattle,83.625,83.725,82.375,82.625,2838,21749.0,6439.0,1848.0,997.0,6301.0,5482.0,13737.0,8327.0,8012.0,13422.0
1987-10-15,Price_FC_0_IOB,Feeder Cattle,82.675,83.275,82.625,83.275,2972,23306.0,5272.0,2886.0,1143.0,7420.0,5192.0,13835.0,9221.0,9471.0,14085.0
1987-10-30,Price_FC_0_IOB,Feeder Cattle,77.35,77.875,77.025,77.125,3733,20617.0,2372.0,2982.0,753.0,8945.0,4857.0,12070.0,8592.0,8547.0,12025.0
1987-11-13,Price_FC_0_IOB,Feeder Cattle,77.875,78.025,77.125,77.25,2670,19927.0,2719.0,3070.0,596.0,8320.0,4349.0,11635.0,8015.0,8292.0,11912.0
1987-11-30,Price_FC_0_IOB,Feeder Cattle,79.925,80.025,78.85,78.85,1607,19136.0,2636.0,3139.0,321.0,8181.0,3905.0,11138.0,7365.0,7998.0,11771.0
1987-12-15,Price_FC_0_IOB,Feeder Cattle,79.275,79.375,78.725,78.85,1270,20411.0,2437.0,3301.0,387.0,9603.0,4100.0,12427.0,7788.0,7984.0,12623.0
1987-12-31,Price_FC_0_IOB,Feeder Cattle,80.65,81.15,80.525,80.85,2657,20996.0,2662.0,2832.0,513.0,10200.0,4473.0,13375.0,7818.0,7621.0,13178.0
1988-01-15,Price_FC_0_IOB,Feeder Cattle,84.225,84.725,84.175,84.575,2863,20260.0,3976.0,2248.0,825.0,8157.0,4366.0,12958.0,7439.0,7302.0,12821.0
1988-01-29,Price_FC_0_IOB,Feeder Cattle,83.65,83.675,82.875,83.425,2582,19057.0,3682.0,2475.0,356.0,7409.0,4162.0,11447.0,6993.0,7610.0,12064.0
1988-02-12,Price_FC_0_IOB,Feeder Cattle,87.825,88.325,87.675,88.275,2049,22087.0,4437.0,2359.0,440.0,7646.0,5437.0,12523.0,8236.0,9564.0,13851.0
