Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1988-05-31,Price_FV_0_IOB,T-Note (5 Year),29.69663,29.841325,29.69663,29.841325,1543,2199.0,268.0,78.0,0.0,1338.0,1300.0,1606.0,1378.0,593.0,821.0
1988-06-15,Price_FV_0_IOB,T-Note (5 Year),31.664482,31.693421,31.548726,31.592135,1735,5978.0,1343.0,2155.0,322.0,4016.0,3164.0,5681.0,5641.0,297.0,337.0
1988-06-30,Price_FV_0_IOB,T-Note (5 Year),31.172519,31.317214,31.14358,31.288275,3279,7866.0,1201.0,2853.0,185.0,5915.0,3669.0,7301.0,6707.0,565.0,1159.0
1988-07-15,Price_FV_0_IOB,T-Note (5 Year),30.391166,30.521391,30.289879,30.506922,2024,10530.0,1757.0,2813.0,639.0,7582.0,5745.0,9978.0,9197.0,552.0,1333.0
1988-07-29,Price_FV_0_IOB,T-Note (5 Year),30.318818,30.376696,30.318818,30.362227,1270,13024.0,1443.0,711.0,874.0,10253.0,10554.0,12570.0,12139.0,454.0,885.0
1988-08-15,Price_FV_0_IOB,T-Note (5 Year),29.378301,29.465118,29.349362,29.465118,1963,10619.0,1816.0,757.0,1031.0,7307.0,8244.0,10154.0,10032.0,465.0,587.0
1988-08-31,Price_FV_0_IOB,T-Note (5 Year),29.783447,29.797916,29.667691,29.768977,2512,11764.0,917.0,313.0,25.0,10248.0,10773.0,11190.0,11111.0,574.0,653.0
1988-09-15,Price_FV_0_IOB,T-Note (5 Year),31.172519,31.215928,30.955477,30.984416,2998,12537.0,1112.0,844.0,1052.0,9851.0,9881.0,12015.0,11777.0,522.0,760.0
1988-09-30,Price_FV_0_IOB,T-Note (5 Year),30.781843,31.259336,30.781843,31.186989,4666,15901.0,3047.0,593.0,1026.0,11206.0,12382.0,15279.0,14001.0,622.0,1900.0
1988-10-14,Price_FV_0_IOB,T-Note (5 Year),31.650013,31.867055,31.43297,31.592135,3635,18011.0,3406.0,1369.0,1710.0,12521.0,14818.0,17637.0,17897.0,374.0,114.0
1988-10-31,Price_FV_0_IOB,T-Note (5 Year),32.040689,32.214324,32.02622,32.199854,2784,23053.0,1032.0,1808.0,2292.0,19083.0,18546.0,22407.0,22646.0,646.0,407.0
1988-11-15,Price_FV_0_IOB,T-Note (5 Year),31.013355,31.013355,30.796312,30.897599,3702,23631.0,1010.0,1389.0,2328.0,19531.0,19498.0,22869.0,23215.0,762.0,416.0
1988-11-30,Price_FV_0_IOB,T-Note (5 Year),29.97155,30.318818,29.913672,30.289879,7852,30638.0,789.0,456.0,1319.0,26821.0,27377.0,28929.0,29152.0,1709.0,1486.0
1988-12-15,Price_FV_0_IOB,T-Note (5 Year),29.291483,29.479587,29.204666,29.277014,4413,36952.0,738.0,2692.0,231.0,34994.0,33086.0,35963.0,36009.0,989.0,943.0
1988-12-30,Price_FV_0_IOB,T-Note (5 Year),29.436179,29.624282,29.39277,29.566404,1139,31532.0,633.0,1120.0,25.0,30340.0,29806.0,30998.0,30951.0,534.0,581.0
1989-01-13,Price_FV_0_IOB,T-Note (5 Year),29.305953,29.797916,29.248075,29.711099,4868,32959.0,2490.0,2751.0,789.0,30484.0,28701.0,33763.0,32241.0,-804.0,718.0
1989-01-31,Price_FV_0_IOB,T-Note (5 Year),29.841325,29.942611,29.768977,29.826855,6024,37727.0,1032.0,1953.0,187.0,35512.0,33859.0,36731.0,35999.0,996.0,1728.0
1989-02-15,Price_FV_0_IOB,T-Note (5 Year),28.929746,29.045502,28.871868,28.915276,8751,41037.0,805.0,1989.0,774.0,40352.0,38397.0,41931.0,41160.0,-894.0,-123.0
1989-02-28,Price_FV_0_IOB,T-Note (5 Year),28.495661,28.640356,28.466722,28.582478,17862,43606.0,307.0,1046.0,191.0,42249.0,38802.0,42747.0,40039.0,859.0,3567.0
1989-03-15,Price_FV_0_IOB,T-Note (5 Year),28.611417,28.683764,28.452252,28.5246,6585,46941.0,1746.0,2142.0,30.0,44689.0,44248.0,46465.0,46420.0,476.0,521.0
1989-03-31,Price_FV_0_IOB,T-Note (5 Year),28.018167,28.264149,28.018167,28.264149,4492,44632.0,1167.0,1110.0,120.0,42581.0,42642.0,43868.0,43872.0,764.0,760.0
1989-04-14,Price_FV_0_IOB,T-Note (5 Year),28.264149,29.074441,28.177332,29.045502,6966,45561.0,2133.0,1968.0,237.0,42399.0,42900.0,44769.0,45105.0,792.0,456.0
1989-04-28,Price_FV_0_IOB,T-Note (5 Year),29.826855,29.913672,29.609813,29.797916,6965,49373.0,3568.0,787.0,273.0,44559.0,47547.0,48400.0,48607.0,973.0,766.0
1989-05-15,Price_FV_0_IOB,T-Note (5 Year),30.825251,30.825251,30.5648,30.579269,5376,46188.0,2043.0,321.0,100.0,42512.0,44409.0,44655.0,44830.0,1533.0,1358.0
1989-05-31,Price_FV_0_IOB,T-Note (5 Year),30.984416,31.129111,30.912068,31.129111,8745,52469.0,6192.0,1790.0,40.0,45650.0,50359.0,51882.0,52189.0,587.0,280.0
1989-06-15,Price_FV_0_IOB,T-Note (5 Year),32.677348,32.937799,32.185385,32.185385,6866,41772.0,6567.0,3448.0,0.0,34488.0,37751.0,41055.0,41199.0,717.0,573.0
1989-06-30,Price_FV_0_IOB,T-Note (5 Year),33.125902,33.502109,33.111433,33.371884,13204,44030.0,2211.0,3273.0,174.0,41014.0,39878.0,43399.0,43325.0,631.0,705.0
1989-07-14,Price_FV_0_IOB,T-Note (5 Year),33.834908,34.413688,33.834908,34.051951,6660,41573.0,1568.0,2223.0,7.0,39012.0,38481.0,40587.0,40711.0,986.0,862.0
1989-07-31,Price_FV_0_IOB,T-Note (5 Year),35.021408,35.137164,35.006938,35.108225,6541,48580.0,2992.0,2427.0,99.0,44792.0,45748.0,47883.0,48274.0,697.0,306.0
1989-08-15,Price_FV_0_IOB,T-Note (5 Year),32.532653,32.677348,32.387958,32.561592,9895,31578.0,1338.0,1079.0,178.0,28828.0,29582.0,30344.0,30839.0,1234.0,739.0
1989-08-31,Price_FV_0_IOB,T-Note (5 Year),32.359019,32.474775,32.214324,32.257732,13350,33144.0,3256.0,1444.0,187.0,28845.0,30623.0,32288.0,32254.0,856.0,890.0
1989-09-15,Price_FV_0_IOB,T-Note (5 Year),33.212719,33.400823,32.937799,33.256128,5888,36410.0,6743.0,2065.0,600.0,28604.0,31542.0,35947.0,34207.0,463.0,2203.0
1989-09-29,Price_FV_0_IOB,T-Note (5 Year),31.838116,31.982811,31.621074,31.939403,11732,46020.0,14537.0,1910.0,1.0,31160.0,41745.0,45698.0,43656.0,322.0,2364.0
1989-10-13,Price_FV_0_IOB,T-Note (5 Year),33.458701,33.516579,33.039085,33.516579,7411,40788.0,13313.0,1539.0,80.0,26405.0,36534.0,39798.0,38153.0,990.0,2635.0
1989-10-31,Price_FV_0_IOB,T-Note (5 Year),33.936195,33.994073,33.733622,33.7915,4451,45790.0,9827.0,2565.0,50.0,35085.0,41186.0,44962.0,43801.0,828.0,1989.0
1989-11-15,Price_FV_0_IOB,T-Note (5 Year),34.138768,34.341341,34.138768,34.283463,14952,59801.0,14679.0,3910.0,323.0,43936.0,54504.0,58938.0,58737.0,863.0,1064.0
1989-11-30,Price_FV_0_IOB,T-Note (5 Year),33.921725,34.08089,33.921725,34.06642,30884,69664.0,13206.0,6561.0,4415.0,49901.0,53937.0,67522.0,64913.0,2142.0,4751.0
1989-12-15,Price_FV_0_IOB,T-Note (5 Year),34.326871,34.37028,34.196646,34.268993,4418,73149.0,14735.0,17835.0,568.0,56781.0,53251.0,72084.0,71654.0,1065.0,1495.0
1989-12-29,Price_FV_0_IOB,T-Note (5 Year),33.632335,33.7915,33.458701,33.632335,4200,80587.0,11504.0,15933.0,467.0,66408.0,62601.0,78379.0,79001.0,2208.0,1586.0
1990-01-15,Price_FV_0_IOB,T-Note (5 Year),33.024616,33.053555,32.822043,32.90886,478,81487.0,14003.0,11163.0,368.0,65903.0,68471.0,80274.0,80002.0,1213.0,1485.0
1990-01-31,Price_FV_0_IOB,T-Note (5 Year),31.389562,31.707891,31.288275,31.707891,17469,73317.0,10201.0,5210.0,342.0,61330.0,66343.0,71873.0,71895.0,1444.0,1422.0
1990-02-15,Price_FV_0_IOB,T-Note (5 Year),31.809177,31.809177,31.563196,31.606604,14702,77779.0,8606.0,4653.0,2280.0,64728.0,68631.0,75614.0,75564.0,2165.0,2215.0
1990-02-28,Price_FV_0_IOB,T-Note (5 Year),31.577665,31.577665,31.230397,31.259336,36470,84431.0,13421.0,3036.0,1561.0,67176.0,77593.0,82158.0,82190.0,2273.0,2241.0
1990-03-15,Price_FV_0_IOB,T-Note (5 Year),30.434574,30.434574,30.26094,30.333288,3831,71389.0,11403.0,3970.0,397.0,58802.0,66564.0,70602.0,70931.0,787.0,458.0
1990-03-30,Price_FV_0_IOB,T-Note (5 Year),30.680556,30.752903,30.362227,30.405635,15974,67987.0,10783.0,3636.0,259.0,53905.0,61586.0,64947.0,65481.0,3040.0,2506.0
1990-04-12,Price_FV_0_IOB,T-Note (5 Year),30.680556,30.767373,30.535861,30.535861,3506,61357.0,9419.0,2962.0,248.0,50641.0,57644.0,60308.0,60854.0,1049.0,503.0
1990-04-30,Price_FV_0_IOB,T-Note (5 Year),29.117849,29.204666,29.10338,29.190197,3585,60085.0,8084.0,4418.0,144.0,50727.0,54736.0,58955.0,59298.0,1130.0,787.0
1990-05-15,Price_FV_0_IOB,T-Note (5 Year),30.637147,30.709495,30.5648,30.637147,12326,59751.0,6015.0,9302.0,2634.0,50219.0,47201.0,58868.0,59137.0,883.0,614.0
1990-05-31,Price_FV_0_IOB,T-Note (5 Year),30.767373,30.767373,30.579269,30.752903,21077,64145.0,4471.0,1623.0,1970.0,56823.0,60140.0,63264.0,63733.0,881.0,412.0
1990-06-15,Price_FV_0_IOB,T-Note (5 Year),31.635543,31.693421,31.186989,31.273806,7389,54637.0,4631.0,1706.0,249.0,48027.0,51910.0,52907.0,53865.0,1730.0,772.0
1990-06-29,Price_FV_0_IOB,T-Note (5 Year),31.389562,31.563196,31.230397,31.519787,7453,57062.0,5923.0,4599.0,100.0,49797.0,51797.0,55820.0,56496.0,1242.0,566.0
1990-07-13,Price_FV_0_IOB,T-Note (5 Year),31.404031,31.693421,31.288275,31.621074,11599,52367.0,5002.0,2996.0,189.0,46161.0,48545.0,51352.0,51730.0,1015.0,637.0
1990-07-31,Price_FV_0_IOB,T-Note (5 Year),32.33008,32.445836,32.286671,32.431366,7787,52002.0,5631.0,2810.0,298.0,44206.0,47754.0,50135.0,50862.0,1867.0,1140.0
1990-08-15,Price_FV_0_IOB,T-Note (5 Year),31.867055,31.953872,31.635543,31.809177,13200,61944.0,4725.0,7296.0,1736.0,53456.0,51838.0,59917.0,60870.0,2027.0,1074.0
1990-08-31,Price_FV_0_IOB,T-Note (5 Year),30.85419,30.998885,30.839721,30.941007,7745,75578.0,6766.0,6707.0,2787.0,64889.0,65437.0,74442.0,74931.0,1136.0,647.0
1990-09-14,Price_FV_0_IOB,T-Note (5 Year),31.14358,31.172519,30.984416,31.042294,9789,74814.0,5985.0,11502.0,497.0,67160.0,61827.0,73642.0,73826.0,1172.0,988.0
1990-09-28,Price_FV_0_IOB,T-Note (5 Year),30.897599,31.230397,30.883129,31.172519,10028,80022.0,5932.0,5615.0,266.0,72402.0,73266.0,78600.0,79147.0,1422.0,875.0
1990-10-15,Price_FV_0_IOB,T-Note (5 Year),31.44744,31.461909,31.331684,31.418501,6730,79913.0,11339.0,7545.0,126.0,66950.0,71675.0,78415.0,79346.0,1498.0,567.0
1990-10-31,Price_FV_0_IOB,T-Note (5 Year),31.997281,32.127506,31.910464,32.069628,6242,77476.0,11856.0,4454.0,1329.0,62586.0,69832.0,75771.0,75615.0,1705.0,1861.0
1990-11-15,Price_FV_0_IOB,T-Note (5 Year),32.981207,33.039085,32.850982,32.966738,7011,84797.0,13126.0,4810.0,4607.0,64391.0,73296.0,82124.0,82713.0,2673.0,2084.0
1990-11-30,Price_FV_0_IOB,T-Note (5 Year),33.024616,33.241658,33.010146,33.227189,11118,95878.0,14933.0,2350.0,2469.0,71908.0,86856.0,89310.0,91675.0,6568.0,4203.0
