Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_GC20_IOB,Gold,917.6,921.8,916.7,921.3,65117,148186.0,18589.0,7706.0,12038.0,80962.0,89990.0,111589.0,109734.0,36597.0,38452.0
1986-01-31,Price_GC20_IOB,Gold,925.0,925.2,918.2,920.1,43635,144149.0,15364.0,9303.0,10088.0,82262.0,85250.0,107714.0,104641.0,36435.0,39508.0
1986-02-14,Price_GC20_IOB,Gold,899.2,904.4,898.9,903.4,28024,139995.0,5457.0,12229.0,10330.0,94830.0,76735.0,110617.0,99294.0,29378.0,40701.0
1986-02-28,Price_GC20_IOB,Gold,907.5,909.1,905.8,908.2,21538,143752.0,7991.0,12222.0,13205.0,94126.0,76200.0,115322.0,101627.0,28430.0,42125.0
1986-03-14,Price_GC20_IOB,Gold,916.2,917.2,914.6,916.1,20510,142868.0,12637.0,11015.0,11390.0,85925.0,78653.0,109952.0,101058.0,32916.0,41810.0
1986-03-31,Price_GC20_IOB,Gold,909.4,909.4,897.4,898.2,50407,136568.0,9817.0,11406.0,6002.0,88897.0,67171.0,104716.0,84579.0,31852.0,51989.0
1986-04-15,Price_GC20_IOB,Gold,907.4,910.2,904.6,906.8,35625,138825.0,6805.0,20416.0,3121.0,99640.0,67997.0,109566.0,91534.0,29259.0,47291.0
1986-04-30,Price_GC20_IOB,Gold,910.4,912.2,910.4,911.5,25389,132088.0,8159.0,10519.0,3987.0,88769.0,72810.0,100915.0,87316.0,31173.0,44772.0
1986-05-15,Price_GC20_IOB,Gold,906.4,906.9,905.9,906.8,17652,132147.0,4649.0,10375.0,7467.0,94944.0,71660.0,107060.0,89502.0,25087.0,42645.0
1986-05-30,Price_GC20_IOB,Gold,907.2,907.9,906.6,907.5,27370,115038.0,4982.0,13683.0,5535.0,78662.0,56902.0,89179.0,76120.0,25859.0,38918.0
1986-06-13,Price_GC20_IOB,Gold,910.6,911.8,909.1,909.2,13429,115960.0,11657.0,10839.0,5447.0,69558.0,66942.0,86662.0,83228.0,29298.0,32732.0
1986-06-30,Price_GC20_IOB,Gold,908.9,910.4,907.0,908.1,22870,120954.0,5361.0,13631.0,5988.0,88561.0,62551.0,99910.0,82170.0,21044.0,38784.0
1986-07-15,Price_GC20_IOB,Gold,907.7,910.9,907.3,909.5,19656,121925.0,6735.0,11983.0,5771.0,86078.0,67675.0,98584.0,85429.0,23341.0,36496.0
1986-07-31,Price_GC20_IOB,Gold,921.0,925.3,918.8,923.7,46348,125988.0,18617.0,9540.0,6294.0,69897.0,71940.0,94808.0,87774.0,31180.0,38214.0
1986-08-15,Price_GC20_IOB,Gold,947.0,947.2,941.0,944.2,32949,134903.0,23234.0,10589.0,7013.0,67333.0,82453.0,97580.0,100055.0,37323.0,34848.0
1986-08-29,Price_GC20_IOB,Gold,949.0,949.6,941.0,947.3,29921,136959.0,23229.0,10291.0,7561.0,69541.0,84510.0,100331.0,102362.0,36628.0,34597.0
1986-09-15,Price_GC20_IOB,Gold,970.0,976.6,969.0,976.3,29808,149809.0,24807.0,10423.0,12560.0,69388.0,95797.0,106755.0,118780.0,43054.0,31029.0
1986-09-30,Price_GC20_IOB,Gold,980.5,985.5,979.8,983.8,37778,136574.0,22421.0,7840.0,11149.0,57513.0,85239.0,91083.0,104228.0,45491.0,32346.0
1986-10-15,Price_GC20_IOB,Gold,980.0,983.0,977.2,982.7,37281,147411.0,21274.0,10239.0,9744.0,70584.0,89512.0,101602.0,109495.0,45809.0,37916.0
1986-10-31,Price_GC20_IOB,Gold,955.0,961.3,954.0,959.5,38218,146778.0,12673.0,9373.0,8897.0,79221.0,90456.0,100791.0,108726.0,45987.0,38052.0
1986-11-14,Price_GC20_IOB,Gold,965.0,965.5,952.0,952.8,43356,150800.0,15816.0,11905.0,6141.0,86136.0,94132.0,108093.0,112178.0,42707.0,38622.0
1986-11-28,Price_GC20_IOB,Gold,944.5,946.0,942.7,944.8,25567,131679.0,10148.0,8849.0,5360.0,79143.0,81278.0,94651.0,95487.0,37028.0,36192.0
1986-12-15,Price_GC20_IOB,Gold,948.5,949.5,946.6,948.4,24768,134005.0,13089.0,11027.0,6366.0,76757.0,80007.0,96212.0,97400.0,37793.0,36605.0
1986-12-31,Price_GC20_IOB,Gold,943.8,957.5,943.6,956.9,43947,140744.0,9405.0,8347.0,8187.0,81948.0,86647.0,99540.0,103181.0,41204.0,37563.0
1987-01-15,Price_GC20_IOB,Gold,965.0,968.3,964.2,967.0,41140,139318.0,14063.0,8147.0,6306.0,68344.0,87902.0,88713.0,102355.0,50605.0,36963.0
1987-01-30,Price_GC20_IOB,Gold,947.9,955.4,945.9,954.8,55022,130078.0,13453.0,9022.0,7277.0,62992.0,78194.0,83722.0,94493.0,46356.0,35585.0
