Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1989-07-31,Price_HG20_IOB,HG Copper,109.2,113.8,108.8,112.7,8090,2353.0,0.0,0.0,0.0,408.0,416.0,408.0,416.0,1945.0,1937.0
1989-08-15,Price_HG20_IOB,HG Copper,120.7,123.7,120.0,122.7,8990,3115.0,0.0,0.0,0.0,673.0,1278.0,673.0,1278.0,2442.0,1837.0
1989-08-31,Price_HG20_IOB,HG Copper,128.7,134.2,127.2,133.65,8091,4518.0,0.0,0.0,0.0,1155.0,2402.0,1155.0,2402.0,3363.0,2116.0
1989-09-15,Price_HG20_IOB,HG Copper,132.7,133.5,130.8,131.45,6078,4894.0,0.0,0.0,0.0,1411.0,2744.0,1411.0,2744.0,3483.0,2150.0
1989-09-29,Price_HG20_IOB,HG Copper,126.9,128.7,126.8,127.6,6952,5831.0,0.0,0.0,0.0,1683.0,3565.0,1683.0,3565.0,4148.0,2266.0
1989-10-13,Price_HG20_IOB,HG Copper,135.5,136.1,134.4,135.2,4746,7547.0,0.0,200.0,0.0,2875.0,4814.0,2875.0,5014.0,4672.0,2533.0
1989-10-31,Price_HG20_IOB,HG Copper,118.5,119.7,117.7,118.7,6528,10359.0,110.0,352.0,0.0,4044.0,6436.0,4154.0,6788.0,6205.0,3571.0
1989-11-15,Price_HG20_IOB,HG Copper,117.1,118.4,116.3,116.85,5639,14450.0,141.0,249.0,175.0,6678.0,8457.0,6994.0,8881.0,7456.0,5569.0
1989-11-30,Price_HG20_IOB,HG Copper,117.4,118.1,116.45,118.0,3646,24921.0,799.0,6776.0,319.0,13820.0,9032.0,14938.0,16127.0,9983.0,8794.0
1989-12-15,Price_HG20_IOB,HG Copper,112.8,115.6,112.2,115.1,4824,30581.0,1224.0,7678.0,786.0,17815.0,10747.0,19825.0,19211.0,10756.0,11370.0
1989-12-29,Price_HG20_IOB,HG Copper,114.95,116.35,114.9,116.0,1770,29987.0,623.0,6989.0,906.0,18101.0,10949.0,19630.0,18844.0,10357.0,11143.0
1990-01-15,Price_HG20_IOB,HG Copper,114.65,114.9,112.6,113.6,7917,30973.0,1992.0,5804.0,772.0,16634.0,11805.0,19398.0,18381.0,11575.0,12592.0
1990-01-31,Price_HG20_IOB,HG Copper,104.75,108.45,104.6,108.2,8833,34757.0,980.0,9028.0,592.0,21396.0,11582.0,22968.0,21202.0,11789.0,13555.0
1990-02-15,Price_HG20_IOB,HG Copper,116.7,117.4,115.3,116.65,6728,32471.0,1740.0,5307.0,571.0,17870.0,13803.0,20181.0,19681.0,12290.0,12790.0
1990-02-28,Price_HG20_IOB,HG Copper,121.55,123.35,121.5,123.0,6094,33396.0,3665.0,5683.0,735.0,16235.0,16064.0,20635.0,22482.0,12761.0,10914.0
1990-03-15,Price_HG20_IOB,HG Copper,134.4,134.65,132.65,134.3,7967,35743.0,9687.0,5940.0,237.0,11511.0,18357.0,21435.0,24534.0,14308.0,11209.0
1990-03-30,Price_HG20_IOB,HG Copper,135.22,137.45,134.25,137.15,9531,32499.0,9014.0,2811.0,229.0,9544.0,18793.0,18787.0,21833.0,13712.0,10666.0
