Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_HO20_IOB,Heating Oil,1.6812,1.6862,1.6717,1.6778,12677,28396.0,1467.0,4795.0,307.0,16495.0,12759.0,18269.0,17861.0,10127.0,10535.0
1986-01-31,Price_HO20_IOB,Heating Oil,1.575,1.5782,1.571,1.571,10271,29066.0,1749.0,4179.0,164.0,18560.0,15580.0,20473.0,19923.0,8593.0,9143.0
1986-02-14,Price_HO20_IOB,Heating Oil,1.534,1.537,1.517,1.523,6945,28673.0,1629.0,4257.0,600.0,18335.0,15583.0,20564.0,20440.0,8109.0,8233.0
1986-02-28,Price_HO20_IOB,Heating Oil,1.4738,1.496,1.4738,1.4896,10966,31685.0,2469.0,4994.0,540.0,18800.0,15960.0,21809.0,21494.0,9876.0,10191.0
1986-03-14,Price_HO20_IOB,Heating Oil,1.513,1.5165,1.4975,1.5015,8295,32626.0,2465.0,5199.0,729.0,19500.0,16865.0,22694.0,22793.0,9932.0,9833.0
1986-03-31,Price_HO20_IOB,Heating Oil,1.4553,1.463,1.443,1.4466,10103,33377.0,1687.0,5794.0,892.0,21217.0,17963.0,23796.0,24649.0,9581.0,8728.0
1986-04-15,Price_HO20_IOB,Heating Oil,1.5052,1.5114,1.4919,1.493,7978,32757.0,1962.0,4655.0,1284.0,20140.0,18542.0,23386.0,24481.0,9371.0,8276.0
1986-04-30,Price_HO20_IOB,Heating Oil,1.5229,1.5304,1.5124,1.5152,10040,33760.0,4166.0,4691.0,1668.0,18489.0,18472.0,24323.0,24831.0,9437.0,8929.0
1986-05-15,Price_HO20_IOB,Heating Oil,1.5481,1.5581,1.5426,1.5563,7749,38383.0,5265.0,4256.0,2926.0,18185.0,24318.0,26376.0,31500.0,12007.0,6883.0
1986-05-30,Price_HO20_IOB,Heating Oil,1.5386,1.5406,1.5167,1.5172,13575,40977.0,4584.0,6782.0,4723.0,18726.0,21142.0,28033.0,32647.0,12944.0,8330.0
1986-06-13,Price_HO20_IOB,Heating Oil,1.5107,1.5259,1.5089,1.522,9024,49435.0,2982.0,8065.0,5640.0,26856.0,26559.0,35478.0,40264.0,13957.0,9171.0
1986-06-30,Price_HO20_IOB,Heating Oil,1.4924,1.4979,1.489,1.4909,14036,55945.0,3534.0,6758.0,2482.0,21278.0,26132.0,27294.0,35372.0,28651.0,20573.0
1986-07-15,Price_HO20_IOB,Heating Oil,1.4303,1.4474,1.4293,1.4465,11231,62641.0,2064.0,5952.0,2832.0,25282.0,29462.0,30178.0,38246.0,32463.0,24395.0
1986-07-31,Price_HO20_IOB,Heating Oil,1.4666,1.4673,1.444,1.444,19753,67625.0,5597.0,4816.0,3675.0,26834.0,36411.0,36106.0,44902.0,31519.0,22723.0
1986-08-15,Price_HO20_IOB,Heating Oil,1.5464,1.5514,1.5444,1.5501,10331,65954.0,7382.0,1938.0,2252.0,22944.0,41638.0,32578.0,45828.0,33376.0,20126.0
1986-08-29,Price_HO20_IOB,Heating Oil,1.5509,1.5574,1.5504,1.5539,7817,64450.0,5696.0,1411.0,1790.0,25720.0,44191.0,33206.0,47392.0,31244.0,17058.0
1986-09-15,Price_HO20_IOB,Heating Oil,1.5041,1.5079,1.4984,1.502,17002,74046.0,3590.0,2304.0,1281.0,33266.0,46320.0,38137.0,49905.0,35909.0,24141.0
1986-09-30,Price_HO20_IOB,Heating Oil,1.5271,1.5314,1.5194,1.5214,17867,74104.0,4769.0,2102.0,1408.0,35948.0,49328.0,42125.0,52838.0,31979.0,21266.0
