Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_KC20_IOB,Coffee,514.91,518.91,504.41,504.97,5063,13345.0,1163.0,427.0,185.0,4765.0,9050.0,6113.0,9662.0,7232.0,3683.0
1986-01-31,Price_KC20_IOB,Coffee,480.66,484.66,474.66,481.34,6166,13062.0,1229.0,651.0,362.0,6177.0,9706.0,7768.0,10719.0,5294.0,2343.0
1986-02-14,Price_KC20_IOB,Coffee,482.16,483.41,475.91,479.28,4392,14074.0,1778.0,920.0,367.0,6509.0,9977.0,8654.0,11264.0,5420.0,2810.0
1986-02-28,Price_KC20_IOB,Coffee,513.34,517.09,510.89,511.3,2683,15758.0,2764.0,446.0,221.0,7209.0,11686.0,10194.0,12353.0,5564.0,3405.0
1986-03-14,Price_KC20_IOB,Coffee,514.09,515.09,512.39,513.08,2483,15891.0,3716.0,473.0,262.0,7335.0,12466.0,11313.0,13201.0,4578.0,2690.0
1986-03-31,Price_KC20_IOB,Coffee,509.35,510.84,506.94,510.75,2614,15611.0,2267.0,688.0,304.0,8207.0,11640.0,10778.0,12632.0,4833.0,2979.0
1986-04-15,Price_KC20_IOB,Coffee,487.32,493.07,484.52,490.55,5926,16170.0,1394.0,1129.0,618.0,10394.0,11865.0,12406.0,13612.0,3764.0,2558.0
1986-04-30,Price_KC20_IOB,Coffee,496.82,497.42,493.07,493.09,3002,16285.0,1949.0,837.0,533.0,9533.0,11782.0,12015.0,13152.0,4270.0,3133.0
1986-05-15,Price_KC20_IOB,Coffee,477.92,481.82,477.22,480.69,2952,16725.0,858.0,1232.0,692.0,10458.0,11585.0,12008.0,13509.0,4717.0,3216.0
1986-05-30,Price_KC20_IOB,Coffee,456.07,458.32,445.57,447.8,4917,16765.0,924.0,1134.0,619.0,11450.0,11978.0,12993.0,13731.0,3772.0,3034.0
1986-06-13,Price_KC20_IOB,Coffee,441.89,445.89,440.69,441.02,5090,15327.0,1006.0,1099.0,296.0,9635.0,10859.0,10937.0,12254.0,4390.0,3073.0
