Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_LB_0_IOB,Lumber,683.6,684.5,682.9,683.4,1031,4935.0,187.0,843.0,152.0,1465.0,1522.0,1804.0,2517.0,3131.0,2418.0
1986-01-31,Price_LB_0_IOB,Lumber,678.6,679.7,678.0,679.5,920,5783.0,222.0,1270.0,182.0,1495.0,1507.0,1899.0,2959.0,3884.0,2824.0
1986-02-14,Price_LB_0_IOB,Lumber,683.1,683.8,682.1,682.9,1715,5935.0,492.0,1383.0,450.0,1499.0,2022.0,2441.0,3855.0,3494.0,2080.0
1986-02-28,Price_LB_0_IOB,Lumber,696.1,698.0,692.6,696.0,2469,6936.0,1251.0,123.0,358.0,828.0,3318.0,2437.0,3799.0,4499.0,3137.0
1986-03-14,Price_LB_0_IOB,Lumber,729.0,730.0,722.9,726.7,3620,8946.0,1909.0,244.0,839.0,1144.0,4467.0,3892.0,5550.0,5054.0,3396.0
1986-03-31,Price_LB_0_IOB,Lumber,717.7,720.0,715.9,720.0,2320,9571.0,1559.0,122.0,1033.0,1273.0,4761.0,3865.0,5916.0,5706.0,3655.0
1986-04-15,Price_LB_0_IOB,Lumber,719.3,720.8,717.6,718.6,2914,9107.0,1107.0,185.0,851.0,1433.0,3924.0,3391.0,4960.0,5716.0,4147.0
1986-04-30,Price_LB_0_IOB,Lumber,721.5,722.6,719.4,721.0,2576,9471.0,1236.0,419.0,877.0,1581.0,4492.0,3694.0,5788.0,5777.0,3683.0
1986-05-15,Price_LB_0_IOB,Lumber,721.1,722.7,719.8,722.1,2331,8555.0,1744.0,137.0,643.0,1010.0,4581.0,3397.0,5361.0,5158.0,3194.0
1986-05-30,Price_LB_0_IOB,Lumber,710.1,713.6,709.8,711.5,1648,6342.0,555.0,298.0,300.0,976.0,2782.0,1831.0,3380.0,4511.0,2962.0
1986-06-13,Price_LB_0_IOB,Lumber,706.8,709.8,706.8,709.8,2234,6047.0,399.0,816.0,169.0,1397.0,2603.0,1965.0,3588.0,4082.0,2459.0
1986-06-30,Price_LB_0_IOB,Lumber,708.2,709.0,704.4,706.3,2375,5519.0,473.0,405.0,234.0,1445.0,2706.0,2152.0,3345.0,3367.0,2174.0
1986-07-15,Price_LB_0_IOB,Lumber,706.7,706.7,702.7,704.5,2459,5293.0,570.0,620.0,235.0,1381.0,2407.0,2186.0,3262.0,3107.0,2031.0
1986-07-31,Price_LB_0_IOB,Lumber,702.7,705.7,701.9,705.4,1183,5039.0,295.0,919.0,260.0,1312.0,1549.0,1867.0,2728.0,3172.0,2311.0
1986-08-15,Price_LB_0_IOB,Lumber,714.7,716.7,714.0,714.8,925,4826.0,433.0,522.0,73.0,1283.0,1691.0,1789.0,2286.0,3037.0,2540.0
1986-08-29,Price_LB_0_IOB,Lumber,731.9,733.5,729.2,729.7,1993,6356.0,1219.0,313.0,68.0,1175.0,2649.0,2462.0,3030.0,3894.0,3326.0
