Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_LC_0_IOB,Live Cattle,65.575,66.525,65.375,66.15,25004,58475.0,3475.0,4915.0,3842.0,14242.0,19140.0,21559.0,27897.0,36916.0,30578.0
1986-01-31,Price_LC_0_IOB,Live Cattle,66.9,67.35,66.6,67.0,20582,53559.0,5259.0,1374.0,1994.0,10603.0,20718.0,17856.0,24086.0,35703.0,29473.0
1986-02-14,Price_LC_0_IOB,Live Cattle,64.2,64.6,63.85,64.375,15478,55676.0,5426.0,2720.0,1894.0,10360.0,21371.0,17680.0,25985.0,37996.0,29691.0
1986-02-28,Price_LC_0_IOB,Live Cattle,66.5,67.4,66.2,66.475,21416,55203.0,5926.0,3155.0,1852.0,10944.0,21084.0,18722.0,26091.0,36481.0,29112.0
1986-03-14,Price_LC_0_IOB,Live Cattle,63.875,63.975,63.5,63.85,11696,54828.0,4779.0,2906.0,1581.0,9390.0,21375.0,15750.0,25862.0,39078.0,28966.0
1986-03-31,Price_LC_0_IOB,Live Cattle,62.275,62.275,62.275,62.275,8108,52551.0,4423.0,2525.0,976.0,8991.0,20766.0,14390.0,24267.0,38161.0,28284.0
1986-04-15,Price_LC_0_IOB,Live Cattle,61.35,61.375,59.6,59.6,19296,46806.0,3587.0,4291.0,751.0,6444.0,16869.0,10782.0,21911.0,36024.0,24895.0
1986-04-30,Price_LC_0_IOB,Live Cattle,60.225,61.225,60.225,61.225,23759,52245.0,4934.0,5091.0,1716.0,8246.0,18976.0,14896.0,25783.0,37349.0,26462.0
1986-05-15,Price_LC_0_IOB,Live Cattle,62.775,62.85,61.725,61.875,17218,58595.0,7525.0,6204.0,1792.0,11501.0,23775.0,20818.0,31771.0,37777.0,26824.0
1986-05-30,Price_LC_0_IOB,Live Cattle,60.125,60.15,58.875,59.425,21639,55736.0,2341.0,5690.0,1735.0,12160.0,21672.0,16236.0,29097.0,39500.0,26639.0
1986-06-13,Price_LC_0_IOB,Live Cattle,59.475,59.875,59.325,59.675,13572,55461.0,3280.0,5561.0,1789.0,13569.0,21708.0,18638.0,29058.0,36823.0,26403.0
1986-06-30,Price_LC_0_IOB,Live Cattle,64.675,65.125,63.625,64.725,22020,58420.0,6315.0,4211.0,2158.0,11441.0,23848.0,19914.0,30217.0,38506.0,28203.0
1986-07-15,Price_LC_0_IOB,Live Cattle,63.725,64.725,63.575,64.7,20623,63937.0,9720.0,4091.0,2202.0,10249.0,28273.0,22171.0,34566.0,41766.0,29371.0
1986-07-31,Price_LC_0_IOB,Live Cattle,66.05,66.925,65.975,66.575,23026,66835.0,11559.0,2954.0,1688.0,9733.0,32104.0,22980.0,36746.0,43855.0,30089.0
1986-08-15,Price_LC_0_IOB,Live Cattle,67.3,68.325,67.25,68.075,14994,61067.0,10739.0,3912.0,1592.0,8933.0,27635.0,21264.0,33139.0,39803.0,27928.0
1986-08-29,Price_LC_0_IOB,Live Cattle,68.45,69.375,68.4,69.3,20537,64662.0,12944.0,3676.0,1610.0,8062.0,29069.0,22616.0,34355.0,42046.0,30307.0
1986-09-15,Price_LC_0_IOB,Live Cattle,68.25,69.025,68.05,69.0,14104,64339.0,10132.0,3302.0,1669.0,8724.0,28996.0,20525.0,33967.0,43814.0,30372.0
1986-09-30,Price_LC_0_IOB,Live Cattle,68.4,68.425,67.175,67.225,20706,60580.0,5074.0,4398.0,1843.0,9196.0,24651.0,16113.0,30892.0,44467.0,29688.0
1986-10-15,Price_LC_0_IOB,Live Cattle,69.025,69.775,68.775,69.375,19753,54480.0,5759.0,2869.0,1713.0,10196.0,20158.0,17668.0,24740.0,36812.0,29740.0
1986-10-31,Price_LC_0_IOB,Live Cattle,70.95,71.575,70.525,70.6,20711,57668.0,8185.0,4025.0,1366.0,11152.0,22724.0,20703.0,28115.0,36965.0,29553.0
1986-11-14,Price_LC_0_IOB,Live Cattle,72.05,72.125,71.725,71.775,12253,62602.0,9756.0,5202.0,1714.0,11908.0,23495.0,23378.0,30411.0,39224.0,32191.0
1986-11-28,Price_LC_0_IOB,Live Cattle,72.2,72.65,72.125,72.625,8903,64658.0,10235.0,5596.0,2442.0,10739.0,23243.0,23416.0,31281.0,41242.0,33377.0
1986-12-15,Price_LC_0_IOB,Live Cattle,70.2,70.25,69.5,69.9,14117,57291.0,6448.0,6454.0,1085.0,9906.0,22423.0,17439.0,29962.0,39852.0,27329.0
1986-12-31,Price_LC_0_IOB,Live Cattle,69.875,69.875,68.825,68.975,9634,56421.0,6406.0,6865.0,1407.0,9278.0,21882.0,17091.0,30154.0,39330.0,26267.0
1987-01-15,Price_LC_0_IOB,Live Cattle,72.275,72.75,72.15,72.525,15278,60599.0,9931.0,6844.0,1717.0,10410.0,22783.0,22058.0,31344.0,38541.0,29255.0
1987-01-30,Price_LC_0_IOB,Live Cattle,75.0,76.525,74.9,76.45,26874,74535.0,13131.0,6043.0,1286.0,14967.0,31314.0,29384.0,38643.0,45151.0,35892.0
1987-02-13,Price_LC_0_IOB,Live Cattle,75.325,76.0,75.175,75.85,19376,80854.0,14623.0,6813.0,2349.0,12619.0,35470.0,29591.0,44632.0,51263.0,36222.0
1987-02-27,Price_LC_0_IOB,Live Cattle,76.95,78.55,76.675,78.55,27953,91671.0,15573.0,6317.0,2881.0,15751.0,39821.0,34205.0,49019.0,57466.0,42652.0
1987-03-13,Price_LC_0_IOB,Live Cattle,78.125,78.325,77.725,77.85,15005,90408.0,16148.0,5172.0,3257.0,14140.0,38521.0,33545.0,46950.0,56863.0,43458.0
1987-03-31,Price_LC_0_IOB,Live Cattle,79.45,79.925,79.3,79.875,16276,89788.0,15523.0,4170.0,2191.0,14856.0,41516.0,32570.0,47877.0,57218.0,41911.0
1987-04-15,Price_LC_0_IOB,Live Cattle,81.675,81.85,81.1,81.3,21544,88833.0,14197.0,5851.0,1851.0,13243.0,43876.0,29291.0,51578.0,59542.0,37255.0
1987-04-30,Price_LC_0_IOB,Live Cattle,83.125,83.7,82.925,83.65,22317,90237.0,15874.0,5180.0,2883.0,14238.0,48554.0,32995.0,56617.0,57242.0,33620.0
1987-05-15,Price_LC_0_IOB,Live Cattle,83.675,84.025,83.225,83.3,20926,101095.0,14466.0,5337.0,3940.0,14412.0,56175.0,32818.0,65452.0,68277.0,35643.0
1987-05-29,Price_LC_0_IOB,Live Cattle,83.475,84.1,83.45,83.65,20222,94846.0,12172.0,5324.0,3020.0,15650.0,51008.0,30842.0,59352.0,64004.0,35494.0
1987-06-15,Price_LC_0_IOB,Live Cattle,84.525,84.6,84.15,84.575,12227,86467.0,11515.0,4208.0,2972.0,14698.0,46330.0,29185.0,53510.0,57282.0,32957.0
1987-06-30,Price_LC_0_IOB,Live Cattle,84.475,84.75,84.45,84.55,9069,81881.0,11479.0,4596.0,2679.0,13684.0,44885.0,27842.0,52160.0,54039.0,29721.0
1987-07-15,Price_LC_0_IOB,Live Cattle,83.2,83.35,82.625,83.05,22741,83158.0,10192.0,6899.0,2260.0,15783.0,42791.0,28235.0,51950.0,54923.0,31208.0
