Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1995-05-23,Price_MP_0_IOB,Mexican Peso,0.0393,0.0394,0.0377,0.0379,687,3407.0,679.0,0.0,0.0,675.0,2244.0,1354.0,2244.0,2053.0,1163.0
1995-05-30,Price_MP_0_IOB,Mexican Peso,0.0343,0.0343,0.0303,0.0315,661,4388.0,1162.0,0.0,0.0,681.0,2974.0,1843.0,2974.0,2545.0,1414.0
1995-06-06,Price_MP_0_IOB,Mexican Peso,0.0346,0.0363,0.0346,0.0354,578,4867.0,812.0,233.0,0.0,220.0,3009.0,1032.0,3242.0,3835.0,1625.0
1995-06-13,Price_MP_0_IOB,Mexican Peso,0.0356,0.0358,0.0351,0.0355,715,5216.0,1287.0,0.0,0.0,591.0,3572.0,1878.0,3572.0,3338.0,1644.0
1995-06-20,Price_MP_0_IOB,Mexican Peso,0.0369,0.037,0.0363,0.0364,742,5298.0,1981.0,227.0,0.0,346.0,3799.0,2327.0,4026.0,2971.0,1272.0
1995-06-27,Price_MP_0_IOB,Mexican Peso,0.0377,0.0383,0.0373,0.0381,418,6099.0,2683.0,0.0,0.0,360.0,4460.0,3043.0,4460.0,3056.0,1639.0
1995-07-03,Price_MP_0_IOB,Mexican Peso,0.0393,0.0393,0.0393,0.0393,96,6527.0,2628.0,0.0,0.0,562.0,4590.0,3190.0,4590.0,3337.0,1937.0
1995-07-11,Price_MP_0_IOB,Mexican Peso,0.0432,0.0432,0.0421,0.0428,923,7510.0,3274.0,330.0,0.0,560.0,5526.0,3834.0,5856.0,3676.0,1654.0
1995-07-18,Price_MP_0_IOB,Mexican Peso,0.0456,0.0456,0.0454,0.0456,374,8677.0,2983.0,512.0,0.0,835.0,6383.0,3818.0,6895.0,4859.0,1782.0
1995-07-25,Price_MP_0_IOB,Mexican Peso,0.0441,0.0451,0.0434,0.0448,635,9114.0,2638.0,300.0,0.0,1689.0,7050.0,4327.0,7350.0,4787.0,1764.0
1995-08-01,Price_MP_0_IOB,Mexican Peso,0.0457,0.0459,0.0452,0.0454,597,9288.0,2985.0,300.0,0.0,2006.0,7115.0,4991.0,7415.0,4297.0,1873.0
1995-08-08,Price_MP_0_IOB,Mexican Peso,0.0464,0.0469,0.0464,0.0469,347,9993.0,2628.0,300.0,0.0,2710.0,7826.0,5338.0,8126.0,4655.0,1867.0
1995-08-15,Price_MP_0_IOB,Mexican Peso,0.047,0.0472,0.0468,0.047,640,10406.0,588.0,535.0,0.0,5355.0,7837.0,5943.0,8372.0,4463.0,2034.0
1995-08-22,Price_MP_0_IOB,Mexican Peso,0.0468,0.047,0.0455,0.0455,624,11395.0,588.0,300.0,0.0,6023.0,8595.0,6611.0,8895.0,4784.0,2500.0
1995-08-29,Price_MP_0_IOB,Mexican Peso,0.0451,0.0454,0.0445,0.0451,377,12256.0,797.0,300.0,0.0,6602.0,9460.0,7399.0,9760.0,4857.0,2496.0
1995-09-05,Price_MP_0_IOB,Mexican Peso,0.0476,0.0482,0.0476,0.048,858,12639.0,225.0,0.0,0.0,6940.0,9898.0,7165.0,9898.0,5474.0,2741.0
1995-09-12,Price_MP_0_IOB,Mexican Peso,0.0474,0.0481,0.0474,0.048,1267,13224.0,225.0,0.0,0.0,8375.0,10231.0,8600.0,10231.0,4624.0,2993.0
1995-09-19,Price_MP_0_IOB,Mexican Peso,0.0482,0.0482,0.0479,0.0481,800,10826.0,225.0,0.0,0.0,7349.0,8805.0,7574.0,8805.0,3252.0,2021.0
1995-09-26,Price_MP_0_IOB,Mexican Peso,0.0463,0.0467,0.0458,0.0463,687,11737.0,448.0,0.0,0.0,7791.0,9061.0,8239.0,9061.0,3498.0,2676.0
1995-10-03,Price_MP_0_IOB,Mexican Peso,0.0391,0.0391,0.0391,0.0391,1067,12444.0,1029.0,0.0,0.0,7740.0,8890.0,8769.0,8890.0,3675.0,3554.0
1995-10-10,Price_MP_0_IOB,Mexican Peso,0.0324,0.0324,0.0304,0.0309,1303,12988.0,948.0,0.0,0.0,8233.0,9473.0,9181.0,9473.0,3807.0,3515.0
