Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_O2_0_IOB,Oats,383.0,383.5,380.25,381.75,606,15885.0,3035.0,670.0,710.0,3375.0,7220.0,7120.0,8600.0,8765.0,7285.0
1986-01-31,Price_O2_0_IOB,Oats,371.5,371.5,370.5,371.25,244,18475.0,1590.0,125.0,535.0,5645.0,8275.0,7770.0,8935.0,10705.0,9540.0
1986-02-14,Price_O2_0_IOB,Oats,374.25,374.5,372.75,372.75,219,19320.0,1440.0,270.0,485.0,5485.0,9155.0,7410.0,9910.0,11910.0,9410.0
1986-02-28,Price_O2_0_IOB,Oats,369.0,369.5,368.25,368.25,303,18660.0,730.0,735.0,800.0,4595.0,7585.0,6125.0,9120.0,12535.0,9540.0
1986-03-14,Price_O2_0_IOB,Oats,366.5,367.5,366.25,367.0,230,18445.0,1270.0,1025.0,445.0,5665.0,8175.0,7380.0,9645.0,11065.0,8800.0
1986-03-31,Price_O2_0_IOB,Oats,355.5,357.25,355.0,356.5,348,20840.0,855.0,375.0,1200.0,7930.0,11120.0,9985.0,12695.0,10855.0,8145.0
1986-04-15,Price_O2_0_IOB,Oats,347.75,348.75,344.75,345.0,614,22300.0,1435.0,930.0,820.0,9480.0,11260.0,11735.0,13010.0,10565.0,9290.0
1986-04-30,Price_O2_0_IOB,Oats,353.5,361.75,352.25,361.75,1647,19325.0,85.0,810.0,1855.0,8000.0,9520.0,9940.0,12185.0,9385.0,7140.0
1986-05-15,Price_O2_0_IOB,Oats,362.75,362.75,357.75,359.0,622,18825.0,1150.0,2650.0,500.0,7650.0,8945.0,9300.0,12095.0,9525.0,6730.0
1986-05-30,Price_O2_0_IOB,Oats,347.625,348.25,346.5,346.75,428,16465.0,950.0,2510.0,350.0,6655.0,6945.0,7955.0,9805.0,8510.0,6660.0
1986-06-13,Price_O2_0_IOB,Oats,354.75,355.75,348.75,349.25,672,15570.0,850.0,520.0,325.0,5530.0,7935.0,6705.0,8780.0,8865.0,6790.0
1986-06-30,Price_O2_0_IOB,Oats,348.125,348.75,346.25,347.25,1164,14875.0,950.0,1115.0,0.0,6775.0,7715.0,7725.0,8830.0,7150.0,6045.0
1986-07-15,Price_O2_0_IOB,Oats,347.75,349.25,346.75,347.75,250,14790.0,950.0,300.0,0.0,6300.0,8355.0,7250.0,8655.0,7540.0,6135.0
1986-07-31,Price_O2_0_IOB,Oats,344.5,344.5,343.75,344.5,415,15320.0,950.0,610.0,0.0,6065.0,8690.0,7015.0,9300.0,8305.0,6020.0
1986-08-15,Price_O2_0_IOB,Oats,354.5,354.75,353.5,353.75,411,17725.0,450.0,765.0,0.0,7180.0,9810.0,7630.0,10575.0,10095.0,7150.0
1986-08-29,Price_O2_0_IOB,Oats,356.75,358.75,356.75,358.0,601,16825.0,350.0,1025.0,0.0,7350.0,8515.0,7700.0,9540.0,9125.0,7285.0
1986-09-15,Price_O2_0_IOB,Oats,362.5,364.75,361.5,362.25,470,15485.0,400.0,800.0,0.0,5510.0,7895.0,5910.0,8695.0,9575.0,6790.0
1986-09-30,Price_O2_0_IOB,Oats,362.25,362.25,361.0,361.0,114,13700.0,830.0,0.0,0.0,5240.0,7120.0,6070.0,7120.0,7630.0,6580.0
1986-10-15,Price_O2_0_IOB,Oats,363.25,363.25,361.75,362.5,278,14805.0,1305.0,345.0,0.0,3345.0,6950.0,4650.0,7295.0,10155.0,7510.0
1986-10-31,Price_O2_0_IOB,Oats,368.0,369.0,367.75,368.0,431,18915.0,730.0,345.0,300.0,5255.0,11365.0,6285.0,12010.0,12630.0,6905.0
1986-11-14,Price_O2_0_IOB,Oats,383.0,386.0,383.0,385.5,1027,24045.0,1545.0,400.0,300.0,6865.0,14155.0,8710.0,14855.0,15335.0,9190.0
