Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_OJ20_IOB,Orange Juice,131.6,132.8,131.4,132.45,1108,9854.0,1490.0,577.0,739.0,1304.0,6505.0,3533.0,7821.0,6321.0,2033.0
1986-01-31,Price_OJ20_IOB,Orange Juice,122.73,123.3,120.6,120.85,800,8763.0,1328.0,353.0,596.0,907.0,5504.0,2831.0,6453.0,5932.0,2310.0
1986-02-14,Price_OJ20_IOB,Orange Juice,120.7,122.1,120.7,122.05,1131,8724.0,1244.0,312.0,238.0,1349.0,5548.0,2831.0,6098.0,5893.0,2626.0
1986-02-28,Price_OJ20_IOB,Orange Juice,117.5,118.3,116.45,116.85,2405,7782.0,1111.0,228.0,416.0,1719.0,4891.0,3246.0,5535.0,4536.0,2247.0
1986-03-14,Price_OJ20_IOB,Orange Juice,121.05,121.55,120.45,120.6,275,8282.0,1120.0,119.0,443.0,2275.0,5521.0,3838.0,6083.0,4444.0,2199.0
1986-03-31,Price_OJ20_IOB,Orange Juice,126.55,128.05,126.15,128.15,649,7827.0,662.0,138.0,321.0,2645.0,5377.0,3628.0,5836.0,4199.0,1991.0
1986-04-15,Price_OJ20_IOB,Orange Juice,125.15,126.35,125.15,126.35,292,6860.0,593.0,107.0,262.0,2544.0,4354.0,3399.0,4723.0,3461.0,2137.0
1986-04-30,Price_OJ20_IOB,Orange Juice,125.85,127.05,125.55,126.8,669,6469.0,331.0,338.0,260.0,2938.0,4089.0,3529.0,4687.0,2940.0,1782.0
1986-05-15,Price_OJ20_IOB,Orange Juice,132.35,135.75,132.35,135.55,1535,6948.0,1034.0,114.0,230.0,2438.0,4798.0,3702.0,5142.0,3246.0,1806.0
1986-05-30,Price_OJ20_IOB,Orange Juice,133.2,133.35,132.85,133.2,283,7013.0,1178.0,61.0,192.0,2464.0,4860.0,3834.0,5113.0,3179.0,1900.0
1986-06-13,Price_OJ20_IOB,Orange Juice,134.25,134.85,134.0,134.25,398,6671.0,1254.0,61.0,201.0,2561.0,4681.0,4016.0,4943.0,2655.0,1728.0
1986-06-30,Price_OJ20_IOB,Orange Juice,136.75,136.85,135.75,135.85,752,7295.0,1123.0,90.0,263.0,2960.0,5808.0,4346.0,6161.0,2949.0,1134.0
1986-07-15,Price_OJ20_IOB,Orange Juice,132.2,132.25,131.45,131.85,1041,7103.0,962.0,256.0,304.0,2610.0,4503.0,3876.0,5063.0,3227.0,2040.0
1986-07-31,Price_OJ20_IOB,Orange Juice,134.15,134.35,133.75,134.25,279,6908.0,852.0,261.0,273.0,2470.0,4487.0,3595.0,5021.0,3313.0,1887.0
1986-08-15,Price_OJ20_IOB,Orange Juice,135.45,135.55,134.95,135.65,212,6648.0,905.0,111.0,272.0,2986.0,5323.0,4163.0,5706.0,2485.0,942.0
1986-08-29,Price_OJ20_IOB,Orange Juice,134.5,134.5,134.5,134.5,526,6682.0,958.0,204.0,541.0,2994.0,4841.0,4493.0,5586.0,2189.0,1096.0
1986-09-15,Price_OJ20_IOB,Orange Juice,136.0,136.0,136.0,135.65,508,6635.0,1223.0,175.0,408.0,2453.0,4930.0,4084.0,5513.0,2551.0,1122.0
1986-09-30,Price_OJ20_IOB,Orange Juice,137.95,137.95,137.95,137.15,443,7470.0,1385.0,153.0,534.0,2397.0,5460.0,4316.0,6147.0,3154.0,1323.0
1986-10-15,Price_OJ20_IOB,Orange Juice,141.47,141.7,141.45,141.45,822,8113.0,1263.0,175.0,526.0,2582.0,6162.0,4371.0,6863.0,3742.0,1250.0
1986-10-31,Price_OJ20_IOB,Orange Juice,148.2,148.2,148.2,147.85,934,8774.0,1464.0,247.0,577.0,2842.0,6574.0,4883.0,7398.0,3891.0,1376.0
1986-11-14,Price_OJ20_IOB,Orange Juice,150.05,150.2,149.9,150.0,702,9313.0,1583.0,358.0,517.0,2770.0,6893.0,4870.0,7768.0,4443.0,1545.0
1986-12-15,Price_OJ20_IOB,Orange Juice,161.1,161.1,161.1,160.7,962,10972.0,1992.0,353.0,541.0,3204.0,8498.0,5737.0,9392.0,5235.0,1580.0
1986-12-31,Price_OJ20_IOB,Orange Juice,157.8,157.8,157.8,154.95,2052,11290.0,1785.0,513.0,849.0,5195.0,8247.0,7829.0,9609.0,3461.0,1681.0
1987-01-15,Price_OJ20_IOB,Orange Juice,153.4,153.4,153.4,153.4,1436,11308.0,2197.0,738.0,493.0,5230.0,8005.0,7920.0,9236.0,3388.0,2072.0
1987-01-30,Price_OJ20_IOB,Orange Juice,150.4,150.45,150.35,151.7,476,9916.0,1691.0,993.0,406.0,5138.0,6482.0,7235.0,7881.0,2681.0,2035.0
1987-02-13,Price_OJ20_IOB,Orange Juice,153.85,153.85,153.85,154.25,661,10094.0,1368.0,926.0,541.0,5505.0,5855.0,7414.0,7322.0,2680.0,2772.0
1987-02-27,Price_OJ20_IOB,Orange Juice,155.7,155.7,155.7,155.7,1441,11336.0,1188.0,754.0,642.0,6900.0,7168.0,8730.0,8564.0,2606.0,2772.0
1987-03-13,Price_OJ20_IOB,Orange Juice,158.0,158.15,157.2,157.15,1209,10397.0,1050.0,965.0,789.0,6243.0,5662.0,8082.0,7416.0,2315.0,2981.0
1987-03-31,Price_OJ20_IOB,Orange Juice,152.0,152.0,152.0,152.0,993,9318.0,888.0,1065.0,590.0,5716.0,4098.0,7194.0,5753.0,2124.0,3565.0
1987-04-15,Price_OJ20_IOB,Orange Juice,153.6,153.6,153.6,153.7,774,9096.0,1011.0,995.0,480.0,5601.0,4313.0,7092.0,5788.0,2004.0,3308.0
1987-04-30,Price_OJ20_IOB,Orange Juice,153.62,153.65,153.1,153.6,1152,9265.0,760.0,954.0,443.0,6157.0,4718.0,7360.0,6115.0,1905.0,3150.0
1987-05-15,Price_OJ20_IOB,Orange Juice,153.8,153.8,153.8,153.8,1179,8112.0,748.0,448.0,517.0,5225.0,4532.0,6490.0,5497.0,1622.0,2615.0
1987-05-29,Price_OJ20_IOB,Orange Juice,152.6,152.6,151.8,151.8,214,8256.0,645.0,379.0,611.0,5422.0,5082.0,6678.0,6072.0,1578.0,2184.0
1987-06-15,Price_OJ20_IOB,Orange Juice,151.75,152.35,151.4,151.85,688,8111.0,830.0,299.0,668.0,4773.0,5236.0,6271.0,6203.0,1840.0,1908.0
1987-06-30,Price_OJ20_IOB,Orange Juice,149.6,149.6,149.6,149.6,319,7650.0,835.0,528.0,686.0,4762.0,4818.0,6283.0,6032.0,1367.0,1618.0
1987-07-15,Price_OJ20_IOB,Orange Juice,151.15,151.15,151.15,151.15,486,7003.0,788.0,576.0,591.0,4194.0,4438.0,5573.0,5605.0,1430.0,1398.0
1987-07-31,Price_OJ20_IOB,Orange Juice,151.15,151.15,151.15,151.2,275,6557.0,902.0,352.0,637.0,3404.0,4236.0,4943.0,5225.0,1614.0,1332.0
1987-08-14,Price_OJ20_IOB,Orange Juice,152.55,152.55,152.55,152.3,267,6717.0,1042.0,161.0,597.0,3161.0,5094.0,4800.0,5852.0,1917.0,865.0
1987-08-31,Price_OJ20_IOB,Orange Juice,156.5,156.5,156.5,156.5,741,6496.0,1076.0,100.0,477.0,2866.0,4987.0,4419.0,5564.0,2077.0,932.0
1987-09-15,Price_OJ20_IOB,Orange Juice,157.92,157.95,157.65,157.5,466,7102.0,1479.0,29.0,566.0,2732.0,5452.0,4777.0,6047.0,2325.0,1055.0
1987-09-30,Price_OJ20_IOB,Orange Juice,159.35,160.15,159.35,160.15,1174,7925.0,1507.0,153.0,602.0,3192.0,6176.0,5301.0,6931.0,2624.0,994.0
1987-10-15,Price_OJ20_IOB,Orange Juice,172.2,172.2,172.2,172.2,333,9294.0,1640.0,216.0,724.0,4097.0,6868.0,6461.0,7808.0,2833.0,1486.0
1987-10-30,Price_OJ20_IOB,Orange Juice,172.75,172.75,172.75,173.4,1142,8097.0,994.0,313.0,539.0,4476.0,5952.0,6009.0,6804.0,2088.0,1293.0
1987-11-13,Price_OJ20_IOB,Orange Juice,182.05,182.05,182.05,182.05,402,9277.0,2006.0,433.0,505.0,3897.0,6489.0,6408.0,7427.0,2869.0,1850.0
1987-11-30,Price_OJ20_IOB,Orange Juice,198.3,198.3,198.3,197.05,1457,9798.0,1824.0,566.0,595.0,4477.0,6619.0,6896.0,7780.0,2902.0,2018.0
1987-12-15,Price_OJ20_IOB,Orange Juice,194.05,194.05,194.05,194.05,908,10242.0,1718.0,595.0,553.0,5113.0,6711.0,7384.0,7859.0,2858.0,2383.0
1987-12-31,Price_OJ20_IOB,Orange Juice,188.55,188.55,188.55,192.65,1034,10562.0,1981.0,958.0,474.0,5740.0,6745.0,8195.0,8177.0,2367.0,2385.0
1988-01-15,Price_OJ20_IOB,Orange Juice,202.55,203.55,202.55,203.25,1295,11322.0,2566.0,1898.0,626.0,5927.0,4712.0,9119.0,7236.0,2203.0,4086.0
1988-01-29,Price_OJ20_IOB,Orange Juice,197.72,198.35,197.1,198.7,1434,12529.0,1875.0,2752.0,451.0,7997.0,4079.0,10323.0,7282.0,2206.0,5247.0
1988-02-12,Price_OJ20_IOB,Orange Juice,192.85,192.85,192.85,192.6,1447,13574.0,1841.0,2833.0,305.0,9157.0,3569.0,11303.0,6707.0,2271.0,6867.0
1988-02-29,Price_OJ20_IOB,Orange Juice,189.35,189.35,186.1,186.1,1722,16641.0,1674.0,4200.0,102.0,12419.0,3508.0,14195.0,7810.0,2446.0,8831.0
1988-03-15,Price_OJ20_IOB,Orange Juice,182.1,183.1,180.6,183.1,2247,16921.0,1221.0,4457.0,113.0,13037.0,3597.0,14371.0,8167.0,2550.0,8754.0
1988-03-31,Price_OJ20_IOB,Orange Juice,185.0,185.0,184.6,184.55,931,15862.0,992.0,3768.0,254.0,12440.0,3121.0,13686.0,7143.0,2176.0,8719.0
1988-04-15,Price_OJ20_IOB,Orange Juice,190.1,190.1,189.55,190.15,666,15021.0,1057.0,3432.0,182.0,11101.0,3347.0,12340.0,6961.0,2681.0,8060.0
1988-04-29,Price_OJ20_IOB,Orange Juice,191.3,191.3,190.7,190.9,1154,13403.0,1157.0,2938.0,145.0,9411.0,2953.0,10713.0,6036.0,2690.0,7367.0
1988-05-13,Price_OJ20_IOB,Orange Juice,190.95,190.95,190.95,190.9,1760,11743.0,991.0,2615.0,70.0,8098.0,3204.0,9159.0,5889.0,2584.0,5854.0
1988-05-31,Price_OJ20_IOB,Orange Juice,187.9,188.55,187.85,188.1,968,11396.0,1031.0,2578.0,118.0,7672.0,3308.0,8821.0,6004.0,2575.0,5392.0
1988-06-15,Price_OJ20_IOB,Orange Juice,191.6,193.4,191.6,193.2,1432,11606.0,1892.0,2330.0,395.0,6433.0,4769.0,8720.0,7494.0,2886.0,4112.0
1988-06-30,Price_OJ20_IOB,Orange Juice,205.1,206.3,205.1,206.3,1492,10780.0,2015.0,1660.0,294.0,5558.0,5929.0,7867.0,7883.0,2913.0,2897.0
