Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_PA20_IOB,Palladium,162.98,163.6,162.6,163.1,970,6766.0,1569.0,117.0,280.0,1388.0,5236.0,3237.0,5633.0,3529.0,1133.0
1986-01-31,Price_PA20_IOB,Palladium,164.98,165.1,160.8,161.25,700,6667.0,1664.0,103.0,353.0,1230.0,4951.0,3247.0,5407.0,3420.0,1260.0
1986-02-14,Price_PA20_IOB,Palladium,155.2,158.1,155.2,158.05,463,6558.0,1182.0,201.0,122.0,1961.0,4633.0,3265.0,4956.0,3293.0,1602.0
1986-02-28,Price_PA20_IOB,Palladium,165.05,169.3,164.05,165.7,1731,6049.0,1600.0,88.0,63.0,1517.0,4861.0,3180.0,5012.0,2869.0,1037.0
1986-03-14,Price_PA20_IOB,Palladium,168.05,169.55,167.3,167.95,309,6217.0,1909.0,471.0,183.0,1321.0,4737.0,3413.0,5391.0,2804.0,826.0
1986-03-31,Price_PA20_IOB,Palladium,170.55,170.55,164.9,164.9,745,6206.0,1517.0,255.0,182.0,1244.0,4765.0,2943.0,5202.0,3263.0,1004.0
1986-04-15,Price_PA20_IOB,Palladium,163.3,164.05,162.3,162.55,666,6359.0,1154.0,323.0,223.0,1496.0,4260.0,2873.0,4806.0,3486.0,1553.0
1986-04-30,Price_PA20_IOB,Palladium,165.55,166.55,165.55,166.4,248,6101.0,1338.0,345.0,288.0,1518.0,4300.0,3144.0,4933.0,2957.0,1168.0
1986-05-15,Price_PA20_IOB,Palladium,164.3,164.95,163.05,164.3,905,6298.0,1239.0,406.0,320.0,1843.0,4403.0,3402.0,5129.0,2896.0,1169.0
1986-05-30,Price_PA20_IOB,Palladium,165.55,165.55,162.8,163.25,1344,5739.0,1225.0,262.0,314.0,1802.0,4106.0,3341.0,4682.0,2398.0,1057.0
1986-06-13,Price_PA20_IOB,Palladium,168.05,168.55,167.6,168.45,201,5645.0,1417.0,29.0,232.0,1811.0,5049.0,3460.0,5310.0,2185.0,335.0
1986-06-30,Price_PA20_IOB,Palladium,165.68,166.8,165.55,166.2,89,5259.0,1416.0,0.0,137.0,1610.0,4092.0,3163.0,4229.0,2096.0,1030.0
1986-07-15,Price_PA20_IOB,Palladium,167.53,168.2,167.05,167.35,171,5373.0,1258.0,0.0,257.0,1790.0,4529.0,3305.0,4786.0,2068.0,587.0
1986-07-31,Price_PA20_IOB,Palladium,169.05,169.8,168.5,169.6,549,5335.0,1381.0,0.0,147.0,1748.0,4936.0,3276.0,5083.0,2059.0,252.0
1986-08-15,Price_PA20_IOB,Palladium,190.4,191.15,185.65,188.2,665,6371.0,1692.0,0.0,163.0,1720.0,5277.0,3575.0,5440.0,2796.0,931.0
1986-08-29,Price_PA20_IOB,Palladium,196.02,196.65,193.65,194.8,1521,6073.0,1525.0,72.0,131.0,1117.0,4536.0,2773.0,4739.0,3300.0,1334.0
