Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_PL20_IOB,Platinum,590.6,592.4,587.5,590.2,3743,17568.0,3990.0,1335.0,136.0,4720.0,11319.0,8846.0,12790.0,8722.0,4778.0
1986-01-31,Price_PL20_IOB,Platinum,595.8,596.0,588.5,592.2,4107,18163.0,5434.0,1177.0,284.0,3192.0,11363.0,8910.0,12824.0,9253.0,5339.0
1986-02-14,Price_PL20_IOB,Platinum,573.0,591.5,572.0,589.2,5716,18030.0,4890.0,1380.0,296.0,3356.0,11087.0,8542.0,12763.0,9488.0,5267.0
1986-02-28,Price_PL20_IOB,Platinum,615.5,624.5,610.6,621.8,4988,20490.0,5176.0,1276.0,999.0,3303.0,12344.0,9478.0,14619.0,11012.0,5871.0
1986-03-14,Price_PL20_IOB,Platinum,631.0,637.5,629.5,631.3,4640,20376.0,6452.0,1716.0,573.0,3127.0,13656.0,10152.0,15945.0,10224.0,4431.0
1986-03-31,Price_PL20_IOB,Platinum,639.8,641.0,620.0,621.1,10587,19938.0,4856.0,1517.0,320.0,2753.0,13030.0,7929.0,14867.0,12009.0,5071.0
1986-04-15,Price_PL20_IOB,Platinum,642.8,647.0,638.5,641.4,3860,17794.0,5451.0,1638.0,466.0,2350.0,12073.0,8267.0,14177.0,9527.0,3617.0
1986-04-30,Price_PL20_IOB,Platinum,632.0,638.9,631.0,635.8,2866,15768.0,3271.0,1201.0,657.0,2612.0,10392.0,6540.0,12250.0,9228.0,3518.0
1986-05-15,Price_PL20_IOB,Platinum,630.5,632.0,626.6,630.1,2486,15736.0,3314.0,745.0,462.0,2773.0,10385.0,6549.0,11592.0,9187.0,4144.0
1986-05-30,Price_PL20_IOB,Platinum,631.6,640.0,630.0,639.1,7216,16582.0,3224.0,552.0,746.0,3140.0,10772.0,7110.0,12070.0,9472.0,4512.0
1986-06-13,Price_PL20_IOB,Platinum,665.1,667.0,660.0,661.6,6205,20443.0,5506.0,1495.0,576.0,2529.0,11666.0,8611.0,13737.0,11832.0,6706.0
