Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_S2_0_IOB,Soybeans,478.75,486.25,478.25,485.0,38670,370440.0,47835.0,11560.0,21400.0,117120.0,175845.0,186355.0,208805.0,184085.0,161635.0
1986-01-31,Price_S2_0_IOB,Soybeans,474.25,475.25,470.25,471.25,27748,373275.0,42610.0,15880.0,23145.0,122430.0,177790.0,188185.0,216815.0,185090.0,156460.0
1986-02-14,Price_S2_0_IOB,Soybeans,465.5,466.75,464.25,465.25,17818,366705.0,24555.0,16840.0,19060.0,130140.0,169890.0,173755.0,205790.0,192950.0,160915.0
1986-02-28,Price_S2_0_IOB,Soybeans,460.25,463.75,460.25,463.5,34461,376525.0,22805.0,26390.0,35735.0,145015.0,151890.0,203555.0,214015.0,172970.0,162510.0
1986-03-14,Price_S2_0_IOB,Soybeans,472.5,473.25,470.75,471.25,13593,375235.0,43290.0,14190.0,25210.0,125300.0,200975.0,193800.0,240375.0,181435.0,134860.0
1986-03-31,Price_S2_0_IOB,Soybeans,467.75,481.75,467.25,475.25,48139,385445.0,53950.0,19575.0,24960.0,122485.0,201310.0,201395.0,245845.0,184050.0,139600.0
1986-04-15,Price_S2_0_IOB,Soybeans,457.5,459.0,456.75,458.25,16774,385070.0,22000.0,44425.0,24170.0,162045.0,158340.0,208215.0,226935.0,176855.0,158135.0
1986-04-30,Price_S2_0_IOB,Soybeans,470.5,499.0,469.0,486.5,81608,371655.0,40315.0,13770.0,29535.0,113425.0,179655.0,183275.0,222960.0,188380.0,148695.0
1986-05-15,Price_S2_0_IOB,Soybeans,476.0,476.5,464.0,466.0,37399,348370.0,43975.0,17950.0,29995.0,101165.0,157960.0,175135.0,205905.0,173235.0,142465.0
1986-05-30,Price_S2_0_IOB,Soybeans,455.75,457.0,452.0,452.25,23413,328685.0,31220.0,15240.0,29540.0,103970.0,143170.0,164730.0,187950.0,163955.0,140735.0
1986-06-13,Price_S2_0_IOB,Soybeans,448.75,451.5,444.0,445.0,24091,329775.0,21730.0,30905.0,28955.0,117930.0,126800.0,168615.0,186660.0,161160.0,143115.0
1986-06-30,Price_S2_0_IOB,Soybeans,436.0,436.5,430.0,430.25,21134,323230.0,18805.0,51045.0,26205.0,134435.0,102190.0,179445.0,179440.0,143785.0,143790.0
1986-07-15,Price_S2_0_IOB,Soybeans,441.5,449.0,440.5,447.0,43089,299915.0,26260.0,33460.0,26070.0,107510.0,105860.0,159840.0,165390.0,140075.0,134525.0
1986-07-31,Price_S2_0_IOB,Soybeans,452.75,453.5,443.0,446.0,34944,287720.0,30650.0,13400.0,16600.0,96530.0,134605.0,143780.0,164605.0,143940.0,123115.0
1986-08-15,Price_S2_0_IOB,Soybeans,425.0,425.5,418.5,420.0,13650,286741.0,17595.0,36150.0,20140.0,118245.0,97755.0,155980.0,154045.0,130761.0,132696.0
1986-08-29,Price_S2_0_IOB,Soybeans,420.25,425.5,418.5,425.0,22787,296330.0,18695.0,34510.0,23820.0,123035.0,92895.0,165550.0,151225.0,130780.0,145105.0
1986-09-15,Price_S2_0_IOB,Soybeans,419.25,420.25,418.0,418.75,9063,295030.0,20240.0,41610.0,14350.0,123290.0,604220.0,157880.0,660180.0,137150.0,-365150.0
