Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_SF_0_IOB,Swiss Franc,0.9213,0.9237,0.9211,0.9226,16155,25278.0,8461.0,1316.0,309.0,5494.0,18533.0,14264.0,20158.0,11014.0,5120.0
1986-01-31,Price_SF_0_IOB,Swiss Franc,0.9345,0.9356,0.9332,0.935,14730,29412.0,11679.0,1975.0,187.0,4964.0,22035.0,16830.0,24197.0,12582.0,5215.0
1986-02-14,Price_SF_0_IOB,Swiss Franc,0.952,0.9554,0.9509,0.9553,18511,33894.0,11444.0,2044.0,1960.0,7339.0,23757.0,20743.0,27761.0,13151.0,6133.0
1986-02-28,Price_SF_0_IOB,Swiss Franc,0.9738,0.9765,0.9687,0.9705,21119,39151.0,10931.0,6459.0,1889.0,12231.0,23633.0,25051.0,31981.0,14100.0,7170.0
1986-03-14,Price_SF_0_IOB,Swiss Franc,0.964,0.966,0.9622,0.9643,22587,31902.0,8159.0,2063.0,665.0,12553.0,23927.0,21377.0,26655.0,10525.0,5247.0
1986-03-31,Price_SF_0_IOB,Swiss Franc,0.9484,0.9519,0.9447,0.9507,10938,28521.0,7741.0,4009.0,295.0,9720.0,18054.0,17756.0,22358.0,10765.0,6163.0
1986-04-15,Price_SF_0_IOB,Swiss Franc,0.9503,0.9564,0.9497,0.9532,19368,28886.0,5104.0,5268.0,556.0,11008.0,17764.0,16668.0,23588.0,12218.0,5298.0
1986-04-30,Price_SF_0_IOB,Swiss Franc,0.9818,0.9888,0.9807,0.9825,19223,34855.0,12412.0,4465.0,616.0,9501.0,22399.0,22529.0,27480.0,12326.0,7375.0
1986-05-15,Price_SF_0_IOB,Swiss Franc,0.9832,0.9844,0.9807,0.9831,15107,34137.0,10454.0,6448.0,598.0,10947.0,18295.0,21999.0,25341.0,12138.0,8796.0
1986-05-30,Price_SF_0_IOB,Swiss Franc,0.9562,0.9575,0.9499,0.9506,24986,30766.0,3248.0,7550.0,1242.0,16153.0,13789.0,20643.0,22581.0,10123.0,8185.0
1986-06-13,Price_SF_0_IOB,Swiss Franc,0.9778,0.9827,0.9769,0.9816,15806,28002.0,5406.0,2981.0,349.0,10668.0,18145.0,16423.0,21475.0,11579.0,6527.0
1986-06-30,Price_SF_0_IOB,Swiss Franc,0.9908,0.9951,0.9895,0.9948,20280,32254.0,12068.0,3463.0,0.0,4707.0,20347.0,16775.0,23810.0,15479.0,8444.0
1986-07-15,Price_SF_0_IOB,Swiss Franc,1.0016,1.0057,0.9978,1.0051,26464,32598.0,10081.0,2638.0,1.0,7599.0,20367.0,17681.0,23006.0,14917.0,9592.0
1986-07-31,Price_SF_0_IOB,Swiss Franc,1.028,1.0305,1.0264,1.0301,20084,35466.0,12719.0,1009.0,0.0,6288.0,22314.0,19007.0,23323.0,16459.0,12143.0
1986-08-15,Price_SF_0_IOB,Swiss Franc,1.0338,1.0339,1.0321,1.0332,8117,36666.0,10118.0,3155.0,331.0,8787.0,19588.0,19236.0,23074.0,17430.0,13592.0
1986-08-29,Price_SF_0_IOB,Swiss Franc,1.0345,1.0424,1.0345,1.0419,31839,44717.0,7604.0,9845.0,662.0,18605.0,25353.0,26871.0,35860.0,17846.0,8857.0
1986-09-15,Price_SF_0_IOB,Swiss Franc,1.0338,1.036,1.0322,1.0354,24655,36557.0,6970.0,3972.0,0.0,16846.0,18041.0,23816.0,22013.0,12741.0,14544.0
1986-09-30,Price_SF_0_IOB,Swiss Franc,1.0423,1.0425,1.0361,1.0387,20210,26619.0,8975.0,3439.0,0.0,6088.0,14469.0,15063.0,17908.0,11556.0,8711.0
1986-10-15,Price_SF_0_IOB,Swiss Franc,1.0481,1.0502,1.0464,1.0492,10292,33920.0,14599.0,4222.0,0.0,6266.0,21678.0,20865.0,25900.0,13055.0,8020.0
1986-10-31,Price_SF_0_IOB,Swiss Franc,1.0117,1.0147,1.0099,1.0138,22196,32621.0,4697.0,8971.0,81.0,16250.0,9158.0,21028.0,18210.0,11593.0,14411.0
1986-11-14,Price_SF_0_IOB,Swiss Franc,1.0277,1.0313,1.0253,1.0302,24821,33294.0,4099.0,3116.0,134.0,16613.0,15891.0,20846.0,19141.0,12448.0,14153.0
1986-11-28,Price_SF_0_IOB,Swiss Franc,1.0361,1.0389,1.0359,1.0382,14207,34495.0,4507.0,2964.0,0.0,15496.0,19709.0,20003.0,22673.0,14492.0,11822.0
1986-12-15,Price_SF_0_IOB,Swiss Franc,1.0178,1.0191,1.0155,1.0166,17809,29054.0,5274.0,4838.0,987.0,11904.0,11264.0,18165.0,17089.0,10889.0,11965.0
1986-12-31,Price_SF_0_IOB,Swiss Franc,1.046,1.0501,1.0445,1.0498,10927,23138.0,6487.0,4235.0,0.0,4455.0,10058.0,10942.0,14293.0,12196.0,8845.0
1987-01-15,Price_SF_0_IOB,Swiss Franc,1.0769,1.0811,1.0723,1.075,33045,31252.0,8914.0,5204.0,200.0,7769.0,13994.0,16883.0,19398.0,14369.0,11854.0
1987-01-30,Price_SF_0_IOB,Swiss Franc,1.0831,1.0856,1.0701,1.0745,34270,33581.0,8174.0,5950.0,131.0,9138.0,15512.0,17443.0,21593.0,16138.0,11988.0
1987-02-13,Price_SF_0_IOB,Swiss Franc,1.0714,1.0767,1.0709,1.0766,20637,34833.0,6516.0,9896.0,275.0,13939.0,12818.0,20730.0,22989.0,14103.0,11844.0
1987-02-27,Price_SF_0_IOB,Swiss Franc,1.0756,1.0786,1.0731,1.0772,16757,36210.0,7372.0,8874.0,547.0,14129.0,14942.0,22048.0,24363.0,14162.0,11847.0
1987-03-13,Price_SF_0_IOB,Swiss Franc,1.0684,1.0701,1.0673,1.069,22276,31397.0,5130.0,7901.0,200.0,12479.0,11962.0,17809.0,20063.0,13588.0,11334.0
1987-03-31,Price_SF_0_IOB,Swiss Franc,1.0896,1.0913,1.087,1.0888,19448,29102.0,7277.0,8286.0,200.0,5295.0,13081.0,12772.0,21567.0,16330.0,7535.0
1987-04-15,Price_SF_0_IOB,Swiss Franc,1.094,1.0976,1.0933,1.0956,19864,31042.0,6391.0,5998.0,0.0,8381.0,16689.0,14772.0,22687.0,16270.0,8355.0
1987-04-30,Price_SF_0_IOB,Swiss Franc,1.1058,1.1071,1.0993,1.1065,24315,31854.0,6116.0,5925.0,0.0,9186.0,16523.0,15302.0,22448.0,16552.0,9406.0
1987-05-15,Price_SF_0_IOB,Swiss Franc,1.106,1.1101,1.1059,1.1098,22941,34132.0,8789.0,5069.0,249.0,8182.0,17040.0,17220.0,22358.0,16912.0,11774.0
1987-05-29,Price_SF_0_IOB,Swiss Franc,1.084,1.0847,1.0816,1.0843,20176,33551.0,7134.0,4526.0,311.0,12973.0,16451.0,20418.0,21288.0,13133.0,12263.0
1987-06-15,Price_SF_0_IOB,Swiss Franc,1.0819,1.085,1.0799,1.082,23047,31521.0,6505.0,4498.0,0.0,10832.0,15011.0,17337.0,19509.0,14184.0,12012.0
1987-06-30,Price_SF_0_IOB,Swiss Franc,1.0777,1.0812,1.0767,1.0809,17152,24351.0,4894.0,5631.0,0.0,7933.0,10368.0,12827.0,15999.0,11524.0,8352.0
1987-07-15,Price_SF_0_IOB,Swiss Franc,1.0673,1.0776,1.0668,1.0758,25249,27142.0,3874.0,5041.0,240.0,9842.0,8418.0,13956.0,13699.0,13186.0,13443.0
1987-07-31,Price_SF_0_IOB,Swiss Franc,1.068,1.0697,1.0667,1.0672,12115,29387.0,6932.0,5488.0,21.0,11831.0,10963.0,18784.0,16472.0,10603.0,12915.0
1987-08-14,Price_SF_0_IOB,Swiss Franc,1.0519,1.0609,1.0516,1.0576,20772,31829.0,5112.0,6499.0,180.0,11020.0,10531.0,16312.0,17210.0,15517.0,14619.0
1987-08-31,Price_SF_0_IOB,Swiss Franc,1.0846,1.0872,1.084,1.0847,11713,31898.0,6663.0,3683.0,212.0,6847.0,16142.0,13722.0,20037.0,18176.0,11861.0
1987-09-15,Price_SF_0_IOB,Swiss Franc,1.0798,1.082,1.0789,1.0813,20981,20326.0,3806.0,3445.0,212.0,7484.0,10647.0,11502.0,14304.0,8824.0,6022.0
1987-09-30,Price_SF_0_IOB,Swiss Franc,1.0694,1.07,1.0644,1.0651,16299,23328.0,3570.0,5227.0,54.0,9357.0,5513.0,12981.0,10794.0,10347.0,12534.0
1987-10-15,Price_SF_0_IOB,Swiss Franc,1.0851,1.0881,1.0829,1.0834,24791,24020.0,5659.0,1445.0,95.0,4921.0,13840.0,10675.0,15380.0,13345.0,8640.0
1987-10-30,Price_SF_0_IOB,Swiss Franc,1.1075,1.1148,1.1075,1.1119,21865,29809.0,5759.0,1745.0,200.0,8915.0,19017.0,14874.0,20962.0,14935.0,8847.0
1987-11-13,Price_SF_0_IOB,Swiss Franc,1.1296,1.1325,1.1273,1.132,16266,34579.0,6837.0,4132.0,450.0,12869.0,19109.0,20156.0,23691.0,14423.0,10888.0
1987-11-30,Price_SF_0_IOB,Swiss Franc,1.1583,1.159,1.1544,1.1576,23844,40772.0,6900.0,1359.0,0.0,17840.0,26598.0,24740.0,27957.0,16032.0,12815.0
1987-12-15,Price_SF_0_IOB,Swiss Franc,1.1667,1.1671,1.1609,1.163,15384,20484.0,5144.0,769.0,50.0,15141.0,12555.0,20335.0,13374.0,149.0,7110.0
1987-12-31,Price_SF_0_IOB,Swiss Franc,1.1948,1.1988,1.1918,1.1983,8869,24298.0,4528.0,2958.0,0.0,8529.0,9376.0,13057.0,12334.0,11241.0,11964.0
1988-01-15,Price_SF_0_IOB,Swiss Franc,1.1617,1.1622,1.1233,1.1364,18754,25218.0,5797.0,2434.0,180.0,9334.0,12738.0,15311.0,15352.0,9907.0,9866.0
1988-01-29,Price_SF_0_IOB,Swiss Franc,1.1398,1.1409,1.1376,1.1379,14057,28279.0,4516.0,2925.0,150.0,13697.0,13212.0,18363.0,16287.0,9916.0,11992.0
1988-02-12,Price_SF_0_IOB,Swiss Franc,1.1215,1.1353,1.1063,1.1161,21695,32857.0,4285.0,4073.0,101.0,17220.0,15943.0,21606.0,20117.0,11251.0,12740.0
1988-02-29,Price_SF_0_IOB,Swiss Franc,1.1251,1.1253,1.1219,1.1228,17235,32494.0,6183.0,3898.0,1.0,14604.0,15781.0,20788.0,19680.0,11706.0,12814.0
1988-03-15,Price_SF_0_IOB,Swiss Franc,1.1305,1.1314,1.1284,1.1288,11693,19690.0,6061.0,2509.0,0.0,14092.0,16433.0,20153.0,18942.0,-463.0,748.0
