Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_SI20_IOB,Silver,1702.0,1708.0,1700.0,1706.0,19248,82722.0,11687.0,7480.0,3624.0,34323.0,57215.0,49634.0,68319.0,33088.0,14403.0
1986-01-31,Price_SI20_IOB,Silver,1698.0,1701.0,1692.0,1692.5,16510,81949.0,10702.0,5664.0,3968.0,31867.0,58330.0,46537.0,67962.0,35412.0,13987.0
1986-02-14,Price_SI20_IOB,Silver,1667.0,1680.0,1667.0,1678.0,15737,82008.0,9113.0,7091.0,4890.0,32173.0,53506.0,46176.0,65487.0,35832.0,16521.0
1986-02-28,Price_SI20_IOB,Silver,1651.3,1652.3,1644.3,1647.8,16570,79008.0,10355.0,10555.0,7268.0,28492.0,43021.0,46115.0,60844.0,32893.0,18164.0
1986-03-14,Price_SI20_IOB,Silver,1653.3,1655.3,1648.3,1650.3,8404,74066.0,8740.0,7771.0,7003.0,25972.0,43243.0,41715.0,58017.0,32351.0,16049.0
1986-03-31,Price_SI20_IOB,Silver,1629.3,1629.3,1591.3,1593.8,30227,78406.0,8990.0,10443.0,7622.0,27390.0,43253.0,44002.0,61318.0,34404.0,17088.0
1986-04-15,Price_SI20_IOB,Silver,1620.3,1622.3,1613.8,1619.3,18357,79567.0,12005.0,8955.0,6290.0,29117.0,46343.0,47412.0,61588.0,32155.0,17979.0
1986-04-30,Price_SI20_IOB,Silver,1587.1,1591.6,1585.6,1590.1,14482,73868.0,7526.0,7486.0,8333.0,26849.0,41377.0,42708.0,57196.0,31160.0,16672.0
1986-05-15,Price_SI20_IOB,Silver,1579.1,1583.6,1577.6,1582.1,11566,73890.0,7598.0,8493.0,8101.0,28687.0,42068.0,44386.0,58662.0,29504.0,15228.0
1986-05-30,Price_SI20_IOB,Silver,1597.1,1603.1,1593.1,1598.1,17357,75216.0,10377.0,7920.0,7122.0,27548.0,44963.0,45047.0,60005.0,30169.0,15211.0
1986-06-13,Price_SI20_IOB,Silver,1604.1,1604.1,1597.6,1598.6,9644,74855.0,12768.0,7637.0,5395.0,26198.0,48111.0,44361.0,61143.0,30494.0,13712.0
1986-06-30,Price_SI20_IOB,Silver,1576.0,1588.0,1574.5,1581.5,19814,64478.0,5425.0,6399.0,5071.0,23455.0,37390.0,33951.0,48860.0,30527.0,15618.0
1986-07-15,Price_SI20_IOB,Silver,1572.0,1581.5,1572.0,1576.3,10366,65294.0,4965.0,7341.0,4501.0,25286.0,39989.0,34752.0,51831.0,30542.0,13463.0
1986-07-31,Price_SI20_IOB,Silver,1572.0,1581.0,1572.0,1577.7,19235,71238.0,7086.0,6131.0,4955.0,28170.0,47415.0,40211.0,58501.0,31027.0,12737.0
1986-08-15,Price_SI20_IOB,Silver,1597.3,1600.8,1592.3,1593.2,6772,77588.0,11302.0,3289.0,5264.0,28769.0,57473.0,45335.0,66026.0,32253.0,11562.0
1986-08-29,Price_SI20_IOB,Silver,1582.3,1583.3,1575.3,1579.3,10043,67835.0,9953.0,3424.0,4369.0,22803.0,47385.0,37125.0,55178.0,30710.0,12657.0
1986-09-15,Price_SI20_IOB,Silver,1654.3,1654.3,1638.3,1651.0,21296,87271.0,16365.0,4913.0,4384.0,30527.0,60532.0,51276.0,69829.0,35995.0,17442.0
1986-09-30,Price_SI20_IOB,Silver,1614.3,1622.3,1610.8,1618.8,12362,73895.0,12097.0,4808.0,4636.0,24420.0,50017.0,41153.0,59461.0,32742.0,14434.0
1986-10-15,Price_SI20_IOB,Silver,1616.3,1620.8,1610.3,1617.8,13976,84548.0,12235.0,4559.0,3951.0,34310.0,59637.0,50496.0,68147.0,34052.0,16401.0
1986-10-31,Price_SI20_IOB,Silver,1618.8,1625.8,1618.8,1624.3,11702,89998.0,13490.0,4438.0,5303.0,35952.0,64694.0,54745.0,74435.0,35253.0,15563.0
1986-11-14,Price_SI20_IOB,Silver,1643.3,1643.3,1626.3,1627.3,29325,98214.0,13833.0,5501.0,6667.0,37460.0,68252.0,57960.0,80420.0,40254.0,17794.0
1986-11-28,Price_SI20_IOB,Silver,1592.9,1596.9,1590.0,1595.4,11979,90952.0,8485.0,3951.0,9294.0,37768.0,62441.0,55547.0,75686.0,35405.0,15266.0
1986-12-15,Price_SI20_IOB,Silver,1603.9,1605.9,1600.9,1603.9,11751,89252.0,8741.0,3326.0,8441.0,37890.0,62479.0,55072.0,74246.0,34180.0,15006.0
1986-12-31,Price_SI20_IOB,Silver,1582.9,1594.4,1579.4,1593.9,7544,89822.0,8638.0,4693.0,8367.0,38363.0,62183.0,55368.0,75243.0,34454.0,14579.0
