Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_SM20_IOB,Soybean Meal,31.8,33.6,30.8,32.9,16572,46028.0,7292.0,689.0,1780.0,12024.0,29111.0,21096.0,31580.0,24932.0,14448.0
1986-01-31,Price_SM20_IOB,Soybean Meal,28.3,28.8,27.3,27.6,10899,43681.0,5385.0,371.0,1129.0,14999.0,26924.0,21513.0,28424.0,22168.0,15257.0
1986-02-14,Price_SM20_IOB,Soybean Meal,29.1,30.7,28.6,30.5,9253,45458.0,4686.0,1621.0,2554.0,19591.0,23204.0,26831.0,27379.0,18627.0,18079.0
1986-02-28,Price_SM20_IOB,Soybean Meal,33.3,36.3,32.8,36.0,23587,48404.0,6307.0,1884.0,2397.0,20733.0,26915.0,29437.0,31196.0,18967.0,17208.0
1986-03-14,Price_SM20_IOB,Soybean Meal,35.5,37.4,35.3,36.5,12655,50381.0,6680.0,640.0,2434.0,19675.0,30104.0,28789.0,33178.0,21592.0,17203.0
1986-03-31,Price_SM20_IOB,Soybean Meal,29.6,31.3,28.3,28.5,13161,49219.0,6297.0,1685.0,1312.0,22397.0,29013.0,30006.0,32010.0,19213.0,17209.0
1986-04-15,Price_SM20_IOB,Soybean Meal,28.4,28.5,27.0,27.0,9612,51368.0,2822.0,3463.0,979.0,28459.0,26120.0,32260.0,30562.0,19108.0,20806.0
1986-04-30,Price_SM20_IOB,Soybean Meal,28.5,36.0,28.0,33.6,32968,49060.0,2133.0,2074.0,2076.0,25337.0,26788.0,29546.0,30938.0,19514.0,18122.0
1986-05-15,Price_SM20_IOB,Soybean Meal,30.2,30.2,26.0,26.6,18409,45610.0,2595.0,2518.0,2312.0,24384.0,24450.0,29291.0,29280.0,16319.0,16330.0
1986-05-30,Price_SM20_IOB,Soybean Meal,22.9,23.3,22.1,22.2,9114,46708.0,1052.0,4161.0,1795.0,27151.0,21739.0,29998.0,27695.0,16710.0,19013.0
1986-06-13,Price_SM20_IOB,Soybean Meal,26.4,26.5,24.7,25.4,11432,52934.0,1859.0,2721.0,2396.0,29843.0,29979.0,34098.0,35096.0,18836.0,17838.0
1986-06-30,Price_SM20_IOB,Soybean Meal,22.3,22.3,20.2,20.9,10385,53813.0,1174.0,3177.0,2607.0,32489.0,26270.0,36270.0,32054.0,17543.0,21759.0
1986-07-15,Price_SM20_IOB,Soybean Meal,22.9,25.8,22.6,25.3,23234,53797.0,1427.0,2632.0,3569.0,28718.0,27653.0,33714.0,33854.0,20083.0,19943.0
1986-07-31,Price_SM20_IOB,Soybean Meal,30.5,30.6,28.2,29.2,15518,50539.0,3061.0,1742.0,2236.0,26201.0,30112.0,31498.0,34090.0,19041.0,16449.0
1986-08-15,Price_SM20_IOB,Soybean Meal,28.4,28.6,26.1,27.1,9780,46004.0,1556.0,1834.0,840.0,26108.0,24996.0,28504.0,27670.0,17500.0,18334.0
1986-08-29,Price_SM20_IOB,Soybean Meal,29.7,34.1,29.5,32.9,27285,51857.0,3517.0,2476.0,2936.0,24409.0,29201.0,30862.0,34613.0,20995.0,17244.0
1986-09-15,Price_SM20_IOB,Soybean Meal,30.0,30.6,29.9,30.1,6145,49313.0,4522.0,2161.0,2744.0,22113.0,26273.0,29379.0,31178.0,19934.0,18135.0
1986-09-30,Price_SM20_IOB,Soybean Meal,33.7,33.9,32.1,32.2,13753,50791.0,5392.0,2301.0,2605.0,22497.0,28147.0,30494.0,33053.0,20297.0,17738.0
